Model	Trait	Sex	Population	Line	Coef_Vieira	Coef_Mensch	SE_Vieira	SE_Mensch
lmer_pop	CCRT	F	AK	AK1	1726.80474233432	2031.76297663517	140.496068587821	191.889182586425
lmer_pop	CCRT	F	AK	AK10	1454.36874233432	1561.63797663517	140.753588517785	191.76811770648
lmer_pop	CCRT	F	AK	AK11	1543.10174233432	1756.04897663517	140.263687134746	190.461810798612
lmer_pop	CCRT	F	AK	AK12	1424.49274233432	1694.73497663517	140.753588517785	190.461810798612
lmer_pop	CCRT	F	AK	AK13	1478.46674233432	1753.19197663517	144.710313072821	191.606726835689
lmer_pop	CCRT	F	AK	AK14	1759.09774233432	1781.04397663517	140.263687134746	199.248284973011
lmer_pop	CCRT	F	AK	AK15	1739.00874233432	1758.23197663517	149.649808835942	191.606726835689
lmer_pop	CCRT	F	AK	AK16	1421.05974233432	1828.41297663517	140.660581573637	198.892800296256
lmer_pop	CCRT	F	AK	AK17	1513.67574233432	2006.62097663517	140.660581573637	198.130750144157
lmer_pop	CCRT	F	AK	AK18	1360.77674233432	2332.02497663517	140.263687134746	198.356675341886
lmer_pop	CCRT	F	AK	AK19	1454.56374233432	NA	149.510116449135	NA
lmer_pop	CCRT	F	AK	AK2	1571.85474233432	1585.97997663517	140.753588517785	191.889182586425
lmer_pop	CCRT	F	AK	AK20	1667.73574233432	1818.46697663517	140.988857310193	199.698043279563
lmer_pop	CCRT	F	AK	AK3	1552.39274233432	1786.62497663517	140.496068587821	200.865556700711
lmer_pop	CCRT	F	AK	AK4	1470.07274233432	1465.71197663517	140.660581573637	192.077542658392
lmer_pop	CCRT	F	AK	AK5	1678.19574233432	1799.52797663517	140.496068587821	200.865556700711
lmer_pop	CCRT	F	AK	AK6	1518.96374233432	1832.14297663517	140.496068587821	191.532318885577
lmer_pop	CCRT	F	AK	AK7	1933.83274233432	2354.44297663517	140.263687134746	190.190612201776
lmer_pop	CCRT	F	AK	AK8	1592.92874233432	1686.54197663517	140.753588517785	191.105730447013
lmer_pop	CCRT	F	AK	AK9	1779.04174233432	1788.34297663517	140.263687134746	192.077542658392
lmer_pop	CCRT	F	GI	GI1	1470.6025044929	1528.34086890285	146.001471447173	197.336892098047
lmer_pop	CCRT	F	GI	GI10	1559.5035044929	1511.47686890285	146.001471447173	198.219020840373
lmer_pop	CCRT	F	GI	GI11	1627.7525044929	1161.55186890285	146.201543978645	197.598282851639
lmer_pop	CCRT	F	GI	GI12	1382.4695044929	1497.78886890285	146.698280909285	197.336892098047
lmer_pop	CCRT	F	GI	GI13	1376.7755044929	1533.42286890285	146.001471447173	197.598282851639
lmer_pop	CCRT	F	GI	GI15	1637.3085044929	1354.47986890285	146.382809594363	199.156125707738
lmer_pop	CCRT	F	GI	GI2	1587.5655044929	1319.43386890285	146.698280909285	198.702082983335
lmer_pop	CCRT	F	GI	GI3	1481.4225044929	1341.86886890285	146.001471447173	200.501255721544
lmer_pop	CCRT	F	GI	GI4	1841.0655044929	NA	146.001471447173	NA
lmer_pop	CCRT	F	GI	GI5	1351.1785044929	1664.27086890285	146.001471447173	206.080710106298
lmer_pop	CCRT	F	GI	GI7	1421.0425044929	1737.26886890285	146.201543978645	197.336892098047
lmer_pop	CCRT	F	GI	GI8	1460.1105044929	1660.83786890285	146.224734654365	199.156125707738
lmer_pop	CCRT	F	GI	GI9	1653.0135044929	1968.88686890285	146.224734654365	215.346721186825
lmer_pop	CCRT	F	KA	KA1	1377.92975795027	1812.63223080002	144.644463450541	199.46854788333
lmer_pop	CCRT	F	KA	KA10	1361.87675795027	1509.98923080002	144.845910401001	191.914041327581
lmer_pop	CCRT	F	KA	KA11	1376.59675795027	1505.66823080002	140.496403394873	191.130691085143
lmer_pop	CCRT	F	KA	KA13	1391.93875795027	1546.19623080002	140.496403394873	190.24880007423
lmer_pop	CCRT	F	KA	KA14	1340.33275795027	1590.56823080002	144.644463450541	199.721930079509
lmer_pop	CCRT	F	KA	KA15	1460.82475795027	1502.13123080002	140.259623751438	191.79299213914
lmer_pop	CCRT	F	KA	KA16	1424.81175795027	1743.78323080002	140.259623751438	191.130691085143
