Model	Trait	Sex	Population	Line	Value_re_Vieira	Value_re_Mensch	SE_re_Vieira	SE_re_Mensch
lmer_pop	CCRT	F	AK	AK1	144.783	198.392	125.598	172.095
lmer_pop	CCRT	F	AK	AK10	-127.653	-271.733	125.886	171.96
lmer_pop	CCRT	F	AK	AK11	-38.92	-77.322	125.338	170.502
lmer_pop	CCRT	F	AK	AK12	-157.529	-138.636	125.886	170.502
lmer_pop	CCRT	F	AK	AK13	-103.555	-80.179	130.295	171.78
lmer_pop	CCRT	F	AK	AK14	177.076	-52.327	125.338	180.264
lmer_pop	CCRT	F	AK	AK15	156.987	-75.139	135.76	171.78
lmer_pop	CCRT	F	AK	AK16	-160.962	-4.958	125.782	179.871
lmer_pop	CCRT	F	AK	AK17	-68.346	173.25	125.782	179.028
lmer_pop	CCRT	F	AK	AK18	-221.245	498.654	125.338	179.278
lmer_pop	CCRT	F	AK	AK19	-127.458	NA	135.606	NA
lmer_pop	CCRT	F	AK	AK2	-10.167	-247.391	125.886	172.095
lmer_pop	CCRT	F	AK	AK20	85.714	-14.904	126.149	180.761
lmer_pop	CCRT	F	AK	AK3	-29.629	-46.746	125.598	182.05
lmer_pop	CCRT	F	AK	AK4	-111.949	-367.659	125.782	172.305
lmer_pop	CCRT	F	AK	AK5	96.174	-33.843	125.598	182.05
lmer_pop	CCRT	F	AK	AK6	-63.058	-1.228	125.598	171.697
lmer_pop	CCRT	F	AK	AK7	351.811	521.072	125.338	170.199
lmer_pop	CCRT	F	AK	AK8	10.907	-146.829	125.886	171.221
lmer_pop	CCRT	F	AK	AK9	197.02	-45.028	125.338	172.305
lmer_pop	CCRT	F	GI	GI1	-56.306	29.304	125.338	170.199
lmer_pop	CCRT	F	GI	GI10	32.595	12.44	125.338	171.221
lmer_pop	CCRT	F	GI	GI11	100.844	-337.485	125.571	170.502
lmer_pop	CCRT	F	GI	GI12	-144.439	-1.248	126.149	170.199
lmer_pop	CCRT	F	GI	GI13	-150.133	34.386	125.338	170.502
lmer_pop	CCRT	F	GI	GI15	110.4	-144.557	125.782	172.305
lmer_pop	CCRT	F	GI	GI2	60.657	-179.603	126.149	171.78
lmer_pop	CCRT	F	GI	GI3	-45.486	-157.168	125.338	173.858
lmer_pop	CCRT	F	GI	GI4	314.157	NA	125.338	NA
lmer_pop	CCRT	F	GI	GI5	-175.73	165.234	125.338	180.264
lmer_pop	CCRT	F	GI	GI7	-105.866	238.232	125.571	170.199
lmer_pop	CCRT	F	GI	GI8	-66.798	161.801	125.598	172.305
lmer_pop	CCRT	F	GI	GI9	126.105	469.85	125.598	190.788
lmer_pop	CCRT	F	KA	KA1	-10.208	157.651	130.644	180.481
lmer_pop	CCRT	F	KA	KA10	-26.261	-144.992	130.867	172.095
lmer_pop	CCRT	F	KA	KA11	-11.541	-149.313	126.036	171.221
lmer_pop	CCRT	F	KA	KA13	3.801	-108.785	126.036	170.236
lmer_pop	CCRT	F	KA	KA14	-47.805	-64.413	130.644	180.761
lmer_pop	CCRT	F	KA	KA15	72.687	-152.85	125.772	171.96
lmer_pop	CCRT	F	KA	KA16	36.674	88.802	125.772	171.221
lmer_pop	CCRT	F	KA	KA17	64.863	-166.78	126.659	170.199
lmer_pop	CCRT	F	KA	KA18	104.761	-236.45	130.634	170.502
lmer_pop	CCRT	F	KA	KA2	-105.839	-73.196	126.011	171.221
lmer_pop	CCRT	F	KA	KA23	-30.992	-108.875	125.772	172.095
lmer_pop	CCRT	F	KA	KA24	107.246	-77.119	125.772	172.305
lmer_pop	CCRT	F	KA	KA25	55.003	280.286	125.772	190.619
lmer_pop	CCRT	F	KA	KA28	-65.389	8.112	125.772	172.298
lmer_pop	CCRT	F	KA	KA29	-127.259	304.222	126.023	171.78
lmer_pop	CCRT	F	KA	KA3	112.498	13.593	126.011	180.766
lmer_pop	CCRT	F	KA	KA5	-17.422	139.931	126.011	171.221
lmer_pop	CCRT	F	KA	KA6	-111.343	323.344	126.036	182.05
lmer_pop	CCRT	F	KA	KA7	-77.234	-53.371	126.316	171.78
lmer_pop	CCRT	F	KA	KA9	73.761	20.205	126.316	170.199
lmer_pop	CCRT	F	MA	MA12	12.526	-285.612	125.677	170.199
lmer_pop	CCRT	F	MA	MA13	40.142	211.346	125.677	180.761
lmer_pop	CCRT	F	MA	MA16	-11.374	-206.849	125.677	171.78
lmer_pop	CCRT	F	MA	MA18	24.396	-173.988	125.677	177.063
lmer_pop	CCRT	F	MA	MA19	64.217	-298.61	130.634	171.697
lmer_pop	CCRT	F	MA	MA20	232.4	-176.218	130.358	203.726
lmer_pop	CCRT	F	MA	MA21	-25.263	-102.257	125.677	190.673
lmer_pop	CCRT	F	MA	MA23	-70.965	-71.395	125.677	171.221
lmer_pop	CCRT	F	MA	MA26	23.669	64.15	125.677	170.502
lmer_pop	CCRT	F	MA	MA27	-60.156	-164.559	126.149	170.199
lmer_pop	CCRT	F	MA	MA28	-41.584	110.113	126.149	177.063
lmer_pop	CCRT	F	MA	MA3	34.625	-0.251	126.023	172.305
lmer_pop	CCRT	F	MA	MA30	-42.408	320.008	126.023	170.502
lmer_pop	CCRT	F	MA	MA31	-65.986	76.495	126.023	170.199
lmer_pop	CCRT	F	MA	MA32	-10.675	-203.467	126.023	170.502
lmer_pop	CCRT	F	MA	MA33	98.494	-25.498	126.023	172.095
lmer_pop	CCRT	F	MA	MA5	-63.159	-96.47	126.023	180.592
lmer_pop	CCRT	F	MA	MA6	18.153	469.064	126.023	179.278
lmer_pop	CCRT	F	MA	MA7	-121.523	429.87	126.149	172.298
lmer_pop	CCRT	F	MA	MA9	-35.528	124.127	126.149	171.96
lmer_pop	CCRT	F	MU	MU1	-227.472	-372.287	125.571	171.221
lmer_pop	CCRT	F	MU	MU10	-60.966	266.762	125.482	171.697
lmer_pop	CCRT	F	MU	MU11	7.83	138.321	125.482	172.298
lmer_pop	CCRT	F	MU	MU12	-71.947	-307.003	125.482	171.697
lmer_pop	CCRT	F	MU	MU13	34.799	-206.825	125.482	171.221
lmer_pop	CCRT	F	MU	MU14	74.914	149.364	126.149	170.199
lmer_pop	CCRT	F	MU	MU15	40.936	-225.27	125.482	171.96
lmer_pop	CCRT	F	MU	MU16	-28.845	7.085	126.149	172.298
lmer_pop	CCRT	F	MU	MU17	-104.262	103.947	126.149	170.502
lmer_pop	CCRT	F	MU	MU18	-124.448	238.329	126.149	171.221
lmer_pop	CCRT	F	MU	MU19	94.228	-11.86	125.482	171.221
lmer_pop	CCRT	F	MU	MU2	-26.656	-176.626	125.571	172.305
lmer_pop	CCRT	F	MU	MU20	-168.843	198.205	125.482	171.78
lmer_pop	CCRT	F	MU	MU3	-91.576	411.913	125.571	190.788
lmer_pop	CCRT	F	MU	MU4	56.189	95.023	125.571	170.502
lmer_pop	CCRT	F	MU	MU5	-58.874	-32.681	125.571	180.761
lmer_pop	CCRT	F	MU	MU6	115.707	-55.216	125.482	170.502
lmer_pop	CCRT	F	MU	MU7	137.185	53.75	125.482	219.925
lmer_pop	CCRT	F	MU	MU8	2.493	50.57	125.571	170.199
lmer_pop	CCRT	F	MU	MU9	399.61	-325.501	125.482	170.199
lmer_pop	CCRT	F	RE	RE10	69.17	-15.572	125.772	180.333
lmer_pop	CCRT	F	RE	RE11	200.41	-20.907	125.886	171.221
lmer_pop	CCRT	F	RE	RE12	-11.847	108.212	126.149	171.78
