Trait	Population	Line	Sex	Value	SE	LLM	ULM	N_lab
CSM	YE	YE11	F	1.32772958444598	0.0739616445891733	1.18276742481385	1.47269174407811	2
CSM	YE	YE13	F	1.22597560551864	0.168634077039148	0.895458887955762	1.55649232308153	3
CSM	YE	YE14	F	0.982296029687199	0.133507066438764	0.720626987785625	1.24396507158877	3
CSM	YE	YE15	F	1.33010834216484	0.0683226915926954	1.19619832731632	1.46401835701336	2
CSM	YE	YE19	F	1.26777436066441	0.0689294529056572	1.13267511549527	1.40287360583355	3
CSM	YE	YE20	F	1.23301323473215	0.125184516475078	0.987656091018942	1.47837037844537	3
CSM	YE	YE21	F	1.11476913232396	0.151146345085079	0.818527739562345	1.41101052508558	3
CSM	YE	YE22	F	1.23953785488593	0.154436675437309	0.936847533136701	1.54222817663515	3
CSM	YE	YE23	F	1.19056119946412	0.0683226915926954	1.0566511846156	1.32447121431264	2
CSM	YE	YE24	F	1.13246887361402	0.0730346991778019	0.989323493603812	1.27561425362423	2
CSM	YE	YE26	F	1.1925700114953	0.136410872983315	0.925209613348334	1.45993040964226	3
CSM	YE	YE27	F	1.07166994265371	0.165016856903426	0.748242846280991	1.39509703902642	3
CSM	YE	YE33	F	1.1404775279204	0.152142820640467	0.842283078958747	1.43867197688205	3
CSM	YE	YE40	F	1.11653767015036	0.0689074864779366	0.981481478388419	1.25159386191229	3
CSM	YE	YE41	F	1.43796627403664	0.0710049722291382	1.29879908574427	1.57713346232902	2
CSM	YE	YE48	F	1.09467203611102	0.148944458790363	0.802746261185096	1.38659781103694	3
CSM	YE	YE49	F	1.159453544454	0.237093430109121	0.694758960469054	1.62414812843894	3
CSM	YE	YE51	F	1.22229472747252	0.0674971731690339	1.09000269900295	1.35458675594209	3
CSM	YE	YE69	F	1.38733961982872	0.0736442088662164	1.24299962278099	1.53167961687645	2
CSM	YE	YE80	F	1.18935065257927	0.125173784564935	0.94401454302342	1.43468676213511	3
CSM	RE	RE1	F	1.0422328773047	0.225708045982496	0.599853236158095	1.4846125184513	2
CSM	RE	RE10	F	1.07448814739854	0.198558918605222	0.685319818123086	1.463656476674	3
CSM	RE	RE11	F	1.13577240955004	0.122139370672769	0.896383641937026	1.37516117716305	3
CSM	RE	RE12	F	1.17961902417261	0.116215885198248	0.951840074752605	1.40739797359262	3
CSM	RE	RE13	F	1.18397343729858	0.184090157289625	0.823163359102599	1.54478351549456	3
CSM	RE	RE15	F	1.20575881670998	0.184948044753408	0.843267309982203	1.56825032343776	3
CSM	RE	RE16	F	1.19333975943561	0.187057103330924	0.82671457385461	1.55996494501661	3
CSM	RE	RE17	F	1.03341017198943	0.0853421256802258	0.866142679292095	1.20067766468676	3
CSM	RE	RE18	F	1.31872530516574	0.0747613868315603	1.17219567954162	1.46525493078987	2
CSM	RE	RE2	F	1.14294590454983	0.156578422236791	0.836057836209614	1.44983397289004	3
CSM	RE	RE3	F	1.16805984343333	0.0703338941744861	1.03020794395889	1.30591174290777	3
CSM	RE	RE4	F	1.2181426132609	0.0753570610823468	1.07044548755871	1.36583973896308	2
CSM	RE	RE5	F	1.16929316210319	0.0703248162105244	1.03145905511116	1.30712726909521	2
CSM	RE	RE6	F	1.01170284092772	0.0705958367533928	0.873337543432603	1.15006813842284	3
CSM	RE	RE7	F	1.13932571439971	0.0669103266800441	1.00818388391301	1.2704675448864	3
CSM	RE	RE8	F	1.20323324982922	0.0730724634427441	1.06001385321983	1.34645264643862	2
