Model	Trait	Lab	Sex	Population	Line	Estimate	SE
lmer_pop	CSM	Gonzalez	F	AK	AK1	-0.186	0.086
lmer_pop	CSM	Gonzalez	F	AK	AK10	-0.05	0.087
lmer_pop	CSM	Gonzalez	F	AK	AK11	0.165	0.086
lmer_pop	CSM	Gonzalez	F	AK	AK12	0.004	0.072
lmer_pop	CSM	Gonzalez	F	AK	AK13	0.078	0.079
lmer_pop	CSM	Gonzalez	F	AK	AK14	0.081	0.072
lmer_pop	CSM	Gonzalez	F	AK	AK15	-0.05	0.087
lmer_pop	CSM	Gonzalez	F	AK	AK16	0.051	0.086
lmer_pop	CSM	Gonzalez	F	AK	AK17	-0.024	0.06
lmer_pop	CSM	Gonzalez	F	AK	AK18	-0.249	0.087
lmer_pop	CSM	Gonzalez	F	AK	AK2	-0.098	0.086
lmer_pop	CSM	Gonzalez	F	AK	AK20	0.141	0.086
lmer_pop	CSM	Gonzalez	F	AK	AK21	0.114	0.086
lmer_pop	CSM	Gonzalez	F	AK	AK3	0.026	0.079
lmer_pop	CSM	Gonzalez	F	AK	AK4	0.058	0.086
lmer_pop	CSM	Gonzalez	F	AK	AK5	-0.031	0.086
lmer_pop	CSM	Gonzalez	F	AK	AK6	-0.105	0.087
lmer_pop	CSM	Gonzalez	F	AK	AK7	0.082	0.072
lmer_pop	CSM	Gonzalez	F	AK	AK8	0.111	0.086
lmer_pop	CSM	Gonzalez	F	AK	AK9	-0.118	0.086
lmer_pop	CSM	Gonzalez	F	GI	GI1	-0.168	0.087
lmer_pop	CSM	Gonzalez	F	GI	GI10	-0.118	0.087
lmer_pop	CSM	Gonzalez	F	GI	GI11	0.054	0.087
lmer_pop	CSM	Gonzalez	F	GI	GI12	0.186	0.086
lmer_pop	CSM	Gonzalez	F	GI	GI13	0.11	0.086
lmer_pop	CSM	Gonzalez	F	GI	GI14	0.105	0.079
lmer_pop	CSM	Gonzalez	F	GI	GI15	0.184	0.087
lmer_pop	CSM	Gonzalez	F	GI	GI2	0.13	0.087
lmer_pop	CSM	Gonzalez	F	GI	GI3	-0.141	0.086
lmer_pop	CSM	Gonzalez	F	GI	GI4	-0.108	0.086
lmer_pop	CSM	Gonzalez	F	GI	GI5	0.17	0.087
lmer_pop	CSM	Gonzalez	F	GI	GI6	-0.336	0.086
lmer_pop	CSM	Gonzalez	F	GI	GI7	-0.109	0.086
lmer_pop	CSM	Gonzalez	F	GI	GI8	-0.026	0.086
lmer_pop	CSM	Gonzalez	F	GI	GI9	0.067	0.087
lmer_pop	CSM	Gonzalez	F	KA	KA1	0.046	0.073
lmer_pop	CSM	Gonzalez	F	KA	KA10	-0.256	0.086
lmer_pop	CSM	Gonzalez	F	KA	KA11	-0.013	0.087
lmer_pop	CSM	Gonzalez	F	KA	KA13	-0.104	0.072
lmer_pop	CSM	Gonzalez	F	KA	KA14	0.161	0.086
lmer_pop	CSM	Gonzalez	F	KA	KA15	-0.002	0.086
lmer_pop	CSM	Gonzalez	F	KA	KA16	-0.16	0.086
lmer_pop	CSM	Gonzalez	F	KA	KA17	0.022	0.072
lmer_pop	CSM	Gonzalez	F	KA	KA18	0.068	0.086
lmer_pop	CSM	Gonzalez	F	KA	KA2	-0.117	0.086
lmer_pop	CSM	Gonzalez	F	KA	KA3	0.09	0.072
lmer_pop	CSM	Gonzalez	F	KA	KA5	0.024	0.087
lmer_pop	CSM	Gonzalez	F	KA	KA6	-0.045	0.087
lmer_pop	CSM	Gonzalez	F	KA	KA7	0.16	0.072
lmer_pop	CSM	Gonzalez	F	KA	KA9	0.126	0.087
lmer_pop	CSM	Gonzalez	F	MA	MA12	0.141	0.087
lmer_pop	CSM	Gonzalez	F	MA	MA13	-0.162	0.086
lmer_pop	CSM	Gonzalez	F	MA	MA16	0.151	0.086
lmer_pop	CSM	Gonzalez	F	MA	MA18	0.101	0.087
lmer_pop	CSM	Gonzalez	F	MA	MA19	0.144	0.079
lmer_pop	CSM	Gonzalez	F	MA	MA20	-0.089	0.088
lmer_pop	CSM	Gonzalez	F	MA	MA21	0.164	0.087
lmer_pop	CSM	Gonzalez	F	MA	MA23	0.006	0.087
lmer_pop	CSM	Gonzalez	F	MA	MA26	-0.175	0.087
lmer_pop	CSM	Gonzalez	F	MA	MA27	0.042	0.072
lmer_pop	CSM	Gonzalez	F	MA	MA28	0.046	0.086
lmer_pop	CSM	Gonzalez	F	MA	MA3	-0.002	0.086
lmer_pop	CSM	Gonzalez	F	MA	MA30	0.162	0.087
lmer_pop	CSM	Gonzalez	F	MA	MA31	-0.029	0.087
lmer_pop	CSM	Gonzalez	F	MA	MA32	-0.041	0.087
lmer_pop	CSM	Gonzalez	F	MA	MA33	-0.059	0.086
lmer_pop	CSM	Gonzalez	F	MA	MA5	-0.174	0.087
lmer_pop	CSM	Gonzalez	F	MA	MA6	-0.041	0.087
lmer_pop	CSM	Gonzalez	F	MA	MA7	-0.05	0.086
lmer_pop	CSM	Gonzalez	F	MA	MA9	-0.132	0.086
lmer_pop	CSM	Gonzalez	F	MU	MU1	-0.064	0.087
lmer_pop	CSM	Gonzalez	F	MU	MU10	0.005	0.086
lmer_pop	CSM	Gonzalez	F	MU	MU11	0.188	0.086
lmer_pop	CSM	Gonzalez	F	MU	MU12	-0.071	0.086
lmer_pop	CSM	Gonzalez	F	MU	MU13	-0.133	0.098
lmer_pop	CSM	Gonzalez	F	MU	MU14	0.065	0.086
lmer_pop	CSM	Gonzalez	F	MU	MU15	0.059	0.087
lmer_pop	CSM	Gonzalez	F	MU	MU16	-0.099	0.079
lmer_pop	CSM	Gonzalez	F	MU	MU17	0.15	0.079
lmer_pop	CSM	Gonzalez	F	MU	MU18	0.005	0.086
lmer_pop	CSM	Gonzalez	F	MU	MU19	0.012	0.086
lmer_pop	CSM	Gonzalez	F	MU	MU2	-0.229	0.087
lmer_pop	CSM	Gonzalez	F	MU	MU20	0.088	0.072
lmer_pop	CSM	Gonzalez	F	MU	MU3	0.197	0.098
lmer_pop	CSM	Gonzalez	F	MU	MU4	-0.134	0.087
lmer_pop	CSM	Gonzalez	F	MU	MU5	-0.06	0.087
lmer_pop	CSM	Gonzalez	F	MU	MU6	0.088	0.087
lmer_pop	CSM	Gonzalez	F	MU	MU7	0.063	0.086
lmer_pop	CSM	Gonzalez	F	MU	MU8	0.163	0.086
lmer_pop	CSM	Gonzalez	F	MU	MU9	-0.296	0.079
lmer_pop	CSM	Gonzalez	F	RE	RE1	0.021	0.08
lmer_pop	CSM	Gonzalez	F	RE	RE10	0.077	0.072
lmer_pop	CSM	Gonzalez	F	RE	RE11	0.019	0.086
lmer_pop	CSM	Gonzalez	F	RE	RE12	-0.008	0.087
lmer_pop	CSM	Gonzalez	F	RE	RE13	0.063	0.086
lmer_pop	CSM	Gonzalez	F	RE	RE15	0.116	0.087
lmer_pop	CSM	Gonzalez	F	RE	RE16	0.245	0.087
lmer_pop	CSM	Gonzalez	F	RE	RE17	-0.201	0.087
lmer_pop	CSM	Gonzalez	F	RE	RE18	0.08	0.086
lmer_pop	CSM	Gonzalez	F	RE	RE2	0.063	0.086
lmer_pop	CSM	Gonzalez	F	RE	RE3	0.031	0.086
lmer_pop	CSM	Gonzalez	F	RE	RE4	-0.061	0.087
lmer_pop	CSM	Gonzalez	F	RE	RE5	-0.086	0.072
lmer_pop	CSM	Gonzalez	F	RE	RE6	-0.216	0.086
lmer_pop	CSM	Gonzalez	F	RE	RE7	-0.083	0.072
lmer_pop	CSM	Gonzalez	F	RE	RE8	-0.059	0.08
lmer_pop	CSM	Gonzalez	F	UM	UM13	0.088	0.06
lmer_pop	CSM	Gonzalez	F	UM	UM17	0.006	0.087
lmer_pop	CSM	Gonzalez	F	UM	UM18	-0.216	0.086
lmer_pop	CSM	Gonzalez	F	UM	UM2	0.03	0.098
lmer_pop	CSM	Gonzalez	F	UM	UM20	-0.108	0.086
lmer_pop	CSM	Gonzalez	F	UM	UM21	-0.141	0.086
lmer_pop	CSM	Gonzalez	F	UM	UM22	0.127	0.087
lmer_pop	CSM	Gonzalez	F	UM	UM23	-0.212	0.086
lmer_pop	CSM	Gonzalez	F	UM	UM26	0.164	0.086
lmer_pop	CSM	Gonzalez	F	UM	UM29	0.083	0.072
lmer_pop	CSM	Gonzalez	F	UM	UM4	-0.163	0.086
lmer_pop	CSM	Gonzalez	F	UM	UM5	0.161	0.087
lmer_pop	CSM	Gonzalez	F	UM	UM7	0.058	0.087
lmer_pop	CSM	Gonzalez	F	UM	UM9	0.125	0.086
lmer_pop	CSM	Gonzalez	F	VA	VA1	0.005	0.086
lmer_pop	CSM	Gonzalez	F	VA	VA11	-0.07	0.086
lmer_pop	CSM	Gonzalez	F	VA	VA15	0.021	0.086
lmer_pop	CSM	Gonzalez	F	VA	VA18	0.192	0.086
lmer_pop	CSM	Gonzalez	F	VA	VA22	0.158	0.072
lmer_pop	CSM	Gonzalez	F	VA	VA26	0.055	0.086
lmer_pop	CSM	Gonzalez	F	VA	VA30	-0.011	0.087
lmer_pop	CSM	Gonzalez	F	VA	VA34	0.196	0.086
lmer_pop	CSM	Gonzalez	F	VA	VA35	0.051	0.086
lmer_pop	CSM	Gonzalez	F	VA	VA44	0.088	0.086
lmer_pop	CSM	Gonzalez	F	VA	VA46	-0.288	0.086
lmer_pop	CSM	Gonzalez	F	VA	VA47	-0.056	0.087
lmer_pop	CSM	Gonzalez	F	VA	VA48	0.001	0.087
lmer_pop	CSM	Gonzalez	F	VA	VA55	0.056	0.086
lmer_pop	CSM	Gonzalez	F	VA	VA57	-0.215	0.086
lmer_pop	CSM	Gonzalez	F	VA	VA6	0.065	0.087
lmer_pop	CSM	Gonzalez	F	VA	VA66	-0.11	0.06
lmer_pop	CSM	Gonzalez	F	VA	VA67	-0.038	0.072
lmer_pop	CSM	Gonzalez	F	VA	VA71	-0.074	0.086
lmer_pop	CSM	Gonzalez	F	VA	VA9	-0.024	0.086
lmer_pop	CSM	Gonzalez	F	YE	YE11	0.028	0.088
lmer_pop	CSM	Gonzalez	F	YE	YE13	0.045	0.086
lmer_pop	CSM	Gonzalez	F	YE	YE14	-0.054	0.087
lmer_pop	CSM	Gonzalez	F	YE	YE15	0.117	0.072
lmer_pop	CSM	Gonzalez	F	YE	YE19	0.005	0.086
lmer_pop	CSM	Gonzalez	F	YE	YE20	-0.013	0.079
lmer_pop	CSM	Gonzalez	F	YE	YE21	-0.257	0.072
lmer_pop	CSM	Gonzalez	F	YE	YE22	0.108	0.087
lmer_pop	CSM	Gonzalez	F	YE	YE23	-0.073	0.072
lmer_pop	CSM	Gonzalez	F	YE	YE24	-0.067	0.086
lmer_pop	CSM	Gonzalez	F	YE	YE26	0.079	0.086
lmer_pop	CSM	Gonzalez	F	YE	YE27	-0.059	0.072
lmer_pop	CSM	Gonzalez	F	YE	YE33	-0.118	0.087
lmer_pop	CSM	Gonzalez	F	YE	YE40	-0.091	0.086
lmer_pop	CSM	Gonzalez	F	YE	YE41	0.185	0.079
lmer_pop	CSM	Gonzalez	F	YE	YE48	0.028	0.086
lmer_pop	CSM	Gonzalez	F	YE	YE49	0.002	0.086
lmer_pop	CSM	Gonzalez	F	YE	YE51	-0.048	0.079
lmer_pop	CSM	Gonzalez	F	YE	YE69	0.111	0.087
lmer_pop	CSM	Gonzalez	F	YE	YE80	0.073	0.087
lmer_pop	CSM	Kozeretska	F	AK	AK1	-0.015	0.141
lmer_pop	CSM	Kozeretska	F	AK	AK10	-0.038	0.142
lmer_pop	CSM	Kozeretska	F	AK	AK11	0.031	0.141
lmer_pop	CSM	Kozeretska	F	AK	AK12	0.039	0.142
lmer_pop	CSM	Kozeretska	F	AK	AK13	0.105	0.141
lmer_pop	CSM	Kozeretska	F	AK	AK14	0.043	0.141
lmer_pop	CSM	Kozeretska	F	AK	AK15	0.078	0.154
lmer_pop	CSM	Kozeretska	F	AK	AK16	-0.086	0.132
lmer_pop	CSM	Kozeretska	F	AK	AK17	-0.078	0.141
lmer_pop	CSM	Kozeretska	F	AK	AK2	0.111	0.154
lmer_pop	CSM	Kozeretska	F	AK	AK20	-0.042	0.141
lmer_pop	CSM	Kozeretska	F	AK	AK21	0.033	0.154
lmer_pop	CSM	Kozeretska	F	AK	AK3	-0.067	0.141
lmer_pop	CSM	Kozeretska	F	AK	AK4	0.039	0.141
lmer_pop	CSM	Kozeretska	F	AK	AK5	0.025	0.141
lmer_pop	CSM	Kozeretska	F	AK	AK6	0.078	0.154
lmer_pop	CSM	Kozeretska	F	AK	AK7	-0.194	0.141
lmer_pop	CSM	Kozeretska	F	AK	AK8	-0.068	0.141
lmer_pop	CSM	Kozeretska	F	AK	AK9	0.004	0.154
lmer_pop	CSM	Kozeretska	F	GI	GI1	-0.091	0.141
lmer_pop	CSM	Kozeretska	F	GI	GI11	0.024	0.141
lmer_pop	CSM	Kozeretska	F	GI	GI14	0.032	0.141
lmer_pop	CSM	Kozeretska	F	GI	GI15	0.038	0.154
lmer_pop	CSM	Kozeretska	F	GI	GI2	0.077	0.141
lmer_pop	CSM	Kozeretska	F	GI	GI3	0.08	0.141
lmer_pop	CSM	Kozeretska	F	GI	GI6	-0.004	0.141
lmer_pop	CSM	Kozeretska	F	GI	GI8	-0.079	0.142
lmer_pop	CSM	Kozeretska	F	GI	GI9	-0.078	0.154
lmer_pop	CSM	Kozeretska	F	KA	KA1	0.059	0.141
lmer_pop	CSM	Kozeretska	F	KA	KA10	0.067	0.141
lmer_pop	CSM	Kozeretska	F	KA	KA13	0.044	0.141
lmer_pop	CSM	Kozeretska	F	KA	KA14	-0.115	0.141
lmer_pop	CSM	Kozeretska	F	KA	KA15	0.014	0.142
lmer_pop	CSM	Kozeretska	F	KA	KA16	-0.092	0.141
lmer_pop	CSM	Kozeretska	F	KA	KA17	-0.14	0.141
lmer_pop	CSM	Kozeretska	F	KA	KA18	0.134	0.154
lmer_pop	CSM	Kozeretska	F	KA	KA2	-0.078	0.142
lmer_pop	CSM	Kozeretska	F	KA	KA3	-0.094	0.142
lmer_pop	CSM	Kozeretska	F	KA	KA5	0.065	0.142
lmer_pop	CSM	Kozeretska	F	KA	KA7	0.134	0.141
lmer_pop	CSM	Kozeretska	F	MA	MA13	-0.022	0.154
lmer_pop	CSM	Kozeretska	F	MA	MA16	-0.142	0.141
lmer_pop	CSM	Kozeretska	F	MA	MA18	0.011	0.141
lmer_pop	CSM	Kozeretska	F	MA	MA19	0.055	0.142
lmer_pop	CSM	Kozeretska	F	MA	MA20	0.109	0.141
lmer_pop	CSM	Kozeretska	F	MA	MA21	-0.047	0.141
lmer_pop	CSM	Kozeretska	F	MA	MA27	-0.086	0.141
lmer_pop	CSM	Kozeretska	F	MA	MA28	0.037	0.154
lmer_pop	CSM	Kozeretska	F	MA	MA3	0.121	0.142
lmer_pop	CSM	Kozeretska	F	MA	MA30	-0.142	0.141
lmer_pop	CSM	Kozeretska	F	MA	MA31	0.063	0.131
lmer_pop	CSM	Kozeretska	F	MA	MA32	-0.06	0.141
lmer_pop	CSM	Kozeretska	F	MA	MA33	0.078	0.154
lmer_pop	CSM	Kozeretska	F	MA	MA5	-0.08	0.154
lmer_pop	CSM	Kozeretska	F	MA	MA6	-0.022	0.154
lmer_pop	CSM	Kozeretska	F	MA	MA7	0.104	0.141
lmer_pop	CSM	Kozeretska	F	MA	MA9	0.022	0.141
lmer_pop	CSM	Kozeretska	F	MU	MU1	0.022	0.142
lmer_pop	CSM	Kozeretska	F	MU	MU11	-0.075	0.141
lmer_pop	CSM	Kozeretska	F	MU	MU12	0.021	0.141
lmer_pop	CSM	Kozeretska	F	MU	MU13	0.028	0.142
lmer_pop	CSM	Kozeretska	F	MU	MU14	-0.187	0.141
lmer_pop	CSM	Kozeretska	F	MU	MU15	-0.13	0.141
lmer_pop	CSM	Kozeretska	F	MU	MU16	0.092	0.154
lmer_pop	CSM	Kozeretska	F	MU	MU17	0.282	0.141
lmer_pop	CSM	Kozeretska	F	MU	MU18	-0.148	0.141
lmer_pop	CSM	Kozeretska	F	MU	MU2	-0.037	0.141
lmer_pop	CSM	Kozeretska	F	MU	MU20	0.092	0.154
lmer_pop	CSM	Kozeretska	F	MU	MU3	0.022	0.141
lmer_pop	CSM	Kozeretska	F	MU	MU5	-0.15	0.141
lmer_pop	CSM	Kozeretska	F	MU	MU6	0.03	0.141
lmer_pop	CSM	Kozeretska	F	MU	MU7	0.03	0.141
lmer_pop	CSM	Kozeretska	F	MU	MU8	0.018	0.141
lmer_pop	CSM	Kozeretska	F	MU	MU9	0.09	0.141
lmer_pop	CSM	Kozeretska	F	RE	RE1	0	0.141
lmer_pop	CSM	Kozeretska	F	RE	RE10	-0.175	0.141
lmer_pop	CSM	Kozeretska	F	RE	RE11	-0.017	0.141
lmer_pop	CSM	Kozeretska	F	RE	RE12	0.058	0.142
lmer_pop	CSM	Kozeretska	F	RE	RE13	-0.041	0.154
lmer_pop	CSM	Kozeretska	F	RE	RE15	-0.019	0.142
lmer_pop	CSM	Kozeretska	F	RE	RE16	-0.008	0.141
lmer_pop	CSM	Kozeretska	F	RE	RE17	-0.028	0.142
lmer_pop	CSM	Kozeretska	F	RE	RE2	-0.037	0.131
lmer_pop	CSM	Kozeretska	F	RE	RE3	0.132	0.131
lmer_pop	CSM	Kozeretska	F	RE	RE6	0.09	0.141
lmer_pop	CSM	Kozeretska	F	RE	RE7	0.044	0.154
lmer_pop	CSM	Kozeretska	F	UM	UM13	0.052	0.141
lmer_pop	CSM	Kozeretska	F	UM	UM18	0.038	0.141
lmer_pop	CSM	Kozeretska	F	UM	UM2	-0.149	0.141
lmer_pop	CSM	Kozeretska	F	UM	UM20	-0.008	0.141
lmer_pop	CSM	Kozeretska	F	UM	UM21	-0.053	0.141
lmer_pop	CSM	Kozeretska	F	UM	UM23	-0.008	0.141
lmer_pop	CSM	Kozeretska	F	UM	UM29	0.078	0.141
lmer_pop	CSM	Kozeretska	F	UM	UM4	-0.074	0.141
lmer_pop	CSM	Kozeretska	F	UM	UM5	0.097	0.141
lmer_pop	CSM	Kozeretska	F	UM	UM7	-0.004	0.132
lmer_pop	CSM	Kozeretska	F	UM	UM9	0.031	0.154
lmer_pop	CSM	Kozeretska	F	VA	VA1	0.011	0.141
lmer_pop	CSM	Kozeretska	F	VA	VA11	0.114	0.141
lmer_pop	CSM	Kozeretska	F	VA	VA15	-0.096	0.141
lmer_pop	CSM	Kozeretska	F	VA	VA18	-0.012	0.141
lmer_pop	CSM	Kozeretska	F	VA	VA22	-0.075	0.141
lmer_pop	CSM	Kozeretska	F	VA	VA26	0.114	0.141
lmer_pop	CSM	Kozeretska	F	VA	VA30	0.067	0.141
lmer_pop	CSM	Kozeretska	F	VA	VA34	-0.187	0.141
lmer_pop	CSM	Kozeretska	F	VA	VA35	-0.077	0.141
lmer_pop	CSM	Kozeretska	F	VA	VA44	-0.023	0.141
lmer_pop	CSM	Kozeretska	F	VA	VA46	-0.089	0.131
lmer_pop	CSM	Kozeretska	F	VA	VA48	0.171	0.141
lmer_pop	CSM	Kozeretska	F	VA	VA55	-0.029	0.141
lmer_pop	CSM	Kozeretska	F	VA	VA57	0.029	0.141
lmer_pop	CSM	Kozeretska	F	VA	VA6	0.081	0.141
lmer_pop	CSM	Kozeretska	F	VA	VA66	-0.078	0.142
lmer_pop	CSM	Kozeretska	F	VA	VA67	0.282	0.141
lmer_pop	CSM	Kozeretska	F	VA	VA71	-0.077	0.141
lmer_pop	CSM	Kozeretska	F	VA	VA9	-0.124	0.141
lmer_pop	CSM	Kozeretska	F	YE	YE13	-0.007	0.142
lmer_pop	CSM	Kozeretska	F	YE	YE14	-0.04	0.142
lmer_pop	CSM	Kozeretska	F	YE	YE19	0.128	0.141
