Model	Trait	Sex	Population	Line	Estimate_Gonzalez	Estimate_Kozeretska	Estimate_Vieira	SE_Gonzalez	SE_Kozeretska	SE_Vieira
lmer_pop	CSM	F	AK	AK1	-0.186	-0.015	0.135	0.086	0.141	0.093
lmer_pop	CSM	F	AK	AK10	-0.05	-0.038	-0.021	0.087	0.142	0.093
lmer_pop	CSM	F	AK	AK11	0.165	0.031	0.089	0.086	0.141	0.093
lmer_pop	CSM	F	AK	AK12	0.004	0.039	0.115	0.072	0.142	0.093
lmer_pop	CSM	F	AK	AK13	0.078	0.105	-0.369	0.079	0.141	0.093
lmer_pop	CSM	F	AK	AK14	0.081	0.043	0.234	0.072	0.141	0.092
lmer_pop	CSM	F	AK	AK15	-0.05	0.078	-0.158	0.087	0.154	0.092
lmer_pop	CSM	F	AK	AK16	0.051	-0.086	0.04	0.086	0.132	0.093
lmer_pop	CSM	F	AK	AK17	-0.024	-0.078	-0.125	0.06	0.141	0.093
lmer_pop	CSM	F	AK	AK18	-0.249	NA	-0.158	0.087	NA	0.092
lmer_pop	CSM	F	AK	AK2	-0.098	0.111	-0.004	0.086	0.154	0.092
lmer_pop	CSM	F	AK	AK20	0.141	-0.042	0.129	0.086	0.141	0.093
lmer_pop	CSM	F	AK	AK21	0.114	0.033	NA	0.086	0.154	NA
lmer_pop	CSM	F	AK	AK3	0.026	-0.067	0.173	0.079	0.141	0.092
lmer_pop	CSM	F	AK	AK4	0.058	0.039	-0.133	0.086	0.141	0.093
lmer_pop	CSM	F	AK	AK5	-0.031	0.025	-0.127	0.086	0.141	0.093
lmer_pop	CSM	F	AK	AK6	-0.105	0.078	0.073	0.087	0.154	0.093
lmer_pop	CSM	F	AK	AK7	0.082	-0.194	0.102	0.072	0.141	0.093
lmer_pop	CSM	F	AK	AK8	0.111	-0.068	0.044	0.086	0.141	0.093
lmer_pop	CSM	F	AK	AK9	-0.118	0.004	-0.215	0.086	0.154	0.092
lmer_pop	CSM	F	GI	GI1	-0.168	-0.091	0.034	0.087	0.141	0.093
lmer_pop	CSM	F	GI	GI10	-0.118	NA	-0.24	0.087	NA	0.093
lmer_pop	CSM	F	GI	GI11	0.054	0.024	0.096	0.087	0.141	0.093
lmer_pop	CSM	F	GI	GI12	0.186	NA	-0.187	0.086	NA	0.093
lmer_pop	CSM	F	GI	GI13	0.11	NA	-0.013	0.086	NA	0.093
lmer_pop	CSM	F	GI	GI14	0.105	0.032	NA	0.079	0.141	NA
lmer_pop	CSM	F	GI	GI15	0.184	0.038	0.234	0.087	0.154	0.093
lmer_pop	CSM	F	GI	GI2	0.13	0.077	0.143	0.087	0.141	0.092
lmer_pop	CSM	F	GI	GI3	-0.141	0.08	0.028	0.086	0.141	0.092
lmer_pop	CSM	F	GI	GI4	-0.108	NA	-0.007	0.086	NA	0.093
lmer_pop	CSM	F	GI	GI5	0.17	NA	0.031	0.087	NA	0.093
lmer_pop	CSM	F	GI	GI6	-0.336	-0.004	NA	0.086	0.141	NA
lmer_pop	CSM	F	GI	GI7	-0.109	NA	-0.21	0.086	NA	0.092
lmer_pop	CSM	F	GI	GI8	-0.026	-0.079	-0.045	0.086	0.142	0.093
lmer_pop	CSM	F	GI	GI9	0.067	-0.078	0.135	0.087	0.154	0.093
lmer_pop	CSM	F	KA	KA1	0.046	0.059	0.04	0.073	0.141	0.092
lmer_pop	CSM	F	KA	KA10	-0.256	0.067	-0.133	0.086	0.141	0.093
lmer_pop	CSM	F	KA	KA11	-0.013	NA	0.111	0.087	NA	0.093
lmer_pop	CSM	F	KA	KA13	-0.104	0.044	0.173	0.072	0.141	0.093
lmer_pop	CSM	F	KA	KA14	0.161	-0.115	-0.083	0.086	0.141	0.093
lmer_pop	CSM	F	KA	KA15	-0.002	0.014	-0.159	0.086	0.142	0.094
lmer_pop	CSM	F	KA	KA16	-0.16	-0.092	0.012	0.086	0.141	0.094
lmer_pop	CSM	F	KA	KA17	0.022	-0.14	-0.072	0.072	0.141	0.093
lmer_pop	CSM	F	KA	KA18	0.068	0.134	-0.044	0.086	0.154	0.093
lmer_pop	CSM	F	KA	KA2	-0.117	-0.078	0.039	0.086	0.142	0.092
lmer_pop	CSM	F	KA	KA3	0.09	-0.094	0.183	0.072	0.142	0.092
lmer_pop	CSM	F	KA	KA5	0.024	0.065	-0.145	0.087	0.142	0.092
lmer_pop	CSM	F	KA	KA6	-0.045	NA	-0.321	0.087	NA	0.093
lmer_pop	CSM	F	KA	KA7	0.16	0.134	0.19	0.072	0.141	0.093
lmer_pop	CSM	F	KA	KA9	0.126	NA	0.074	0.087	NA	0.093
lmer_pop	CSM	F	MA	MA12	0.141	NA	0.092	0.087	NA	0.093
lmer_pop	CSM	F	MA	MA13	-0.162	-0.022	0.155	0.086	0.154	0.093
lmer_pop	CSM	F	MA	MA16	0.151	-0.142	0.097	0.086	0.141	0.093
lmer_pop	CSM	F	MA	MA18	0.101	0.011	0.015	0.087	0.141	0.093
lmer_pop	CSM	F	MA	MA19	0.144	0.055	-0.047	0.079	0.142	0.093
lmer_pop	CSM	F	MA	MA20	-0.089	0.109	0.1	0.088	0.141	0.093
lmer_pop	CSM	F	MA	MA21	0.164	-0.047	0.076	0.087	0.141	0.093
lmer_pop	CSM	F	MA	MA23	0.006	NA	0.157	0.087	NA	0.093
lmer_pop	CSM	F	MA	MA26	-0.175	NA	-0.121	0.087	NA	0.093
lmer_pop	CSM	F	MA	MA27	0.042	-0.086	-0.024	0.072	0.141	0.093
lmer_pop	CSM	F	MA	MA28	0.046	0.037	0.097	0.086	0.154	0.093
lmer_pop	CSM	F	MA	MA3	-0.002	0.121	-0.088	0.086	0.142	0.093
lmer_pop	CSM	F	MA	MA30	0.162	-0.142	0.2	0.087	0.141	0.093
lmer_pop	CSM	F	MA	MA31	-0.029	0.063	0.144	0.087	0.131	0.093
lmer_pop	CSM	F	MA	MA32	-0.041	-0.06	0.2	0.087	0.141	0.093
lmer_pop	CSM	F	MA	MA33	-0.059	0.078	-0.115	0.086	0.154	0.093
lmer_pop	CSM	F	MA	MA5	-0.174	-0.08	-0.513	0.087	0.154	0.093
lmer_pop	CSM	F	MA	MA6	-0.041	-0.022	-0.116	0.087	0.154	0.093
lmer_pop	CSM	F	MA	MA7	-0.05	0.104	-0.208	0.086	0.141	0.094
lmer_pop	CSM	F	MA	MA9	-0.132	0.022	-0.101	0.086	0.141	0.094
lmer_pop	CSM	F	MU	MU1	-0.064	0.022	-0.01	0.087	0.142	0.093
lmer_pop	CSM	F	MU	MU10	0.005	NA	-0.148	0.086	NA	0.093
lmer_pop	CSM	F	MU	MU11	0.188	-0.075	0.018	0.086	0.141	0.092
lmer_pop	CSM	F	MU	MU12	-0.071	0.021	0.001	0.086	0.141	0.092
lmer_pop	CSM	F	MU	MU13	-0.133	0.028	-0.042	0.098	0.142	0.092
lmer_pop	CSM	F	MU	MU14	0.065	-0.187	-0.297	0.086	0.141	0.092
lmer_pop	CSM	F	MU	MU15	0.059	-0.13	0.156	0.087	0.141	0.092
lmer_pop	CSM	F	MU	MU16	-0.099	0.092	-0.007	0.079	0.154	0.093
lmer_pop	CSM	F	MU	MU17	0.15	0.282	0.158	0.079	0.141	0.092
lmer_pop	CSM	F	MU	MU18	0.005	-0.148	-0.126	0.086	0.141	0.092
lmer_pop	CSM	F	MU	MU19	0.012	NA	-0.027	0.086	NA	0.092
lmer_pop	CSM	F	MU	MU2	-0.229	-0.037	-0.081	0.087	0.141	0.093
lmer_pop	CSM	F	MU	MU20	0.088	0.092	0.086	0.072	0.154	0.092
lmer_pop	CSM	F	MU	MU3	0.197	0.022	0.152	0.098	0.141	0.093
lmer_pop	CSM	F	MU	MU4	-0.134	NA	-0.134	0.087	NA	0.092
lmer_pop	CSM	F	MU	MU5	-0.06	-0.15	0.209	0.087	0.141	0.093
lmer_pop	CSM	F	MU	MU6	0.088	0.03	0.146	0.087	0.141	0.093
lmer_pop	CSM	F	MU	MU7	0.063	0.03	0.092	0.086	0.141	0.092
lmer_pop	CSM	F	MU	MU8	0.163	0.018	0.035	0.086	0.141	0.092
lmer_pop	CSM	F	MU	MU9	-0.296	0.09	-0.183	0.079	0.141	0.092
lmer_pop	CSM	F	RE	RE1	0.021	0	NA	0.08	0.141	NA
lmer_pop	CSM	F	RE	RE10	0.077	-0.175	-0.026	0.072	0.141	0.092
lmer_pop	CSM	F	RE	RE11	0.019	-0.017	-0.003	0.086	0.141	0.092
lmer_pop	CSM	F	RE	RE12	-0.008	0.058	0.087	0.087	0.142	0.093
lmer_pop	CSM	F	RE	RE13	0.063	-0.041	0.169	0.086	0.154	0.092
lmer_pop	CSM	F	RE	RE15	0.116	-0.019	0.17	0.087	0.142	0.092
lmer_pop	CSM	F	RE	RE16	0.245	-0.008	0	0.087	0.141	0.092
lmer_pop	CSM	F	RE	RE17	-0.201	-0.028	-0.089	0.087	0.142	0.092
lmer_pop	CSM	F	RE	RE18	0.08	NA	0.101	0.086	NA	0.092
lmer_pop	CSM	F	RE	RE2	0.063	-0.037	0.043	0.086	0.131	0.093
lmer_pop	CSM	F	RE	RE3	0.031	0.132	-0.087	0.086	0.131	0.093
lmer_pop	CSM	F	RE	RE4	-0.061	NA	0.045	0.087	NA	0.093
lmer_pop	CSM	F	RE	RE5	-0.086	NA	-0.017	0.072	NA	0.093
lmer_pop	CSM	F	RE	RE6	-0.216	0.09	-0.178	0.086	0.141	0.093
lmer_pop	CSM	F	RE	RE7	-0.083	0.044	-0.013	0.072	0.154	0.093
lmer_pop	CSM	F	RE	RE8	-0.059	NA	0.018	0.08	NA	0.093
lmer_pop	CSM	F	UM	UM13	0.088	0.052	0.01	0.06	0.141	0.093
lmer_pop	CSM	F	UM	UM17	0.006	NA	0.129	0.087	NA	0.093
lmer_pop	CSM	F	UM	UM18	-0.216	0.038	-0.129	0.086	0.141	0.093
lmer_pop	CSM	F	UM	UM2	0.03	-0.149	0.015	0.098	0.141	0.092
lmer_pop	CSM	F	UM	UM20	-0.108	-0.008	-0.397	0.086	0.141	0.093
lmer_pop	CSM	F	UM	UM21	-0.141	-0.053	-0.235	0.086	0.141	0.093
lmer_pop	CSM	F	UM	UM22	0.127	NA	0.124	0.087	NA	0.093
lmer_pop	CSM	F	UM	UM23	-0.212	-0.008	0.083	0.086	0.141	0.093
lmer_pop	CSM	F	UM	UM26	0.164	NA	0.139	0.086	NA	0.093
lmer_pop	CSM	F	UM	UM29	0.083	0.078	-0.107	0.072	0.141	0.092
lmer_pop	CSM	F	UM	UM4	-0.163	-0.074	-0.117	0.086	0.141	0.092
lmer_pop	CSM	F	UM	UM5	0.161	0.097	-0.065	0.087	0.141	0.092
lmer_pop	CSM	F	UM	UM7	0.058	-0.004	-0.291	0.087	0.132	0.092
lmer_pop	CSM	F	UM	UM9	0.125	0.031	0.209	0.086	0.154	0.093
lmer_pop	CSM	F	VA	VA1	0.005	0.011	0.063	0.086	0.141	0.092
lmer_pop	CSM	F	VA	VA11	-0.07	0.114	0.068	0.086	0.141	0.092
lmer_pop	CSM	F	VA	VA15	0.021	-0.096	0.086	0.086	0.141	0.092
lmer_pop	CSM	F	VA	VA18	0.192	-0.012	0.144	0.086	0.141	0.092
lmer_pop	CSM	F	VA	VA22	0.158	-0.075	0.068	0.072	0.141	0.092
lmer_pop	CSM	F	VA	VA26	0.055	0.114	-0.099	0.086	0.141	0.092
lmer_pop	CSM	F	VA	VA30	-0.011	0.067	-0.222	0.087	0.141	0.092
lmer_pop	CSM	F	VA	VA34	0.196	-0.187	-0.015	0.086	0.141	0.092
lmer_pop	CSM	F	VA	VA35	0.051	-0.077	0.088	0.086	0.141	0.093
lmer_pop	CSM	F	VA	VA44	0.088	-0.023	0.011	0.086	0.141	0.092
lmer_pop	CSM	F	VA	VA46	-0.288	-0.089	-0.092	0.086	0.131	0.092
lmer_pop	CSM	F	VA	VA47	-0.056	NA	0.145	0.087	NA	0.093
