Model	Predictor	Trait	Lab	Sex	Population	Estimate	SE
lmer	pop	CSM	Gonzalez	F	AK	1.32326391726312	0.0540530379236886
lmer	pop	CSM	Gonzalez	F	GI	1.15116680537529	0.0595384073364142
lmer	pop	CSM	Gonzalez	F	KA	1.23515564411019	0.0585323498273632
lmer	pop	CSM	Gonzalez	F	MA	1.23606678307624	0.054209340605308
lmer	pop	CSM	Gonzalez	F	MU	1.28762321383996	0.054514140287524
lmer	pop	CSM	Gonzalez	F	RE	1.21306979960417	0.0571041480997818
lmer	pop	CSM	Gonzalez	F	UM	1.13022093467611	0.0603819879593455
lmer	pop	CSM	Gonzalez	F	VA	1.20543483157613	0.0545312749600601
lmer	pop	CSM	Gonzalez	F	YE	1.26155873375138	0.053642052576944
lmer	pop	CSM	Kozeretska	F	AK	0.884561754063472	0.146083993612122
lmer	pop	CSM	Kozeretska	F	GI	0.80701651924379	0.164216964589678
lmer	pop	CSM	Kozeretska	F	KA	0.75090202665576	0.153370110165883
lmer	pop	CSM	Kozeretska	F	MA	0.761953972884209	0.149066155025598
lmer	pop	CSM	Kozeretska	F	MU	0.813873035142654	0.147999345274477
lmer	pop	CSM	Kozeretska	F	RE	0.776673352002745	0.15343729044396
lmer	pop	CSM	Kozeretska	F	UM	0.696475643657906	0.156825275813565
lmer	pop	CSM	Kozeretska	F	VA	0.816488672929702	0.14594043007189
lmer	pop	CSM	Kozeretska	F	YE	0.815826055410267	0.153174299762664
lmer	pop	CSM	Vieira	F	AK	1.26857489731458	0.0497879199038661
lmer	pop	CSM	Vieira	F	GI	1.23291982579104	0.0607915282362148
lmer	pop	CSM	Vieira	F	KA	1.32685714968529	0.0508822319353603
lmer	pop	CSM	Vieira	F	MA	1.26647586591868	0.0511575031248272
lmer	pop	CSM	Vieira	F	MU	1.27353868651928	0.0521574153101291
lmer	pop	CSM	Vieira	F	RE	1.24604804257026	0.057948369914387
lmer	pop	CSM	Vieira	F	UM	1.15690483553297	0.0514730031599445
lmer	pop	CSM	Vieira	F	VA	1.39068693411788	0.0522793974630656
lmer	pop	CSM	Vieira	F	YE	1.28532151426356	0.0523684676384103
lmer	pop	CSM	Gonzalez	M	AK	0.890522406572363	0.078919621984504
lmer	pop	CSM	Gonzalez	M	GI	0.965505594695036	0.0838193860909724
lmer	pop	CSM	Gonzalez	M	KA	0.989456982448719	0.0827766302459794
lmer	pop	CSM	Gonzalez	M	MA	0.917343654502769	0.0790955407097125
lmer	pop	CSM	Gonzalez	M	MU	0.89981191691954	0.0793816650139545
lmer	pop	CSM	Gonzalez	M	RE	0.894923785550766	0.0814563893194028
lmer	pop	CSM	Gonzalez	M	UM	0.833463669221556	0.0844663329261377
lmer	pop	CSM	Gonzalez	M	VA	0.86990843683833	0.0793932923999639
lmer	pop	CSM	Gonzalez	M	YE	1.03650716770512	0.078530015615319
lmer	pop	CSM	Kozeretska	M	AK	1.14119667562942	0.147741252147827
lmer	pop	CSM	Kozeretska	M	GI	1.15021507233445	0.162745602873186
lmer	pop	CSM	Kozeretska	M	KA	0.998494105095524	0.153528146624924
lmer	pop	CSM	Kozeretska	M	MA	1.09161219360597	0.150244336108273
lmer	pop	CSM	Kozeretska	M	MU	1.01370211355105	0.149287560486143
lmer	pop	CSM	Kozeretska	M	RE	1.0525360883113	0.153259152469287
lmer	pop	CSM	Kozeretska	M	UM	1.01052788812305	0.156039905006532
lmer	pop	CSM	Kozeretska	M	VA	1.05659940711968	0.147462321464222
lmer	pop	CSM	Kozeretska	M	YE	1.19122768084764	0.153789411428704
lmer	pop	CSM	Vieira	M	AK	1.04461688193617	0.0680975426240872
lmer	pop	CSM	Vieira	M	GI	1.09046888786246	0.0821351914180584
lmer	pop	CSM	Vieira	M	KA	1.11431386592135	0.0707109698791586
lmer	pop	CSM	Vieira	M	MA	1.06176832873268	0.0724627245718988
lmer	pop	CSM	Vieira	M	MU	1.28278640503769	0.0722844625823187
lmer	pop	CSM	Vieira	M	RE	1.10276765445267	0.0830950121125032
lmer	pop	CSM	Vieira	M	UM	1.01805408461419	0.0704852426366835
lmer	pop	CSM	Vieira	M	VA	1.14022817943428	0.0739681107593138
lmer	pop	CSM	Vieira	M	YE	1.3308789215787	0.0744330075795965
