Trait	Population	Line	Sex	Value	SE	LLM	ULM	N_lab
DT_P	YE	YE11	NA	144.083245975657	3.93223921672368	136.376198732283	151.790293219032	1
DT_P	YE	YE13	NA	132.163245975657	4.05292860257119	124.219651882706	140.106840068609	1
DT_P	YE	YE14	NA	127.666245975657	3.47894312364254	120.847642749055	134.48484920226	1
DT_P	YE	YE15	NA	134.133245975657	5.09770048723341	124.141936616708	144.124555334607	1
DT_P	YE	YE19	NA	147.718245975657	5.38965214624652	137.154721879815	158.2817700715	1
DT_P	YE	YE20	NA	133.884245975657	3.57810428265299	126.871290448729	140.897201502586	1
DT_P	YE	YE21	NA	135.402245975657	3.55583889645463	128.43292980378	142.371562147535	1
DT_P	YE	YE22	NA	121.594245975657	3.51496077610259	114.705049447425	128.483442503889	1
DT_P	YE	YE23	NA	137.315245975657	4.05292860257119	129.371651882706	145.258840068609	1
DT_P	YE	YE24	NA	125.844245975657	3.46233812004831	119.058187958063	132.630303993252	1
DT_P	YE	YE26	NA	144.247245975657	3.71831551344687	136.959481486145	151.53501046517	1
DT_P	YE	YE27	NA	139.484245975657	4.05292860257119	131.540651882706	147.427840068609	1
DT_P	YE	YE33	NA	151.350245975657	3.47894312364254	144.531642749055	158.16884920226	1
DT_P	YE	YE40	NA	124.973245975657	4.2057073433062	116.730211053262	133.216280898053	1
DT_P	YE	YE41	NA	131.109245975657	3.79235734834413	123.676362156397	138.542129794918	1
DT_P	YE	YE48	NA	131.524245975657	4.29958582395324	123.09721261227	139.951279339045	1
DT_P	YE	YE49	NA	132.729245975657	3.79235734834413	125.296362156397	140.162129794918	1
DT_P	YE	YE51	NA	136.591245975657	5.38965214624652	126.027721879815	147.1547700715	1
DT_P	YE	YE69	NA	133.617245975657	3.65623717194874	126.451152799701	140.783339151613	1
DT_P	YE	YE80	NA	138.574245975657	4.12435610217397	130.490656555978	146.657835395336	1
DT_P	RE	RE10	NA	145.986759066547	6.02088477473335	134.186041753004	157.78747638009	1
DT_P	RE	RE11	NA	143.449759066547	3.83769624522524	135.928012642301	150.971505490793	1
DT_P	RE	RE12	NA	121.365759066547	3.82455611419364	113.869766825875	128.861751307219	1
DT_P	RE	RE13	NA	149.263759066547	4.23130588242163	140.970551929428	157.556966203666	1
DT_P	RE	RE15	NA	119.823759066547	3.97787989645438	112.027257734671	127.620260398424	1
DT_P	RE	RE16	NA	138.868759066547	4.45605121947851	130.135059163103	147.602458969991	1
DT_P	RE	RE17	NA	163.450759066547	4.00128447759166	155.608385598568	171.293132534526	1
DT_P	RE	RE18	NA	133.157759066547	3.89884963426597	125.516154202249	140.799363930846	1
DT_P	RE	RE2	NA	130.949759066547	3.81204059141766	123.478296799764	138.421221333331	1
DT_P	RE	RE3	NA	121.699759066547	5.36960235684319	111.175531835833	132.223986297261	1
DT_P	RE	RE4	NA	128.687759066547	4.45605121947851	119.954059163103	137.421458969991	1
DT_P	RE	RE5	NA	134.200759066547	6.02088477473335	122.400041753004	146.00147638009	1
DT_P	RE	RE6	NA	149.908759066547	4.61871383294266	140.856246299083	158.961271834012	1
DT_P	RE	RE7	NA	121.772759066547	4.23130588242163	113.479551929428	130.065966203666	1
DT_P	RE	RE8	NA	126.456759066547	3.85147562248756	118.908005559138	134.005512573957	1
DT_P	GI	GI1	NA	161.518391647101	5.25396300792737	151.220813375458	171.815969918745	1
DT_P	GI	GI10	NA	137.669391647101	4.22751372424375	129.383617003435	145.955166290768	1
