Trait	Population	Line	Sex	Value	SE	LLM	ULM	N_lab
DT_P	YE	YE11	NA	8.883	2.666	3.65773601721622	14.1082639827838	1
DT_P	YE	YE13	NA	-3.037	2.841	-8.60525768007829	2.53125768007829	1
DT_P	YE	YE14	NA	-7.534	1.936	-11.3284902740695	-3.73950972593046	1
DT_P	YE	YE15	NA	-1.067	4.199	-9.29688877108368	7.16288877108368	1
DT_P	YE	YE19	NA	12.518	4.549	3.6021238343273	21.4338761656727	1
DT_P	YE	YE20	NA	-1.316	2.109	-5.44956404339497	2.81756404339497	1
DT_P	YE	YE21	NA	0.202	2.071	-3.85708541198245	4.26108541198245	1
DT_P	YE	YE22	NA	-13.606	2	-17.5259279690801	-9.68607203091989	1
DT_P	YE	YE23	NA	2.115	2.841	-3.45325768007829	7.68325768007829	1
DT_P	YE	YE24	NA	-9.356	1.906	-13.0916913545333	-5.62030864546666	1
DT_P	YE	YE26	NA	9.047	2.339	4.46264424016081	13.6313557598392	1
DT_P	YE	YE27	NA	4.284	2.841	-1.28425768007829	9.85225768007829	1
DT_P	YE	YE33	NA	16.15	1.936	12.3555097259305	19.9444902740695	1
DT_P	YE	YE40	NA	-10.227	3.055	-16.2146899727699	-4.23931002723014	1
DT_P	YE	YE41	NA	-4.091	2.455	-8.90271158204583	0.720711582045832	1
DT_P	YE	YE48	NA	-3.676	3.183	-9.91456536279099	2.56256536279099	1
DT_P	YE	YE49	NA	-2.471	2.455	-7.28271158204583	2.34071158204583	1
DT_P	YE	YE51	NA	1.391	4.549	-7.5248761656727	10.3068761656727	1
DT_P	YE	YE69	NA	-1.583	2.239	-5.97135936138518	2.80535936138518	1
DT_P	YE	YE80	NA	3.374	2.942	-2.39221404251684	9.14021404251684	1
DT_P	RE	RE10	NA	10.717	5.005	0.907380257377033	20.526619742623	1
DT_P	RE	RE11	NA	8.18	1.878	4.49918763703378	11.8608123629662	1
DT_P	RE	RE12	NA	-13.904	1.851	-17.5318933353836	-10.2761066646164	1
DT_P	RE	RE13	NA	13.994	2.589	8.9196532440258	19.0683467559742	1
DT_P	RE	RE15	NA	-15.446	2.15	-19.6599225667611	-11.2320774332389	1
DT_P	RE	RE16	NA	3.599	2.942	-2.16721404251684	9.36521404251684	1
DT_P	RE	RE17	NA	28.181	2.193	23.8827989819037	32.4792010180963	1
DT_P	RE	RE18	NA	-2.112	2	-6.03192796908011	1.80792796908011	1
DT_P	RE	RE2	NA	-4.32	1.825	-7.8969342717856	-0.743065728214403	1
DT_P	RE	RE3	NA	-13.57	4.199	-21.7998887710837	-5.34011122891632	1
DT_P	RE	RE4	NA	-6.582	2.942	-12.3482140425168	-0.815785957483162	1
DT_P	RE	RE5	NA	-1.069	5.005	-10.878619742623	8.74061974262297	1
DT_P	RE	RE6	NA	14.639	3.183	8.40043463720901	20.877565362791	1
DT_P	RE	RE7	NA	-13.497	2.589	-18.5713467559742	-8.4226532440258	1
DT_P	RE	RE8	NA	-8.813	1.906	-12.5486913545333	-5.07730864546666	1
DT_P	GI	GI1	NA	21.096	3.688	13.8676528250163	28.3243471749837	1
DT_P	GI	GI10	NA	-2.753	1.967	-6.60824915759029	1.10224915759029	1
DT_P	GI	GI11	NA	-3.026	1.8	-6.5539351721721	0.501935172172097	1
DT_P	GI	GI12	NA	-2.942	2.749	-8.32994099350061	2.44594099350061	1
DT_P	GI	GI13	NA	3.11	4.549	-5.80587616567271	12.0258761656727	1
DT_P	GI	GI14	NA	15.746	8.244	-0.411943088548201	31.9039430885482	1
DT_P	GI	GI15	NA	-0.656	2.749	-6.04394099350061	4.73194099350061	1
DT_P	GI	GI2	NA	-13.106	3.494	-19.9541141619829	-6.25788583801705	1
DT_P	GI	GI3	NA	-0.307	6.577	-13.1976831263199	12.5836831263199	1
DT_P	GI	GI5	NA	-12.518	2.071	-16.5770854119825	-8.45891458801755	1
DT_P	GI	GI7	NA	15.746	8.244	-0.411943088548201	31.9039430885482	1
DT_P	GI	GI8	NA	0.77	2.239	-3.61835936138518	5.15835936138518	1
DT_P	GI	GI9	NA	-21.159	3.183	-27.397565362791	-14.920434637209	1
DT_P	MU	MU1	NA	11.124	2.239	6.73564063861482	15.5123593613852	1
DT_P	MU	MU10	NA	0.84	1.851	-2.78789333538364	4.46789333538364	1
DT_P	MU	MU11	NA	14.857	2.071	10.7979145880175	18.9160854119825	1
DT_P	MU	MU12	NA	-10.764	2.071	-14.8230854119825	-6.70491458801755	1
DT_P	MU	MU13	NA	-10.341	2.395	-15.0351137429734	-5.64688625702657	1
DT_P	MU	MU14	NA	11.352	2.519	6.4148507229436	16.2891492770564	1
DT_P	MU	MU15	NA	4.099	2.519	-0.838149277056395	9.0361492770564	1
DT_P	MU	MU16	NA	17.339	2.841	11.7707423199217	22.9072576800783	1
DT_P	MU	MU17	NA	-7.313	1.669	-10.5841798901973	-4.04182010980265	1
DT_P	MU	MU18	NA	17.783	3.183	11.544434637209	24.021565362791	1
