Model	Trait	Lab	Sex	Population	Line	Coef	SE
lmer_pop	DT_P	Schmidt	NA	AK	AK1	138.780046525264	3.30726419679009
lmer_pop	DT_P	Schmidt	NA	AK	AK10	120.510046525264	3.55902746089007
lmer_pop	DT_P	Schmidt	NA	AK	AK11	138.309046525264	3.77436358441653
lmer_pop	DT_P	Schmidt	NA	AK	AK12	122.789046525264	3.33758542472992
lmer_pop	DT_P	Schmidt	NA	AK	AK13	133.940046525264	4.03609668706903
lmer_pop	DT_P	Schmidt	NA	AK	AK14	128.738046525264	3.97187568629352
lmer_pop	DT_P	Schmidt	NA	AK	AK15	150.663046525264	3.77436358441653
lmer_pop	DT_P	Schmidt	NA	AK	AK16	115.575046525264	3.55902746089007
lmer_pop	DT_P	Schmidt	NA	AK	AK17	117.320046525264	3.53664197613635
lmer_pop	DT_P	Schmidt	NA	AK	AK18	134.489046525264	3.66731024967477
lmer_pop	DT_P	Schmidt	NA	AK	AK2	120.183046525264	3.47676350466488
lmer_pop	DT_P	Schmidt	NA	AK	AK20	115.426046525264	3.55902746089007
lmer_pop	DT_P	Schmidt	NA	AK	AK21	151.811046525264	4.18948928478993
lmer_pop	DT_P	Schmidt	NA	AK	AK3	125.911046525264	4.51960523357623
lmer_pop	DT_P	Schmidt	NA	AK	AK4	115.404046525264	3.5834753337186
lmer_pop	DT_P	Schmidt	NA	AK	AK5	116.511046525264	3.60943824817237
lmer_pop	DT_P	Schmidt	NA	AK	AK6	120.429046525264	3.4593195092922
lmer_pop	DT_P	Schmidt	NA	AK	AK7	126.477046525264	4.39177919155433
lmer_pop	DT_P	Schmidt	NA	AK	AK8	140.752046525264	3.60943824817237
lmer_pop	DT_P	Schmidt	NA	AK	AK9	116.024046525264	3.55902746089007
lmer_pop	DT_P	Schmidt	NA	GI	GI1	161.518391647101	5.25396300792737
lmer_pop	DT_P	Schmidt	NA	GI	GI10	137.669391647101	4.22751372424375
lmer_pop	DT_P	Schmidt	NA	GI	GI11	137.396391647101	4.15244305062324
lmer_pop	DT_P	Schmidt	NA	GI	GI12	137.480391647101	4.64325147807754
lmer_pop	DT_P	Schmidt	NA	GI	GI13	143.532391647101	5.89034670360491
lmer_pop	DT_P	Schmidt	NA	GI	GI14	156.168391647101	9.05352524095831
lmer_pop	DT_P	Schmidt	NA	GI	GI15	139.766391647101	4.64325147807754
lmer_pop	DT_P	Schmidt	NA	GI	GI2	127.316391647101	5.11965030921734
lmer_pop	DT_P	Schmidt	NA	GI	GI3	140.115391647101	7.56701475409353
lmer_pop	DT_P	Schmidt	NA	GI	GI5	127.904391647101	4.27689423398209
lmer_pop	DT_P	Schmidt	NA	GI	GI7	156.168391647101	9.05352524095831
lmer_pop	DT_P	Schmidt	NA	GI	GI8	141.192391647101	4.3607229089532
lmer_pop	DT_P	Schmidt	NA	GI	GI9	119.263391647101	4.91266447955376
lmer_pop	DT_P	Schmidt	NA	KA	KA1	112.906288931061	3.42586537757955
lmer_pop	DT_P	Schmidt	NA	KA	KA10	126.772288931061	3.50861120463614
lmer_pop	DT_P	Schmidt	NA	KA	KA11	127.036288931061	3.44052853284176
lmer_pop	DT_P	Schmidt	NA	KA	KA13	119.137288931061	3.48990566997136
lmer_pop	DT_P	Schmidt	NA	KA	KA14	146.706288931061	7.18103624731823
lmer_pop	DT_P	Schmidt	NA	KA	KA15	127.931288931061	4.86507076878623
