Model	Trait	Lab	Sex	Population	Line	Estimate	SE
lmer_pop	DT_P	Schmidt	NA	AK	AK1	11.278	1.649
lmer_pop	DT_P	Schmidt	NA	AK	AK10	-6.992	2.109
lmer_pop	DT_P	Schmidt	NA	AK	AK11	10.807	2.455
lmer_pop	DT_P	Schmidt	NA	AK	AK12	-4.713	1.709
lmer_pop	DT_P	Schmidt	NA	AK	AK13	6.438	2.841
lmer_pop	DT_P	Schmidt	NA	AK	AK14	1.236	2.749
lmer_pop	DT_P	Schmidt	NA	AK	AK15	23.161	2.455
lmer_pop	DT_P	Schmidt	NA	AK	AK16	-11.927	2.109
lmer_pop	DT_P	Schmidt	NA	AK	AK17	-10.182	2.071
lmer_pop	DT_P	Schmidt	NA	AK	AK18	6.987	2.287
lmer_pop	DT_P	Schmidt	NA	AK	AK2	-7.319	1.967
lmer_pop	DT_P	Schmidt	NA	AK	AK20	-12.076	2.109
lmer_pop	DT_P	Schmidt	NA	AK	AK21	24.309	3.055
lmer_pop	DT_P	Schmidt	NA	AK	AK3	-1.591	3.494
lmer_pop	DT_P	Schmidt	NA	AK	AK4	-12.098	2.15
lmer_pop	DT_P	Schmidt	NA	AK	AK5	-10.991	2.193
lmer_pop	DT_P	Schmidt	NA	AK	AK6	-7.073	1.936
lmer_pop	DT_P	Schmidt	NA	AK	AK7	-1.025	3.327
lmer_pop	DT_P	Schmidt	NA	AK	AK8	13.25	2.193
lmer_pop	DT_P	Schmidt	NA	AK	AK9	-11.478	2.109
lmer_pop	DT_P	Schmidt	NA	GI	GI1	21.096	3.688
lmer_pop	DT_P	Schmidt	NA	GI	GI10	-2.753	1.967
lmer_pop	DT_P	Schmidt	NA	GI	GI11	-3.026	1.8
lmer_pop	DT_P	Schmidt	NA	GI	GI12	-2.942	2.749
lmer_pop	DT_P	Schmidt	NA	GI	GI13	3.11	4.549
lmer_pop	DT_P	Schmidt	NA	GI	GI14	15.746	8.244
lmer_pop	DT_P	Schmidt	NA	GI	GI15	-0.656	2.749
lmer_pop	DT_P	Schmidt	NA	GI	GI2	-13.106	3.494
lmer_pop	DT_P	Schmidt	NA	GI	GI3	-0.307	6.577
lmer_pop	DT_P	Schmidt	NA	GI	GI5	-12.518	2.071
lmer_pop	DT_P	Schmidt	NA	GI	GI7	15.746	8.244
lmer_pop	DT_P	Schmidt	NA	GI	GI8	0.77	2.239
lmer_pop	DT_P	Schmidt	NA	GI	GI9	-21.159	3.183
lmer_pop	DT_P	Schmidt	NA	KA	KA1	-14.386	1.851
lmer_pop	DT_P	Schmidt	NA	KA	KA10	-0.52	2
lmer_pop	DT_P	Schmidt	NA	KA	KA11	-0.256	1.878
lmer_pop	DT_P	Schmidt	NA	KA	KA13	-8.155	1.967
lmer_pop	DT_P	Schmidt	NA	KA	KA14	19.414	6.577
lmer_pop	DT_P	Schmidt	NA	KA	KA15	0.639	3.919
lmer_pop	DT_P	Schmidt	NA	KA	KA16	4.73	2.395
lmer_pop	DT_P	Schmidt	NA	KA	KA17	3.757	2.193
lmer_pop	DT_P	Schmidt	NA	KA	KA18	22.433	2.15
lmer_pop	DT_P	Schmidt	NA	KA	KA2	-11.277	1.967
lmer_pop	DT_P	Schmidt	NA	KA	KA23	12.949	2.109
lmer_pop	DT_P	Schmidt	NA	KA	KA24	-11.447	2.287
lmer_pop	DT_P	Schmidt	NA	KA	KA25	8.971	2.395
lmer_pop	DT_P	Schmidt	NA	KA	KA28	4.545	2.339
lmer_pop	DT_P	Schmidt	NA	KA	KA29	-2.785	3.055
lmer_pop	DT_P	Schmidt	NA	KA	KA3	-7.545	2.15
