Trait	Population	Line	Sex	Value	SE	LLM	ULM	N_lab
Dia	YE	YE11	F	0.973333950275046	0.354952764650067	0.277639315347993	1.6690285852021	3
Dia	YE	YE13	F	0.844711424804955	0.383782400827667	0.0925117412824125	1.5969111083275	3
Dia	YE	YE14	F	1.78154916910567	1.01267479369081	-0.203256954579841	3.76635529279119	3
Dia	YE	YE15	F	1.63438201440632	1.06195588332285	-0.447013270076892	3.71577729888953	3
Dia	YE	YE19	F	2.22901089034287	0.455258282896968	1.33672105220127	3.12130072848447	3
Dia	YE	YE20	F	1.89190942572472	0.934925527193653	0.0594890641980421	3.72432978725141	3
Dia	YE	YE21	F	1.55767121855157	0.922710584811268	-0.250808295832409	3.36615073293554	3
Dia	YE	YE22	F	1.92003886451111	1.03926167419839	-0.116876587430521	3.95695431645275	3
Dia	YE	YE23	F	1.78541035888117	0.745808651961306	0.32365226167864	3.24716845608369	3
Dia	YE	YE24	F	1.66657356516878	0.587992922798434	0.514128613319404	2.81901851701815	3
Dia	YE	YE26	F	1.68804221499332	1.29285267494038	-0.845902465206099	4.22198689519273	3
Dia	YE	YE27	F	1.43121690405139	0.358119651144646	0.729315285651831	2.13311852245094	3
Dia	YE	YE33	F	2.20708548530304	0.449296208433225	1.32648109838352	3.08768987222256	3
Dia	YE	YE40	F	0.634193478335141	1.05357703736331	-1.43077956983537	2.69916652650565	3
Dia	YE	YE41	F	1.72508622901013	0.721203099484824	0.311554128481222	3.13861832953905	3
Dia	YE	YE48	F	1.01214370695184	1.28180249125907	-1.50014301120965	3.52443042511334	3
Dia	YE	YE49	F	2.09937786726826	0.456977148515897	1.20371911441929	2.99503662011723	3
Dia	YE	YE51	F	2.25456539714671	1.86035631857993	-1.39166598568148	5.9007967799749	2
Dia	YE	YE69	F	0.9331177836751	0.721636491564751	-0.481263749721655	2.34749931707185	3
Dia	YE	YE80	F	0.975823357782252	0.594663545502134	-0.189695774320825	2.14134248988533	3
Dia	RE	RE10	F	1.43253470155542	0.76422080249776	-0.0653105475764846	2.93037995068733	3
Dia	RE	RE11	F	1.26095575434613	0.846423013611389	-0.398002868018045	2.91991437671031	3
Dia	RE	RE12	F	1.11915628566105	0.74267365337992	-0.336457327230374	2.57476989855248	3
Dia	RE	RE13	F	1.45784064114665	0.4887428373067	0.499922282323595	2.4157589999697	3
Dia	RE	RE15	F	0.297426679503849	0.347696474145719	-0.384045887373321	0.978899246381019	2
Dia	RE	RE16	F	1.47826116320458	1.52455749967605	-1.50981662852091	4.46633895493008	3
Dia	RE	RE17	F	0.93931733483876	1.55060121736854	-2.09980520558754	3.97843987526506	3
Dia	RE	RE18	F	1.63964149416229	0.981225569474666	-0.283525282717861	3.56280827104244	3
Dia	RE	RE2	F	1.65772258371716	0.935292395888742	-0.175416827238952	3.49086199467327	3
Dia	RE	RE3	F	2.22261570772185	0.602171791044565	1.04238068476852	3.40285073067518	3
Dia	RE	RE4	F	1.45758568111526	0.867812034285119	-0.243294651434007	3.15846601366453	3
Dia	RE	RE5	F	2.19985728983807	0.643989027380712	0.9376619897329	3.46205258994325	3
Dia	RE	RE6	F	1.17647262471524	1.36338332743321	-1.49570959417624	3.84865484360671	3
Dia	RE	RE7	F	1.95152492976986	1.46074957557918	-0.911491628797502	4.81454148833723	3
Dia	RE	RE8	F	1.59668755240998	1.04745978118006	-0.456295893957139	3.6496709987771	2
Dia	GI	GI1	F	-0.352621524941814	0.917607305297994	-2.15109879527673	1.4458557453931	3
Dia	GI	GI10	F	1.54021842727071	1.08615517223938	-0.588606591940368	3.66904344648178	3
Dia	GI	GI11	F	0.816280458707704	0.676460186100686	-0.509557143024904	2.14211806044031	3
Dia	GI	GI12	F	1.56964361584894	0.782110192383913	0.0367358068347776	3.1025514248631	3
Dia	GI	GI13	F	1.54181912764791	0.760460965486948	0.0513430236449322	3.03229523165088	3
Dia	GI	GI14	F	0.0228239755895855	0.654053190835602	-1.2590967224217	1.30474467360087	2
Dia	GI	GI15	F	1.08344025300682	1.15687352622614	-1.18399019306427	3.3508706990779	3
Dia	GI	GI2	F	1.97621974814354	0.913438940228352	0.185912323219534	3.76652717306754	3
Dia	GI	GI3	F	2.09529788994541	0.695895855970157	0.73136707525323	3.45922870463759	3
Dia	GI	GI4	F	1.12124860129652	1.27722000639425	-1.38205661157023	3.62455381416327	3
Dia	GI	GI5	F	-0.639790557627631	0.801260620652052	-2.21023251633586	0.9306514010806	3
Dia	GI	GI6	F	1.33221144568362	1.10189174836996	-0.827456695983381	3.49187958735062	3
Dia	GI	GI7	F	2.28057635971572	0.787731469467654	0.736651050070304	3.82450166936113	3
Dia	GI	GI8	F	0.793667367407826	0.589439125080219	-0.361612088828204	1.94894682364386	3
Dia	GI	GI9	F	2.29529712833382	0.723037283407064	0.878170093376293	3.71242416329134	3
Dia	MU	MU1	F	2.05738393763703	1.17517569915848	-0.245918108220267	4.36068598349433	3
Dia	MU	MU10	F	2.17309083874202	1.06536414046278	0.0850154930145082	4.26116618446954	3
Dia	MU	MU11	F	2.31854859308549	0.711235834773922	0.92455197241432	3.71254521375665	3
Dia	MU	MU12	F	2.6645390578906	0.976604933289042	0.750428561519932	4.57864955426126	3
Dia	MU	MU13	F	2.39847056788524	0.8925642293337	0.649076824502441	4.14786431126804	3
Dia	MU	MU14	F	1.87335534891888	1.45535472172826	-0.979087490398821	4.72579818823658	3
Dia	MU	MU15	F	0.878009250577896	1.17479563278032	-1.42454787886647	3.18056638002227	3
Dia	MU	MU16	F	1.30841969467828	0.880525970464251	-0.41737949488383	3.03421888424039	3
Dia	MU	MU17	F	2.52721640378748	0.515826700724793	1.51621464810276	3.53821815947219	3
Dia	MU	MU18	F	2.67759018655057	2.08782053268727	-1.41446286369972	6.76964323680086	2
Dia	MU	MU19	F	2.19756012895422	1.1921001293605	-0.138913190557893	4.53403344846634	3
Dia	MU	MU2	F	1.83430196650493	0.761729627992973	0.341339329681612	3.32726460332825	3
Dia	MU	MU20	F	2.32197897721499	0.824099575803156	0.706773488966074	3.93718446546391	3
Dia	MU	MU3	F	1.21625788125344	1.05600864938774	-0.853481038909306	3.2859968014162	3
Dia	MU	MU4	F	0.224860087513097	1.0795028122198	-1.89092654564741	2.3406467206736	3
Dia	MU	MU5	F	2.4096108770148	0.984425568381547	0.480172217526591	4.339049536503	3
Dia	MU	MU6	F	1.67647102787329	1.28542054010862	-0.842906935727638	4.19584899147421	3
Dia	MU	MU7	F	2.96935857958799	1.81180596344777	-0.581715855744541	6.52043301492052	2
Dia	MU	MU8	F	2.24242416154675	0.791973969467148	0.690183704697912	3.79466461839558	3
Dia	MU	MU9	F	2.1367686259972	0.957972750388453	0.259176537065058	4.01436071492935	3
Dia	MA	MA12	F	2.12816941666387	0.715839605808247	0.72514957057236	3.53118926275539	3
Dia	MA	MA13	F	1.79568217298967	2.32629983628297	-2.76378172336638	6.35514606934571	2
