Model	Trait	Lab	Sex	Population	Line	Coef	SE
glmer_pop	Dia	Bergland	F	AK	AK1	-0.747811393728257	0.59982774361147
glmer_pop	Dia	Bergland	F	AK	AK10	1.05118860627174	0.720227965304061
glmer_pop	Dia	Bergland	F	AK	AK11	-0.663811393728257	0.537134361222615
glmer_pop	Dia	Bergland	F	AK	AK12	0.896188606271743	0.504214559494296
glmer_pop	Dia	Bergland	F	AK	AK14	-0.724811393728257	0.488501097241375
glmer_pop	Dia	Bergland	F	AK	AK15	0.358188606271743	0.544845227570204
glmer_pop	Dia	Bergland	F	AK	AK16	-0.120811393728257	0.472221687352484
glmer_pop	Dia	Bergland	F	AK	AK17	-0.663811393728257	0.537134361222615
glmer_pop	Dia	Bergland	F	AK	AK18	-0.0918113937282573	0.591875258822353
glmer_pop	Dia	Bergland	F	AK	AK2	-0.414811393728257	0.477075803207443
glmer_pop	Dia	Bergland	F	AK	AK20	1.48518860627174	0.666226179316024
glmer_pop	Dia	Bergland	F	AK	AK21	1.48518860627174	0.666226179316024
glmer_pop	Dia	Bergland	F	AK	AK4	-0.957811393728257	0.630124846364613
glmer_pop	Dia	Bergland	F	AK	AK5	1.07518860627174	0.546564106035172
glmer_pop	Dia	Bergland	F	AK	AK6	-0.259811393728257	0.523527766222602
glmer_pop	Dia	Bergland	F	AK	AK7	0.117188606271743	0.504214559494296
glmer_pop	Dia	Bergland	F	AK	AK8	0.728188606271743	0.515934416380635
glmer_pop	Dia	Bergland	F	AK	AK9	0.445188606271743	0.537989146736277
glmer_pop	Dia	Bergland	F	GI	GI1	-1.55029173589115	0.632249064073679
glmer_pop	Dia	Bergland	F	GI	GI10	0.0667082641088538	0.524064766056681
glmer_pop	Dia	Bergland	F	GI	GI11	0.166708264108854	0.533932466724064
glmer_pop	Dia	Bergland	F	GI	GI12	0.903708264108854	0.545552819644481
glmer_pop	Dia	Bergland	F	GI	GI13	1.17370826410885	0.558124429694708
glmer_pop	Dia	Bergland	F	GI	GI14	-0.610291735891146	0.577626071972209
glmer_pop	Dia	Bergland	F	GI	GI15	-0.201291735891146	0.517536355266027
glmer_pop	Dia	Bergland	F	GI	GI2	0.702708264108854	0.51266741560396
glmer_pop	Dia	Bergland	F	GI	GI3	1.27170826410885	0.55140446046622
glmer_pop	Dia	Bergland	F	GI	GI4	0.434708264108854	0.496616430479342
glmer_pop	Dia	Bergland	F	GI	GI5	-1.19229173589115	0.40037342447026
glmer_pop	Dia	Bergland	F	GI	GI6	0.757708264108854	0.509434862393656
glmer_pop	Dia	Bergland	F	GI	GI7	1.18770826410885	0.595649963503771
glmer_pop	Dia	Bergland	F	GI	GI8	1.14070826410885	0.736333402082265
glmer_pop	Dia	Bergland	F	GI	GI9	1.36070826410885	0.545552819644481
glmer_pop	Dia	Bergland	F	KA	KA1	1.83133267383879	0.477226484150151
glmer_pop	Dia	Bergland	F	KA	KA10	-0.263667326161208	0.37969608527652
glmer_pop	Dia	Bergland	F	KA	KA11	0.727332673838792	0.514580525451862
glmer_pop	Dia	Bergland	F	KA	KA13	-0.724667326161208	0.473887240991266
glmer_pop	Dia	Bergland	F	KA	KA14	1.33433267383879	0.570607673602725
glmer_pop	Dia	Bergland	F	KA	KA15	1.72633267383879	0.6601364383022
glmer_pop	Dia	Bergland	F	KA	KA16	-0.667667326161208	0.519754862578806
glmer_pop	Dia	Bergland	F	KA	KA17	0.935332673838792	0.605524662730028
glmer_pop	Dia	Bergland	F	KA	KA18	1.38633267383879	0.619990417002
glmer_pop	Dia	Bergland	F	KA	KA2	1.09233267383879	0.515441671941951
glmer_pop	Dia	Bergland	F	KA	KA23	-0.178667326161208	0.495767200583413
glmer_pop	Dia	Bergland	F	KA	KA24	0.186332673838792	0.403476290721418
glmer_pop	Dia	Bergland	F	KA	KA25	0.381332673838792	0.575054881880255
glmer_pop	Dia	Bergland	F	KA	KA28	1.17233267383879	0.64182561274408
glmer_pop	Dia	Bergland	F	KA	KA29	0.323332673838792	0.483935034043118
glmer_pop	Dia	Bergland	F	KA	KA3	1.08933267383879	0.591137984885352
glmer_pop	Dia	Bergland	F	KA	KA5	-1.51266732616121	0.610036980169493
glmer_pop	Dia	Bergland	F	KA	KA6	-0.131667326161208	0.568831360927221
glmer_pop	Dia	Bergland	F	KA	KA7	0.665332673838792	0.495767200583413
glmer_pop	Dia	Bergland	F	KA	KA9	0.665332673838792	0.495767200583413
glmer_pop	Dia	Bergland	F	MA	MA12	1.23413177273197	0.561312662270349
glmer_pop	Dia	Bergland	F	MA	MA13	-0.371868227268031	0.472745073824177
glmer_pop	Dia	Bergland	F	MA	MA18	1.82513177273197	0.829606475881804
glmer_pop	Dia	Bergland	F	MA	MA19	1.84913177273197	0.61212409266833
glmer_pop	Dia	Bergland	F	MA	MA20	1.62413177273197	0.717027129769179
glmer_pop	Dia	Bergland	F	MA	MA21	0.490131772731969	0.507038366225897
glmer_pop	Dia	Bergland	F	MA	MA23	0.0691317727319691	0.522921509239223
glmer_pop	Dia	Bergland	F	MA	MA26	1.16713177273197	0.532210395262087
