Trait	Population	Line	Sex	Value	SE	LLM	ULM	N_lab
Dia	YE	YE11	F	1.01230685040146	0.121282844027629	0.77459684416472	1.2500168566382	2
Dia	YE	YE13	F	0.954318205380514	0.121282844027629	0.716608199143772	1.19202821161726	2
Dia	YE	YE14	F	1.01008377736421	0.106017475669199	0.802293343320728	1.21787421140769	2
Dia	YE	YE15	F	0.965945334439086	0.121282844027629	0.728235328202344	1.20365534067583	2
Dia	YE	YE19	F	1.19389365390556	0.106017475669199	0.986103219862083	1.40168408794905	2
Dia	YE	YE20	F	1.01411486911031	0.121282844027629	0.776404862873572	1.25182487534706	2
Dia	YE	YE21	F	0.975950924149218	0.121282844027629	0.738240917912475	1.21366093038596	2
Dia	YE	YE22	F	1.03859491011758	0.121282844027629	0.800884903880836	1.27630491635432	2
Dia	YE	YE23	F	1.02836336195854	0.121282844027629	0.790653355721796	1.26607336819528	2
Dia	YE	YE24	F	1.14809130565607	0.143767887285317	0.866311424443437	1.42987118686871	2
Dia	YE	YE26	F	0.9376325049101	0.168540473458036	0.60729924699502	1.26796576282518	2
Dia	YE	YE27	F	1.05573776913363	0.106017475669199	0.847947335090152	1.26352820317712	2
Dia	YE	YE33	F	1.10449332976187	0.121282844027629	0.866783323525131	1.34220333599862	2
Dia	YE	YE40	F	0.84386061099317	0.121282844027629	0.606150604756427	1.08157061722991	2
Dia	YE	YE41	F	1.02559499789697	0.121282844027629	0.787884991660231	1.26330500413372	2
Dia	YE	YE48	F	0.949900713302231	0.108126847353789	0.737975986726944	1.16182543987752	2
Dia	YE	YE49	F	1.11011478133092	0.121282844027629	0.872404775094177	1.34782478756766	2
Dia	YE	YE51	F	0.967975426864634	0.134607523562351	0.7041495286343	1.23180132509497	1
Dia	YE	YE69	F	0.943329472580171	0.121282844027629	0.705619466343429	1.18103947881691	2
Dia	YE	YE80	F	0.936775289024694	0.106017475669199	0.728984854981212	1.14456572306818	2
Dia	RE	RE10	F	0.995684633978347	0.164448417994542	0.673371657394456	1.31799761056224	2
Dia	RE	RE11	F	0.957373518700002	0.136767019998334	0.689315085230397	1.22543195216961	2
Dia	RE	RE12	F	0.833736503688764	0.248624464683377	0.346441507233795	1.32103150014373	2
Dia	RE	RE13	F	1.01659488987748	0.125324476220838	0.770963430103287	1.26222634965167	2
Dia	RE	RE15	F	0.890275671126435	0.113094053728266	0.668615398953397	1.11193594329947	2
Dia	RE	RE16	F	0.843283396933976	0.125324476220838	0.597651937159786	1.08891485670817	2
Dia	RE	RE17	F	0.77112532939867	0.125324476220838	0.525493869624481	1.01675678917286	2
Dia	RE	RE18	F	0.930947879335871	0.125324476220838	0.685316419561681	1.17657933911006	2
Dia	RE	RE2	F	0.954473131792703	0.125324476220838	0.708841672018513	1.20010459156689	2
Dia	RE	RE3	F	1.063782714069	0.125324476220838	0.81815125429481	1.30941417384319	2
Dia	RE	RE4	F	0.95562045783236	0.128158461452872	0.704434489070667	1.20680642659405	2
Dia	RE	RE5	F	1.07955666975974	0.125324476220838	0.833925209985551	1.32518812953393	2
Dia	RE	RE6	F	0.859594889877477	0.125324476220838	0.613963430103287	1.10522634965167	2
Dia	RE	RE7	F	1.03090031515291	0.255630218185675	0.529874294148866	1.53192633615695	2
Dia	RE	RE8	F	0.957416679778005	0.186194020424668	0.592483105608941	1.32235025394707	1
Dia	GI	GI1	F	0.673597874443297	0.124625741580348	0.42933590939922	0.917859839487375	2
Dia	GI	GI10	F	0.909331131741287	0.124625741580348	0.66506916669721	1.15359309678536	2
Dia	GI	GI11	F	0.882808200382252	0.124625741580348	0.638546235338175	1.12707016542633	2
Dia	GI	GI12	F	0.962080710060967	0.124625741580348	0.717818745016889	1.20634267510504	2
Dia	GI	GI13	F	0.927914560118799	0.124625741580348	0.683652595074722	1.17217652516288	2
Dia	GI	GI14	F	0.833469426708356	0.124625741580348	0.589207461664278	1.07773139175243	2
Dia	GI	GI15	F	0.850342751003702	0.109738241944048	0.635259749066625	1.06542575294078	2
Dia	GI	GI2	F	1.00320359376371	0.12778216345195	0.752755155531278	1.25365203199614	2
Dia	GI	GI3	F	1.04863965690595	0.124625741580348	0.804377691861868	1.29290162195002	2
Dia	GI	GI4	F	0.837467739987073	0.124625741580348	0.593205774942996	1.08172970503115	2
Dia	GI	GI5	F	0.594708119603178	0.1121962828003	0.374807446115319	0.814608793091037	2
Dia	GI	GI6	F	0.857449732244102	0.124625741580348	0.613187767200024	1.10171169728818	2
Dia	GI	GI7	F	1.08824574670498	0.162569476600497	0.769615427582476	1.40687606582748	2
Dia	GI	GI8	F	0.86179927833498	0.109738241944048	0.646716276397903	1.07688228027206	2
Dia	GI	GI9	F	1.12663326278178	0.190673635234011	0.752919804921794	1.50034672064177	2
Dia	MU	MU1	F	0.995577689393727	0.106022419364659	0.787777565885193	1.20337781290226	2
Dia	MU	MU10	F	1.0585213069788	0.121502001750211	0.820381759498864	1.29666085445874	2
Dia	MU	MU11	F	1.10408665637095	0.121502001750211	0.865947108891008	1.34222620385088	2
Dia	MU	MU12	F	1.18043566072809	0.140402846607988	0.90525113804953	1.45562018340665	2
Dia	MU	MU13	F	1.10181486402407	0.121502001750211	0.863675316544136	1.33995441150401	2
Dia	MU	MU14	F	1.0067384004447	0.1519873131933	0.708848740478825	1.30462806041058	2
Dia	MU	MU15	F	0.873871713624608	0.121502001750211	0.635732166144671	1.11201126110454	2
Dia	MU	MU16	F	0.993141357497771	0.108551999843971	0.78038334735379	1.20589936764175	2
Dia	MU	MU17	F	1.19393798286162	0.121502001750211	0.955798435381687	1.43207753034156	2
Dia	MU	MU18	F	0.971871840081496	0.181162638759123	0.616799592769375	1.32694408739362	1
Dia	MU	MU19	F	1.0577997041306	0.121502001750211	0.81966015665066	1.29593925161053	2
Dia	MU	MU2	F	1.09587929357135	0.121502001750211	0.857739746091409	1.33401884105128	2
Dia	MU	MU20	F	1.17075822913931	0.108551999843971	0.958000218995324	1.38351623928329	2
Dia	MU	MU3	F	0.903890771427113	0.108551999843971	0.691132761283132	1.11664878157109	2
Dia	MU	MU4	F	0.73137263346948	0.121502001750211	0.493233085989543	0.969512180949417	2
Dia	MU	MU5	F	1.105357473576	0.121502001750211	0.867217926096067	1.34349702105594	2
Dia	MU	MU6	F	1.01020996009661	0.106022419364659	0.802409836588078	1.21801008360515	2
