Trait	Population	Line	Sex	Value	SE	LLM	ULM	N_lab
Dia	YE	YE11	F	0.0022014621583451	0.109266643896049	-0.211957224589475	0.216360148906165	2
Dia	YE	YE13	F	-0.056750768463903	0.109266643896049	-0.270909455211723	0.157407918283917	2
Dia	YE	YE14	F	0.00315865370749575	0.0898140848542289	-0.172873717911217	0.179191025326209	2
Dia	YE	YE15	F	-0.0453043117055745	0.109266643896049	-0.259462998453394	0.168854375042246	2
Dia	YE	YE19	F	0.188858695652174	0.113272380600896	-0.0331510907686965	0.410868482073044	2
Dia	YE	YE20	F	0.00211672343607212	0.109266643896049	-0.212041963311748	0.216275410183892	2
Dia	YE	YE21	F	-0.0342577054083243	0.109266643896049	-0.248416392156144	0.179900981339496	2
Dia	YE	YE22	F	0.0298058486333804	0.109266643896049	-0.18435283811444	0.2439645353812	2
Dia	YE	YE23	F	0.0180084738722273	0.109266643896049	-0.196150212875593	0.232167160620047	2
Dia	YE	YE24	F	0.143089171974522	0.156847825793035	-0.164326917633239	0.450505261582283	2
Dia	YE	YE26	F	-0.0740448717948718	0.155844878618613	-0.37949522106237	0.231405477472626	2
Dia	YE	YE27	F	0.049634614829983	0.0898140848542289	-0.12639775678873	0.225666986448696	2
Dia	YE	YE33	F	0.0937168729749938	0.109266643896049	-0.120441813772826	0.307875559722814	2
Dia	YE	YE40	F	-0.167776190080585	0.109266643896049	-0.381934876828405	0.0463824966672351	2
Dia	YE	YE41	F	0.0152831270250062	0.109266643896049	-0.198875559722814	0.229441813772826	2
Dia	YE	YE48	F	-0.0610288161209068	0.0943143444378989	-0.245881534444694	0.123823902202881	2
Dia	YE	YE49	F	0.0996394450444463	0.109266643896049	-0.114519241703374	0.313798131792266	2
Dia	YE	YE51	F	-0.054	0.116	-0.281355822206646	0.173355822206646	1
Dia	YE	YE69	F	-0.0671802774777769	0.109266643896049	-0.281338964225597	0.146978409270043	2
Dia	YE	YE80	F	-0.0746432670954345	0.0898140848542289	-0.250675638714148	0.101389104523279	2
Dia	RE	RE10	F	0.0513382071944837	0.109266643896049	-0.162820479553336	0.265496893942304	2
Dia	RE	RE11	F	0.0173170225139154	0.109266643896049	-0.196841664233905	0.231475709261735	2
Dia	RE	RE12	F	-0.112420118343195	0.168878009463812	-0.443414934673081	0.218574697986691	2
Dia	RE	RE13	F	0.0783647918916674	0.109266643896049	-0.135793894856153	0.292523478639487	2
Dia	RE	RE15	F	-0.0329639294710328	0.0943143444378989	-0.21781664779482	0.151888788852755	2
Dia	RE	RE16	F	-0.108006329113924	0.197423579088708	-0.494949433826787	0.278936775598939	2
Dia	RE	RE17	F	-0.167085901802775	0.109266643896049	-0.381244588550595	0.0470727849450452	2
Dia	RE	RE18	F	-0.00749729999169229	0.109266643896049	-0.221655986739512	0.206661386756128	2
Dia	RE	RE2	F	0.0161675666694359	0.109266643896049	-0.197991120078384	0.230326253417256	2
Dia	RE	RE3	F	0.125545069369444	0.109266643896049	-0.0886136173783758	0.339703756117264	2
Dia	RE	RE4	F	0.0102992788461539	0.207921864599003	-0.397220087366305	0.417818645058613	2
Dia	RE	RE5	F	0.141488826119465	0.109266643896049	-0.072669860628355	0.355647512867285	2
Dia	RE	RE6	F	-0.0786352081083326	0.109266643896049	-0.292793894856153	0.135523478639487	2
Dia	RE	RE7	F	0.0848352272727273	0.175891999753318	-0.259906757412503	0.429577211957958	2
Dia	RE	RE8	F	-0.068	0.162	-0.385514165495489	0.249514165495489	1
Dia	GI	GI1	F	-0.22357472792224	0.109266643896049	-0.43773341467006	-0.00941604117441974	2
Dia	GI	GI10	F	0.0127550054000166	0.109266643896049	-0.201403681347803	0.226913692147837	2
Dia	GI	GI11	F	-0.0140943756750021	0.109266643896049	-0.228253062422822	0.200064311072818	2
Dia	GI	GI12	F	0.0652788900888926	0.109266643896049	-0.148879796658927	0.279437576836713	2
Dia	GI	GI13	F	0.0305928387471961	0.109266643896049	-0.183565848000624	0.244751525495016	2
Dia	GI	GI14	F	-0.0631590927972086	0.109266643896049	-0.277317779545029	0.150999593950611	2
Dia	GI	GI15	F	-0.0614249992789779	0.0898140848542289	-0.237457370897691	0.114607372339735	2
Dia	GI	GI2	F	0.106329733322256	0.109266643896049	-0.107828953425564	0.320488420070076	2
Dia	GI	GI3	F	0.152325496386143	0.109266643896049	-0.0618331903616773	0.366484183133963	2
Dia	GI	GI4	F	-0.0600635540417047	0.109266643896049	-0.274222240789525	0.154095132706115	2
Dia	GI	GI5	F	-0.290776423173804	0.0943143444378989	-0.475629141497591	-0.105923704850016	2
Dia	GI	GI6	F	-0.0401621666528205	0.109266643896049	-0.25432085340064	0.173996520095	2
Dia	GI	GI7	F	0.185719946830606	0.109266643896049	-0.0284387399172144	0.399878633578426	2
Dia	GI	GI8	F	-0.0454795539033457	0.133423928698129	-0.306985648827518	0.216026541020827	2
Dia	GI	GI9	F	0.224551282051282	0.13626836713989	-0.0425298097749829	0.491632373877547	2
Dia	MU	MU1	F	-0.0542238805970149	0.0978972688618667	-0.246099001751108	0.137651240557078	2
Dia	MU	MU10	F	0.0199268090055662	0.109266643896049	-0.194231877742254	0.234085495753386	2
Dia	MU	MU11	F	0.0650774279305475	0.109266643896049	-0.149081258817273	0.279236114678367	2
Dia	MU	MU12	F	0.141714574898785	0.123187119074159	-0.0997277418458127	0.383156891643384	2
Dia	MU	MU13	F	0.0633944504444629	0.109266643896049	-0.150764236303357	0.277553137192283	2
Dia	MU	MU14	F	-0.0320370370370371	0.134760550739693	-0.296162863023617	0.232088788949543	2
Dia	MU	MU15	F	-0.166136363636364	0.109556874169018	-0.380863891266425	0.0485911639936974	2
Dia	MU	MU16	F	-0.0397740050377834	0.0943143444378989	-0.224626723361571	0.145078713286004	2
Dia	MU	MU17	F	0.154892913516657	0.109266643896049	-0.059265773231163	0.369051600264477	2
Dia	MU	MU18	F	-0.086	0.162	-0.403514165495489	0.231514165495489	1
Dia	MU	MU19	F	0.0197889008889258	0.109266643896049	-0.194369785858894	0.233947587636746	2
Dia	MU	MU2	F	0.0523461538461539	0.129731806878561	-0.201923515285132	0.30661582297744	2
Dia	MU	MU20	F	0.137360604534005	0.0943143444378989	-0.0474921137897824	0.322213322857792	2
Dia	MU	MU3	F	-0.130913450881612	0.0943143444378989	-0.315766169205399	0.0539392674421753	2
Dia	MU	MU4	F	-0.307257705408324	0.109266643896049	-0.521416392156144	-0.0930990186605043	2
Dia	MU	MU5	F	0.0671367450361386	0.109266643896049	-0.147021941711681	0.281295431783959	2
Dia	MU	MU6	F	-0.0295153866120613	0.0898140848542289	-0.205547758230774	0.146516985006652	2
Dia	MU	MU7	F	0.062	0.162	-0.255514165495489	0.379514165495489	1
