Model	Trait	Lab	Sex	Population	Line	Coef	SE
lmer_pop	Dia	Bergland	F	AK	AK1	0.734722400952812	0.165885561347033
lmer_pop	Dia	Bergland	F	AK	AK10	0.943722400952812	0.165885561347033
lmer_pop	Dia	Bergland	F	AK	AK11	0.750722400952812	0.165885561347033
lmer_pop	Dia	Bergland	F	AK	AK12	0.896722400952812	0.165885561347033
lmer_pop	Dia	Bergland	F	AK	AK14	0.749722400952812	0.165885561347033
lmer_pop	Dia	Bergland	F	AK	AK15	0.849722400952812	0.165885561347033
lmer_pop	Dia	Bergland	F	AK	AK16	0.804722400952812	0.165885561347033
lmer_pop	Dia	Bergland	F	AK	AK17	0.750722400952812	0.165885561347033
lmer_pop	Dia	Bergland	F	AK	AK18	0.803722400952812	0.165885561347033
lmer_pop	Dia	Bergland	F	AK	AK2	0.777722400952812	0.165885561347033
lmer_pop	Dia	Bergland	F	AK	AK20	0.973722400952812	0.165885561347033
lmer_pop	Dia	Bergland	F	AK	AK21	0.973722400952812	0.165885561347033
lmer_pop	Dia	Bergland	F	AK	AK4	0.708722400952812	0.165885561347033
lmer_pop	Dia	Bergland	F	AK	AK5	0.915722400952812	0.165885561347033
lmer_pop	Dia	Bergland	F	AK	AK6	0.789722400952812	0.165885561347033
lmer_pop	Dia	Bergland	F	AK	AK7	0.825722400952812	0.165885561347033
lmer_pop	Dia	Bergland	F	AK	AK8	0.882722400952812	0.165885561347033
lmer_pop	Dia	Bergland	F	AK	AK9	0.857722400952812	0.165885561347033
lmer_pop	Dia	Bergland	F	GI	GI1	0.658858555619323	0.168183035547353
lmer_pop	Dia	Bergland	F	GI	GI10	0.827858555619323	0.168183035547353
lmer_pop	Dia	Bergland	F	GI	GI11	0.837858555619323	0.168183035547353
lmer_pop	Dia	Bergland	F	GI	GI12	0.905858555619323	0.168183035547353
lmer_pop	Dia	Bergland	F	GI	GI13	0.929858555619323	0.168183035547353
lmer_pop	Dia	Bergland	F	GI	GI14	0.757858555619323	0.168183035547353
lmer_pop	Dia	Bergland	F	GI	GI15	0.802858555619323	0.168183035547353
lmer_pop	Dia	Bergland	F	GI	GI2	0.886858555619323	0.168183035547353
lmer_pop	Dia	Bergland	F	GI	GI3	0.937858555619323	0.168183035547353
lmer_pop	Dia	Bergland	F	GI	GI4	0.862858555619323	0.168183035547353
lmer_pop	Dia	Bergland	F	GI	GI5	0.583858555619323	0.140845778942509
lmer_pop	Dia	Bergland	F	GI	GI6	0.891858555619323	0.168183035547353
lmer_pop	Dia	Bergland	F	GI	GI7	0.934858555619323	0.168183035547353
lmer_pop	Dia	Bergland	F	GI	GI8	0.953858555619323	0.168183035547353
lmer_pop	Dia	Bergland	F	GI	GI9	0.943858555619323	0.168183035547353
lmer_pop	Dia	Bergland	F	KA	KA1	1.14317263520063	0.133963225137398
lmer_pop	Dia	Bergland	F	KA	KA10	0.79717263520063	0.133963225137398
lmer_pop	Dia	Bergland	F	KA	KA11	0.93317263520063	0.162462751697776
lmer_pop	Dia	Bergland	F	KA	KA13	0.80117263520063	0.162462751697776
lmer_pop	Dia	Bergland	F	KA	KA14	0.98917263520063	0.162462751697776
lmer_pop	Dia	Bergland	F	KA	KA15	1.03717263520063	0.162462751697776
lmer_pop	Dia	Bergland	F	KA	KA16	0.80017263520063	0.162462751697776
lmer_pop	Dia	Bergland	F	KA	KA17	0.95617263520063	0.162462751697776
lmer_pop	Dia	Bergland	F	KA	KA18	0.99917263520063	0.162462751697776
lmer_pop	Dia	Bergland	F	KA	KA2	0.96517263520063	0.162462751697776
lmer_pop	Dia	Bergland	F	KA	KA23	0.84817263520063	0.162462751697776
