Model	Trait	Lab	Sex	Population	Line	Value_re	SE_re
lmer_pop	Dia	Bergland	F	AK	AK1	-0.098	0.148
lmer_pop	Dia	Bergland	F	AK	AK10	0.111	0.148
lmer_pop	Dia	Bergland	F	AK	AK11	-0.082	0.148
lmer_pop	Dia	Bergland	F	AK	AK12	0.064	0.148
lmer_pop	Dia	Bergland	F	AK	AK14	-0.083	0.148
lmer_pop	Dia	Bergland	F	AK	AK15	0.017	0.148
lmer_pop	Dia	Bergland	F	AK	AK16	-0.028	0.148
lmer_pop	Dia	Bergland	F	AK	AK17	-0.082	0.148
lmer_pop	Dia	Bergland	F	AK	AK18	-0.029	0.148
lmer_pop	Dia	Bergland	F	AK	AK2	-0.055	0.148
lmer_pop	Dia	Bergland	F	AK	AK20	0.141	0.148
lmer_pop	Dia	Bergland	F	AK	AK21	0.141	0.148
lmer_pop	Dia	Bergland	F	AK	AK4	-0.124	0.148
lmer_pop	Dia	Bergland	F	AK	AK5	0.083	0.148
lmer_pop	Dia	Bergland	F	AK	AK6	-0.043	0.148
lmer_pop	Dia	Bergland	F	AK	AK7	-0.007	0.148
lmer_pop	Dia	Bergland	F	AK	AK8	0.05	0.148
lmer_pop	Dia	Bergland	F	AK	AK9	0.025	0.148
lmer_pop	Dia	Bergland	F	GI	GI1	-0.189	0.148
lmer_pop	Dia	Bergland	F	GI	GI10	-0.02	0.148
lmer_pop	Dia	Bergland	F	GI	GI11	-0.01	0.148
lmer_pop	Dia	Bergland	F	GI	GI12	0.058	0.148
lmer_pop	Dia	Bergland	F	GI	GI13	0.082	0.148
lmer_pop	Dia	Bergland	F	GI	GI14	-0.09	0.148
lmer_pop	Dia	Bergland	F	GI	GI15	-0.045	0.148
lmer_pop	Dia	Bergland	F	GI	GI2	0.039	0.148
lmer_pop	Dia	Bergland	F	GI	GI3	0.09	0.148
lmer_pop	Dia	Bergland	F	GI	GI4	0.015	0.148
lmer_pop	Dia	Bergland	F	GI	GI5	-0.264	0.116
lmer_pop	Dia	Bergland	F	GI	GI6	0.044	0.148
lmer_pop	Dia	Bergland	F	GI	GI7	0.087	0.148
lmer_pop	Dia	Bergland	F	GI	GI8	0.106	0.148
lmer_pop	Dia	Bergland	F	GI	GI9	0.096	0.148
lmer_pop	Dia	Bergland	F	KA	KA1	0.229	0.116
lmer_pop	Dia	Bergland	F	KA	KA10	-0.117	0.116
lmer_pop	Dia	Bergland	F	KA	KA11	0.019	0.148
lmer_pop	Dia	Bergland	F	KA	KA13	-0.113	0.148
lmer_pop	Dia	Bergland	F	KA	KA14	0.075	0.148
lmer_pop	Dia	Bergland	F	KA	KA15	0.123	0.148
lmer_pop	Dia	Bergland	F	KA	KA16	-0.114	0.148
lmer_pop	Dia	Bergland	F	KA	KA17	0.042	0.148
lmer_pop	Dia	Bergland	F	KA	KA18	0.085	0.148
lmer_pop	Dia	Bergland	F	KA	KA2	0.051	0.148
