Model	Predictor	Trait	Lab	Sex	Population	Estimate	SE
lmer	pop	Dia	Bergland	F	AK	0.832722400952812	0.0749267606627989
lmer	pop	Dia	Bergland	F	GI	0.847858555619323	0.0801852725849588
lmer	pop	Dia	Bergland	F	KA	0.91417263520063	0.0674628725739957
lmer	pop	Dia	Bergland	F	MA	1.02392975287758	0.0715968791450842
lmer	pop	Dia	Bergland	F	MU	1.02326228062965	0.0707061658114937
lmer	pop	Dia	Bergland	F	RE	0.866023759460741	0.082861731485539
lmer	pop	Dia	Bergland	F	UM	1.13908930775044	0.0765786445040196
lmer	pop	Dia	Bergland	F	VA	1.131637894819	0.0707217867425084
lmer	pop	Dia	Bergland	F	YE	1.02197542686463	0.0686402987386293
lm	pop	Dia	Flatt	F	AK	1.43111607320467	0.0413999580828562
lm	pop	Dia	Flatt	F	GI	1.44025016792716	0.0494824143258743
lm	pop	Dia	Flatt	F	KA	1.49494238255734	0.0413999580828561
lm	pop	Dia	Flatt	F	MA	1.43396632157563	0.0424754607702432
lm	pop	Dia	Flatt	F	MU	1.50840170870361	0.041399958082856
lm	pop	Dia	Flatt	F	RE	1.45096088011129	0.0494824143258742
lm	pop	Dia	Flatt	F	UM	1.52145096496292	0.046286560269454
lm	pop	Dia	Flatt	F	VA	1.41832119662316	0.041399958082856
lm	pop	Dia	Flatt	F	YE	1.45876280008367	0.041399958082856
lmer	pop	Dia	Schlotterer	F	AK	0.810612828557171	0.080704949288245
lmer	pop	Dia	Schlotterer	F	GI	0.956547192054486	0.0909012552615253
lmer	pop	Dia	Schlotterer	F	KA	1.02881462213934	0.0811100504647554
lmer	pop	Dia	Schlotterer	F	MA	1.04006491530581	0.0817269351281465
lmer	pop	Dia	Schlotterer	F	MU	1.0578718400815	0.0812424081002614
lmer	pop	Dia	Schlotterer	F	RE	1.025416679778	0.0919323288508071
lmer	pop	Dia	Schlotterer	F	UM	1.26294901471155	0.0923566853878167
lmer	pop	Dia	Schlotterer	F	VA	1.06466433061756	0.0890696551400626
lmer	pop	Dia	Schlotterer	F	YE	0.996363581226347	0.0825143422200077
