Trait	Population	Line	Sex	Value	SE	LLM	ULM	N_lab
DW	YE	YE11	F	0.419274073149485	0.0107909376173815	0.398124224059999	0.440423922238971	2
DW	YE	YE13	F	0.448940507039871	0.0154789710588937	0.418602281246701	0.47927873283304	3
DW	YE	YE14	F	0.439679575861295	0.0122299476811241	0.415709318873482	0.463649832849107	2
DW	YE	YE15	F	0.445939771827082	0.0198878997989615	0.406960204492976	0.484919339161188	3
DW	YE	YE19	F	0.42156342076493	0.0143347106761994	0.393467904110778	0.449658937419083	3
DW	YE	YE20	F	0.448106844067053	0.0226017012301945	0.403808323666537	0.492405364467569	3
DW	YE	YE21	F	0.481358901772223	0.0268725685314611	0.428689635278475	0.534028168265971	3
DW	YE	YE22	F	0.437205959354631	0.0244836817269696	0.38921882496083	0.485193093748433	3
DW	YE	YE23	F	0.456385031646791	0.0369728922035509	0.38391949452355	0.528850568770033	3
DW	YE	YE24	F	0.459140832048141	0.0253602600158783	0.409435635778448	0.508846028317834	3
DW	YE	YE26	F	0.43898328049454	0.0185958945156797	0.402535996983502	0.475430564005578	3
DW	YE	YE27	F	0.476028385946569	0.00875110970807963	0.458876526093974	0.493180245799164	3
DW	YE	YE33	F	0.505117610810897	0.026672571667296	0.452840330967933	0.55739489065386	3
DW	YE	YE40	F	0.429704872451746	0.01715348781616	0.396084654122826	0.463325090780667	3
DW	YE	YE41	F	0.437028992092963	0.0120344653739888	0.413441873386751	0.460616110799176	3
DW	YE	YE48	F	0.405817859320386	0.00874199569047245	0.388683862614055	0.422951856026716	3
DW	YE	YE49	F	0.435544555089403	0.0208274595132781	0.394723484553912	0.476365625624895	3
DW	YE	YE51	F	0.454769586822354	0.00874862756815104	0.437622591874624	0.471916581770084	3
DW	YE	YE69	F	0.463854100732357	0.019897162585966	0.424856378669326	0.502851822795389	3
DW	YE	YE80	F	0.499131664873158	0.017362532661734	0.465101726175759	0.533161603570557	3
DW	RE	RE1	F	0.490778744967212	0.0155997326858695	0.460203830734455	0.521353659199968	1
DW	RE	RE10	F	0.46774783967967	0.0212804479854757	0.426038928053259	0.50945675130608	3
DW	RE	RE11	F	0.464840559102127	0.0143130735459667	0.43678745044396	0.492893667760295	3
DW	RE	RE12	F	0.488717127611337	0.0264564618598841	0.436863415207606	0.540570840015067	3
DW	RE	RE13	F	0.519517171596926	0.0162908193497778	0.487587752392714	0.551446590801139	3
DW	RE	RE15	F	0.448644515919355	0.00903432122928938	0.430937571685182	0.466351460153528	3
DW	RE	RE16	F	0.49627277513289	0.0112216779830735	0.47427869043996	0.518266859825821	3
DW	RE	RE17	F	0.466313614899586	0.0212493199002577	0.424665713199111	0.507961516600062	3
DW	RE	RE18	F	0.478932756104777	0.0286696040527447	0.422741364710374	0.53512414749918	3
DW	RE	RE2	F	0.543800937291188	0.0236609597858921	0.497426308271188	0.590175566311187	3
DW	RE	RE3	F	0.490892438622747	0.00903432122928938	0.473185494388575	0.50859938285692	3
DW	RE	RE4	F	0.475878010846674	0.0258665665075249	0.425180472088215	0.526575549605133	3
DW	RE	RE5	F	0.456398435382626	0.00903514924044424	0.43868986827641	0.474107002488841	3
DW	RE	RE6	F	0.479901431091368	0.0267349093493472	0.427501971636704	0.532300890546031	3
DW	RE	RE7	F	0.491675471581769	0.0235293207768985	0.445558850278358	0.537792092885179	3
DW	RE	RE8	F	0.464523901895646	0.011577115485937	0.441833172498349	0.487214631292943	3
DW	GI	GI1	F	0.480501827335478	0.0190480554258813	0.443168324725228	0.517835329945728	3
DW	GI	GI10	F	0.460564784388924	0.00906794390980239	0.442791940911882	0.478337627865966	3
DW	GI	GI11	F	0.420807745296199	0.00906794390980239	0.403034901819157	0.438580588773241	3
DW	GI	GI12	F	0.427946351188845	0.0222516919151082	0.384333836440152	0.471558865937538	3
DW	GI	GI13	F	0.457703309560848	0.0483200368533518	0.362997777596631	0.552408841525066	3
DW	GI	GI14	F	0.493732274534322	0.0167702057278264	0.460863275294455	0.526601273774189	3
DW	GI	GI15	F	0.44388776935129	0.0141128687950531	0.416227054794447	0.471548483908134	3
DW	GI	GI2	F	0.436363005145237	0.00906794390980239	0.418590161668195	0.454135848622279	3
DW	GI	GI3	F	0.440749718596184	0.0105608278875792	0.420050876289602	0.461448560902765	3
DW	GI	GI4	F	0.440288323901994	0.0112507926936827	0.418237175424849	0.462339472379138	3
DW	GI	GI5	F	0.469940675324754	0.0202877397366089	0.430177436113278	0.509703914536229	3
DW	GI	GI6	F	0.47607771494308	0.0228919117120877	0.431210392450118	0.520945037436043	3
DW	GI	GI7	F	0.451132655376027	0.021253823664759	0.409475926459334	0.49278938429272	3
DW	GI	GI8	F	0.448351176153109	0.00906794390980239	0.430578332676067	0.466124019630151	3
DW	GI	GI9	F	0.483237090135483	0.0208443997974872	0.442382817253054	0.524091363017912	3
DW	MU	MU1	F	0.422839901106369	0.0120284330403397	0.399264605556852	0.446415196655886	3
DW	MU	MU10	F	0.416903720309524	0.00955684944403932	0.398172639593535	0.435634801025512	3
DW	MU	MU11	F	0.448292380801324	0.033476635463466	0.382679380969354	0.513905380633293	3
DW	MU	MU12	F	0.496208417685114	0.0264632796572253	0.44434134264414	0.548075492726087	3
DW	MU	MU13	F	0.424365309142559	0.0174192381821834	0.390224229667354	0.458506388617763	3
DW	MU	MU14	F	0.475875671790384	0.00973960855810078	0.456786389792989	0.49496495378778	3
DW	MU	MU15	F	0.485169822362451	0.0142279262110369	0.457283599414125	0.513056045310777	3
