Model	Trait	Lab	Sex	Population	Line	Coef	SE
lmer_pop	DW	Colinet	F	AK	AK1	0.506729598926674	0.0161741950639731
lmer_pop	DW	Colinet	F	AK	AK10	0.472729598926674	0.0161741950639731
lmer_pop	DW	Colinet	F	AK	AK11	0.464729598926674	0.0161741950639731
lmer_pop	DW	Colinet	F	AK	AK12	0.446729598926674	0.0161741950639731
lmer_pop	DW	Colinet	F	AK	AK13	0.455729598926674	0.0168702277983272
lmer_pop	DW	Colinet	F	AK	AK14	0.437729598926674	0.0168702277983272
lmer_pop	DW	Colinet	F	AK	AK15	0.420729598926674	0.0168702277983272
lmer_pop	DW	Colinet	F	AK	AK16	0.481729598926674	0.0168702277983272
lmer_pop	DW	Colinet	F	AK	AK17	0.426729598926674	0.0168702277983272
lmer_pop	DW	Colinet	F	AK	AK18	0.489729598926674	0.0168702277983272
lmer_pop	DW	Colinet	F	AK	AK2	0.529729598926674	0.0161741950639731
lmer_pop	DW	Colinet	F	AK	AK20	0.400729598926674	0.0168702277983272
lmer_pop	DW	Colinet	F	AK	AK21	0.446729598926674	0.0168702277983272
lmer_pop	DW	Colinet	F	AK	AK3	0.501729598926674	0.0161741950639731
lmer_pop	DW	Colinet	F	AK	AK4	0.493729598926674	0.0161741950639731
lmer_pop	DW	Colinet	F	AK	AK5	0.512729598926674	0.0161741950639731
lmer_pop	DW	Colinet	F	AK	AK6	0.486729598926674	0.0161741950639731
lmer_pop	DW	Colinet	F	AK	AK7	0.474729598926674	0.0161741950639731
lmer_pop	DW	Colinet	F	AK	AK8	0.497729598926674	0.0161741950639731
lmer_pop	DW	Colinet	F	AK	AK9	0.427729598926674	0.0161741950639731
lmer_pop	DW	Colinet	F	GI	GI1	0.515901408833969	0.017109108384889
lmer_pop	DW	Colinet	F	GI	GI10	0.460901408833969	0.017109108384889
lmer_pop	DW	Colinet	F	GI	GI11	0.433901408833969	0.017109108384889
lmer_pop	DW	Colinet	F	GI	GI12	0.473901408833969	0.017109108384889
lmer_pop	DW	Colinet	F	GI	GI13	0.554901408833969	0.017109108384889
lmer_pop	DW	Colinet	F	GI	GI14	0.526901408833969	0.017109108384889
lmer_pop	DW	Colinet	F	GI	GI15	0.429901408833969	0.017109108384889
lmer_pop	DW	Colinet	F	GI	GI2	0.451901408833969	0.017109108384889
lmer_pop	DW	Colinet	F	GI	GI3	0.454901408833969	0.017109108384889
lmer_pop	DW	Colinet	F	GI	GI4	0.464901408833969	0.017109108384889
lmer_pop	DW	Colinet	F	GI	GI5	0.487901408833969	0.017109108384889
lmer_pop	DW	Colinet	F	GI	GI6	0.522901408833969	0.017109108384889
lmer_pop	DW	Colinet	F	GI	GI7	0.492901408833969	0.017109108384889
lmer_pop	DW	Colinet	F	GI	GI8	0.437901408833969	0.017109108384889
lmer_pop	DW	Colinet	F	GI	GI9	0.488901408833969	0.017109108384889
lmer_pop	DW	Colinet	F	KA	KA1	0.468884472864863	0.0164289469810443
lmer_pop	DW	Colinet	F	KA	KA10	0.510884472864863	0.0164289469810443
lmer_pop	DW	Colinet	F	KA	KA11	0.559884472864863	0.0164289469810443
lmer_pop	DW	Colinet	F	KA	KA13	0.413884472864863	0.0164289469810443
lmer_pop	DW	Colinet	F	KA	KA14	0.483884472864863	0.0164289469810443
lmer_pop	DW	Colinet	F	KA	KA15	0.474884472864863	0.0164289469810443
lmer_pop	DW	Colinet	F	KA	KA16	0.490884472864863	0.0164289469810443
lmer_pop	DW	Colinet	F	KA	KA17	0.524884472864863	0.0164289469810443
lmer_pop	DW	Colinet	F	KA	KA18	0.512884472864863	0.0164289469810443
lmer_pop	DW	Colinet	F	KA	KA2	0.520884472864863	0.0164289469810443
lmer_pop	DW	Colinet	F	KA	KA23	0.475884472864863	0.0164289469810443
lmer_pop	DW	Colinet	F	KA	KA24	0.493884472864863	0.0164289469810443
lmer_pop	DW	Colinet	F	KA	KA25	0.496884472864863	0.0164289469810443
lmer_pop	DW	Colinet	F	KA	KA28	0.510884472864863	0.0164289469810443
lmer_pop	DW	Colinet	F	KA	KA29	0.499884472864863	0.0164289469810443
lmer_pop	DW	Colinet	F	KA	KA3	0.540884472864863	0.0164289469810443
lmer_pop	DW	Colinet	F	KA	KA5	0.485884472864863	0.0164289469810443
lmer_pop	DW	Colinet	F	KA	KA6	0.480884472864863	0.0164289469810443
