Model	Predictor	Trait	Lab	Sex	Population	Estimate	SE
lmer	pop	DW	Colinet	F	AK	0.468729598926674	0.0118576804632041
lmer	pop	DW	Colinet	F	GI	0.479901408833969	0.0131042584576877
lmer	pop	DW	Colinet	F	KA	0.498884472864863	0.012202880762589
lmer	pop	DW	Colinet	F	MA	0.502023148147714	0.0121792933043578
lmer	pop	DW	Colinet	F	MU	0.484496265593233	0.0118576804632104
lmer	pop	DW	Colinet	F	RE	0.515191503003609	0.0131033927939974
lmer	pop	DW	Colinet	F	UM	0.501428880977537	0.0126835425793433
lmer	pop	DW	Colinet	F	VA	0.497251139531524	0.012202880762589
lmer	pop	DW	Colinet	F	YE	0.480904077217181	0.0118581567658261
lmer	pop	DW	Hoedjes	F	AK	0.437372916666587	0.00940447675168001
lmer	pop	DW	Hoedjes	F	GI	0.448304820312758	0.0105719978344778
lmer	pop	DW	Hoedjes	F	KA	0.458818493811157	0.00940501227939461
lmer	pop	DW	Hoedjes	F	MA	0.443135528791993	0.0094056039534813
lmer	pop	DW	Hoedjes	F	MU	0.456748786271269	0.00940205650348465
lmer	pop	DW	Hoedjes	F	RE	0.465469976473468	0.0105632477884799
lmer	pop	DW	Hoedjes	F	UM	0.44996234256474	0.0100336577913064
lmer	pop	DW	Hoedjes	F	VA	0.473100781891453	0.00940801129653757
lmer	pop	DW	Hoedjes	F	YE	0.442164506366704	0.00942582248588343
lmer	pop	DW	Onder	F	AK	0.425376804889413	0.01032311831594
lmer	pop	DW	Onder	F	GI	0.438757874481956	0.0112947690395425
lmer	pop	DW	Onder	F	KA	0.46032299957888	0.0103275473358744
lmer	pop	DW	Onder	F	MA	0.469668471556218	0.0103231183159374
lmer	pop	DW	Onder	F	MU	0.440493523154383	0.0102770481895188
lmer	pop	DW	Onder	F	RE	0.469778744967212	0.0110612684566728
lmer	pop	DW	Onder	F	UM	0.463451613384669	0.0108212912989768
lmer	pop	DW	Onder	F	VA	0.473314688303743	0.0102549794086303
lmer	pop	DW	Onder	F	YE	0.429171893425924	0.0106228708994769
lmer	pop	DW	Colinet	M	AK	0.259471271485426	0.00433567742606129
lmer	pop	DW	Colinet	M	GI	0.260406219239516	0.00500940245846091
lmer	pop	DW	Colinet	M	KA	0.279120934095891	0.00433567742606106
lmer	pop	DW	Colinet	M	MA	0.271789351851855	0.0045698114965817
lmer	pop	DW	Colinet	M	MU	0.272112500000001	0.00433530384204628
lmer	pop	DW	Colinet	M	RE	0.27605	0.00500597768044847
lmer	pop	DW	Colinet	M	UM	0.275830882352939	0.00470229723619039
lmer	pop	DW	Colinet	M	VA	0.267546684457516	0.00433567742606106
lmer	pop	DW	Colinet	M	YE	0.249188722474952	0.00433570502715181
lmer	pop	DW	Hoedjes	M	AK	0.263654567929096	0.00634157415642547
lmer	pop	DW	Hoedjes	M	GI	0.26588621385615	0.006860729923598
lmer	pop	DW	Hoedjes	M	KA	0.274426746726072	0.00634042390556024
lmer	pop	DW	Hoedjes	M	MA	0.266814910696168	0.00632964465145102
lmer	pop	DW	Hoedjes	M	MU	0.269200376255851	0.00634177381424901
lmer	pop	DW	Hoedjes	M	RE	0.269957039800128	0.00688519404885008
lmer	pop	DW	Hoedjes	M	UM	0.265389306909966	0.00663065367256314
lmer	pop	DW	Hoedjes	M	VA	0.272305444646743	0.00631956905179085
lmer	pop	DW	Hoedjes	M	YE	0.264694966713738	0.00633354605206327
lmer	pop	DW	Onder	M	AK	0.255120692338971	0.00650494038316429
lmer	pop	DW	Onder	M	GI	0.251169265130186	0.00710338897270273
lmer	pop	DW	Onder	M	KA	0.263026791977654	0.00650784732839036
lmer	pop	DW	Onder	M	MA	0.271704378226455	0.00650463134882638
lmer	pop	DW	Onder	M	MU	0.261927644012623	0.00647809605966696
lmer	pop	DW	Onder	M	RE	0.26486622635502	0.00696045571540651
lmer	pop	DW	Onder	M	UM	0.26788216723547	0.00681307818450794
lmer	pop	DW	Onder	M	VA	0.266348048312632	0.00646474403288383
lmer	pop	DW	Onder	M	YE	0.252248317019541	0.00669044917954295
