Trait	Population	Line	Sex	Value	SE	LLM	ULM	N_lab
Fec	YE	YE11	F	-2.82541142061282	16.0987151996166	-34.3783134092288	28.7274905680032	2
Fec	YE	YE13	F	3.60735162369612	12.3845747685829	-20.6659688865698	27.8806721339621	2
Fec	YE	YE14	F	-0.204362695020674	14.151896662526	-27.9415704665043	27.5328450764629	2
Fec	YE	YE15	F	4.56993762022173	11.7606008987127	-18.4804165778045	27.6202918182479	2
Fec	YE	YE19	F	-1.16825576036866	19.0475625678958	-38.5007923867177	36.1642808659803	2
Fec	YE	YE20	F	-23.4098196768515	10.3241840590238	-43.6448486023007	-3.17479075140223	2
Fec	YE	YE21	F	-24.9099131581455	9.60061682778094	-43.7267763699653	-6.09304994632566	2
Fec	YE	YE22	F	15.8060897374702	20.8069652431271	-24.9748127666357	56.5869922415761	2
Fec	YE	YE23	F	11.0208229614842	13.9448848286796	-16.3106490712868	38.3522949942551	2
Fec	YE	YE24	F	27.3555912181124	11.1746132109406	5.45375178350333	49.2574306527215	2
Fec	YE	YE26	F	-19.4723855475403	11.1632977373182	-41.3520470613815	2.40727596630088	2
Fec	YE	YE27	F	-10.4724590355744	11.4094390177044	-32.8345485940811	11.8896305229322	2
Fec	YE	YE33	F	5.58438918421646	11.3850922042781	-16.7299814968363	27.8987598652692	2
Fec	YE	YE40	F	45.0746944929155	50.1305952348906	-53.1794666910254	143.328855676856	2
Fec	YE	YE41	F	-11.4502770991288	11.1568238715173	-33.3172500691593	10.4166958709018	2
Fec	YE	YE48	F	7.31828572373644	14.7318201522154	-21.555551201327	36.1921226487999	2
Fec	YE	YE49	F	-29.092	19.216	-66.7546679269217	8.57066792692168	1
Fec	YE	YE51	F	-2.96562707513077	9.84952797501865	-22.2703471708871	16.3390930206255	2
Fec	YE	YE69	F	-3.46978753393793	9.20402109974582	-21.5093374023865	14.5697623345106	2
Fec	YE	YE80	F	14.0243256400156	9.87228982871246	-5.32500686920191	33.3736581492331	2
Fec	RE	RE1	F	-13.0070450282299	10.6667957461527	-33.9135805211343	7.89949046467455	2
Fec	RE	RE10	F	2.14995514149247	13.681406818103	-24.6651094798302	28.9650197628151	2
Fec	RE	RE11	F	28.8959005726644	10.2749342770146	8.75739944619977	49.034401699129	2
Fec	RE	RE12	F	-30.9173699840356	9.20402109974582	-48.9569198524842	-12.8778201155871	2
Fec	RE	RE13	F	-10.9315228485428	10.6541251099135	-31.813224350757	9.95017865367144	2
Fec	RE	RE15	F	-11.8484257200606	18.5080923365365	-48.123620122214	24.4267686820927	2
Fec	RE	RE16	F	35.0934073923639	11.2289827704857	13.0850055791912	57.1018092055367	2
Fec	RE	RE17	F	-10.6626349279265	15.3833848360297	-40.8135151668643	19.4882453110113	2
Fec	RE	RE18	F	-12.4123588952231	11.3821561316338	-34.720974979637	9.89625718919079	2
Fec	RE	RE2	F	6.32320027749439	12.409003022148	-17.9979987299644	30.6443992849531	2
Fec	RE	RE3	F	-26.1255352468107	12.4267809724031	-50.4815783964884	-1.76949209713307	2
Fec	RE	RE4	F	-7.799	12.075	-31.4655651133211	15.8675651133211	1
Fec	RE	RE5	F	10.5958171295843	25.5061711350183	-39.3953596785668	60.5869939377353	2
Fec	RE	RE6	F	11.9123479650929	10.227040642757	-8.13228336313812	31.9569792933239	2
Fec	RE	RE7	F	11.7965408648977	14.3404848614694	-16.3102929844241	39.9033747142196	2
Fec	RE	RE8	F	34.355	12.867	9.13614341092313	59.5738565890769	1
Fec	GI	GI1	F	-9.52188650569478	10.7315607359709	-30.5553590461018	11.5115860347123	2
Fec	GI	GI10	F	7.98154779091454	9.4967081457273	-10.6316581463991	26.5947537282282	2
Fec	GI	GI11	F	-9.50109412982365	10.25402007957	-29.5986041825314	10.5964159228841	2
Fec	GI	GI12	F	-22.3289070489175	9.49690200644207	-40.9424929462501	-3.71532115158484	2
Fec	GI	GI13	F	-6.47640278390401	10.6679466263007	-27.385193960449	14.432388392641	2
Fec	GI	GI14	F	10.3406280772151	13.3215463848219	-15.7691230554156	36.4503792098458	2
Fec	GI	GI15	F	-6.26383129052464	29.4743059987089	-64.0324095173069	51.5047469362576	2
Fec	GI	GI2	F	-1.89413590566519	11.1665325203505	-23.7801374777474	19.9918656664171	2
Fec	GI	GI3	F	-2.96902157508653	10.6420116649996	-23.8269811615408	17.8889380113678	2
Fec	GI	GI4	F	2.50713384882472	21.7633442220018	-40.1482370094467	45.1625047070962	2
Fec	GI	GI5	F	-1.18546744126429	9.53932095938104	-19.8821929586192	17.5112580760906	2
Fec	GI	GI6	F	-0.901594412601045	11.1498040440412	-22.7548087736008	20.9516199483987	2
Fec	GI	GI7	F	8.43255840608376	10.3241840590238	-11.8024705193655	28.667587331533	2
Fec	GI	GI8	F	16.1987148071205	26.2318188299683	-35.2147053485969	67.612134962838	2
Fec	GI	GI9	F	19.3866386833076	11.1746132109406	-2.51520075130146	41.2884781179167	2
Fec	MU	MU1	F	-3.79575773322135	11.4360261624846	-26.209957137949	18.6184416715063	2
Fec	MU	MU10	F	7.3864607153974	9.185063448744	-10.6159328398561	25.3888542706509	2
Fec	MU	MU11	F	-9.76813753983913	26.2589367199275	-61.2347077832133	41.6984327035351	2
Fec	MU	MU12	F	-5.92311151124845	11.2623798677933	-27.9969704323323	16.1507474098354	2
Fec	MU	MU13	F	-46.002	19.216	-83.6646679269217	-8.33933207307833	1
Fec	MU	MU14	F	4.41226034157929	11.4628727115627	-18.0545573324505	26.8790780156091	2
Fec	MU	MU15	F	-10.443554697053	13.243690503802	-36.4007111069001	15.513601712794	2
Fec	MU	MU16	F	-22.213	19.216	-59.8756679269217	15.4496679269217	1
Fec	MU	MU17	F	24.4333372923289	31.8660662523629	-38.0230048912696	86.8896794759274	2
Fec	MU	MU18	F	-6.26045944402676	8.69623119234585	-23.3047593822584	10.7838404942049	2
Fec	MU	MU19	F	-4.26430838562158	11.1568238715173	-26.1312813556521	17.602664584409	2
Fec	MU	MU2	F	15.8650441538462	19.2937038647459	-21.9499205494371	53.6800088571294	2
Fec	MU	MU20	F	-1.644	12.108	-25.375243924811	22.087243924811	1
Fec	MU	MU3	F	-13.302043631345	11.1476427421498	-35.1510219184779	8.54693465578786	2
Fec	MU	MU4	F	10.7260456706407	26.4755614692306	-41.1651012795276	62.617192620809	2
Fec	MU	MU5	F	11.690871039093	14.9689123493219	-17.6476580533148	41.0294001315008	2
Fec	MU	MU6	F	19.2234940128268	9.94023771463573	-0.259013905625984	38.7060019312795	2
Fec	MU	MU7	F	-8.03773436411765	10.2440144552353	-28.1156337534865	12.0401650252512	2
Fec	MU	MU8	F	-13.9070573119568	12.3290902056086	-38.0716300770952	10.2575154531815	2
Fec	MU	MU9	F	22.5982681941966	26.5197068938542	-29.3794021983162	74.5759385867095	2
Fec	MA	MA12	F	34.6433255348324	9.96840011003594	15.1056203356768	54.1810307339879	2
Fec	MA	MA13	F	4.82059224321379	19.0515027391474	-32.5196669768813	42.1608514633089	2
Fec	MA	MA16	F	0.0425227017460264	14.3654906538048	-28.1133215999582	28.1983670034502	2
Fec	MA	MA18	F	-12.727	12.792	-37.7988592902364	12.3448592902364	1
Fec	MA	MA19	F	31.8397584405726	41.4715167614747	-49.4429207961671	113.122437677312	2
Fec	MA	MA20	F	-16.8995591945166	9.90758523848199	-36.318069435702	2.51895104666874	2
Fec	MA	MA21	F	-22.1601248672341	10.6915031251599	-43.1150859331449	-1.20516380132324	2
Fec	MA	MA23	F	-13.834294046032	10.6915031251599	-34.7892551119428	7.12066701987883	2
Fec	MA	MA26	F	1.66994791405962	9.87228982871246	-17.6793845951579	21.0192804232771	2
Fec	MA	MA27	F	-1.78126563305582	9.25594285583918	-19.9225802734614	16.3600490073498	2
Fec	MA	MA28	F	-9.16683842349062	11.9638144751246	-32.6154839124538	14.2818070654726	2
Fec	MA	MA3	F	-17.2399111832254	10.248252683213	-37.3261173467889	2.84629498033812	2
Fec	MA	MA30	F	-19.268	10.16	-39.1812340829269	0.645234082926944	1
Fec	MA	MA31	F	44.1023066494589	9.87228982871246	24.7529741402414	63.4516391586764	2
Fec	MA	MA32	F	10.051411294596	8.98183071706652	-7.55265342608996	27.6554760152819	2
