Model	Trait	Lab	Sex	Population	Line	Coef	SE
lmer_pop	Fec	Billeter	F	AK	AK1	121.880079406603	21.2853236226463
lmer_pop	Fec	Billeter	F	AK	AK10	58.933079406603	21.2853236226463
lmer_pop	Fec	Billeter	F	AK	AK11	59.602079406603	21.2853236226463
lmer_pop	Fec	Billeter	F	AK	AK12	109.184079406603	21.2853236226463
lmer_pop	Fec	Billeter	F	AK	AK13	100.096079406603	21.2853236226463
lmer_pop	Fec	Billeter	F	AK	AK14	142.194079406603	21.2853236226463
lmer_pop	Fec	Billeter	F	AK	AK15	149.628079406603	22.5837634312969
lmer_pop	Fec	Billeter	F	AK	AK16	93.537079406603	19.3699572978565
lmer_pop	Fec	Billeter	F	AK	AK17	100.498079406603	19.3699572978565
lmer_pop	Fec	Billeter	F	AK	AK18	78.178079406603	21.2853236226463
lmer_pop	Fec	Billeter	F	AK	AK2	111.857079406603	21.2853236226463
lmer_pop	Fec	Billeter	F	AK	AK20	39.555079406603	21.2853236226463
lmer_pop	Fec	Billeter	F	AK	AK21	126.290079406603	21.2853236226463
lmer_pop	Fec	Billeter	F	AK	AK3	108.248079406603	21.2853236226463
lmer_pop	Fec	Billeter	F	AK	AK4	61.205079406603	21.2853236226463
lmer_pop	Fec	Billeter	F	AK	AK5	119.474079406603	21.2853236226463
lmer_pop	Fec	Billeter	F	AK	AK6	88.822079406603	24.2439259758147
lmer_pop	Fec	Billeter	F	AK	AK7	103.505079406603	22.5837634312969
lmer_pop	Fec	Billeter	F	AK	AK8	70.561079406603	21.2853236226463
lmer_pop	Fec	Billeter	F	AK	AK9	98.091079406603	21.2853236226463
lmer_pop	Fec	Billeter	F	GI	GI1	73.128385341163	21.8807826453156
lmer_pop	Fec	Billeter	F	GI	GI10	85.023385341163	21.8807826453156
lmer_pop	Fec	Billeter	F	GI	GI11	68.461385341163	20.0224597183149
lmer_pop	Fec	Billeter	F	GI	GI12	59.286385341163	20.0224597183149
lmer_pop	Fec	Billeter	F	GI	GI13	60.699385341163	21.8807826453156
lmer_pop	Fec	Billeter	F	GI	GI14	66.981385341163	21.8807826453156
lmer_pop	Fec	Billeter	F	GI	GI15	36.510385341163	21.8807826453156
lmer_pop	Fec	Billeter	F	GI	GI2	59.897385341163	21.8807826453156
lmer_pop	Fec	Billeter	F	GI	GI3	62.971385341163	21.8807826453156
lmer_pop	Fec	Billeter	F	GI	GI4	100.926385341163	21.8807826453156
lmer_pop	Fec	Billeter	F	GI	GI5	78.608385341163	21.8807826453156
lmer_pop	Fec	Billeter	F	GI	GI6	63.640385341163	21.8807826453156
lmer_pop	Fec	Billeter	F	GI	GI7	80.345385341163	21.8807826453156
lmer_pop	Fec	Billeter	F	GI	GI8	116.964385341163	21.8807826453156
lmer_pop	Fec	Billeter	F	GI	GI9	99.456385341163	21.8807826453156
lmer_pop	Fec	Billeter	F	KA	KA1	89.9433628500325	21.2740238193572
lmer_pop	Fec	Billeter	F	KA	KA10	104.510362850032	21.2740238193572
lmer_pop	Fec	Billeter	F	KA	KA11	112.262362850032	21.2740238193572
lmer_pop	Fec	Billeter	F	KA	KA13	108.291362850032	22.573113619228
lmer_pop	Fec	Billeter	F	KA	KA14	114.935362850032	21.2740238193572
lmer_pop	Fec	Billeter	F	KA	KA15	99.4043628500325	18.6253767335476
lmer_pop	Fec	Billeter	F	KA	KA16	88.4733628500325	21.2740238193572
lmer_pop	Fec	Billeter	F	KA	KA17	72.1683628500325	21.2740238193572
lmer_pop	Fec	Billeter	F	KA	KA18	103.308362850032	21.2740238193572
lmer_pop	Fec	Billeter	F	KA	KA2	140.862362850032	21.2740238193572
lmer_pop	Fec	Billeter	F	KA	KA23	103.308362850032	21.2740238193572
lmer_pop	Fec	Billeter	F	KA	KA24	74.3073628500325	21.2740238193572
lmer_pop	Fec	Billeter	F	KA	KA25	97.9563628500325	22.573113619228
lmer_pop	Fec	Billeter	F	KA	KA28	159.438362850032	21.2740238193572
lmer_pop	Fec	Billeter	F	KA	KA29	150.217362850032	21.2740238193572
lmer_pop	Fec	Billeter	F	KA	KA3	116.004362850032	21.2740238193572
lmer_pop	Fec	Billeter	F	KA	KA5	108.252362850032	21.2740238193572
lmer_pop	Fec	Billeter	F	KA	KA6	94.3533628500325	21.2740238193572
lmer_pop	Fec	Billeter	F	KA	KA7	98.4963628500325	21.2740238193572
lmer_pop	Fec	Billeter	F	KA	KA9	162.913362850032	21.2740238193572
lmer_pop	Fec	Billeter	F	MA	MA12	140.469600299032	21.6016614155138
lmer_pop	Fec	Billeter	F	MA	MA13	81.7996002990315	21.6016614155138
lmer_pop	Fec	Billeter	F	MA	MA16	81.3986002990315	21.6016614155138
lmer_pop	Fec	Billeter	F	MA	MA19	173.880600299032	21.6016614155138
lmer_pop	Fec	Billeter	F	MA	MA20	82.0666002990315	21.6016614155138
lmer_pop	Fec	Billeter	F	MA	MA21	65.2276002990315	21.6016614155138
lmer_pop	Fec	Billeter	F	MA	MA23	77.1216002990315	21.6016614155138
lmer_pop	Fec	Billeter	F	MA	MA26	98.3716002990315	21.6016614155138
lmer_pop	Fec	Billeter	F	MA	MA27	108.416600299032	19.7170489655653
lmer_pop	Fec	Billeter	F	MA	MA28	72.8456002990315	21.6016614155138
lmer_pop	Fec	Billeter	F	MA	MA3	66.1636002990315	21.6016614155138
lmer_pop	Fec	Billeter	F	MA	MA31	140.202600299032	21.6016614155138
lmer_pop	Fec	Billeter	F	MA	MA32	99.9756002990315	21.6016614155138
lmer_pop	Fec	Billeter	F	MA	MA33	139.132600299032	21.6016614155138
lmer_pop	Fec	Billeter	F	MA	MA5	89.2836002990315	21.6016614155138
lmer_pop	Fec	Billeter	F	MA	MA6	81.6656002990315	21.6016614155138
lmer_pop	Fec	Billeter	F	MA	MA7	87.0116002990315	21.6016614155138
lmer_pop	Fec	Billeter	F	MU	MU1	78.8224544805221	22.745791605404
lmer_pop	Fec	Billeter	F	MU	MU10	95.9524544805221	21.4571588696283
lmer_pop	Fec	Billeter	F	MU	MU11	55.4584544805221	21.4571588696283
lmer_pop	Fec	Billeter	F	MU	MU12	100.496454480522	21.4571588696283
lmer_pop	Fec	Billeter	F	MU	MU13	47.8404544805221	21.4571588696283
lmer_pop	Fec	Billeter	F	MU	MU14	114.662454480522	21.4571588696283
lmer_pop	Fec	Billeter	F	MU	MU15	84.8594544805221	21.4571588696283
lmer_pop	Fec	Billeter	F	MU	MU16	71.6294544805221	21.4571588696283
lmer_pop	Fec	Billeter	F	MU	MU17	152.250454480522	22.745791605404
lmer_pop	Fec	Billeter	F	MU	MU18	77.1084544805221	21.4571588696283
lmer_pop	Fec	Billeter	F	MU	MU19	101.030454480522	21.4571588696283
lmer_pop	Fec	Billeter	F	MU	MU2	132.036454480522	21.4571588696283
lmer_pop	Fec	Billeter	F	MU	MU3	88.8694544805221	21.4571588696283
lmer_pop	Fec	Billeter	F	MU	MU4	71.4904544805221	29.7411314471468
lmer_pop	Fec	Billeter	F	MU	MU5	123.750454480522	21.4571588696283
lmer_pop	Fec	Billeter	F	MU	MU6	107.579454480522	21.4571588696283
lmer_pop	Fec	Billeter	F	MU	MU7	72.2974544805221	21.4571588696283
lmer_pop	Fec	Billeter	F	MU	MU8	61.4724544805221	21.4571588696283
lmer_pop	Fec	Billeter	F	MU	MU9	145.400454480522	21.4571588696283
lmer_pop	Fec	Billeter	F	RE	RE1	49.3748074348257	22.0905040912736
lmer_pop	Fec	Billeter	F	RE	RE10	72.5718074348257	23.3442014214788
lmer_pop	Fec	Billeter	F	RE	RE11	107.402807434826	20.2514348875968
lmer_pop	Fec	Billeter	F	RE	RE12	47.7708074348257	22.0905040912736
lmer_pop	Fec	Billeter	F	RE	RE13	52.4488074348257	22.0905040912736
lmer_pop	Fec	Billeter	F	RE	RE15	78.1088074348257	22.0905040912736
lmer_pop	Fec	Billeter	F	RE	RE16	85.5928074348257	22.0905040912736
lmer_pop	Fec	Billeter	F	RE	RE17	37.8818074348257	22.0905040912736
lmer_pop	Fec	Billeter	F	RE	RE18	73.8318074348257	22.0905040912736
lmer_pop	Fec	Billeter	F	RE	RE2	87.0628074348257	22.0905040912736
lmer_pop	Fec	Billeter	F	RE	RE3	28.5268074348257	22.0905040912736
lmer_pop	Fec	Billeter	F	RE	RE5	104.302807434826	22.0905040912736
lmer_pop	Fec	Billeter	F	RE	RE6	63.9418074348257	22.0905040912736
lmer_pop	Fec	Billeter	F	RE	RE7	61.1358074348257	22.0905040912736
lmer_pop	Fec	Billeter	F	UM	UM13	101.204666666667	21.9155835924026
lmer_pop	Fec	Billeter	F	UM	UM17	69.9326666666666	21.9155835924026
lmer_pop	Fec	Billeter	F	UM	UM18	90.3796666666666	21.9155835924026
lmer_pop	Fec	Billeter	F	UM	UM2	64.1856666666666	21.9155835924026
lmer_pop	Fec	Billeter	F	UM	UM21	122.187666666667	21.9155835924026
lmer_pop	Fec	Billeter	F	UM	UM22	75.6786666666666	21.9155835924026
lmer_pop	Fec	Billeter	F	UM	UM23	103.877666666667	21.9155835924026
lmer_pop	Fec	Billeter	F	UM	UM26	119.514666666667	21.9155835924026
lmer_pop	Fec	Billeter	F	UM	UM28	90.5136666666666	21.9155835924026
lmer_pop	Fec	Billeter	F	UM	UM29	177.115666666667	21.9155835924026
lmer_pop	Fec	Billeter	F	UM	UM4	72.8726666666666	21.9155835924026
lmer_pop	Fec	Billeter	F	UM	UM5	148.648666666667	21.9155835924026
lmer_pop	Fec	Billeter	F	UM	UM7	101.204666666667	21.9155835924026
lmer_pop	Fec	Billeter	F	UM	UM8	110.960666666667	21.9155835924026
lmer_pop	Fec	Billeter	F	UM	UM9	94.1216666666666	21.9155835924026
lmer_pop	Fec	Billeter	F	VA	VA1	54.9672862946956	22.5537642653899
lmer_pop	Fec	Billeter	F	VA	VA11	105.221286294696	21.2534917963797
lmer_pop	Fec	Billeter	F	VA	VA15	49.6252862946956	21.2534917963797
lmer_pop	Fec	Billeter	F	VA	VA18	69.2712862946956	21.2534917963797
lmer_pop	Fec	Billeter	F	VA	VA22	113.908286294696	21.2534917963797
lmer_pop	Fec	Billeter	F	VA	VA26	87.3132862946956	21.2534917963797
lmer_pop	Fec	Billeter	F	VA	VA30	68.4692862946956	21.2534917963797
lmer_pop	Fec	Billeter	F	VA	VA34	116.581286294696	21.2534917963797
lmer_pop	Fec	Billeter	F	VA	VA35	90.7882862946956	21.2534917963797
lmer_pop	Fec	Billeter	F	VA	VA44	108.696286294696	21.2534917963797
lmer_pop	Fec	Billeter	F	VA	VA46	90.3872862946956	21.2534917963797
lmer_pop	Fec	Billeter	F	VA	VA47	119.120286294696	21.2534917963797
lmer_pop	Fec	Billeter	F	VA	VA48	55.1052862946956	21.2534917963797
lmer_pop	Fec	Billeter	F	VA	VA55	87.7142862946956	21.2534917963797
lmer_pop	Fec	Billeter	F	VA	VA57	69.5382862946956	21.2534917963797
lmer_pop	Fec	Billeter	F	VA	VA6	96.8022862946956	21.2534917963797
lmer_pop	Fec	Billeter	F	VA	VA66	73.3572862946956	17.9743818124234
lmer_pop	Fec	Billeter	F	VA	VA67	67.1052862946956	19.3349723956043
lmer_pop	Fec	Billeter	F	VA	VA71	103.618286294696	21.2534917963797
lmer_pop	Fec	Billeter	F	VA	VA9	99.0742862946956	21.2534917963797
lmer_pop	Fec	Billeter	F	YE	YE11	38.4356984711255	24.2530418254067
lmer_pop	Fec	Billeter	F	YE	YE13	83.0706984711255	19.3813657100042
lmer_pop	Fec	Billeter	F	YE	YE14	46.7386984711255	21.295705970569
lmer_pop	Fec	Billeter	F	YE	YE15	69.3246984711255	21.295705970569
lmer_pop	Fec	Billeter	F	YE	YE19	83.2236984711255	21.295705970569
lmer_pop	Fec	Billeter	F	YE	YE20	47.5406984711255	21.295705970569
lmer_pop	Fec	Billeter	F	YE	YE21	26.1576984711255	21.295705970569
lmer_pop	Fec	Billeter	F	YE	YE22	103.136698471125	21.295705970569
lmer_pop	Fec	Billeter	F	YE	YE23	56.3616984711255	21.295705970569
lmer_pop	Fec	Billeter	F	YE	YE24	85.6296984711255	21.295705970569
lmer_pop	Fec	Billeter	F	YE	YE26	33.5076984711255	21.295705970569
lmer_pop	Fec	Billeter	F	YE	YE27	56.2626984711255	22.5935491188287
lmer_pop	Fec	Billeter	F	YE	YE33	67.6776984711255	22.5935491188287
lmer_pop	Fec	Billeter	F	YE	YE40	160.336698471125	21.295705970569
lmer_pop	Fec	Billeter	F	YE	YE41	45.8036984711255	21.295705970569
lmer_pop	Fec	Billeter	F	YE	YE48	52.7526984711255	21.295705970569
lmer_pop	Fec	Billeter	F	YE	YE49	34.8446984711255	21.295705970569
lmer_pop	Fec	Billeter	F	YE	YE51	63.8456984711255	21.295705970569
lmer_pop	Fec	Billeter	F	YE	YE69	46.6056984711255	21.295705970569
lmer_pop	Fec	Billeter	F	YE	YE80	77.4766984711255	21.295705970569
lmer_pop	Fec	Fricke	F	AK	AK10	66.4500193429492	13.8576967023745
lmer_pop	Fec	Fricke	F	AK	AK11	70.6710193429492	13.3417518300635
lmer_pop	Fec	Fricke	F	AK	AK12	77.7360193429492	14.5183226612099
lmer_pop	Fec	Fricke	F	AK	AK13	44.5690193429492	19.5088391734363
lmer_pop	Fec	Fricke	F	AK	AK14	66.3270193429492	15.3002916931346
lmer_pop	Fec	Fricke	F	AK	AK15	24.9850193429492	11.8817018097157
lmer_pop	Fec	Fricke	F	AK	AK16	53.7430193429492	13.3494933572403
