Trait	Population	Line	Sex	Value	SE	LLM	ULM	N_lab
HSM	YE	YE11	F	-50.514718324547	39.072096961271	-127.094621169095	26.0651845200009	2
HSM	YE	YE13	F	18.2401719904054	21.0197668831877	-22.9578140640703	59.4381580448811	2
HSM	YE	YE14	F	2.925	9.484	-15.6632984293779	21.5132984293779	1
HSM	YE	YE15	F	11.2059755867473	8.92351963490403	-6.28380151300057	28.6957526864952	2
HSM	YE	YE19	F	29.8367480314961	28.1182568859912	-25.274022773092	84.9475188360842	2
HSM	YE	YE20	F	-30.33	9.008	-47.9853555727368	-12.6746444272632	1
HSM	YE	YE21	F	35.878526509381	24.856919361837	-12.8401402064359	84.5971932251979	2
HSM	YE	YE22	F	-26.3428494030009	7.14546249256874	-40.3476985413174	-12.3380002646843	2
HSM	YE	YE23	F	-29.4189198556007	35.5231813633487	-99.0430759440486	40.2052362328471	2
HSM	YE	YE24	F	16.3777508626232	7.86813230834818	0.956494912664738	31.7990068125816	2
HSM	YE	YE26	F	1.77585579598145	14.1976760885278	-26.0510780016985	29.6027895936614	2
HSM	YE	YE27	F	-29.993	7.813	-45.3061986112114	-14.6798013887886	1
HSM	YE	YE33	F	-14.4680346664546	12.3203214354331	-38.6154209578604	9.6793516249511	2
HSM	YE	YE40	F	-35.3060293113621	35.5866694720191	-105.054619806251	34.4425611835264	2
HSM	YE	YE41	F	6.525	9.833	-12.7473258599823	25.7973258599824	1
HSM	YE	YE48	F	-5.39283135048231	13.9938056902789	-32.8201865100805	22.0345238091159	2
HSM	YE	YE49	F	32.215	12.058	8.58175427441604	55.848245725584	1
HSM	YE	YE51	F	15.6883582123802	26.1102603592987	-35.4868117188091	66.8635281435696	2
HSM	YE	YE69	F	22.7271469007086	18.4053494299344	-13.3466751048376	58.8009689062549	2
HSM	YE	YE80	F	12.7409805649033	8.34083597818	-3.60675755328545	29.088718683092	2
HSM	RE	RE10	F	-77.0803465208488	68.8528263130962	-212.029406328309	57.8687132866114	2
HSM	RE	RE11	F	16.2172589587559	20.7058577898282	-24.3654765783155	56.7999944958273	2
HSM	RE	RE12	F	-10.8524136358051	16.2499164501528	-42.7016646298896	20.9968373582794	2
HSM	RE	RE13	F	-6.96920736239822	20.4483093839111	-47.0471572995963	33.1087425747999	2
