Trait	Population	Line	Sex	Value	SE	LLM	ULM	N_lab
LS	YE	YE11	F	41.3608278517513	9.75010083267929	22.2509813740659	60.4706743294367	2
LS	YE	YE13	F	47.4555103625295	5.61958990555342	36.44131653976	58.469704185299	2
LS	YE	YE14	F	41.4702499999978	2.74390002980816	36.0923047643954	46.8481952356002	1
LS	YE	YE15	F	43.8197938221661	5.95279805542316	32.1525240262966	55.4870636180355	2
LS	YE	YE19	F	49.2573334304501	9.20671385945849	31.2125058499457	67.3021610109545	2
LS	YE	YE20	F	45.6492499999978	2.74390002980816	40.2713047643954	51.0271952356002	1
LS	YE	YE21	F	46.2986219200254	5.71694934352626	35.0936071052741	57.5036367347768	2
LS	YE	YE22	F	49.739660416445	6.58750693869292	36.8283840686992	62.6509367641908	2
LS	YE	YE23	F	47.4663440289958	4.00573697826971	39.6152438200468	55.3174442379447	2
LS	YE	YE24	F	44.9676576106991	5.91551320738796	33.3734647741477	56.5618504472505	2
LS	YE	YE26	F	47.4485813806142	6.8533232396183	34.016314656551	60.8808481046775	2
LS	YE	YE27	F	37.9562499999978	2.74390002980816	32.5783047643954	43.3341952356002	1
LS	YE	YE33	F	45.3135595112089	6.99677996828058	31.6001227656277	59.0269962567901	2
LS	YE	YE40	F	50.9110418080695	3.4608124905171	44.1279739694096	57.6941096467294	2
LS	YE	YE41	F	41.6602499999978	2.74390002980816	36.2823047643954	47.0381952356002	1
LS	YE	YE48	F	49.2663623362166	6.6193411404631	36.2926920995246	62.2400325729085	2
LS	YE	YE49	F	44.2912499999978	2.74390002980816	38.9133047643954	49.6691952356002	1
LS	YE	YE51	F	47.660355035883	10.214974856813	27.6393722135473	67.6813378582186	2
LS	YE	YE69	F	46.5723034375289	6.71288256071165	33.4152953860871	59.7293114889708	2
LS	YE	YE80	F	49.9966695621243	10.8102169974349	28.8090335820892	71.1843055421594	2
LS	RE	RE1	F	40.185312499999	2.81669912610072	34.6646836575561	45.7059413424418	1
LS	RE	RE10	F	44.7975283108458	4.62773804626027	35.7273284102899	53.8677282114017	2
LS	RE	RE11	F	45.624771344382	2.35227263735384	41.0144016933494	50.2351409954145	2
LS	RE	RE12	F	44.3304815770329	2.36910927890316	39.687112714943	48.9738504391227	2
LS	RE	RE13	F	48.3709855882522	4.9401313642998	38.6885060353279	58.0534651411766	2
LS	RE	RE15	F	47.6097319858932	2.35416668682025	42.9956500661215	52.2238139056648	2
LS	RE	RE16	F	44.2401238648267	4.35224408420301	35.7098822078613	52.7703655217921	2
LS	RE	RE17	F	42.4415182870405	2.35687935089209	37.8221196433858	47.0609169306951	2
LS	RE	RE18	F	44.2835043183625	5.36829544523577	33.76183858733	54.805170049395	2
LS	RE	RE2	F	46.2494248765376	2.3551115700078	41.6334910197487	50.8653587333265	2
LS	RE	RE3	F	40.3733673124426	2.34763224838148	35.7720926566701	44.9746419682151	2
LS	RE	RE4	F	45.2812805871896	3.9483371086679	37.5426820553775	53.0198791190017	2
LS	RE	RE5	F	52.375824059362	2.38237983620924	47.7064453828974	57.0452027358265	2
LS	RE	RE6	F	46.9127504224037	2.35475740675847	42.2975107128281	51.5279901319792	2
LS	RE	RE7	F	41.8203362193644	2.34942095078249	37.2155557713068	46.4251166674219	2
LS	RE	RE8	F	42.3828298758805	2.36203534781212	37.7533256639583	47.0123340878028	2
LS	GI	GI1	F	43.6777543155816	7.11852466708759	29.72570234503	57.6298062861333	2
LS	GI	GI10	F	48.2164223606084	4.48064813272006	39.4345133930805	56.9983313281364	2
LS	GI	GI11	F	48.4973310605016	5.80854756942029	37.1127870219502	59.8818750990531	2
LS	GI	GI12	F	50.7011890452623	4.32361434561455	42.227060644817	59.1753174457075	1
LS	GI	GI13	F	52.6418547409367	5.688524209983	41.4925521641858	63.7911573176875	2
LS	GI	GI14	F	51.2903718191256	7.40172291677248	36.7832614787068	65.7974821595445	2
LS	GI	GI15	F	54.1381890452623	4.32577137740819	45.659832940188	62.6165451503365	1
LS	GI	GI2	F	50.2247620074057	5.13944536399807	40.1516341934582	60.2978898213533	2
LS	GI	GI3	F	49.2835352376055	2.40589725500084	44.5680632673001	53.9990072079109	2
LS	GI	GI4	F	44.0780523354515	6.46370335056501	31.4094265615932	56.7466781093098	2
LS	GI	GI5	F	43.4405484274166	7.71236268291252	28.3245953331974	58.5565015216358	2
LS	GI	GI6	F	56.5679749034305	8.96554623804495	38.9958271751338	74.1401226317271	2
LS	GI	GI7	F	48.5195259085199	8.34149468819085	32.1704967424337	64.8685550746061	2
LS	GI	GI8	F	49.2788115535548	4.49653110960039	40.4657725233741	58.0918505837355	2
LS	GI	GI9	F	50.5834679515508	2.40277974496193	45.8741061886431	55.2928297144585	2
LS	MU	MU1	F	48.9268711254503	4.33507094318726	40.4302882063772	57.4234540445234	2
LS	MU	MU10	F	48.6901686050611	3.72471867984382	41.3898541400236	55.9904830700985	2
LS	MU	MU11	F	50.485664498463	3.35811703496383	43.9038760540635	57.0674529428625	2
LS	MU	MU12	F	43.3334999999998	2.74390002980817	37.9555547643974	48.7114452356022	1
LS	MU	MU13	F	37.6914999999998	2.74390002980817	32.3135547643975	43.0694452356022	1
LS	MU	MU14	F	49.3078937067514	4.18998147614557	41.0956809176161	57.5201064958867	2
LS	MU	MU15	F	51.8559624272685	4.88232599439814	42.2867793174644	61.4251455370725	2
LS	MU	MU16	F	39.8384999999998	2.74390002980817	34.4605547643974	45.2164452356023	1
LS	MU	MU17	F	46.1351516006759	7.35564798955285	31.7183464581979	60.551956743154	2
LS	MU	MU18	F	49.5205839698877	2.31539691891093	44.9824893989073	54.0586785408682	2
LS	MU	MU19	F	38.0904999999998	2.74390002980817	32.7125547643975	43.4684452356022	1
LS	MU	MU2	F	50.3191489265591	3.26649263646186	43.9169410033285	56.7213568497896	2
LS	MU	MU20	F	47.0921520256506	8.66156658523426	30.1157934688959	64.0685105824054	2
LS	MU	MU3	F	50.7335622440638	4.22082688192877	42.4608935705049	59.0062309176227	2
LS	MU	MU4	F	49.4184695758407	2.41938772471807	44.676556770755	54.1603823809264	2
LS	MU	MU5	F	46.9688936176783	5.96378532237677	35.2800891742912	58.6576980610653	2
LS	MU	MU6	F	48.5316778635315	7.06138480906961	34.6916179567768	62.3717377702861	2
LS	MU	MU7	F	44.6519998239564	8.21415633798131	28.5525492381317	60.7514504097812	2
LS	MU	MU8	F	46.4584999999998	2.74390002980817	41.0805547643974	51.8364452356022	1
LS	MU	MU9	F	48.9490432706417	5.88695429782908	37.4108248682634	60.48726167302	2
LS	MA	MA12	F	46.0817355103838	4.44496086568276	37.3697723009556	54.7936987198119	2
LS	MA	MA13	F	49.8907499999977	2.74390002980816	44.5128047643953	55.2686952356001	1
LS	MA	MA16	F	51.3853766983704	2.31462214578434	46.8488006548143	55.9219527419266	2
LS	MA	MA18	F	49.9170805631131	2.30759670878111	45.394274123059	54.4398870031672	2
LS	MA	MA19	F	51.0045643787172	2.31351268845797	46.4701628315631	55.5389659258712	2
LS	MA	MA20	F	46.2565570208399	2.3225454158059	41.7044516534018	50.8086623882781	2
LS	MA	MA21	F	43.1924482079189	2.33357004520999	38.6187349639058	47.766161451932	2
LS	MA	MA23	F	43.5357394433277	2.48586162973067	38.6635401785056	48.4079387081499	2
LS	MA	MA26	F	39.6065030829886	6.7915096276908	26.2953888120576	52.9176173539195	2
LS	MA	MA27	F	39.5277499999977	2.74390002980816	34.1498047643953	44.9056952356001	1
LS	MA	MA28	F	44.7617499999977	2.74390002980816	39.3838047643953	50.1396952356001	1
LS	MA	MA3	F	43.465230952851	2.89230609942132	37.7964151657197	49.1340467399823	2
LS	MA	MA30	F	44.0590108443422	2.32733033071998	39.4975272160034	48.6204944726811	2
LS	MA	MA31	F	37.7517499999977	2.74390002980816	32.3738047643953	43.1296952356001	1
LS	MA	MA32	F	44.3817499999977	2.74390002980816	39.0038047643953	49.7596952356001	1
LS	MA	MA33	F	40.1754214450636	2.72352491437388	34.8374107018933	45.513432188234	2
LS	MA	MA5	F	44.3916959216286	3.99432862764924	36.5629556690188	52.2204361742384	2
LS	MA	MA6	F	40.3658673304242	4.00435777615989	32.5174703079379	48.2142643529105	2
