Trait	Population	Line	Sex	Value	SE	LLM	ULM	N_lab
LS	YE	YE11	F	-6.5062920525341	2.94750052499202	-12.2832869259313	-0.729297179136844	2
LS	YE	YE13	F	0.389569255665169	1.90319873785605	-3.34063172595478	4.11977023728512	2
LS	YE	YE14	F	0.449	2.431	-4.31567244641687	5.21367244641687	1
LS	YE	YE15	F	-3.3212081278505	1.91552854907611	-7.07557509539794	0.433158839696949	2
LS	YE	YE19	F	1.3668697712755	2.39533819236011	-3.32790681654359	6.06164635909459	2
LS	YE	YE20	F	4.628	2.431	-0.13667244641687	9.39267244641687	1
LS	YE	YE21	F	-0.779651176616241	1.91035898928784	-4.52388599316275	2.96458363993027	2
LS	YE	YE22	F	2.37371419995957	1.89196571650188	-1.33447046436864	6.08189886428777	2
LS	YE	YE23	F	0.728205444178775	2.69365353510982	-4.55125847146548	6.00766935982303	2
LS	YE	YE24	F	-2.16303626800604	1.9148276149047	-5.91602942982198	1.58995689380989	2
LS	YE	YE26	F	0.0345293163099741	1.92040001027647	-3.72938553974226	3.79844417236221	2
LS	YE	YE27	F	-3.065	2.431	-7.82967244641687	1.69967244641687	1
LS	YE	YE33	F	-2.15284623627418	1.90703358509336	-5.89056338036546	1.5848709078171	2
LS	YE	YE40	F	4.28662968992248	3.20631764771743	-1.99763742259887	10.5708968024438	2
LS	YE	YE41	F	0.639	2.431	-4.12567244641687	5.40367244641687	1
LS	YE	YE48	F	1.90821349148608	1.90655624222459	-1.82856807777414	5.6449950607463	2
LS	YE	YE49	F	3.27	2.431	-1.49467244641687	8.03467244641687	1
LS	YE	YE51	F	-0.152074632299403	3.42185239704767	-6.85878209092488	6.55463282632607	2
LS	YE	YE69	F	-0.813209282694373	1.90631735573858	-4.54952264304563	2.92310407765688	2
LS	YE	YE80	F	2.22186643495531	4.02181494006754	-5.66074600006217	10.1044788699728	2
LS	RE	RE1	F	-3.71	2.431	-8.47467244641687	1.05467244641687	1
LS	RE	RE10	F	-0.0692582927908007	3.38051403838438	-6.69494405725623	6.55642747167463	2
LS	RE	RE11	F	0.646809437290017	1.90005565507473	-3.07723121527811	4.37085008985814	2
LS	RE	RE12	F	-0.313410700987656	1.93354144766645	-4.10308230102933	3.47626089905402	2
LS	RE	RE13	F	3.49224590939824	3.68922372114795	-3.73849971496257	10.7229915337591	2
LS	RE	RE15	F	2.89404111247151	1.90392058253411	-0.837574658719862	6.62565688366287	2
LS	RE	RE16	F	-0.609171099006729	3.10875707061092	-6.70222299408838	5.48388079607492	2
LS	RE	RE17	F	-2.65752744186047	2.10868271035921	-6.79046960898683	1.4754147252659	2
LS	RE	RE18	F	-0.608782505766662	4.11317919410035	-8.67046558816284	7.45290057662951	2
LS	RE	RE2	F	1.42853770174639	1.90583915217893	-2.30683839685067	5.16391380034345	2
LS	RE	RE3	F	-4.08297168998268	1.89047745331368	-7.7882394120625	-0.37770396790287	2
LS	RE	RE4	F	-0.379548081477973	5.2743279046253	-10.7170408171982	9.95794465424222	2
LS	RE	RE5	F	6.42159902912621	3.85558030505616	-1.1351995082858	13.9783975665382	2
LS	RE	RE6	F	2.02110464826573	1.90512076891538	-1.71286344500766	5.75507274153912	2
LS	RE	RE7	F	-3.40697375809935	2.28869017889021	-7.8927240804947	1.078776564296	2
