Model	Trait	Sex	Population	Line	Estimate_Parsch	Estimate_Pasyukova	SE_Parsch	SE_Pasyukova
lmer_pop	LS	F	AK	AK1	5.15	-1.619	3.04	2.431
lmer_pop	LS	F	AK	AK10	-3.01	-6.654	3.185	2.431
lmer_pop	LS	F	AK	AK11	1.21	1.676	3.015	2.431
lmer_pop	LS	F	AK	AK13	1.003	-1.543	3.066	2.431
lmer_pop	LS	F	AK	AK14	-0.237	0.955	3.016	2.431
lmer_pop	LS	F	AK	AK17	-3.565	-5.875	3.065	2.431
lmer_pop	LS	F	AK	AK18	-1.071	11.26	3.195	2.431
lmer_pop	LS	F	AK	AK20	-0.395	0.204	3.036	2.431
lmer_pop	LS	F	AK	AK21	-0.851	-0.138	3.062	2.431
lmer_pop	LS	F	AK	AK3	1.714	1.581	3.06	2.431
lmer_pop	LS	F	AK	AK4	-0.846	2.417	2.982	2.431
lmer_pop	LS	F	AK	AK6	1.417	3.035	3.111	2.431
lmer_pop	LS	F	AK	AK7	-1.231	-2.294	3.072	2.431
lmer_pop	LS	F	AK	AK8	0.175	-2.759	3.072	2.431
lmer_pop	LS	F	AK	AK9	0.536	-3.795	3.102	2.431
lmer_pop	LS	F	GI	GI1	-3.74	-6.647	3.12	2.431
lmer_pop	LS	F	GI	GI10	-1.575	0.733	3.189	2.431
lmer_pop	LS	F	GI	GI11	-0.131	-0.435	3.156	2.431
lmer_pop	LS	F	GI	GI12	-4.208	NA	3.108	NA
lmer_pop	LS	F	GI	GI13	3.861	3.801	3.007	2.431
lmer_pop	LS	F	GI	GI14	4.137	0.666	3.102	2.431
lmer_pop	LS	F	GI	GI15	-0.771	NA	3.111	NA
lmer_pop	LS	F	GI	GI2	0.986	2.006	3.134	2.431
lmer_pop	LS	F	GI	GI3	-2.566	4.342	3.095	2.431
lmer_pop	LS	F	GI	GI4	-3.951	-5.555	3.135	2.431
lmer_pop	LS	F	GI	GI5	-3.422	-7.512	3.078	2.431
lmer_pop	LS	F	GI	GI6	10.905	4.314	3.047	2.431
lmer_pop	LS	F	GI	GI7	2.24	-3.104	2.971	2.431
lmer_pop	LS	F	GI	GI8	-0.512	1.768	3.156	2.431
lmer_pop	LS	F	GI	GI9	-1.252	5.624	3.07	2.431
lmer_pop	LS	F	KA	KA1	1.847	1.678	3.067	2.431
lmer_pop	LS	F	KA	KA10	5.272	11.623	3.006	2.431
lmer_pop	LS	F	KA	KA11	-2.415	-4.021	3.123	2.431
lmer_pop	LS	F	KA	KA14	1.951	0.453	3.097	2.431
lmer_pop	LS	F	KA	KA15	-2.158	3.008	3.172	2.431
lmer_pop	LS	F	KA	KA17	3.286	-7.25	3.022	2.431
lmer_pop	LS	F	KA	KA18	0.607	0.519	3.122	2.431
lmer_pop	LS	F	KA	KA23	-6.768	0.918	3.137	2.431
lmer_pop	LS	F	KA	KA24	-3.076	2.865	3.109	2.431
lmer_pop	LS	F	KA	KA28	-4.4	-0.991	3.059	2.431
lmer_pop	LS	F	KA	KA29	-1.21	-0.383	3.132	2.431
lmer_pop	LS	F	KA	KA3	2.682	-0.364	3.049	2.431
lmer_pop	LS	F	KA	KA5	0.028	-3.28	3.055	2.431
lmer_pop	LS	F	KA	KA7	4.066	2.789	3.088	2.431
lmer_pop	LS	F	KA	KA9	0.287	-0.801	3.069	2.431
lmer_pop	LS	F	MA	MA12	3.861	-1.137	3.039	2.431
lmer_pop	LS	F	MA	MA16	1.416	9.131	3.084	2.431
lmer_pop	LS	F	MA	MA18	2.928	6.452	3.021	2.431
lmer_pop	LS	F	MA	MA19	5.06	7.117	3.074	2.431
lmer_pop	LS	F	MA	MA20	-1.303	3.023	3.156	2.431
lmer_pop	LS	F	MA	MA21	-5.385	0.345	3.258	2.431
lmer_pop	LS	F	MA	MA23	-0.03	-1.45	3.119	2.431
lmer_pop	LS	F	MA	MA26	-0.487	-10.122	3.098	2.431
lmer_pop	LS	F	MA	MA3	0.207	-1.935	3.253	2.431
lmer_pop	LS	F	MA	MA30	-3.539	0.839	3.2	2.431
lmer_pop	LS	F	MA	MA33	-3.287	-5.088	3.085	2.431
lmer_pop	LS	F	MA	MA5	1.789	-2.334	3.014	2.431
lmer_pop	LS	F	MA	MA6	-2.147	-6.313	3.202	2.431
lmer_pop	LS	F	MA	MA7	4.332	0.972	3.074	2.431
lmer_pop	LS	F	MA	MA9	-3.414	0.858	3.129	2.431
lmer_pop	LS	F	MU	MU1	-0.064	1.548	3.121	2.431
lmer_pop	LS	F	MU	MU10	-0.773	2.004	3.15	2.431
lmer_pop	LS	F	MU	MU11	0.727	4.198	3.097	2.431
lmer_pop	LS	F	MU	MU14	0.158	2.061	3.023	2.431
lmer_pop	LS	F	MU	MU15	3.295	3.847	3.022	2.431
lmer_pop	LS	F	MU	MU17	-0.139	-4.493	3.089	2.431
lmer_pop	LS	F	MU	MU18	-1.031	4.483	3.098	2.431
lmer_pop	LS	F	MU	MU2	0.505	4.141	3.113	2.431
lmer_pop	LS	F	MU	MU20	2.098	-4.863	3.268	2.431
lmer_pop	LS	F	MU	MU3	1.641	3.476	3.102	2.431
lmer_pop	LS	F	MU	MU4	-8.256	7.38	3.058	2.431
lmer_pop	LS	F	MU	MU5	-0.608	-2.194	3.068	2.431
lmer_pop	LS	F	MU	MU6	1.961	-1.805	3.005	2.431
lmer_pop	LS	F	MU	MU7	-0.801	-6.867	3.111	2.431
lmer_pop	LS	F	MU	MU9	1.29	-0.142	3.025	2.431
lmer_pop	LS	F	RE	RE10	3.595	-3.188	3.1	2.431
lmer_pop	LS	F	RE	RE11	-1.564	2.055	3.046	2.431
lmer_pop	LS	F	RE	RE12	-0.352	-0.291	3.19	2.431
lmer_pop	LS	F	RE	RE13	7.437	0.042	3.093	2.431
lmer_pop	LS	F	RE	RE15	2.507	3.138	3.062	2.431
lmer_pop	LS	F	RE	RE16	2.788	-3.454	3.059	2.431
lmer_pop	LS	F	RE	RE17	-5.227	-0.927	3.085	2.431
lmer_pop	LS	F	RE	RE18	3.719	-4.518	3.059	2.431
lmer_pop	LS	F	RE	RE2	0.262	2.16	3.07	2.431
lmer_pop	LS	F	RE	RE3	-2.634	-5.03	3.007	2.431
lmer_pop	LS	F	RE	RE4	-5.84	4.715	3.126	2.431
lmer_pop	LS	F	RE	RE5	2.328	10.053	3.079	2.431
lmer_pop	LS	F	RE	RE6	0.35	3.071	3.067	2.431
lmer_pop	LS	F	RE	RE7	-6.07	-1.44	3.022	2.431
lmer_pop	LS	F	RE	RE8	-1.301	-2.675	3.129	2.431
lmer_pop	LS	F	UM	UM13	0.041	4.738	3.12	2.431
lmer_pop	LS	F	UM	UM17	3.826	-2.073	3.093	2.431
lmer_pop	LS	F	UM	UM18	-4.155	1.622	3.273	2.431
lmer_pop	LS	F	UM	UM2	1.348	-2.111	3.04	2.431
lmer_pop	LS	F	UM	UM20	-1.976	3.503	3.017	2.431
lmer_pop	LS	F	UM	UM21	-0.381	5.82	3.076	2.431
lmer_pop	LS	F	UM	UM23	1.244	0.52	3.006	2.431
lmer_pop	LS	F	UM	UM25	3.077	-4.675	3.07	2.431
lmer_pop	LS	F	UM	UM26	-2.717	-4.457	3.07	2.431
lmer_pop	LS	F	UM	UM28	2.868	-8.38	3.111	2.431
