Trait	Population	Line	Sex	Value	SE	LLM	ULM	N_lab
LA_NDlog2	YE	YE11	B	0.0138517775849427	0.260489598001574	-0.496698452845459	0.524402008015344	1
LA_NDlog2	YE	YE13	B	0.139851777584943	0.159043486716752	-0.171867728355565	0.451571283525451	1
LA_NDlog2	YE	YE14	B	-0.0681482224150573	0.159043486716752	-0.379867728355565	0.243571283525451	1
LA_NDlog2	YE	YE15	B	-0.0181482224150573	0.183256188618616	-0.377323752051623	0.341027307221508	1
LA_NDlog2	YE	YE19	B	-0.0121482224150573	0.175350593574763	-0.355829070489313	0.331532625659198	1
LA_NDlog2	YE	YE20	B	0.00585177758494274	0.21665601922638	-0.41878621713258	0.430489772302465	1
LA_NDlog2	YE	YE21	B	0.393851777584943	0.235159160287286	-0.0670517072128201	0.854755262382705	1
LA_NDlog2	YE	YE22	B	-0.313148222415057	0.235159160287286	-0.77405170721282	0.147755262382706	1
LA_NDlog2	YE	YE24	B	0.160851777584943	0.192153143786464	-0.215761463752674	0.537465018922559	1
LA_NDlog2	YE	YE26	B	0.0278517775849427	0.21665601922638	-0.39678621713258	0.452489772302465	1
LA_NDlog2	YE	YE27	B	0.112851777584943	0.175350593574763	-0.230829070489313	0.456532625659198	1
LA_NDlog2	YE	YE33	B	0.0588517775849427	0.202965097164566	-0.338952502976279	0.456656058146164	1
LA_NDlog2	YE	YE40	B	0.119851777584943	0.21665601922638	-0.30478621713258	0.544489772302465	1
LA_NDlog2	YE	YE41	B	-0.0121482224150573	0.169277377895044	-0.343925786486721	0.319629341656606	1
LA_NDlog2	YE	YE48	B	0.0608517775849427	0.192153143786464	-0.315761463752674	0.437465018922559	1
LA_NDlog2	YE	YE49	B	0.420851777584943	0.202965097164566	0.0230474970237213	0.818656058146164	1
LA_NDlog2	YE	YE51	B	0.125851777584943	0.175350593574763	-0.217829070489313	0.469532625659198	1
LA_NDlog2	YE	YE69	B	-0.142148222415057	0.21665601922638	-0.56678621713258	0.282489772302465	1
LA_NDlog2	YE	YE80	B	-0.279148222415057	0.235159160287286	-0.74005170721282	0.181755262382706	1
LA_NDlog2	RE	RE10	B	-0.124066483001173	0.223745163504147	-0.562598945184327	0.314465979181981	1
LA_NDlog2	RE	RE11	B	-0.294066483001173	0.199034917015828	-0.684167752018114	0.0960347860157678	1
LA_NDlog2	RE	RE2	B	-0.0710664830011733	0.193705699945813	-0.45072267849509	0.308589712492743	1
LA_NDlog2	RE	RE3	B	-0.637066483001173	0.199034917015828	-1.02716775201811	-0.246965213984232	1
LA_NDlog2	RE	RE4	B	-0.221066483001173	0.213985742963165	-0.640470832414021	0.198337866411674	1
LA_NDlog2	RE	RE6	B	-0.0960664830011733	0.175632850547662	-0.440300544576697	0.248167578574351	1
LA_NDlog2	RE	RE7	B	-0.212066483001173	0.253311859555564	-0.708548604586946	0.284415638584599	1
LA_NDlog2	RE	RE8	B	-0.145066483001173	0.253311859555564	-0.641548604586946	0.351415638584599	1
