Trait	Population	Line	Sex	Value	SE	LLM	ULM	N_lab
LA_NDlog2	YE	YE11	B	-0.028	0.246	-0.510151140196853	0.454151140196853	1
LA_NDlog2	YE	YE13	B	0.098	0.134	-0.164635173928367	0.360635173928367	1
LA_NDlog2	YE	YE14	B	-0.11	0.134	-0.372635173928367	0.152635173928367	1
LA_NDlog2	YE	YE15	B	-0.06	0.162	-0.377514165495489	0.257514165495489	1
LA_NDlog2	YE	YE19	B	-0.054	0.153	-0.353874489634628	0.245874489634628	1
LA_NDlog2	YE	YE20	B	-0.036	0.199	-0.426032832923471	0.354032832923471	1
LA_NDlog2	YE	YE21	B	0.352	0.219	-0.0772321126142718	0.781232112614272	1
LA_NDlog2	YE	YE22	B	-0.355	0.219	-0.784232112614272	0.0742321126142718	1
LA_NDlog2	YE	YE24	B	0.119	0.172	-0.218113805340889	0.456113805340889	1
LA_NDlog2	YE	YE26	B	-0.014	0.199	-0.404032832923471	0.376032832923471	1
LA_NDlog2	YE	YE27	B	0.071	0.153	-0.228874489634628	0.370874489634628	1
LA_NDlog2	YE	YE33	B	0.017	0.184	-0.34363337315537	0.37763337315537	1
LA_NDlog2	YE	YE40	B	0.078	0.199	-0.312032832923471	0.468032832923471	1
LA_NDlog2	YE	YE41	B	-0.054	0.146	-0.340154741742848	0.232154741742848	1
LA_NDlog2	YE	YE48	B	0.019	0.172	-0.318113805340889	0.356113805340889	1
LA_NDlog2	YE	YE49	B	0.379	0.184	0.0183666268446301	0.73963337315537	1
LA_NDlog2	YE	YE51	B	0.084	0.153	-0.215874489634628	0.383874489634628	1
LA_NDlog2	YE	YE69	B	-0.184	0.199	-0.574032832923471	0.206032832923471	1
LA_NDlog2	YE	YE80	B	-0.321	0.219	-0.750232112614272	0.108232112614272	1
LA_NDlog2	RE	RE10	B	0.101	0.184	-0.25963337315537	0.46163337315537	1
LA_NDlog2	RE	RE11	B	-0.069	0.153	-0.368874489634628	0.230874489634628	1
LA_NDlog2	RE	RE2	B	0.154	0.146	-0.132154741742848	0.440154741742848	1
LA_NDlog2	RE	RE3	B	-0.412	0.153	-0.711874489634628	-0.112125510365372	1
LA_NDlog2	RE	RE4	B	0.004	0.172	-0.333113805340889	0.341113805340889	1
LA_NDlog2	RE	RE6	B	0.129	0.121	-0.108155642129346	0.366155642129346	1
LA_NDlog2	RE	RE7	B	0.013	0.219	-0.416232112614272	0.442232112614272	1
LA_NDlog2	RE	RE8	B	0.08	0.219	-0.349232112614272	0.509232112614272	1
LA_NDlog2	GI	GI1	B	0.17	0.172	-0.167113805340889	0.507113805340889	1
LA_NDlog2	GI	GI2	B	0.259	0.199	-0.131032832923471	0.649032832923471	1
LA_NDlog2	GI	GI3	B	0.028	0.153	-0.271874489634628	0.327874489634628	1
LA_NDlog2	GI	GI4	B	-0.276	0.134	-0.538635173928367	-0.0133648260716328	1
LA_NDlog2	GI	GI5	B	0.156	0.162	-0.161514165495489	0.473514165495489	1
LA_NDlog2	GI	GI6	B	-0.011	0.129	-0.263835354005667	0.241835354005667	1
LA_NDlog2	GI	GI7	B	-0.459	0.134	-0.721635173928367	-0.196364826071633	1
LA_NDlog2	GI	GI8	B	0.143	0.146	-0.143154741742848	0.429154741742848	1
LA_NDlog2	GI	GI9	B	-0.01	0.246	-0.492151140196853	0.472151140196853	1
LA_NDlog2	MU	MU10	B	0.541	0.162	0.223485834504511	0.858514165495489	1
LA_NDlog2	MU	MU2	B	0.129	0.162	-0.188514165495489	0.446514165495489	1
LA_NDlog2	MU	MU3	B	-0.351	0.146	-0.637154741742848	-0.0648452582571521	1
LA_NDlog2	MU	MU4	B	-0.111	0.246	-0.593151140196853	0.371151140196853	1
LA_NDlog2	MU	MU5	B	-0.337	0.162	-0.654514165495489	-0.0194858345045113	1
LA_NDlog2	MU	MU6	B	-0.287	0.162	-0.604514165495489	0.0305141654954887	1
LA_NDlog2	MU	MU7	B	0.062	0.199	-0.328032832923471	0.452032832923471	1
LA_NDlog2	MU	MU8	B	0.38	0.219	-0.0492321126142717	0.809232112614272	1
LA_NDlog2	MU	MU9	B	-0.026	0.14	-0.300394957835608	0.248394957835608	1
LA_NDlog2	MA	MA12	B	0.01	0.125	-0.234995498067507	0.254995498067507	1
LA_NDlog2	MA	MA13	B	0.035	0.134	-0.227635173928367	0.297635173928367	1
LA_NDlog2	MA	MA16	B	-0.074	0.125	-0.318995498067507	0.170995498067507	1
LA_NDlog2	MA	MA18	B	-0.023	0.14	-0.297394957835608	0.251394957835608	1
LA_NDlog2	MA	MA19	B	0.012	0.125	-0.232995498067507	0.256995498067507	1
LA_NDlog2	MA	MA3	B	-0.197	0.146	-0.483154741742848	0.0891547417428478	1
LA_NDlog2	MA	MA5	B	0.18	0.153	-0.119874489634628	0.479874489634628	1
LA_NDlog2	MA	MA6	B	0.054	0.162	-0.263514165495489	0.371514165495489	1
