Model	Trait	Lab	Sex	Population	Line	Coef	SE
lmer_pop	LA_NDlog2	Tauber	B	AK	AK1	-0.627191898942809	0.177324683707823
lmer_pop	LA_NDlog2	Tauber	B	AK	AK2	-0.111191898942809	0.181901191453161
lmer_pop	LA_NDlog2	Tauber	B	AK	AK3	-0.475191898942809	0.192086031381981
lmer_pop	LA_NDlog2	Tauber	B	AK	AK4	-0.386191898942809	0.177324683707823
lmer_pop	LA_NDlog2	Tauber	B	AK	AK5	0.304808101057191	0.177324683707823
lmer_pop	LA_NDlog2	Tauber	B	AK	AK6	-0.832191898942809	0.186558418336133
lmer_pop	LA_NDlog2	Tauber	B	AK	AK7	-0.548191898942809	0.186558418336133
lmer_pop	LA_NDlog2	Tauber	B	AK	AK8	-0.926191898942809	0.181901191453161
lmer_pop	LA_NDlog2	Tauber	B	GI	GI1	-0.148829654220643	0.20837294390266
lmer_pop	LA_NDlog2	Tauber	B	GI	GI2	-0.059829654220643	0.231162894407084
lmer_pop	LA_NDlog2	Tauber	B	GI	GI3	-0.290829654220643	0.192987781350688
lmer_pop	LA_NDlog2	Tauber	B	GI	GI4	-0.594829654220643	0.178301104176785
lmer_pop	LA_NDlog2	Tauber	B	GI	GI5	-0.162829654220643	0.200198111256477
lmer_pop	LA_NDlog2	Tauber	B	GI	GI6	-0.329829654220643	0.174574579336915
lmer_pop	LA_NDlog2	Tauber	B	GI	GI7	-0.777829654220643	0.178301104176785
lmer_pop	LA_NDlog2	Tauber	B	GI	GI8	-0.175829654220643	0.1874867562007
lmer_pop	LA_NDlog2	Tauber	B	GI	GI9	-0.328829654220643	0.272674318098828
lmer_pop	LA_NDlog2	Tauber	B	KA	KA1	-0.0714395447023114	0.212755323687729
lmer_pop	LA_NDlog2	Tauber	B	KA	KA10	-0.111439544702311	0.202466855948005
lmer_pop	LA_NDlog2	Tauber	B	KA	KA11	0.0965604552976886	0.194043365662087
lmer_pop	LA_NDlog2	Tauber	B	KA	KA13	0.0245604552976886	0.225853553785346
lmer_pop	LA_NDlog2	Tauber	B	KA	KA2	-0.245439544702311	0.171361686959105
lmer_pop	LA_NDlog2	Tauber	B	KA	KA3	-0.162439544702311	0.194043365662087
lmer_pop	LA_NDlog2	Tauber	B	KA	KA5	-0.331439544702311	0.158422939492582
lmer_pop	LA_NDlog2	Tauber	B	KA	KA6	-0.0664395447023114	0.156220446028906
lmer_pop	LA_NDlog2	Tauber	B	KA	KA7	0.268560455297689	0.156220446028906
lmer_pop	LA_NDlog2	Tauber	B	KA	KA9	0.164560455297689	0.176093235978757
lmer_pop	LA_NDlog2	Tauber	B	MA	MA12	-0.0866114042145743	0.164198520254645
lmer_pop	LA_NDlog2	Tauber	B	MA	MA13	-0.0616114042145743	0.171149507898256
lmer_pop	LA_NDlog2	Tauber	B	MA	MA16	-0.170611404214574	0.164198520254645
lmer_pop	LA_NDlog2	Tauber	B	MA	MA18	-0.119611404214574	0.175886764862553
lmer_pop	LA_NDlog2	Tauber	B	MA	MA19	-0.0846114042145743	0.164198520254645
lmer_pop	LA_NDlog2	Tauber	B	MA	MA3	-0.293611404214574	0.180699070428752
lmer_pop	LA_NDlog2	Tauber	B	MA	MA5	0.0833885957854257	0.186400520529893
lmer_pop	LA_NDlog2	Tauber	B	MA	MA6	-0.0426114042145743	0.193856013715889
lmer_pop	LA_NDlog2	Tauber	B	MA	MA7	-0.0316114042145743	0.21258446334061
lmer_pop	LA_NDlog2	Tauber	B	MA	MA9	-0.159611404214574	0.225692609657062
lmer_pop	LA_NDlog2	Tauber	B	MU	MU10	0.269470860879359	0.203321835018008
lmer_pop	LA_NDlog2	Tauber	B	MU	MU2	-0.142529139120641	0.203321835018008
lmer_pop	LA_NDlog2	Tauber	B	MU	MU3	-0.622529139120641	0.190818679890334
lmer_pop	LA_NDlog2	Tauber	B	MU	MU4	-0.382529139120641	0.274975941847809
lmer_pop	LA_NDlog2	Tauber	B	MU	MU5	-0.608529139120641	0.203321835018008
lmer_pop	LA_NDlog2	Tauber	B	MU	MU6	-0.558529139120641	0.203321835018008
lmer_pop	LA_NDlog2	Tauber	B	MU	MU7	-0.209529139120641	0.233873402923654
lmer_pop	LA_NDlog2	Tauber	B	MU	MU8	0.108470860879359	0.25111106824489
lmer_pop	LA_NDlog2	Tauber	B	MU	MU9	-0.297529139120641	0.18626800206984
lmer_pop	LA_NDlog2	Tauber	B	RE	RE10	-0.124066483001173	0.223745163504147
lmer_pop	LA_NDlog2	Tauber	B	RE	RE11	-0.294066483001173	0.199034917015828
lmer_pop	LA_NDlog2	Tauber	B	RE	RE2	-0.0710664830011733	0.193705699945813
lmer_pop	LA_NDlog2	Tauber	B	RE	RE3	-0.637066483001173	0.199034917015828
lmer_pop	LA_NDlog2	Tauber	B	RE	RE4	-0.221066483001173	0.213985742963165
lmer_pop	LA_NDlog2	Tauber	B	RE	RE6	-0.0960664830011733	0.175632850547662
lmer_pop	LA_NDlog2	Tauber	B	RE	RE7	-0.212066483001173	0.253311859555564
lmer_pop	LA_NDlog2	Tauber	B	RE	RE8	-0.145066483001173	0.253311859555564
lmer_pop	LA_NDlog2	Tauber	B	UM	UM13	-0.206446535703833	0.179877213960533
lmer_pop	LA_NDlog2	Tauber	B	UM	UM17	-0.938446535703833	0.190170481679474
lmer_pop	LA_NDlog2	Tauber	B	UM	UM18	-0.783446535703833	0.184585514334693
lmer_pop	LA_NDlog2	Tauber	B	UM	UM2	-0.346446535703833	0.228816109796062
lmer_pop	LA_NDlog2	Tauber	B	UM	UM4	-0.338446535703833	0.190170481679474
lmer_pop	LA_NDlog2	Tauber	B	UM	UM5	-0.183446535703833	0.162618609335473
lmer_pop	LA_NDlog2	Tauber	B	UM	UM6	-0.221446535703833	0.205766401781737
lmer_pop	LA_NDlog2	Tauber	B	UM	UM7	-0.194446535703833	0.197483700852003
lmer_pop	LA_NDlog2	Tauber	B	UM	UM9	-0.760446535703833	0.168466056231525
lmer_pop	LA_NDlog2	Tauber	B	VA	VA11	-0.216661088579253	0.166238536913603
lmer_pop	LA_NDlog2	Tauber	B	VA	VA15	-0.117661088579253	0.175926834664799
lmer_pop	LA_NDlog2	Tauber	B	VA	VA18	-0.230661088579253	0.161214922247215
lmer_pop	LA_NDlog2	Tauber	B	VA	VA22	-0.231661088579253	0.185230265224599
lmer_pop	LA_NDlog2	Tauber	B	VA	VA26	-0.431661088579253	0.190796360434824
lmer_pop	LA_NDlog2	Tauber	B	VA	VA30	-0.0896610885792534	0.246891172695938
lmer_pop	LA_NDlog2	Tauber	B	VA	VA34	-0.0926610885792534	0.246891172695938
lmer_pop	LA_NDlog2	Tauber	B	VA	VA6	-0.389661088579253	0.175926834664799
lmer_pop	LA_NDlog2	Tauber	B	VA	VA9	-0.428661088579253	0.175926834664799
lmer_pop	LA_NDlog2	Tauber	B	YE	YE11	0.0138517775849427	0.260489598001574
lmer_pop	LA_NDlog2	Tauber	B	YE	YE13	0.139851777584943	0.159043486716752
lmer_pop	LA_NDlog2	Tauber	B	YE	YE14	-0.0681482224150573	0.159043486716752
lmer_pop	LA_NDlog2	Tauber	B	YE	YE15	-0.0181482224150573	0.183256188618616
lmer_pop	LA_NDlog2	Tauber	B	YE	YE19	-0.0121482224150573	0.175350593574763
lmer_pop	LA_NDlog2	Tauber	B	YE	YE20	0.00585177758494274	0.21665601922638
lmer_pop	LA_NDlog2	Tauber	B	YE	YE21	0.393851777584943	0.235159160287286
lmer_pop	LA_NDlog2	Tauber	B	YE	YE22	-0.313148222415057	0.235159160287286
lmer_pop	LA_NDlog2	Tauber	B	YE	YE24	0.160851777584943	0.192153143786464
lmer_pop	LA_NDlog2	Tauber	B	YE	YE26	0.0278517775849427	0.21665601922638
lmer_pop	LA_NDlog2	Tauber	B	YE	YE27	0.112851777584943	0.175350593574763
lmer_pop	LA_NDlog2	Tauber	B	YE	YE33	0.0588517775849427	0.202965097164566
lmer_pop	LA_NDlog2	Tauber	B	YE	YE40	0.119851777584943	0.21665601922638
lmer_pop	LA_NDlog2	Tauber	B	YE	YE41	-0.0121482224150573	0.169277377895044
lmer_pop	LA_NDlog2	Tauber	B	YE	YE48	0.0608517775849427	0.192153143786464
lmer_pop	LA_NDlog2	Tauber	B	YE	YE49	0.420851777584943	0.202965097164566
lmer_pop	LA_NDlog2	Tauber	B	YE	YE51	0.125851777584943	0.175350593574763
lmer_pop	LA_NDlog2	Tauber	B	YE	YE69	-0.142148222415057	0.21665601922638
lmer_pop	LA_NDlog2	Tauber	B	YE	YE80	-0.279148222415057	0.235159160287286
lmer_pop	LA_Period	Tauber	B	AK	AK1	24.3060117353228	0.26671998292198
lmer_pop	LA_Period	Tauber	B	AK	AK2	24.2880117353228	0.26671998292198
lmer_pop	LA_Period	Tauber	B	AK	AK3	24.3140117353228	0.267272425232947
lmer_pop	LA_Period	Tauber	B	AK	AK4	24.3460117353228	0.26671998292198
lmer_pop	LA_Period	Tauber	B	AK	AK5	24.3540117353228	0.26671998292198
lmer_pop	LA_Period	Tauber	B	AK	AK6	24.3190117353228	0.26671998292198
lmer_pop	LA_Period	Tauber	B	AK	AK7	24.3480117353228	0.26671998292198
lmer_pop	LA_Period	Tauber	B	AK	AK8	24.3170117353228	0.26671998292198
lmer_pop	LA_Period	Tauber	B	GI	GI1	23.6037208206014	0.28207623133235
lmer_pop	LA_Period	Tauber	B	GI	GI2	23.6207208206014	0.282605732926035
lmer_pop	LA_Period	Tauber	B	GI	GI3	23.6297208206014	0.281549285707959
lmer_pop	LA_Period	Tauber	B	GI	GI4	23.5957208206014	0.28102491043084
lmer_pop	LA_Period	Tauber	B	GI	GI5	23.6037208206014	0.281549285707959
lmer_pop	LA_Period	Tauber	B	GI	GI6	23.5537208206014	0.280503119916092
lmer_pop	LA_Period	Tauber	B	GI	GI7	23.6097208206014	0.28102491043084
lmer_pop	LA_Period	Tauber	B	GI	GI8	23.5857208206014	0.28102491043084
lmer_pop	LA_Period	Tauber	B	GI	GI9	23.5937208206014	0.283137776149107
lmer_pop	LA_Period	Tauber	B	KA	KA1	24.639092100356	0.2511927169631
lmer_pop	LA_Period	Tauber	B	KA	KA10	24.645092100356	0.2511927169631
lmer_pop	LA_Period	Tauber	B	KA	KA11	24.627092100356	0.250600840092974
lmer_pop	LA_Period	Tauber	B	KA	KA13	24.617092100356	0.251787174127882
lmer_pop	LA_Period	Tauber	B	KA	KA2	24.587092100356	0.250011561843256
lmer_pop	LA_Period	Tauber	B	KA	KA3	24.677092100356	0.250600840092974
lmer_pop	LA_Period	Tauber	B	KA	KA5	24.779092100356	0.248840874968933
lmer_pop	LA_Period	Tauber	B	KA	KA6	24.602092100356	0.248259503454156
lmer_pop	LA_Period	Tauber	B	KA	KA7	24.682092100356	0.248259503454156
lmer_pop	LA_Period	Tauber	B	KA	KA9	24.575092100356	0.250011561843256
lmer_pop	LA_Period	Tauber	B	MA	MA12	24.3585796617164	0.252600950496118
lmer_pop	LA_Period	Tauber	B	MA	MA13	24.3115796617164	0.253180252372775
lmer_pop	LA_Period	Tauber	B	MA	MA16	24.3025796617164	0.252600950496118
lmer_pop	LA_Period	Tauber	B	MA	MA18	24.3145796617164	0.253180252372775
lmer_pop	LA_Period	Tauber	B	MA	MA19	24.2995796617164	0.252600950496118
lmer_pop	LA_Period	Tauber	B	MA	MA3	24.2985796617164	0.253180252372775
lmer_pop	LA_Period	Tauber	B	MA	MA5	24.3705796617164	0.253762172499256
lmer_pop	LA_Period	Tauber	B	MA	MA6	24.2845796617164	0.253762172499256
lmer_pop	LA_Period	Tauber	B	MA	MA7	24.3215796617164	0.254346692904669
lmer_pop	LA_Period	Tauber	B	MA	MA9	24.2845796617164	0.254933795703006
lmer_pop	LA_Period	Tauber	B	MU	MU1	23.7744884863856	0.304919592556854
lmer_pop	LA_Period	Tauber	B	MU	MU10	23.8344884863856	0.303940714490569
lmer_pop	LA_Period	Tauber	B	MU	MU2	23.8274884863856	0.303940714490569
lmer_pop	LA_Period	Tauber	B	MU	MU3	23.8014884863856	0.303455034436797
lmer_pop	LA_Period	Tauber	B	MU	MU4	23.8154884863856	0.305412766473567
lmer_pop	LA_Period	Tauber	B	MU	MU5	23.8304884863856	0.303940714490569
lmer_pop	LA_Period	Tauber	B	MU	MU6	23.8184884863856	0.303940714490569
lmer_pop	LA_Period	Tauber	B	MU	MU7	23.8194884863856	0.304919592556854
lmer_pop	LA_Period	Tauber	B	MU	MU8	23.8214884863856	0.304919592556854
lmer_pop	LA_Period	Tauber	B	MU	MU9	23.7824884863856	0.303455034436797
lmer_pop	LA_Period	Tauber	B	RE	RE10	24.122129046714	0.30807691687935
lmer_pop	LA_Period	Tauber	B	RE	RE11	24.080129046714	0.307594516716221
lmer_pop	LA_Period	Tauber	B	RE	RE2	24.074129046714	0.307114614946742
lmer_pop	LA_Period	Tauber	B	RE	RE3	24.075129046714	0.307594516716221
lmer_pop	LA_Period	Tauber	B	RE	RE4	24.103129046714	0.30807691687935
lmer_pop	LA_Period	Tauber	B	RE	RE6	24.180129046714	0.306162353521601
lmer_pop	LA_Period	Tauber	B	RE	RE7	24.133129046714	0.308561803718292
lmer_pop	LA_Period	Tauber	B	RE	RE8	24.106129046714	0.308561803718292
lmer_pop	LA_Period	Tauber	B	UM	UM13	24.6583908275796	0.266801390027293
