Model	Trait	Sex	Population	Line	Value_re_Tauber	SE_re_Tauber
lmer_pop	LA_NDlog2	B	AK	AK1	-0.177	0.134
lmer_pop	LA_NDlog2	B	AK	AK2	0.339	0.14
lmer_pop	LA_NDlog2	B	AK	AK3	-0.025	0.153
lmer_pop	LA_NDlog2	B	AK	AK4	0.064	0.134
lmer_pop	LA_NDlog2	B	AK	AK5	0.755	0.134
lmer_pop	LA_NDlog2	B	AK	AK6	-0.382	0.146
lmer_pop	LA_NDlog2	B	AK	AK7	-0.098	0.146
lmer_pop	LA_NDlog2	B	AK	AK8	-0.476	0.14
lmer_pop	LA_NDlog2	B	GI	GI1	0.17	0.172
lmer_pop	LA_NDlog2	B	GI	GI2	0.259	0.199
lmer_pop	LA_NDlog2	B	GI	GI3	0.028	0.153
lmer_pop	LA_NDlog2	B	GI	GI4	-0.276	0.134
lmer_pop	LA_NDlog2	B	GI	GI5	0.156	0.162
lmer_pop	LA_NDlog2	B	GI	GI6	-0.011	0.129
lmer_pop	LA_NDlog2	B	GI	GI7	-0.459	0.134
lmer_pop	LA_NDlog2	B	GI	GI8	0.143	0.146
lmer_pop	LA_NDlog2	B	GI	GI9	-0.01	0.246
lmer_pop	LA_NDlog2	B	KA	KA1	-0.028	0.184
lmer_pop	LA_NDlog2	B	KA	KA10	-0.068	0.172
lmer_pop	LA_NDlog2	B	KA	KA11	0.14	0.162
lmer_pop	LA_NDlog2	B	KA	KA13	0.068	0.199
lmer_pop	LA_NDlog2	B	KA	KA2	-0.202	0.134
lmer_pop	LA_NDlog2	B	KA	KA3	-0.119	0.162
lmer_pop	LA_NDlog2	B	KA	KA5	-0.288	0.117
lmer_pop	LA_NDlog2	B	KA	KA6	-0.023	0.114
lmer_pop	LA_NDlog2	B	KA	KA7	0.312	0.114
lmer_pop	LA_NDlog2	B	KA	KA9	0.208	0.14
lmer_pop	LA_NDlog2	B	MA	MA12	0.01	0.125
lmer_pop	LA_NDlog2	B	MA	MA13	0.035	0.134
lmer_pop	LA_NDlog2	B	MA	MA16	-0.074	0.125
lmer_pop	LA_NDlog2	B	MA	MA18	-0.023	0.14
lmer_pop	LA_NDlog2	B	MA	MA19	0.012	0.125
lmer_pop	LA_NDlog2	B	MA	MA3	-0.197	0.146
lmer_pop	LA_NDlog2	B	MA	MA5	0.18	0.153
lmer_pop	LA_NDlog2	B	MA	MA6	0.054	0.162
lmer_pop	LA_NDlog2	B	MA	MA7	0.065	0.184
lmer_pop	LA_NDlog2	B	MA	MA9	-0.063	0.199
lmer_pop	LA_NDlog2	B	MU	MU10	0.541	0.162
lmer_pop	LA_NDlog2	B	MU	MU2	0.129	0.162
lmer_pop	LA_NDlog2	B	MU	MU3	-0.351	0.146
lmer_pop	LA_NDlog2	B	MU	MU4	-0.111	0.246
lmer_pop	LA_NDlog2	B	MU	MU5	-0.337	0.162
lmer_pop	LA_NDlog2	B	MU	MU6	-0.287	0.162
lmer_pop	LA_NDlog2	B	MU	MU7	0.062	0.199
lmer_pop	LA_NDlog2	B	MU	MU8	0.38	0.219
lmer_pop	LA_NDlog2	B	MU	MU9	-0.026	0.14
lmer_pop	LA_NDlog2	B	RE	RE10	0.101	0.184
lmer_pop	LA_NDlog2	B	RE	RE11	-0.069	0.153
lmer_pop	LA_NDlog2	B	RE	RE2	0.154	0.146
lmer_pop	LA_NDlog2	B	RE	RE3	-0.412	0.153
lmer_pop	LA_NDlog2	B	RE	RE4	0.004	0.172
lmer_pop	LA_NDlog2	B	RE	RE6	0.129	0.121
lmer_pop	LA_NDlog2	B	RE	RE7	0.013	0.219
lmer_pop	LA_NDlog2	B	RE	RE8	0.08	0.219
lmer_pop	LA_NDlog2	B	UM	UM13	0.235	0.14
lmer_pop	LA_NDlog2	B	UM	UM17	-0.497	0.153
lmer_pop	LA_NDlog2	B	UM	UM18	-0.342	0.146
lmer_pop	LA_NDlog2	B	UM	UM2	0.095	0.199
lmer_pop	LA_NDlog2	B	UM	UM4	0.103	0.153
lmer_pop	LA_NDlog2	B	UM	UM5	0.258	0.117
lmer_pop	LA_NDlog2	B	UM	UM6	0.22	0.172
lmer_pop	LA_NDlog2	B	UM	UM7	0.247	0.162
lmer_pop	LA_NDlog2	B	UM	UM9	-0.319	0.125
lmer_pop	LA_NDlog2	B	VA	VA11	0.031	0.121
lmer_pop	LA_NDlog2	B	VA	VA15	0.13	0.134
lmer_pop	LA_NDlog2	B	VA	VA18	0.017	0.114
lmer_pop	LA_NDlog2	B	VA	VA22	0.016	0.146
lmer_pop	LA_NDlog2	B	VA	VA26	-0.184	0.153
lmer_pop	LA_NDlog2	B	VA	VA30	0.158	0.219
lmer_pop	LA_NDlog2	B	VA	VA34	0.155	0.219
lmer_pop	LA_NDlog2	B	VA	VA6	-0.142	0.134
lmer_pop	LA_NDlog2	B	VA	VA9	-0.181	0.134
lmer_pop	LA_NDlog2	B	YE	YE11	-0.028	0.246
lmer_pop	LA_NDlog2	B	YE	YE13	0.098	0.134
lmer_pop	LA_NDlog2	B	YE	YE14	-0.11	0.134
lmer_pop	LA_NDlog2	B	YE	YE15	-0.06	0.162
lmer_pop	LA_NDlog2	B	YE	YE19	-0.054	0.153
lmer_pop	LA_NDlog2	B	YE	YE20	-0.036	0.199
lmer_pop	LA_NDlog2	B	YE	YE21	0.352	0.219
lmer_pop	LA_NDlog2	B	YE	YE22	-0.355	0.219
lmer_pop	LA_NDlog2	B	YE	YE24	0.119	0.172
lmer_pop	LA_NDlog2	B	YE	YE26	-0.014	0.199
lmer_pop	LA_NDlog2	B	YE	YE27	0.071	0.153
lmer_pop	LA_NDlog2	B	YE	YE33	0.017	0.184
lmer_pop	LA_NDlog2	B	YE	YE40	0.078	0.199
lmer_pop	LA_NDlog2	B	YE	YE41	-0.054	0.146
lmer_pop	LA_NDlog2	B	YE	YE48	0.019	0.172
lmer_pop	LA_NDlog2	B	YE	YE49	0.379	0.184
lmer_pop	LA_NDlog2	B	YE	YE51	0.084	0.153
lmer_pop	LA_NDlog2	B	YE	YE69	-0.184	0.199
lmer_pop	LA_NDlog2	B	YE	YE80	-0.321	0.219
lmer_pop	LA_Period	B	AK	AK1	-0.018	0.147
lmer_pop	LA_Period	B	AK	AK2	-0.036	0.147
lmer_pop	LA_Period	B	AK	AK3	-0.01	0.148
lmer_pop	LA_Period	B	AK	AK4	0.022	0.147
lmer_pop	LA_Period	B	AK	AK5	0.03	0.147
lmer_pop	LA_Period	B	AK	AK6	-0.005	0.147
lmer_pop	LA_Period	B	AK	AK7	0.024	0.147
lmer_pop	LA_Period	B	AK	AK8	-0.007	0.147
lmer_pop	LA_Period	B	GI	GI1	0.004	0.149
lmer_pop	LA_Period	B	GI	GI2	0.021	0.15
lmer_pop	LA_Period	B	GI	GI3	0.03	0.148
lmer_pop	LA_Period	B	GI	GI4	-0.004	0.147
lmer_pop	LA_Period	B	GI	GI5	0.004	0.148
lmer_pop	LA_Period	B	GI	GI6	-0.046	0.146
lmer_pop	LA_Period	B	GI	GI7	0.01	0.147
