"Country","Population","Line","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"Finland","AK","AK16",-2.74398934648557,2.35760154787909,1.03233096198715,1.18743792067837,0.758541966067973
"Finland","AK","AK17",-1.4152834706603,-0.787287791445212,0.521295669833079,-0.28551471334545,-0.540809213573107
"Finland","AK","AK18",-2.8290359247096,-0.604770754862382,1.49518361090778,-1.91430884809138,-0.391672516164761
"Finland","AK","AK2",-1.58052453303951,0.849942141554629,1.21306771299175,0.685411624413363,-0.974379099539541
"Finland","AK","AK20",-3.17790143608353,-1.10801534208949,-1.05663527384877,0.827143413384809,0.295539760608269
"Finland","AK","AK4",-1.76465135206216,0.261756511838775,1.46787762686097,-0.322820644177325,-1.19327452991558
"Finland","AK","AK5",-2.35584359408307,0.316596618719478,-0.17391276611605,0.608633813307644,-2.53571560554286
"Finland","AK","AK6",-1.505480494586,-0.445683196907052,0.727337833947525,-0.880361360046243,-0.135345065523922
"Finland","AK","AK7",-2.19951131054905,-0.62299825487889,-0.213742648532293,1.68876462621693,-1.63945020888668
"Finland","AK","AK8",-2.24797233770519,-1.4598932382633,0.763180172583701,0.615053912690316,-1.31219616761272
"Finland","AK","AK9",-3.10904924590978,-2.42471028967692,0.880110826447042,1.63531783385474,-0.0379956459051811
"Spain","GI","GI1",0.113368006636266,-0.332855024859993,-0.365826004013227,-0.620716157384352,-0.651406494518471
"Spain","GI","GI10",-0.645216897313037,-0.0740524471271306,1.04527176856283,0.31929221338864,-1.36150418133099
"Spain","GI","GI11",-1.56609444789611,-1.51734564051964,-0.875262400581395,-0.169082129889244,0.720554892873524
"Spain","GI","GI3",-2.05794221545217,-0.623500220786928,0.119014622908449,-0.377967050104633,0.819939151474541
"Spain","GI","GI5",0.831957448780079,0.0226323077255633,0.0805025279808622,-0.710092006595472,-0.109858130677394
"Spain","GI","GI8",-0.541913108365078,0.115617898722193,-0.31954759055343,0.79268739604743,1.76871529898226
"Spain","GI","GI9",-1.45371668188542,-0.137263047878763,-0.698512109445609,1.50941126672995,1.48055919227881
"Denmark","KA","KA10",-3.7560584380527,1.10797047786861,1.11922339288169,-1.00010839603973,0.564625347481319
"Denmark","KA","KA13",-2.67674574874047,0.119997511011575,-0.589177825871001,-1.92365564151745,0.0926799979018308
"Denmark","KA","KA14",-0.717795083553166,0.484430077613186,1.23613097338763,-0.0366284466438311,1.10420300956473
"Denmark","KA","KA17",0.251183241129099,-0.0239082978574056,-0.28582715715685,-0.493876463167013,-0.138497491652102
"Denmark","KA","KA18",-0.19211908746137,1.12411796503087,0.0983328271713576,-0.485708252243344,-0.76290147832438
"Denmark","KA","KA2",-0.104703335332959,2.95857746082242,1.13016371033723,0.346928068814248,1.08669531202878
"Denmark","KA","KA23",-1.73675280952328,0.88736134844907,0.777317956724149,-1.40820233170318,-0.400692560510125
"Denmark","KA","KA24",-1.2851815367848,0.579488572891751,0.467718196769918,-0.121705883701915,-0.287540254993051
"Denmark","KA","KA25",-0.499533337059085,2.45985521164487,-0.471035816988338,0.903614630466697,-0.744383114536876
"Denmark","KA","KA29",0.72840665529641,2.59610676422504,1.37875409739303,-0.252574434797629,-0.270282155167255
"Denmark","KA","KA3",-0.201990333737583,1.08182419287329,-0.922716431679794,-1.19711907872007,0.0579787290352062
"Denmark","KA","KA5",-1.52411688085974,-0.159489002608787,1.71495919634633,-0.345723248987664,-0.319514136662181
"Denmark","KA","KA9",-1.64165700488648,0.601416812950332,-0.975143279745047,-0.829739182620797,0.482412551075629
"Austria","MA","MA18",1.13161341339343,1.80045318595046,-0.787729726142343,-1.23609542410975,-0.599695480322944
"Austria","MA","MA19",0.0305165479914077,0.563162086596553,0.850733397402808,-0.393852585336938,0.888791794953338
"Austria","MA","MA20",-0.0668181238082466,-1.12406674733284,-0.278385315763887,-1.29994363248431,0.659871371424434
"Austria","MA","MA26",0.835022237124288,-0.135371727467869,-0.670074710774352,-0.82377284064576,-1.21811317731297
"Austria","MA","MA3",1.88044263653254,-0.958512983516794,1.00585179220202,-0.688793905678358,1.34579560247936
"Austria","MA","MA30",1.83774453872689,2.02025598899453,-0.794889403947265,-0.56624745365609,1.19181426152366
"Austria","MA","MA5",0.641373320620976,0.200311538355552,2.16483343002256,0.797520923269872,-1.16025590611953
"Austria","MA","MA6",1.001936485083,-1.49173635700075,0.0333115603500227,-1.24278594982528,0.1532685276221
"Austria","MA","MA7",1.12955484532768,0.106520496655919,1.61540674228668,-1.57408152034467,-0.0690072115557221
"Austria","MA","MA9",0.866468485022324,0.333347399551715,1.3521256403214,-0.97877610147723,0.202162007116155
"Germany","MU","MU1",-1.47780812501576,-0.279767252076955,-0.439316166914624,0.342314544006066,2.2319380122218
"Germany","MU","MU11",-1.78460398135376,-0.200125152304647,-1.83607257555026,1.38868847865617,1.34939341205277
"Germany","MU","MU12",-0.65052160378929,1.34593454370686,-0.74228139157625,1.33321286698352,0.502686982453423
"Germany","MU","MU14",-0.131048886917027,1.00851518475053,0.856476269916333,2.02879945096001,-1.13546394347669
"Germany","MU","MU17",-0.461263943133744,1.28659364652434,-2.13255352967791,1.10737859743239,0.661752855315711
"Germany","MU","MU19",0.0831512120384268,1.15821017135162,-1.26148031569656,1.19324629977949,-0.924824146815611
"Germany","MU","MU2",-0.631152697399097,0.542437456148875,-1.41268011946137,2.01084268532301,2.13519624776737
"Germany","MU","MU4",-1.53540067412511,1.19452695426799,1.59280971984006,2.64253702255011,0.40412532019088
"Germany","MU","MU5",0.44729583289424,1.50702480637126,-0.987518808393565,0.458457912752129,-0.193758692851995
"Germany","MU","MU8",-0.180211343505353,0.391309678198882,-1.14183821833329,0.0805645552052627,0.342606855584555
"Germany","MU","MU9",-0.4401146073697,-2.37763692002238,-0.196409407841451,1.54075617056248,0.399621883079257
"Portugal","RE","RE11",2.16055158276684,-1.46526803348482,2.26493896571618,1.40333808598206,0.62799133769393
"Portugal","RE","RE12",0.849112109048676,0.177024351138539,0.791006841710605,-1.63834365902162,-0.667866946146217
"Portugal","RE","RE13",3.2221112471096,0.541771288163006,0.267302279712767,-0.406373024258655,-0.181308155105448
"Portugal","RE","RE16",0.681130450654638,1.23600739918312,1.88090334862344,1.59418248009703,-1.10709496566306
"Portugal","RE","RE17",-0.864506420689335,-1.16190564295976,1.56428425128602,-1.0849081034151,-0.859275338008338
"Portugal","RE","RE18",2.19942410740795,0.0586336349631123,0.751144039862023,-1.45578663729077,0.240468195993842
"Portugal","RE","RE2",3.23834863519263,0.914944543357504,1.83860400884745,0.488692251992554,1.23902578189004
"Portugal","RE","RE4",1.79016095587609,0.579357496564341,1.2697444497681,-0.705586812930761,0.793710008675735
"Portugal","RE","RE5",0.311234994490821,0.477146988286521,1.31750406958472,-0.224036883672699,1.67150314722927
"Portugal","RE","RE6",1.94571869836974,-1.13420031307191,2.53051059267674,0.976033487083331,-0.432463210802338
"Portugal","RE","RE7",2.34011616244035,1.41676150797641,2.15549771479428,0.928891867142763,-0.448132633103245
"Ukraine","UM","UM17",1.33154512584284,-1.78745381544691,-2.7090540626397,0.616219987850733,0.25157775469602
"Ukraine","UM","UM18",2.21320962852806,-1.11688614553704,-0.663672570851551,0.090357500268176,-1.35319222121789
"Ukraine","UM","UM2",1.65380893899295,-1.84695279608398,-2.28491331866927,1.39431091404697,-1.21889262621068
"Ukraine","UM","UM20",3.53612438725753,-1.51359034024641,-0.194772711730629,0.313389712357377,-2.35058827871302
"Ukraine","UM","UM21",0.146127620370849,-2.0618888448819,0.0178920748140745,-0.426796691813735,-0.486219765667171
"Ukraine","UM","UM23",1.46080868787491,-0.168123563421022,-1.73800077019073,0.166512721783427,-1.74261996442402
"Ukraine","UM","UM28",1.4415909954531,-3.19934558320388,-0.78293076168736,-1.04730565583775,1.1682123471987
"Ukraine","UM","UM29",1.0661519695119,-1.99397949164218,-1.22201787057015,1.74609367210299,1.22390005894573
"Ukraine","UM","UM7",2.03575204298425,-2.63932939343017,1.69267406873268,2.32172991233802,-0.49323611474088
"Ukraine","UM","UM9",1.47813806401428,0.441942246149246,-1.29574559701613,0.430399784550739,-1.72695813613838
"Russia","VA","VA11",1.23835498832814,2.79289479137168,-3.02240511008551,-0.417878462810421,-0.984088377250893
"Russia","VA","VA18",0.0669725316337701,1.19445840480617,-1.06286011718252,-1.58524135898479,0.571870939640391
"Russia","VA","VA30",1.81465959157717,0.272464389012767,-0.977359771738533,0.165901227450005,1.51704985227568
"Russia","VA","VA34",0.253434150597635,1.15412585838228,-0.965069622772888,1.0553046771594,-0.809999244671547
"Russia","VA","VA44",3.03656646901535,1.26656676998412,-1.12307448426462,0.855066781634499,1.67659896742486
"Russia","VA","VA46",1.14191206350694,2.1182781325765,-0.743104116823214,-0.116139569559123,-0.470207519533487
"Russia","VA","VA48",-0.76441599985514,1.89458810998214,-0.208135960888201,0.319659170879635,0.516776923553736
"Russia","VA","VA55",0.502910393515229,-1.04451781783315,-0.864343261736984,2.18955125828195,1.11665807518723
"Russia","VA","VA57",1.73230318455346,1.54603106664934,-1.4734221881814,-0.645896254462527,-0.740561981675096
"Russia","VA","VA66",1.24698806959689,0.215404887149146,0.748958704793378,-0.577506940195151,1.01065795050061
"Russia","VA","VA67",-0.498004440507663,-0.640048530433236,-3.01890480431175,-0.0688914008514999,-0.150482931570925
"Russia","VA","VA71",-0.42656009676813,0.454408946644084,1.54488849638294,-0.259707694859974,0.53112956867211
"Turkey","YE","YE13",-0.679104971075638,-1.09662335792099,-1.07054882072691,-0.645512027356534,-0.109246333755222
"Turkey","YE","YE15",0.449348539701767,-1.07446824039202,0.606247129578018,-1.17690028132517,0.211644256387365
"Turkey","YE","YE20",0.396911679248313,-1.11318961942225,-0.924223690673094,-2.28759758560929,2.23440221457997
"Turkey","YE","YE22",-0.499871664189226,-1.53315309658652,-0.361481961895069,-0.373048296026942,1.19100269755762
"Turkey","YE","YE23",-0.645321930200861,-1.16728548049372,0.694783390910962,-0.897459903915993,-0.207492761003121
"Turkey","YE","YE24",0.954127125413043,-2.75767733936308,1.01084178868385,0.128234541892484,-0.656995826046074
"Turkey","YE","YE33",-0.948474982319751,-0.188055712263617,-2.6926654443416,-0.643411836623685,-1.66687193249538
"Turkey","YE","YE40",0.801265076777359,-0.829353698004377,1.93929765462486,-0.31886547888929,1.06887949613607
"Turkey","YE","YE41",-0.76321678612958,-1.09777462223151,-1.24177845981245,-1.66179167770095,-0.0774242521993613
"Turkey","YE","YE51",-0.739254211492475,-1.23245125709074,-0.96517355241147,-0.551756910273851,-0.818475444085278
"Turkey","YE","YE69",-0.846958476097501,0.166144046111323,-0.828081499827419,-1.32056384164399,-0.671781288567344
"Turkey","YE","YE80",0.0184587842696102,0.449661007232504,0.435963416166827,-0.51032558970251,-1.02451705910925
