Model	Trait	Lab	Sex	Population	Line	Coef	SE
glmer_pop	PR_HR	Hrcek	NA	AK	AK1	-0.861295682834538	0.282585362880918
glmer_pop	PR_HR	Hrcek	NA	AK	AK11	-2.08229568283454	0.311856517191064
glmer_pop	PR_HR	Hrcek	NA	AK	AK3	-1.21829568283454	0.284321098961263
glmer_pop	PR_HR	Hrcek	NA	AK	AK4	-1.73029568283454	0.291227552464633
glmer_pop	PR_HR	Hrcek	NA	AK	AK5	-2.31029568283454	0.33189981517702
glmer_pop	PR_HR	Hrcek	NA	AK	AK6	-1.26629568283454	0.302956246534942
glmer_pop	PR_HR	Hrcek	NA	AK	AK9	-0.808295682834537	0.288391205334942
glmer_pop	PR_HR	Hrcek	NA	GI	GI10	-2.61934627045303	0.391982514379479
glmer_pop	PR_HR	Hrcek	NA	GI	GI11	-2.50034627045303	0.398259075953403
glmer_pop	PR_HR	Hrcek	NA	GI	GI2	-1.45534627045303	0.341763502409573
glmer_pop	PR_HR	Hrcek	NA	GI	GI7	-1.08634627045303	0.333144550577161
glmer_pop	PR_HR	Hrcek	NA	GI	GI9	-1.77634627045303	0.355868362711914
glmer_pop	PR_HR	Hrcek	NA	KA	KA1	-1.57293243790052	0.330814006991332
glmer_pop	PR_HR	Hrcek	NA	KA	KA10	-1.50593243790052	0.344740347539508
glmer_pop	PR_HR	Hrcek	NA	KA	KA13	-1.40593243790052	0.345690478928276
glmer_pop	PR_HR	Hrcek	NA	KA	KA2	-2.18193243790052	0.357240685283271
glmer_pop	PR_HR	Hrcek	NA	KA	KA3	-2.21793243790052	0.360434331358239
glmer_pop	PR_HR	Hrcek	NA	MA	MA12	-1.09654380732015	0.263610611552906
glmer_pop	PR_HR	Hrcek	NA	MA	MA13	0.0434561926798528	0.256971894422906
glmer_pop	PR_HR	Hrcek	NA	MA	MA18	-0.0495438073201472	0.257362690620255
glmer_pop	PR_HR	Hrcek	NA	MA	MA19	-0.351543807320147	0.260189458901196
glmer_pop	PR_HR	Hrcek	NA	MA	MA20	-1.30054380732015	0.28460244996011
glmer_pop	PR_HR	Hrcek	NA	MA	MA3	-1.43154380732015	0.269584039815597
glmer_pop	PR_HR	Hrcek	NA	MA	MA5	-0.550543807320147	0.270063982276973
glmer_pop	PR_HR	Hrcek	NA	MA	MA7	-1.62954380732015	0.297985829400153
glmer_pop	PR_HR	Hrcek	NA	MU	MU1	-2.05794758180818	0.370134737621815
glmer_pop	PR_HR	Hrcek	NA	MU	MU10	-1.15394758180818	0.331680153151149
glmer_pop	PR_HR	Hrcek	NA	MU	MU11	-1.84494758180818	0.341162313267995
glmer_pop	PR_HR	Hrcek	NA	MU	MU5	-0.887947581808184	0.328914463036166
glmer_pop	PR_HR	Hrcek	NA	MU	MU6	-0.985947581808184	0.357458702501939
glmer_pop	PR_HR	Hrcek	NA	RE	RE1	-1.29144514564862	0.259727878965079
glmer_pop	PR_HR	Hrcek	NA	RE	RE10	-1.58144514564862	0.280860412147563
glmer_pop	PR_HR	Hrcek	NA	RE	RE11	0.624554854351381	0.283962270577798
glmer_pop	PR_HR	Hrcek	NA	RE	RE12	-1.25644514564862	0.314379660779286
glmer_pop	PR_HR	Hrcek	NA	RE	RE2	-2.15544514564862	0.376002089238476
glmer_pop	PR_HR	Hrcek	NA	RE	RE4	-2.27044514564862	0.33435695164255
glmer_pop	PR_HR	Hrcek	NA	RE	RE6	-1.20044514564862	0.273997392527189
glmer_pop	PR_HR	Hrcek	NA	RE	RE7	-1.51244514564862	0.290438584061586
glmer_pop	PR_HR	Hrcek	NA	UM	UM13	-1.92396498061021	0.314736416065257
glmer_pop	PR_HR	Hrcek	NA	UM	UM17	-1.01096498061021	0.294011924243903
glmer_pop	PR_HR	Hrcek	NA	UM	UM2	0.336035019389787	0.276582739153408
glmer_pop	PR_HR	Hrcek	NA	UM	UM20	-0.849964980610213	0.288669381122422
glmer_pop	PR_HR	Hrcek	NA	UM	UM4	0.0620350193897874	0.295016968321489
glmer_pop	PR_HR	Hrcek	NA	UM	UM7	-0.462964980610213	0.274668912688718
glmer_pop	PR_HR	Hrcek	NA	UM	UM8	-1.31696498061021	0.317701135656771
glmer_pop	PR_HR	Hrcek	NA	VA	VA11	-1.99560951705523	0.301045984547966
glmer_pop	PR_HR	Hrcek	NA	VA	VA15	-1.61860951705523	0.271773223133653
glmer_pop	PR_HR	Hrcek	NA	VA	VA22	0.0133904829447722	0.277179878080019
glmer_pop	PR_HR	Hrcek	NA	VA	VA30	-0.146609517055228	0.275573374643586
glmer_pop	PR_HR	Hrcek	NA	VA	VA35	-1.10860951705523	0.282728995351475
glmer_pop	PR_HR	Hrcek	NA	VA	VA6	-1.81460951705523	0.301588601927285
glmer_pop	PR_HR	Hrcek	NA	VA	VA9	-0.676609517055228	0.285453472237516
glmer_pop	PR_HR	Hrcek	NA	YE	YE11	-2.4325301166571	0.420326114046153
glmer_pop	PR_HR	Hrcek	NA	YE	YE19	-0.972530116657097	0.310565680893978
glmer_pop	PR_HR	Hrcek	NA	YE	YE20	-1.8185301166571	0.377261238598852
glmer_pop	PR_HR	Hrcek	NA	YE	YE23	-1.7085301166571	0.33375746006515
glmer_pop	PR_HR	Hrcek	NA	YE	YE24	-1.3335301166571	0.327734713067047
glmer_pop	PR_HR	Hrcek	NA	YE	YE26	-1.2015301166571	0.41667618380361
