Trait	Population	Line	Sex	Value	SE	LLM	ULM	N_lab
Pgm_T4	YE	YE11	F	-0.0347206151144609	0.0275672645031418	-0.0887514606929083	0.0193102304639865	3
Pgm_T4	YE	YE13	F	-0.0164411878999318	0.0155159284293788	-0.0468518488082153	0.0139694730083517	3
Pgm_T4	YE	YE14	F	-0.0384898386693858	0.0364495275213718	-0.109929599864776	0.0329499225260045	3
Pgm_T4	YE	YE15	F	-0.00132232469280254	0.0169705605338029	-0.0345840121365131	0.0319393627509081	3
Pgm_T4	YE	YE19	F	-0.0198373482149538	0.0406296093262363	-0.0994699192003097	0.0597952227704021	3
Pgm_T4	YE	YE20	F	-0.0545751847216558	0.0162797837855574	-0.0864829746174474	-0.0226673948258642	3
Pgm_T4	YE	YE21	F	0.0457784317519654	0.0400646813739399	-0.0327469007930295	0.12430376429696	3
Pgm_T4	YE	YE22	F	0.0681751362421038	0.0187487582946449	0.0314282452297532	0.104922027254454	3
Pgm_T4	YE	YE23	F	0.0828654886976022	0.0244952323472472	0.0348557155040571	0.130875261891147	3
Pgm_T4	YE	YE24	F	0.00702673174698316	0.0170767657519384	-0.0264431140992432	0.0404965775932095	3
Pgm_T4	YE	YE26	F	0.0145098403841751	0.0405940667170868	-0.0650530683673311	0.0940727491356813	3
Pgm_T4	YE	YE27	F	0.0222692227064086	0.0270115623633272	-0.0306724666918704	0.0752109121046876	3
Pgm_T4	YE	YE33	F	-0.0265812351280129	0.0328187740846732	-0.0909048503507288	0.037742380094703	3
Pgm_T4	YE	YE40	F	-0.00194057932780353	0.0335831374403206	-0.0677623191986906	0.0638811605430835	3
Pgm_T4	YE	YE41	F	-0.0487232481411583	0.045315266188845	-0.13753953782114	0.0400930415388234	3
Pgm_T4	YE	YE48	F	0.0522434607645875	0.0155159284293788	0.021832799856304	0.082654121672871	3
Pgm_T4	YE	YE49	F	-0.0205348289864754	0.0142377970226522	-0.0484403983700652	0.00737074039711442	3
Pgm_T4	YE	YE51	F	-0.0206614965026514	0.0255644511165528	-0.0707668999756297	0.0294439069703269	3
Pgm_T4	YE	YE69	F	-0.063191992834338	0.0179982454643529	-0.098467905729381	-0.027916079939295	3
Pgm_T4	YE	YE80	F	0.042015466187684	0.0155159284293788	0.0116048052794005	0.0724261270959675	3
Pgm_T4	RE	RE1	F	0.0990197368421053	0.0378798256253171	0.0247766428758263	0.173262830808384	2
Pgm_T4	RE	RE10	F	-0.00819139308142018	0.0284886405284097	-0.0640281024856112	0.0476453163227709	3
Pgm_T4	RE	RE11	F	0.0877918184348611	0.0582712224008522	-0.0264176788059328	0.202001315675655	3
Pgm_T4	RE	RE12	F	0.0402641671094049	0.0358074174255388	-0.029917081424043	0.110445415642853	3
Pgm_T4	RE	RE13	F	-0.0564036997874948	0.0159970578285453	-0.0877573569900481	-0.0250500425849415	3
Pgm_T4	RE	RE15	F	-0.0451425764209311	0.0349952775651645	-0.113732060077636	0.0234469072357739	3
Pgm_T4	RE	RE16	F	-0.0123814802009396	0.0151528243702585	-0.0420804702307071	0.0173175098288279	3
Pgm_T4	RE	RE17	F	-0.0119714218676678	0.0158241450448595	-0.0429861762417303	0.0190433325063948	3
Pgm_T4	RE	RE18	F	-0.0283770692826487	0.0155159284293788	-0.0587877301909322	0.00203359162563482	3
Pgm_T4	RE	RE2	F	0.0375354437594523	0.0227884131341536	-0.00712902524830835	0.0821999127672129	3
Pgm_T4	RE	RE3	F	-0.0581067710193528	0.0373162527626736	-0.131245282472186	0.0150317404334807	3
Pgm_T4	RE	RE4	F	-0.0167031562071215	0.0602574971203193	-0.134805680361473	0.10139936794723	3
Pgm_T4	RE	RE5	F	-0.0107859591087983	0.0347595340141875	-0.0789133938960006	0.0573414756784041	3
Pgm_T4	RE	RE6	F	-0.0299653407939139	0.0311596254902522	-0.0910370845265644	0.0311064029387366	3
Pgm_T4	RE	RE7	F	0.0525393558268316	0.0437411823792587	-0.0331917862777135	0.138270497931377	3
Pgm_T4	RE	RE8	F	-0.0188526011560694	0.0177409099088255	-0.0536241456303371	0.0159189433181984	2
Pgm_T4	GI	GI1	F	-0.0343367266303636	0.0471653917900676	-0.126779195855617	0.05810574259489	3
Pgm_T4	GI	GI10	F	0.0509242700573714	0.0139556836734946	0.0235716326776883	0.0782769074370545	3
Pgm_T4	GI	GI11	F	-0.000741241440921101	0.0228534995808252	-0.0455332775400397	0.0440507946581975	3
Pgm_T4	GI	GI12	F	-0.00195722834863257	0.0155159284293788	-0.0323678892569161	0.0284534325596509	3
Pgm_T4	GI	GI13	F	0.0206278586278586	0.0218861161242026	-0.0222681407370397	0.063523857992757	2
Pgm_T4	GI	GI14	F	-0.0258722855901885	0.0255931974039362	-0.0760340307511274	0.0242894595707503	3
Pgm_T4	GI	GI15	F	0.0250379286264029	0.0461037064958245	-0.0653236756592184	0.115399532912024	3
Pgm_T4	GI	GI2	F	0.0207472797901117	0.0151528243702585	-0.00895171023965582	0.0504462698198791	3
Pgm_T4	GI	GI3	F	-0.0793443052682291	0.0161486018000606	-0.110994983197026	-0.0476936273394317	3
Pgm_T4	GI	GI4	F	-0.039	0.0268328157299975	-0.0915913524345949	0.0135913524345949	2
Pgm_T4	GI	GI5	F	-0.0107991279109457	0.0210949137983221	-0.052144399212634	0.0305461433907426	3
Pgm_T4	GI	GI6	F	0.00354046242774566	0.0177409099088255	-0.0312310820465221	0.0383120069020135	2
Pgm_T4	GI	GI7	F	0.0399497888315345	0.0158241450448595	0.00893503445747196	0.070964543205597	3
Pgm_T4	GI	GI8	F	0.0174656004697714	0.0155159284293788	-0.0129450604385121	0.0478762613780549	3
Pgm_T4	GI	GI9	F	0.00353045030747867	0.0161486018000606	-0.0281202276213187	0.0351811282362761	3
Pgm_T4	MU	MU1	F	0.0650888598806471	0.0318344329382825	0.00269451785335779	0.127483201907936	3
Pgm_T4	MU	MU10	F	-0.0389565634148237	0.0155159284293788	-0.0693672243231072	-0.0085459025065402	3
Pgm_T4	MU	MU11	F	-0.0513663715488441	0.0442893453440925	-0.138171893322122	0.0354391502244339	3
Pgm_T4	MU	MU12	F	-0.0374953666373214	0.0163071878593761	-0.0694568675308273	-0.00553386574381545	3
Pgm_T4	MU	MU13	F	0.00214126384267812	0.0239386241022851	-0.0447775772372432	0.0490601049225994	3
