Model	Trait	Lab	Sex	Population	Line	Coef	SE
lmer_pop	Pgm_T4	Abbott	F	AK	AK1	0.353951916725452	0.0255958724497872
lmer_pop	Pgm_T4	Abbott	F	AK	AK10	0.357951916725452	0.0247820234538218
lmer_pop	Pgm_T4	Abbott	F	AK	AK11	0.453951916725452	0.0255958724497872
lmer_pop	Pgm_T4	Abbott	F	AK	AK12	0.385951916725452	0.0264225034102708
lmer_pop	Pgm_T4	Abbott	F	AK	AK13	0.318951916725452	0.0264225034102708
lmer_pop	Pgm_T4	Abbott	F	AK	AK14	0.361951916725452	0.0264225034102708
lmer_pop	Pgm_T4	Abbott	F	AK	AK15	0.375951916725452	0.0209558747482842
lmer_pop	Pgm_T4	Abbott	F	AK	AK16	0.420951916725452	0.0264225034102708
lmer_pop	Pgm_T4	Abbott	F	AK	AK17	0.332951916725452	0.0255958724497872
lmer_pop	Pgm_T4	Abbott	F	AK	AK18	0.349951916725452	0.0264225034102708
lmer_pop	Pgm_T4	Abbott	F	AK	AK2	0.390951916725452	0.0264225034102708
lmer_pop	Pgm_T4	Abbott	F	AK	AK20	0.370951916725452	0.0255958724497872
lmer_pop	Pgm_T4	Abbott	F	AK	AK21	0.378951916725452	0.0264225034102708
lmer_pop	Pgm_T4	Abbott	F	AK	AK3	0.519951916725452	0.0264225034102708
lmer_pop	Pgm_T4	Abbott	F	AK	AK4	0.328951916725452	0.0264225034102708
lmer_pop	Pgm_T4	Abbott	F	AK	AK5	0.389951916725452	0.0264225034102708
lmer_pop	Pgm_T4	Abbott	F	AK	AK6	0.321951916725452	0.0264225034102708
lmer_pop	Pgm_T4	Abbott	F	AK	AK7	0.383951916725452	0.0264225034102708
lmer_pop	Pgm_T4	Abbott	F	AK	AK8	0.382951916725452	0.0255958724497872
lmer_pop	Pgm_T4	Abbott	F	AK	AK9	0.395951916725452	0.0255958724497872
lmer_pop	Pgm_T4	Abbott	F	GI	GI1	0.393298476594084	0.0281537490106856
lmer_pop	Pgm_T4	Abbott	F	GI	GI10	0.429298476594084	0.0273794372359382
lmer_pop	Pgm_T4	Abbott	F	GI	GI11	0.338298476594084	0.0281537490106856
lmer_pop	Pgm_T4	Abbott	F	GI	GI12	0.358298476594084	0.0281537490106856
lmer_pop	Pgm_T4	Abbott	F	GI	GI14	0.338298476594084	0.0281537490106856
lmer_pop	Pgm_T4	Abbott	F	GI	GI15	0.358298476594084	0.0281537490106856
lmer_pop	Pgm_T4	Abbott	F	GI	GI2	0.375298476594084	0.0273794372359382
lmer_pop	Pgm_T4	Abbott	F	GI	GI3	0.272298476594084	0.0281537490106856
lmer_pop	Pgm_T4	Abbott	F	GI	GI4	0.347298476594084	0.0297427904433441
lmer_pop	Pgm_T4	Abbott	F	GI	GI5	0.351298476594084	0.0281537490106856
lmer_pop	Pgm_T4	Abbott	F	GI	GI6	0.354298476594084	0.0281537490106856
lmer_pop	Pgm_T4	Abbott	F	GI	GI7	0.412298476594084	0.0281537490106856
lmer_pop	Pgm_T4	Abbott	F	GI	GI8	0.397298476594084	0.0281537490106856
lmer_pop	Pgm_T4	Abbott	F	GI	GI9	0.347298476594084	0.0281537490106856
lmer_pop	Pgm_T4	Abbott	F	KA	KA1	0.234102096216335	0.0266681012473807
lmer_pop	Pgm_T4	Abbott	F	KA	KA10	0.427102096216335	0.0266681012473807
lmer_pop	Pgm_T4	Abbott	F	KA	KA11	0.413102096216335	0.0266681012473807
lmer_pop	Pgm_T4	Abbott	F	KA	KA13	0.445102096216335	0.0266681012473807
lmer_pop	Pgm_T4	Abbott	F	KA	KA14	0.177102096216335	0.0266681012473807
lmer_pop	Pgm_T4	Abbott	F	KA	KA15	0.228102096216335	0.0266681012473807
lmer_pop	Pgm_T4	Abbott	F	KA	KA16	0.204102096216335	0.0266681012473807
lmer_pop	Pgm_T4	Abbott	F	KA	KA17	0.277102096216335	0.0266681012473807
lmer_pop	Pgm_T4	Abbott	F	KA	KA18	0.400102096216335	0.0266681012473807
lmer_pop	Pgm_T4	Abbott	F	KA	KA2	0.285102096216335	0.0266681012473807
lmer_pop	Pgm_T4	Abbott	F	KA	KA23	0.157102096216335	0.0266681012473807
lmer_pop	Pgm_T4	Abbott	F	KA	KA24	0.317102096216335	0.0266681012473807
lmer_pop	Pgm_T4	Abbott	F	KA	KA25	0.403102096216335	0.0266681012473807
lmer_pop	Pgm_T4	Abbott	F	KA	KA29	0.173102096216335	0.0258493254097771
lmer_pop	Pgm_T4	Abbott	F	KA	KA3	0.233102096216335	0.0266681012473807
lmer_pop	Pgm_T4	Abbott	F	KA	KA5	0.253102096216335	0.0266681012473807
lmer_pop	Pgm_T4	Abbott	F	KA	KA6	0.251102096216335	0.0266681012473807
lmer_pop	Pgm_T4	Abbott	F	KA	KA7	0.519102096216335	0.0266681012473807
lmer_pop	Pgm_T4	Abbott	F	KA	KA9	0.286102096216335	0.0266681012473807
lmer_pop	Pgm_T4	Abbott	F	MA	MA12	0.48145745797201	0.026908990490756
lmer_pop	Pgm_T4	Abbott	F	MA	MA13	0.41745745797201	0.0260977732619394
lmer_pop	Pgm_T4	Abbott	F	MA	MA18	0.53245745797201	0.0260977732619394
lmer_pop	Pgm_T4	Abbott	F	MA	MA19	0.55745745797201	0.026908990490756
lmer_pop	Pgm_T4	Abbott	F	MA	MA20	0.50945745797201	0.026908990490756
lmer_pop	Pgm_T4	Abbott	F	MA	MA21	0.55945745797201	0.0260977732619394
lmer_pop	Pgm_T4	Abbott	F	MA	MA23	0.51745745797201	0.0260977732619394
lmer_pop	Pgm_T4	Abbott	F	MA	MA26	0.47445745797201	0.026908990490756
lmer_pop	Pgm_T4	Abbott	F	MA	MA27	0.50645745797201	0.0260977732619394
lmer_pop	Pgm_T4	Abbott	F	MA	MA28	0.44445745797201	0.026908990490756
lmer_pop	Pgm_T4	Abbott	F	MA	MA30	0.44445745797201	0.026908990490756
lmer_pop	Pgm_T4	Abbott	F	MA	MA31	0.45545745797201	0.026908990490756
lmer_pop	Pgm_T4	Abbott	F	MA	MA32	0.40345745797201	0.0260977732619394
lmer_pop	Pgm_T4	Abbott	F	MA	MA33	0.49645745797201	0.026908990490756
lmer_pop	Pgm_T4	Abbott	F	MA	MA5	0.55145745797201	0.026908990490756
lmer_pop	Pgm_T4	Abbott	F	MA	MA6	0.46645745797201	0.026908990490756
lmer_pop	Pgm_T4	Abbott	F	MA	MA7	0.39045745797201	0.0260977732619394
lmer_pop	Pgm_T4	Abbott	F	MA	MA9	0.38445745797201	0.026908990490756
lmer_pop	Pgm_T4	Abbott	F	MU	MU1	0.455682290032391	0.0271517232103663
lmer_pop	Pgm_T4	Abbott	F	MU	MU10	0.340682290032391	0.0271517232103663
lmer_pop	Pgm_T4	Abbott	F	MU	MU11	0.394682290032391	0.0271517232103663
lmer_pop	Pgm_T4	Abbott	F	MU	MU12	0.360682290032391	0.0271517232103663
lmer_pop	Pgm_T4	Abbott	F	MU	MU13	0.422682290032391	0.0271517232103663
lmer_pop	Pgm_T4	Abbott	F	MU	MU14	0.445682290032391	0.0271517232103663
lmer_pop	Pgm_T4	Abbott	F	MU	MU16	0.416682290032391	0.0271517232103663
lmer_pop	Pgm_T4	Abbott	F	MU	MU17	0.372682290032391	0.0271517232103663
lmer_pop	Pgm_T4	Abbott	F	MU	MU18	0.445682290032391	0.0255580921293501
lmer_pop	Pgm_T4	Abbott	F	MU	MU19	0.374682290032391	0.0271517232103663
lmer_pop	Pgm_T4	Abbott	F	MU	MU2	0.467682290032391	0.0271517232103663
lmer_pop	Pgm_T4	Abbott	F	MU	MU20	0.341682290032391	0.0271517232103663
lmer_pop	Pgm_T4	Abbott	F	MU	MU3	0.382682290032391	0.0263479804404881
lmer_pop	Pgm_T4	Abbott	F	MU	MU5	0.341682290032391	0.0271517232103663
lmer_pop	Pgm_T4	Abbott	F	MU	MU6	0.398682290032391	0.0263479804404881
lmer_pop	Pgm_T4	Abbott	F	MU	MU8	0.330682290032391	0.0271517232103663
lmer_pop	Pgm_T4	Abbott	F	MU	MU9	0.380682290032391	0.0271517232103663
