Model	Trait	Lab	Sex	Population	Line	Estimate	SE
lmer_pop	Pgm_T4	Abbott	F	AK	AK1	-0.025	0.021
lmer_pop	Pgm_T4	Abbott	F	AK	AK10	-0.021	0.02
lmer_pop	Pgm_T4	Abbott	F	AK	AK11	0.075	0.021
lmer_pop	Pgm_T4	Abbott	F	AK	AK12	0.007	0.022
lmer_pop	Pgm_T4	Abbott	F	AK	AK13	-0.06	0.022
lmer_pop	Pgm_T4	Abbott	F	AK	AK14	-0.017	0.022
lmer_pop	Pgm_T4	Abbott	F	AK	AK15	-0.003	0.015
lmer_pop	Pgm_T4	Abbott	F	AK	AK16	0.042	0.022
lmer_pop	Pgm_T4	Abbott	F	AK	AK17	-0.046	0.021
lmer_pop	Pgm_T4	Abbott	F	AK	AK18	-0.029	0.022
lmer_pop	Pgm_T4	Abbott	F	AK	AK2	0.012	0.022
lmer_pop	Pgm_T4	Abbott	F	AK	AK20	-0.008	0.021
lmer_pop	Pgm_T4	Abbott	F	AK	AK21	0	0.022
lmer_pop	Pgm_T4	Abbott	F	AK	AK3	0.141	0.022
lmer_pop	Pgm_T4	Abbott	F	AK	AK4	-0.05	0.022
lmer_pop	Pgm_T4	Abbott	F	AK	AK5	0.011	0.022
lmer_pop	Pgm_T4	Abbott	F	AK	AK6	-0.057	0.022
lmer_pop	Pgm_T4	Abbott	F	AK	AK7	0.005	0.022
lmer_pop	Pgm_T4	Abbott	F	AK	AK8	0.004	0.021
lmer_pop	Pgm_T4	Abbott	F	AK	AK9	0.017	0.021
lmer_pop	Pgm_T4	Abbott	F	GI	GI1	0.031	0.022
lmer_pop	Pgm_T4	Abbott	F	GI	GI10	0.067	0.021
lmer_pop	Pgm_T4	Abbott	F	GI	GI11	-0.024	0.022
lmer_pop	Pgm_T4	Abbott	F	GI	GI12	-0.004	0.022
lmer_pop	Pgm_T4	Abbott	F	GI	GI14	-0.024	0.022
lmer_pop	Pgm_T4	Abbott	F	GI	GI15	-0.004	0.022
lmer_pop	Pgm_T4	Abbott	F	GI	GI2	0.013	0.021
lmer_pop	Pgm_T4	Abbott	F	GI	GI3	-0.09	0.022
lmer_pop	Pgm_T4	Abbott	F	GI	GI4	-0.015	0.024
lmer_pop	Pgm_T4	Abbott	F	GI	GI5	-0.011	0.022
lmer_pop	Pgm_T4	Abbott	F	GI	GI6	-0.008	0.022
lmer_pop	Pgm_T4	Abbott	F	GI	GI7	0.05	0.022
lmer_pop	Pgm_T4	Abbott	F	GI	GI8	0.035	0.022
lmer_pop	Pgm_T4	Abbott	F	GI	GI9	-0.015	0.022
lmer_pop	Pgm_T4	Abbott	F	KA	KA1	-0.065	0.022
lmer_pop	Pgm_T4	Abbott	F	KA	KA10	0.128	0.022
lmer_pop	Pgm_T4	Abbott	F	KA	KA11	0.114	0.022
lmer_pop	Pgm_T4	Abbott	F	KA	KA13	0.146	0.022
lmer_pop	Pgm_T4	Abbott	F	KA	KA14	-0.122	0.022
lmer_pop	Pgm_T4	Abbott	F	KA	KA15	-0.071	0.022
lmer_pop	Pgm_T4	Abbott	F	KA	KA16	-0.095	0.022
lmer_pop	Pgm_T4	Abbott	F	KA	KA17	-0.022	0.022
lmer_pop	Pgm_T4	Abbott	F	KA	KA18	0.101	0.022
lmer_pop	Pgm_T4	Abbott	F	KA	KA2	-0.014	0.022
lmer_pop	Pgm_T4	Abbott	F	KA	KA23	-0.142	0.022
lmer_pop	Pgm_T4	Abbott	F	KA	KA24	0.018	0.022
lmer_pop	Pgm_T4	Abbott	F	KA	KA25	0.104	0.022
lmer_pop	Pgm_T4	Abbott	F	KA	KA29	-0.126	0.021
lmer_pop	Pgm_T4	Abbott	F	KA	KA3	-0.066	0.022
lmer_pop	Pgm_T4	Abbott	F	KA	KA5	-0.046	0.022
lmer_pop	Pgm_T4	Abbott	F	KA	KA6	-0.048	0.022
lmer_pop	Pgm_T4	Abbott	F	KA	KA7	0.22	0.022
lmer_pop	Pgm_T4	Abbott	F	KA	KA9	-0.013	0.022
lmer_pop	Pgm_T4	Abbott	F	MA	MA12	0.004	0.022
lmer_pop	Pgm_T4	Abbott	F	MA	MA13	-0.06	0.021
lmer_pop	Pgm_T4	Abbott	F	MA	MA18	0.055	0.021
lmer_pop	Pgm_T4	Abbott	F	MA	MA19	0.08	0.022
lmer_pop	Pgm_T4	Abbott	F	MA	MA20	0.032	0.022
lmer_pop	Pgm_T4	Abbott	F	MA	MA21	0.082	0.021
lmer_pop	Pgm_T4	Abbott	F	MA	MA23	0.04	0.021
lmer_pop	Pgm_T4	Abbott	F	MA	MA26	-0.003	0.022
lmer_pop	Pgm_T4	Abbott	F	MA	MA27	0.029	0.021
lmer_pop	Pgm_T4	Abbott	F	MA	MA28	-0.033	0.022
lmer_pop	Pgm_T4	Abbott	F	MA	MA30	-0.033	0.022
lmer_pop	Pgm_T4	Abbott	F	MA	MA31	-0.022	0.022
lmer_pop	Pgm_T4	Abbott	F	MA	MA32	-0.074	0.021
lmer_pop	Pgm_T4	Abbott	F	MA	MA33	0.019	0.022
lmer_pop	Pgm_T4	Abbott	F	MA	MA5	0.074	0.022
lmer_pop	Pgm_T4	Abbott	F	MA	MA6	-0.011	0.022
lmer_pop	Pgm_T4	Abbott	F	MA	MA7	-0.087	0.021
lmer_pop	Pgm_T4	Abbott	F	MA	MA9	-0.093	0.022
lmer_pop	Pgm_T4	Abbott	F	MU	MU1	0.063	0.022
lmer_pop	Pgm_T4	Abbott	F	MU	MU10	-0.052	0.022
lmer_pop	Pgm_T4	Abbott	F	MU	MU11	0.002	0.022
lmer_pop	Pgm_T4	Abbott	F	MU	MU12	-0.032	0.022
lmer_pop	Pgm_T4	Abbott	F	MU	MU13	0.03	0.022
lmer_pop	Pgm_T4	Abbott	F	MU	MU14	0.053	0.022
lmer_pop	Pgm_T4	Abbott	F	MU	MU16	0.024	0.022
lmer_pop	Pgm_T4	Abbott	F	MU	MU17	-0.02	0.022
lmer_pop	Pgm_T4	Abbott	F	MU	MU18	0.053	0.02
lmer_pop	Pgm_T4	Abbott	F	MU	MU19	-0.018	0.022
lmer_pop	Pgm_T4	Abbott	F	MU	MU2	0.075	0.022
lmer_pop	Pgm_T4	Abbott	F	MU	MU20	-0.051	0.022
lmer_pop	Pgm_T4	Abbott	F	MU	MU3	-0.01	0.021
lmer_pop	Pgm_T4	Abbott	F	MU	MU5	-0.051	0.022
lmer_pop	Pgm_T4	Abbott	F	MU	MU6	0.006	0.021
lmer_pop	Pgm_T4	Abbott	F	MU	MU8	-0.062	0.022
lmer_pop	Pgm_T4	Abbott	F	MU	MU9	-0.012	0.022
lmer_pop	Pgm_T4	Abbott	F	RE	RE1	0.134	0.021
lmer_pop	Pgm_T4	Abbott	F	RE	RE10	-0.009	0.022
lmer_pop	Pgm_T4	Abbott	F	RE	RE11	0.043	0.021
lmer_pop	Pgm_T4	Abbott	F	RE	RE12	-0.001	0.022
lmer_pop	Pgm_T4	Abbott	F	RE	RE13	-0.054	0.022
lmer_pop	Pgm_T4	Abbott	F	RE	RE15	-0.02	0.022
lmer_pop	Pgm_T4	Abbott	F	RE	RE16	-0.016	0.021
lmer_pop	Pgm_T4	Abbott	F	RE	RE17	-0.029	0.022
lmer_pop	Pgm_T4	Abbott	F	RE	RE18	-0.024	0.022
lmer_pop	Pgm_T4	Abbott	F	RE	RE2	0.019	0.021
lmer_pop	Pgm_T4	Abbott	F	RE	RE3	-0.036	0.024
lmer_pop	Pgm_T4	Abbott	F	RE	RE4	0.045	0.022
lmer_pop	Pgm_T4	Abbott	F	RE	RE5	0.001	0.022
lmer_pop	Pgm_T4	Abbott	F	RE	RE6	-0.056	0.022
lmer_pop	Pgm_T4	Abbott	F	RE	RE7	0.025	0.022
lmer_pop	Pgm_T4	Abbott	F	RE	RE8	-0.022	0.022
lmer_pop	Pgm_T4	Abbott	F	UM	UM13	0.024	0.022
lmer_pop	Pgm_T4	Abbott	F	UM	UM17	0.065	0.022
lmer_pop	Pgm_T4	Abbott	F	UM	UM18	-0.059	0.022
lmer_pop	Pgm_T4	Abbott	F	UM	UM2	-0.008	0.021
lmer_pop	Pgm_T4	Abbott	F	UM	UM20	-0.075	0.022
lmer_pop	Pgm_T4	Abbott	F	UM	UM21	0.043	0.022
lmer_pop	Pgm_T4	Abbott	F	UM	UM22	0.012	0.022
lmer_pop	Pgm_T4	Abbott	F	UM	UM23	0.008	0.022
lmer_pop	Pgm_T4	Abbott	F	UM	UM25	-0.229	0.021
lmer_pop	Pgm_T4	Abbott	F	UM	UM26	0.003	0.022
lmer_pop	Pgm_T4	Abbott	F	UM	UM28	0.041	0.022
lmer_pop	Pgm_T4	Abbott	F	UM	UM29	-0.045	0.021
lmer_pop	Pgm_T4	Abbott	F	UM	UM4	-0.017	0.021
lmer_pop	Pgm_T4	Abbott	F	UM	UM5	0.028	0.022
lmer_pop	Pgm_T4	Abbott	F	UM	UM6	0.036	0.022
lmer_pop	Pgm_T4	Abbott	F	UM	UM7	0.083	0.022
lmer_pop	Pgm_T4	Abbott	F	UM	UM8	0.035	0.022
lmer_pop	Pgm_T4	Abbott	F	UM	UM9	0.056	0.022
lmer_pop	Pgm_T4	Abbott	F	VA	VA1	0.051	0.022
lmer_pop	Pgm_T4	Abbott	F	VA	VA11	0.011	0.022
lmer_pop	Pgm_T4	Abbott	F	VA	VA18	-0.002	0.022
lmer_pop	Pgm_T4	Abbott	F	VA	VA22	0.023	0.022
lmer_pop	Pgm_T4	Abbott	F	VA	VA26	-0.046	0.021
lmer_pop	Pgm_T4	Abbott	F	VA	VA30	-0.012	0.022
lmer_pop	Pgm_T4	Abbott	F	VA	VA34	0.031	0.021
lmer_pop	Pgm_T4	Abbott	F	VA	VA35	-0.006	0.021
lmer_pop	Pgm_T4	Abbott	F	VA	VA44	0.007	0.022
lmer_pop	Pgm_T4	Abbott	F	VA	VA46	-0.048	0.022
lmer_pop	Pgm_T4	Abbott	F	VA	VA47	-0.022	0.021
lmer_pop	Pgm_T4	Abbott	F	VA	VA48	-0.011	0.021
lmer_pop	Pgm_T4	Abbott	F	VA	VA55	-0.016	0.021
lmer_pop	Pgm_T4	Abbott	F	VA	VA57	0.064	0.021
lmer_pop	Pgm_T4	Abbott	F	VA	VA6	-0.03	0.022
lmer_pop	Pgm_T4	Abbott	F	VA	VA66	-0.01	0.021
lmer_pop	Pgm_T4	Abbott	F	VA	VA67	0.01	0.021
lmer_pop	Pgm_T4	Abbott	F	VA	VA71	0.039	0.022
lmer_pop	Pgm_T4	Abbott	F	VA	VA9	-0.032	0.021
lmer_pop	Pgm_T4	Abbott	F	YE	YE11	-0.015	0.022
lmer_pop	Pgm_T4	Abbott	F	YE	YE13	-0.023	0.022
lmer_pop	Pgm_T4	Abbott	F	YE	YE14	0.021	0.022
lmer_pop	Pgm_T4	Abbott	F	YE	YE15	0.006	0.022
lmer_pop	Pgm_T4	Abbott	F	YE	YE19	0.004	0.022
lmer_pop	Pgm_T4	Abbott	F	YE	YE20	-0.06	0.022
lmer_pop	Pgm_T4	Abbott	F	YE	YE21	0.032	0.022
lmer_pop	Pgm_T4	Abbott	F	YE	YE22	0.065	0.022
lmer_pop	Pgm_T4	Abbott	F	YE	YE23	0.061	0.022
lmer_pop	Pgm_T4	Abbott	F	YE	YE24	-0.016	0.021
lmer_pop	Pgm_T4	Abbott	F	YE	YE26	-0.051	0.022
lmer_pop	Pgm_T4	Abbott	F	YE	YE27	-0.023	0.022
lmer_pop	Pgm_T4	Abbott	F	YE	YE33	-0.001	0.022
lmer_pop	Pgm_T4	Abbott	F	YE	YE40	-0.039	0.022
lmer_pop	Pgm_T4	Abbott	F	YE	YE41	0.007	0.022
lmer_pop	Pgm_T4	Abbott	F	YE	YE48	0.052	0.022
lmer_pop	Pgm_T4	Abbott	F	YE	YE49	-0.016	0.022
lmer_pop	Pgm_T4	Abbott	F	YE	YE51	-0.006	0.022
lmer_pop	Pgm_T4	Abbott	F	YE	YE69	-0.036	0.022
lmer_pop	Pgm_T4	Abbott	F	YE	YE80	0.036	0.022
lmer_pop	Pgm_T5	Abbott	F	AK	AK1	0.013	0.02
lmer_pop	Pgm_T5	Abbott	F	AK	AK10	-0.015	0.02
lmer_pop	Pgm_T5	Abbott	F	AK	AK11	-0.009	0.02
lmer_pop	Pgm_T5	Abbott	F	AK	AK12	0.05	0.022
lmer_pop	Pgm_T5	Abbott	F	AK	AK13	0.044	0.021
lmer_pop	Pgm_T5	Abbott	F	AK	AK14	-0.005	0.021
lmer_pop	Pgm_T5	Abbott	F	AK	AK15	-0.008	0.015
lmer_pop	Pgm_T5	Abbott	F	AK	AK16	0.054	0.021
lmer_pop	Pgm_T5	Abbott	F	AK	AK17	-0.048	0.02
lmer_pop	Pgm_T5	Abbott	F	AK	AK18	-0.063	0.021
lmer_pop	Pgm_T5	Abbott	F	AK	AK2	-0.055	0.021
lmer_pop	Pgm_T5	Abbott	F	AK	AK20	0.028	0.02
lmer_pop	Pgm_T5	Abbott	F	AK	AK21	0.061	0.021
lmer_pop	Pgm_T5	Abbott	F	AK	AK3	0.069	0.021
lmer_pop	Pgm_T5	Abbott	F	AK	AK4	0.007	0.021
lmer_pop	Pgm_T5	Abbott	F	AK	AK5	0.023	0.021
lmer_pop	Pgm_T5	Abbott	F	AK	AK6	-0.04	0.021
lmer_pop	Pgm_T5	Abbott	F	AK	AK7	-0.048	0.021
lmer_pop	Pgm_T5	Abbott	F	AK	AK8	-0.076	0.02
lmer_pop	Pgm_T5	Abbott	F	AK	AK9	0.017	0.02
