Model	Trait	Lab	Sex	Population	Line	Coef	SE
lmer_pop	SR	Gonzalez	F	AK	AK1	95.7929820314884	6.80969016239139
lmer_pop	SR	Gonzalez	F	AK	AK10	86.4689820314885	6.83597543206309
lmer_pop	SR	Gonzalez	F	AK	AK11	78.5659820314884	6.83159242839985
lmer_pop	SR	Gonzalez	F	AK	AK12	74.2679820314884	6.84649809083228
lmer_pop	SR	Gonzalez	F	AK	AK13	80.9419820314885	6.95639354175496
lmer_pop	SR	Gonzalez	F	AK	AK14	90.7129820314885	6.86931380181238
lmer_pop	SR	Gonzalez	F	AK	AK15	86.4649820314884	6.89039448128843
lmer_pop	SR	Gonzalez	F	AK	AK16	104.252982031488	6.82282896662155
lmer_pop	SR	Gonzalez	F	AK	AK17	73.0409820314885	5.41177559658289
lmer_pop	SR	Gonzalez	F	AK	AK18	73.6499820314884	6.82282896662155
lmer_pop	SR	Gonzalez	F	AK	AK2	87.8799820314885	6.78081197997482
lmer_pop	SR	Gonzalez	F	AK	AK20	89.6769820314884	6.84649809083228
lmer_pop	SR	Gonzalez	F	AK	AK21	88.5289820314885	6.83159242839985
lmer_pop	SR	Gonzalez	F	AK	AK3	81.2689820314884	6.87458217695956
lmer_pop	SR	Gonzalez	F	AK	AK4	83.3499820314885	6.82633394346996
lmer_pop	SR	Gonzalez	F	AK	AK5	92.3259820314885	6.95110689802495
lmer_pop	SR	Gonzalez	F	AK	AK6	87.5489820314884	6.84649809083228
lmer_pop	SR	Gonzalez	F	AK	AK7	95.3689820314885	6.84211305868078
lmer_pop	SR	Gonzalez	F	AK	AK8	83.2349820314884	6.84649809083228
lmer_pop	SR	Gonzalez	F	AK	AK9	69.8949820314885	6.82633394346996
lmer_pop	SR	Gonzalez	F	GI	GI1	73.1051440811255	7.18818561387271
lmer_pop	SR	Gonzalez	F	GI	GI10	78.5491440811255	7.18483099449713
lmer_pop	SR	Gonzalez	F	GI	GI11	87.5351440811255	7.22008728614042
lmer_pop	SR	Gonzalez	F	GI	GI12	59.7291440811255	7.15383221913169
lmer_pop	SR	Gonzalez	F	GI	GI13	66.3331440811255	7.17812373949395
lmer_pop	SR	Gonzalez	F	GI	GI15	83.1221440811255	7.15383221913169
lmer_pop	SR	Gonzalez	F	GI	GI3	71.1581440811255	7.16806783027941
lmer_pop	SR	Gonzalez	F	GI	GI4	64.9531440811255	7.15383221913169
lmer_pop	SR	Gonzalez	F	GI	GI5	93.4841440811255	7.18483099449713
lmer_pop	SR	Gonzalez	F	GI	GI6	67.3361440811255	7.17812373949395
lmer_pop	SR	Gonzalez	F	GI	GI7	70.4251440811255	7.1580179113695
lmer_pop	SR	Gonzalez	F	GI	GI8	70.1361440811255	7.16806783027941
lmer_pop	SR	Gonzalez	F	GI	GI9	85.2091440811255	7.18231546365701
lmer_pop	SR	Gonzalez	F	KA	KA1	87.0077158852949	7.10209958233653
lmer_pop	SR	Gonzalez	F	KA	KA11	79.1267158852949	7.10887856679411
lmer_pop	SR	Gonzalez	F	KA	KA13	69.8017158852949	7.02432590911218
lmer_pop	SR	Gonzalez	F	KA	KA14	90.8017158852949	7.06908858887938
lmer_pop	SR	Gonzalez	F	KA	KA15	83.7757158852949	7.10887856679411
lmer_pop	SR	Gonzalez	F	KA	KA16	92.5947158852949	7.07585510573985
lmer_pop	SR	Gonzalez	F	KA	KA17	62.7577158852949	7.0919358765731
lmer_pop	SR	Gonzalez	F	KA	KA18	89.6147158852949	7.06824295546104
lmer_pop	SR	Gonzalez	F	KA	KA2	97.8887158852949	7.10040523332469
lmer_pop	SR	Gonzalez	F	KA	KA3	76.1337158852949	7.10040523332469
lmer_pop	SR	Gonzalez	F	KA	KA5	73.2237158852949	7.10633615004418
