Model	Trait	Lab	Sex	Population	Line	Value_re	SE_re
lmer_pop	SR	Gonzalez	F	AK	AK1	10.631	5.963
lmer_pop	SR	Gonzalez	F	AK	AK10	1.307	5.993
lmer_pop	SR	Gonzalez	F	AK	AK11	-6.596	5.988
lmer_pop	SR	Gonzalez	F	AK	AK12	-10.894	6.005
lmer_pop	SR	Gonzalez	F	AK	AK13	-4.22	6.13
lmer_pop	SR	Gonzalez	F	AK	AK14	5.551	6.031
lmer_pop	SR	Gonzalez	F	AK	AK15	1.303	6.055
lmer_pop	SR	Gonzalez	F	AK	AK16	19.091	5.978
lmer_pop	SR	Gonzalez	F	AK	AK17	-12.121	4.298
lmer_pop	SR	Gonzalez	F	AK	AK18	-11.512	5.978
lmer_pop	SR	Gonzalez	F	AK	AK2	2.718	5.93
lmer_pop	SR	Gonzalez	F	AK	AK20	4.515	6.005
lmer_pop	SR	Gonzalez	F	AK	AK21	3.367	5.988
lmer_pop	SR	Gonzalez	F	AK	AK3	-3.893	6.037
lmer_pop	SR	Gonzalez	F	AK	AK4	-1.812	5.982
lmer_pop	SR	Gonzalez	F	AK	AK5	7.164	6.124
lmer_pop	SR	Gonzalez	F	AK	AK6	2.387	6.005
lmer_pop	SR	Gonzalez	F	AK	AK7	10.207	6
lmer_pop	SR	Gonzalez	F	AK	AK8	-1.927	6.005
lmer_pop	SR	Gonzalez	F	AK	AK9	-15.267	5.982
lmer_pop	SR	Gonzalez	F	GI	GI1	-1.593	6.029
lmer_pop	SR	Gonzalez	F	GI	GI10	3.851	6.025
lmer_pop	SR	Gonzalez	F	GI	GI11	12.837	6.067
lmer_pop	SR	Gonzalez	F	GI	GI12	-14.969	5.988
lmer_pop	SR	Gonzalez	F	GI	GI13	-8.365	6.017
lmer_pop	SR	Gonzalez	F	GI	GI15	8.424	5.988
lmer_pop	SR	Gonzalez	F	GI	GI3	-3.54	6.005
lmer_pop	SR	Gonzalez	F	GI	GI4	-9.745	5.988
lmer_pop	SR	Gonzalez	F	GI	GI5	18.786	6.025
lmer_pop	SR	Gonzalez	F	GI	GI6	-7.362	6.017
lmer_pop	SR	Gonzalez	F	GI	GI7	-4.273	5.993
lmer_pop	SR	Gonzalez	F	GI	GI8	-4.562	6.005
lmer_pop	SR	Gonzalez	F	GI	GI9	10.511	6.022
lmer_pop	SR	Gonzalez	F	KA	KA1	6.176	6.017
lmer_pop	SR	Gonzalez	F	KA	KA11	-1.705	6.025
lmer_pop	SR	Gonzalez	F	KA	KA13	-11.03	5.925
lmer_pop	SR	Gonzalez	F	KA	KA14	9.97	5.978
lmer_pop	SR	Gonzalez	F	KA	KA15	2.944	6.025
lmer_pop	SR	Gonzalez	F	KA	KA16	11.763	5.986
lmer_pop	SR	Gonzalez	F	KA	KA17	-18.074	6.005
lmer_pop	SR	Gonzalez	F	KA	KA18	8.783	5.977
lmer_pop	SR	Gonzalez	F	KA	KA2	17.057	6.015
lmer_pop	SR	Gonzalez	F	KA	KA3	-4.698	6.015
lmer_pop	SR	Gonzalez	F	KA	KA5	-7.608	6.022
lmer_pop	SR	Gonzalez	F	KA	KA6	-8.129	6.025
lmer_pop	SR	Gonzalez	F	KA	KA7	-2.669	6.025
lmer_pop	SR	Gonzalez	F	KA	KA9	-2.78	6.053
lmer_pop	SR	Gonzalez	F	MA	MA12	-11.991	6.025
lmer_pop	SR	Gonzalez	F	MA	MA13	8.776	5.993
lmer_pop	SR	Gonzalez	F	MA	MA16	-4.583	5.988
lmer_pop	SR	Gonzalez	F	MA	MA18	21.73	5.988
lmer_pop	SR	Gonzalez	F	MA	MA19	-12.502	5.976
lmer_pop	SR	Gonzalez	F	MA	MA20	7.089	5.962
lmer_pop	SR	Gonzalez	F	MA	MA21	3.019	5.988
lmer_pop	SR	Gonzalez	F	MA	MA23	10.491	6.025
lmer_pop	SR	Gonzalez	F	MA	MA26	-16.939	6.005
lmer_pop	SR	Gonzalez	F	MA	MA27	-11.169	6
lmer_pop	SR	Gonzalez	F	MA	MA28	7.786	5.988
lmer_pop	SR	Gonzalez	F	MA	MA3	2.405	5.992
lmer_pop	SR	Gonzalez	F	MA	MA30	-16.417	5.988
lmer_pop	SR	Gonzalez	F	MA	MA31	14.131	6.037
lmer_pop	SR	Gonzalez	F	MA	MA32	13.382	6.025
lmer_pop	SR	Gonzalez	F	MA	MA33	-2.884	5.977
lmer_pop	SR	Gonzalez	F	MA	MA5	2.978	5.993
lmer_pop	SR	Gonzalez	F	MA	MA6	-8.656	6.009
lmer_pop	SR	Gonzalez	F	MA	MA7	-5.949	5.988
lmer_pop	SR	Gonzalez	F	MA	MA9	-0.699	5.988
lmer_pop	SR	Gonzalez	F	MU	MU1	1.132	6.036
lmer_pop	SR	Gonzalez	F	MU	MU10	-8.403	6.025
lmer_pop	SR	Gonzalez	F	MU	MU11	-1.146	5.99
lmer_pop	SR	Gonzalez	F	MU	MU12	-0.39	5.988
lmer_pop	SR	Gonzalez	F	MU	MU13	-2.421	5.992
lmer_pop	SR	Gonzalez	F	MU	MU14	16.984	6
lmer_pop	SR	Gonzalez	F	MU	MU15	19.865	6.022
lmer_pop	SR	Gonzalez	F	MU	MU17	-3.965	6.006
lmer_pop	SR	Gonzalez	F	MU	MU18	-3.698	5.988
lmer_pop	SR	Gonzalez	F	MU	MU19	13.747	5.988
lmer_pop	SR	Gonzalez	F	MU	MU2	-10.853	6.025
lmer_pop	SR	Gonzalez	F	MU	MU20	5.592	5.994
lmer_pop	SR	Gonzalez	F	MU	MU3	-9.493	6.005
lmer_pop	SR	Gonzalez	F	MU	MU4	-8.5	5.988
lmer_pop	SR	Gonzalez	F	MU	MU5	-7.653	5.968
lmer_pop	SR	Gonzalez	F	MU	MU6	-1.7	6.025
lmer_pop	SR	Gonzalez	F	MU	MU7	1.337	5.988
lmer_pop	SR	Gonzalez	F	MU	MU8	14.871	6
lmer_pop	SR	Gonzalez	F	MU	MU9	-15.305	5.993
lmer_pop	SR	Gonzalez	F	RE	RE1	-10.742	6.099
lmer_pop	SR	Gonzalez	F	RE	RE10	-9.036	5.988
lmer_pop	SR	Gonzalez	F	RE	RE11	0.863	6.005
lmer_pop	SR	Gonzalez	F	RE	RE12	-0.967	6.019
lmer_pop	SR	Gonzalez	F	RE	RE13	9.59	5.986
lmer_pop	SR	Gonzalez	F	RE	RE15	-4.46	6.025
lmer_pop	SR	Gonzalez	F	RE	RE16	13.365	6.025
lmer_pop	SR	Gonzalez	F	RE	RE17	-3.014	6.025
lmer_pop	SR	Gonzalez	F	RE	RE18	5.171	6.014
lmer_pop	SR	Gonzalez	F	RE	RE2	8.842	5.988
lmer_pop	SR	Gonzalez	F	RE	RE3	2.706	6.017
lmer_pop	SR	Gonzalez	F	RE	RE5	-13.125	6.032
lmer_pop	SR	Gonzalez	F	RE	RE6	0.806	6
lmer_pop	SR	Gonzalez	F	UM	UM13	-21.44	4.306
lmer_pop	SR	Gonzalez	F	UM	UM18	-2.247	6
lmer_pop	SR	Gonzalez	F	UM	UM20	3.527	6
lmer_pop	SR	Gonzalez	F	UM	UM21	-3.292	6.015
lmer_pop	SR	Gonzalez	F	UM	UM22	-1.614	6.093
lmer_pop	SR	Gonzalez	F	UM	UM26	-0.755	6.025
lmer_pop	SR	Gonzalez	F	UM	UM29	12.63	5.813
lmer_pop	SR	Gonzalez	F	UM	UM4	5.051	5.988
lmer_pop	SR	Gonzalez	F	UM	UM5	1.464	5.914
lmer_pop	SR	Gonzalez	F	UM	UM7	2.305	6.013
lmer_pop	SR	Gonzalez	F	UM	UM9	4.37	6
lmer_pop	SR	Gonzalez	F	VA	VA11	13.126	6
lmer_pop	SR	Gonzalez	F	VA	VA15	0.649	5.974
lmer_pop	SR	Gonzalez	F	VA	VA18	4.114	6.009
lmer_pop	SR	Gonzalez	F	VA	VA22	21.112	6
lmer_pop	SR	Gonzalez	F	VA	VA26	-9.274	6.032
lmer_pop	SR	Gonzalez	F	VA	VA30	-10.741	6.032
lmer_pop	SR	Gonzalez	F	VA	VA34	14.771	5.966
lmer_pop	SR	Gonzalez	F	VA	VA35	-3.66	5.992
