Model	Trait	Sex	Population	Line	Value_re_Gonzalez	Value_re_Onder	Value_re_Pasyukova	SE_re_Gonzalez	SE_re_Onder	SE_re_Pasyukova
lmer_pop	SR	F	AK	AK1	10.631	10.237	-0.362	5.963	1.995	3.594
lmer_pop	SR	F	AK	AK10	1.307	12.773	8.406	5.993	2.012	3.594
lmer_pop	SR	F	AK	AK11	-6.596	-6.509	-12.766	5.988	2.01	3.594
lmer_pop	SR	F	AK	AK12	-10.894	-11.164	-6.501	6.005	1.983	3.594
lmer_pop	SR	F	AK	AK13	-4.22	-1.267	2.133	6.13	1.995	3.594
lmer_pop	SR	F	AK	AK14	5.551	13.656	10.854	6.031	2.003	3.596
lmer_pop	SR	F	AK	AK15	1.303	-4.199	-25.384	6.055	2.006	3.594
lmer_pop	SR	F	AK	AK16	19.091	6.783	15.883	5.978	2.003	3.594
lmer_pop	SR	F	AK	AK17	-12.121	2.254	9.65	4.298	2.003	3.596
lmer_pop	SR	F	AK	AK18	-11.512	-22.267	-10.921	5.978	2.003	3.594
lmer_pop	SR	F	AK	AK2	2.718	5.633	-10.485	5.93	2.018	3.594
lmer_pop	SR	F	AK	AK20	4.515	-11.803	-5.146	6.005	2.003	3.594
lmer_pop	SR	F	AK	AK21	3.367	-5.555	10.679	5.988	2.003	3.594
lmer_pop	SR	F	AK	AK3	-3.893	6.564	-4.241	6.037	2.01	3.756
lmer_pop	SR	F	AK	AK4	-1.812	11.848	3.915	5.982	2.01	3.594
lmer_pop	SR	F	AK	AK5	7.164	20.211	8.581	6.124	2.011	3.596
lmer_pop	SR	F	AK	AK6	2.387	-11.863	-1.994	6.005	2.018	3.594
lmer_pop	SR	F	AK	AK7	10.207	7.347	16.415	6	2.018	3.596
lmer_pop	SR	F	AK	AK8	-1.927	-15.071	-3.222	6.005	2.003	3.594
lmer_pop	SR	F	AK	AK9	-15.267	-7.608	-15.372	5.982	2.01	3.596
lmer_pop	SR	F	GI	GI1	-1.593	6.347	-16.997	6.029	2.035	3.672
