Trait	Lab	Sex	Population	Estimate	SE
SR	Gonzalez	F	AK	85.4275803295352	3.25336677577611
SR	Gonzalez	F	GI	74.8926168329275	3.88939661399887
SR	Gonzalez	F	KA	80.8714815422446	3.75989179617516
SR	Gonzalez	F	MA	79.9911264643258	3.23283658867614
SR	Gonzalez	F	MU	88.9286223722503	3.35364223973842
SR	Gonzalez	F	RE	78.8916215704573	4.03730404380883
SR	Gonzalez	F	UM	81.9832278718922	4.17896709395111
SR	Gonzalez	F	VA	88.4469501182322	3.58453323956971
SR	Gonzalez	F	YE	69.7375869042235	3.71852687436415
SR	Onder	F	AK	92.6510292802385	2.93594141122043
SR	Onder	F	GI	88.1749119508739	3.3902444338093
SR	Onder	F	KA	97.2423681651469	2.93591269870079
SR	Onder	F	MA	92.3732759222171	2.93601422419274
SR	Onder	F	MU	102.780054494309	2.93458495294271
SR	Onder	F	RE	88.7745070472864	3.28155023579726
SR	Onder	F	UM	93.0814299608318	3.18507616500506
SR	Onder	F	VA	102.60207539692	2.93508507811422
SR	Onder	F	YE	80.1389318603484	2.93593515453361
SR	Pasyukova	F	AK	103.162349257941	4.6261135082686
SR	Pasyukova	F	GI	108.26509598386	5.02660480057667
SR	Pasyukova	F	KA	105.113896262679	4.67906941881993
SR	Pasyukova	F	MA	101.319059166102	4.68751554142761
SR	Pasyukova	F	MU	105.819902491694	4.68822240796664
SR	Pasyukova	F	RE	103.528392600508	4.85407145722015
SR	Pasyukova	F	UM	103.941391736078	4.7632566102192
SR	Pasyukova	F	VA	110.68245919146	4.68773742216349
SR	Pasyukova	F	YE	88.4765812982853	4.68088918890145
SR	Gonzalez	M	AK	58.8039819286964	3.6447114262627
SR	Gonzalez	M	GI	50.5087584478203	3.81955225829321
SR	Gonzalez	M	KA	58.8999014253387	3.80246614277935
SR	Gonzalez	M	MA	82.8301656186825	3.58209924789489
SR	Gonzalez	M	MU	64.4734813124799	3.66877933124339
SR	Gonzalez	M	RE	53.6136029118815	3.86335030817632
SR	Gonzalez	M	UM	56.6420265855771	3.9656942198786
SR	Gonzalez	M	VA	57.4207189453578	3.57908825331382
SR	Gonzalez	M	YE	47.3850584255908	3.57353159099983
SR	Onder	M	AK	73.0903182584863	2.23064309432928
SR	Onder	M	GI	69.9988393744277	2.57581234072074
SR	Onder	M	KA	75.6389037794469	2.23021823123493
SR	Onder	M	MA	73.2253310903278	2.23052196865042
SR	Onder	M	MU	79.7499932301901	2.22949703932329
SR	Onder	M	RE	70.08854841448	2.49269195604274
SR	Onder	M	UM	76.4874625057462	2.41997632264922
SR	Onder	M	VA	77.7176992655562	2.22973632499443
SR	Onder	M	YE	64.9310887046448	2.23014901727711
SR	Pasyukova	M	AK	68.4142187443352	2.39657145519614
SR	Pasyukova	M	GI	68.4724080909845	2.82455601056543
SR	Pasyukova	M	KA	72.4321466153915	2.45963938345925
SR	Pasyukova	M	MA	69.3285814171273	2.46288170496518
SR	Pasyukova	M	MU	75.1479583560811	2.46420042722193
SR	Pasyukova	M	RE	69.0337325404064	2.62374781416746
SR	Pasyukova	M	UM	71.9413209049902	2.54212080711957
SR	Pasyukova	M	VA	75.3699928047971	2.46337429543786
SR	Pasyukova	M	YE	58.4273521700503	2.45100848699134
