Trait	Population	Line	Sex	Value	SE	LLM	ULM	N_lab
TL	YE	YE11	F	986.588810074039	10.9649331342959	965.097936037929	1008.07968411015	2
TL	YE	YE13	F	963.099848609784	20.9971017143856	921.946285469864	1004.2534117497	3
TL	YE	YE14	F	976.544663306508	24.4198429167129	928.682650681625	1024.40667593139	4
TL	YE	YE15	F	1014.39221067211	24.9381944596164	965.514247691805	1063.27017365241	2
TL	YE	YE19	F	968.523745140931	15.211228537574	938.710285046678	998.337205235184	4
TL	YE	YE20	F	968.094716905564	54.036167502066	862.185774738941	1074.00365907219	2
TL	YE	YE21	F	985.337089798336	33.8301302314713	919.031252952352	1051.64292664432	2
TL	YE	YE22	F	977.765279423924	42.5614066127154	894.346455331636	1061.18410351621	2
TL	YE	YE23	F	1013.23519204711	11.2541752238864	991.177413932591	1035.29297016163	1
TL	YE	YE24	F	1040.02019204711	12.0269266635304	1016.44784894189	1063.59253515234	1
TL	YE	YE26	F	999.539471740248	24.7169622035117	951.095116014127	1047.98382746637	2
TL	YE	YE27	F	1004.71684275655	24.609130539787	956.483833207722	1052.94985230538	2
TL	YE	YE33	F	972.878549231766	9.88920402192325	953.496065513027	992.261032950504	2
TL	YE	YE40	F	1006.82567652162	44.7141671653898	919.187519278752	1094.46383376449	2
TL	YE	YE41	F	1005.65519204711	11.2541752238864	983.597413932591	1027.71297016163	1
TL	YE	YE48	F	980.877633572633	11.5749206616918	958.191205951808	1003.56406119346	2
TL	YE	YE49	F	962.596782062063	9.88920402192325	943.214298343324	981.979265780801	2
TL	YE	YE51	F	995.028499328499	38.4570945923514	919.653978977441	1070.40301967956	2
TL	YE	YE69	F	987.629192047112	11.2541752238864	965.571413932591	1009.68697016163	1
TL	YE	YE80	F	992.079982399604	24.5416112466087	943.979308233668	1040.18065656554	2
TL	RE	RE1	F	973.375523481935	20.8746213071392	932.46201752903	1014.28902943484	1
TL	RE	RE10	F	1008.18293468498	40.6762136297821	928.459020943151	1087.90684842681	2
TL	RE	RE11	F	967.33728410176	44.7229099829471	879.681991251357	1054.99257695216	3
TL	RE	RE12	F	966.204692103585	50.4530427918363	867.318545321128	1065.09083888604	2
TL	RE	RE13	F	984.381831046436	52.2288059561501	882.015252416851	1086.74840967602	2
TL	RE	RE15	F	975.658004219872	30.0574460513062	916.746492492056	1034.56951594769	3
TL	RE	RE16	F	1004.2630493742	39.7341632925089	926.385520365052	1082.14057838335	2
TL	RE	RE17	F	986.518443696267	23.9385461900541	939.599755321512	1033.43713207102	2
TL	RE	RE18	F	962.484386031505	69.728181784619	825.81966102619	1099.14911103682	2
TL	RE	RE2	F	1030.89336454754	31.1436934060206	969.852847126181	1091.9338819689	2
TL	RE	RE3	F	1004.15022046687	32.0388853461025	941.355159083701	1066.94528185004	2
TL	RE	RE4	F	1058.92230069354	11.8071427147264	1035.78072621236	1082.06387517473	1
TL	RE	RE5	F	1026.21530069354	14.1934132641136	998.396721878188	1054.0338795089	1
TL	RE	RE6	F	1015.79514004957	23.1985867546281	970.326745518269	1061.26353458087	2
TL	RE	RE7	F	1006.84919353484	45.8795155345385	916.926995458999	1096.77139161068	2
TL	GI	GI1	F	982.7478255954	23.6145696255557	936.464119618897	1029.0315315719	3
TL	GI	GI10	F	986.897201748719	46.6439623211921	895.476715502939	1078.3176879945	2
TL	GI	GI11	F	963.149387073664	19.9750637507679	923.998981533268	1002.29979261406	2
TL	GI	GI12	F	1005.99165556869	11.9257440503081	982.617626741239	1029.36568439613	1
TL	GI	GI13	F	1032.42765556869	11.9257440503081	1009.05362674124	1055.80168439613	1
TL	GI	GI14	F	987.115857070677	37.035380815738	914.527844518104	1059.70386962325	3
TL	GI	GI15	F	997.066924302767	50.8797512988323	897.344444214701	1096.78940439083	2
TL	GI	GI2	F	967.674144148052	34.4441589885402	900.164833052741	1035.18345524336	3
TL	GI	GI3	F	966.895442323638	27.9885625529619	912.038867740786	1021.75201690649	3
TL	GI	GI4	F	969.743560716487	23.3384833006297	924.000973993464	1015.48614743951	1
TL	GI	GI5	F	989.832077350764	19.6037547292571	951.409424119664	1028.25473058187	2
TL	GI	GI6	F	956.316557216417	21.8230029928676	913.544257315887	999.088857116947	1
TL	GI	GI7	F	979.106011019575	53.0777964611393	875.075441576994	1083.13658046216	2
TL	GI	GI8	F	994.188867221286	45.1547592282042	905.687165403428	1082.69056903914	2
TL	GI	GI9	F	966.324830166321	41.9989273564647	884.008445158336	1048.64121517431	2
