Trait	Population	Line	Sex	Value	SE	LLM	ULM	N_lab
TL	YE	YE11	F	-10.8169281688764	15.3343277237736	-40.8716582346068	19.2378018968539	2
TL	YE	YE13	F	-20.7264014965998	7.1536833861538	-34.7473632902638	-6.70543970293581	3
TL	YE	YE14	F	5.47779921778095	8.2435855729801	-10.679331608734	21.6349300442959	4
TL	YE	YE15	F	12.2394908346134	14.6204976504213	-16.4161579962647	40.8951396654915	2
TL	YE	YE19	F	-9.77985714026901	6.10230299911194	-21.7401512412792	2.18043696074114	4
TL	YE	YE20	F	-10.4878635467171	24.0741311912458	-57.6722936406512	36.696566547217	2
TL	YE	YE21	F	6.56486494167883	7.51258648186186	-8.15953399351288	21.2892638768705	2
TL	YE	YE22	F	0.0457619723237193	12.1559999684171	-23.7795601618438	23.8710841064912	2
TL	YE	YE23	F	3.35	9.892	-16.0379637350702	22.7379637350702	1
TL	YE	YE24	F	30.135	10.763	9.03990763439541	51.2300923656046	1
TL	YE	YE26	F	12.7492144079591	9.95878450528014	-6.76964455218553	32.2680733681037	2
TL	YE	YE27	F	18.9240309903785	8.63811531300566	1.99363608258353	35.8544258981736	2
TL	YE	YE33	F	-8.36620189743507	30.8870373121785	-68.9036826184497	52.1712788235796	2
TL	YE	YE40	F	28.3911969081095	14.6385013713366	-0.299738567350342	57.0821323835694	2
TL	YE	YE41	F	-4.23	9.892	-23.6179637350702	15.1579637350702	1
TL	YE	YE48	F	-8.33234527216359	16.459971958522	-40.593297497406	23.9286069530788	2
TL	YE	YE49	F	-23.9055448864774	22.3553950592303	-67.7213140627333	19.9102242897786	2
TL	YE	YE51	F	17.146632029732	9.95878450528014	-2.37222693041266	36.6654909898766	2
TL	YE	YE69	F	-22.256	9.892	-41.6439637350702	-2.86803626492979	1
TL	YE	YE80	F	6.24437405343342	8.63811531300566	-10.6860208543616	23.1747689612284	2
TL	RE	RE1	F	10.98	17.727	-23.7642815539415	45.7242815539415	1
TL	RE	RE10	F	8.67427375419479	8.63811531300566	-8.25612115360023	25.6046686619898	2
TL	RE	RE11	F	-1.57499338302777	6.9170663104371	-15.1321942301598	11.9822074641043	3
TL	RE	RE12	F	-30.7560519022045	12.6782361472928	-55.6049381383924	-5.90716566601672	2
TL	RE	RE13	F	-13.3561901083966	14.7626968587967	-42.2905442663207	15.5781640495275	2
TL	RE	RE15	F	5.88581750377754	11.5865130568427	-16.8233307940372	28.5949658015923	3
TL	RE	RE16	F	3.72516594836858	8.95779810196603	-13.8317957122661	21.2821276090033	2
TL	RE	RE17	F	-19.7251410836079	12.4830976709512	-44.1915629341682	4.74128076695227	2
TL	RE	RE18	F	-8.19978823497986	7.51258648186186	-22.9241871701716	6.52461070021185	2
TL	RE	RE2	F	25.8527020413069	8.63811531300566	8.92230713351192	42.783096949102	2
TL	RE	RE3	F	-0.965529478404117	10.3747719968858	-21.2997089401151	19.3686499833068	2
TL	RE	RE4	F	22.205	9.892	2.81703626492979	41.5929637350702	1
TL	RE	RE5	F	-10.502	12.645	-35.285744584509	14.281744584509	1
TL	RE	RE6	F	9.1393324240771	13.172251607049	-16.6778063210388	34.956471169193	2
TL	RE	RE7	F	10.2720943554392	8.63811531300566	-6.6583005523558	27.2024892632342	2
TL	GI	GI1	F	2.24370682592676	7.19174535887527	-11.8518550634519	16.3392687153054	3
TL	GI	GI10	F	2.83385126241853	7.82123930021468	-12.4954960804715	18.1631986053086	2
TL	GI	GI11	F	-21.7843878544178	22.9464487843402	-66.7586010448175	23.189825335982	2
TL	GI	GI12	F	-15.958	9.892	-35.3459637350702	3.42996373507021	1
TL	GI	GI13	F	10.478	9.892	-8.90996373507021	29.8659637350702	1
TL	GI	GI14	F	22.5681316442076	9.02583968040591	4.8778109403795	40.2584523480357	3
TL	GI	GI15	F	21.0723398915109	8.95764539830675	3.51567752454871	38.6290022584731	2
TL	GI	GI2	F	-4.43357203020817	8.5963151936114	-21.282040209441	12.4148961490246	3
TL	GI	GI3	F	-8.1308506675014	7.81479606327065	-23.4475694980373	7.18586816303447	3
TL	GI	GI4	F	3.619	12.965	-21.7919330595618	29.0299330595618	1
TL	GI	GI5	F	-11.2093340354071	7.86411963041786	-26.6227252811406	4.20405721032629	2
TL	GI	GI6	F	21.28	17.727	-13.4642815539415	56.0242815539415	1
TL	GI	GI7	F	-5.44570443831407	14.315234239245	-33.503047977489	22.6116391008608	2
