Model	Trait	Lab	Sex	Population	Line	Coef	SE
lmer_pop	TL	Kozeretska	F	AK	AK1	924.235080303192	19.8745028521983
lmer_pop	TL	Kozeretska	F	AK	AK10	929.991080303192	19.8745028521983
lmer_pop	TL	Kozeretska	F	AK	AK11	938.283080303192	19.8745028521983
lmer_pop	TL	Kozeretska	F	AK	AK12	910.781080303192	19.8745028521983
lmer_pop	TL	Kozeretska	F	AK	AK13	943.786080303192	19.8745028521983
lmer_pop	TL	Kozeretska	F	AK	AK14	960.341080303192	19.8745028521983
lmer_pop	TL	Kozeretska	F	AK	AK15	951.218080303192	22.9466845235219
lmer_pop	TL	Kozeretska	F	AK	AK16	926.609080303192	19.8745028521983
lmer_pop	TL	Kozeretska	F	AK	AK17	940.004080303192	19.8745028521983
lmer_pop	TL	Kozeretska	F	AK	AK2	915.595080303192	22.9466845235219
lmer_pop	TL	Kozeretska	F	AK	AK20	915.899080303192	19.8745028521983
lmer_pop	TL	Kozeretska	F	AK	AK21	967.500080303192	22.9466845235219
lmer_pop	TL	Kozeretska	F	AK	AK3	939.514080303192	19.8745028521983
lmer_pop	TL	Kozeretska	F	AK	AK4	933.996080303192	19.8745028521983
lmer_pop	TL	Kozeretska	F	AK	AK5	940.197080303192	19.8745028521983
lmer_pop	TL	Kozeretska	F	AK	AK6	921.289080303192	22.9466845235219
lmer_pop	TL	Kozeretska	F	AK	AK7	929.353080303192	19.8745028521983
lmer_pop	TL	Kozeretska	F	AK	AK8	964.465080303192	19.8745028521983
lmer_pop	TL	Kozeretska	F	AK	AK9	941.280080303192	19.8745028521983
lmer_pop	TL	Kozeretska	F	GI	GI1	953.631557216417	21.8230029928676
lmer_pop	TL	Kozeretska	F	GI	GI11	938.663557216417	21.8230029928676
lmer_pop	TL	Kozeretska	F	GI	GI14	931.068557216417	21.8230029928676
lmer_pop	TL	Kozeretska	F	GI	GI15	943.850557216417	24.6535580926305
lmer_pop	TL	Kozeretska	F	GI	GI2	905.213557216417	21.8230029928676
lmer_pop	TL	Kozeretska	F	GI	GI3	917.688557216417	21.8230029928676
lmer_pop	TL	Kozeretska	F	GI	GI6	956.316557216417	21.8230029928676
lmer_pop	TL	Kozeretska	F	GI	GI8	947.148557216417	21.8230029928676
lmer_pop	TL	Kozeretska	F	GI	GI9	921.746557216417	24.6535580926305
lmer_pop	TL	Kozeretska	F	KA	KA1	896.433916667328	20.7432867453173
lmer_pop	TL	Kozeretska	F	KA	KA10	939.200916667328	20.7432867453173
lmer_pop	TL	Kozeretska	F	KA	KA13	908.508916667328	20.7432867453173
lmer_pop	TL	Kozeretska	F	KA	KA14	919.812916667328	20.7432867453173
lmer_pop	TL	Kozeretska	F	KA	KA15	941.425916667328	20.7432867453173
lmer_pop	TL	Kozeretska	F	KA	KA16	902.041916667328	20.7432867453173
lmer_pop	TL	Kozeretska	F	KA	KA17	904.088916667328	20.7432867453173
lmer_pop	TL	Kozeretska	F	KA	KA18	917.082916667328	20.7432867453173
