Model	Trait	Lab	Sex	Population	Line	Value_re	SE_re
lmer_pop	TL	Kozeretska	F	AK	AK1	-12.309	17.727
lmer_pop	TL	Kozeretska	F	AK	AK10	-6.553	17.727
lmer_pop	TL	Kozeretska	F	AK	AK11	1.739	17.727
lmer_pop	TL	Kozeretska	F	AK	AK12	-25.763	17.727
lmer_pop	TL	Kozeretska	F	AK	AK13	7.242	17.727
lmer_pop	TL	Kozeretska	F	AK	AK14	23.797	17.727
lmer_pop	TL	Kozeretska	F	AK	AK15	14.674	21.114
lmer_pop	TL	Kozeretska	F	AK	AK16	-9.935	17.727
lmer_pop	TL	Kozeretska	F	AK	AK17	3.46	17.727
lmer_pop	TL	Kozeretska	F	AK	AK2	-20.949	21.114
lmer_pop	TL	Kozeretska	F	AK	AK20	-20.645	17.727
lmer_pop	TL	Kozeretska	F	AK	AK21	30.956	21.114
lmer_pop	TL	Kozeretska	F	AK	AK3	2.97	17.727
lmer_pop	TL	Kozeretska	F	AK	AK4	-2.548	17.727
lmer_pop	TL	Kozeretska	F	AK	AK5	3.653	17.727
lmer_pop	TL	Kozeretska	F	AK	AK6	-15.255	21.114
lmer_pop	TL	Kozeretska	F	AK	AK7	-7.191	17.727
lmer_pop	TL	Kozeretska	F	AK	AK8	27.921	17.727
lmer_pop	TL	Kozeretska	F	AK	AK9	4.736	17.727
lmer_pop	TL	Kozeretska	F	GI	GI1	18.595	17.727
lmer_pop	TL	Kozeretska	F	GI	GI11	3.627	17.727
lmer_pop	TL	Kozeretska	F	GI	GI14	-3.968	17.727
lmer_pop	TL	Kozeretska	F	GI	GI15	8.814	21.114
lmer_pop	TL	Kozeretska	F	GI	GI2	-29.823	17.727
lmer_pop	TL	Kozeretska	F	GI	GI3	-17.348	17.727
lmer_pop	TL	Kozeretska	F	GI	GI6	21.28	17.727
lmer_pop	TL	Kozeretska	F	GI	GI8	12.112	17.727
lmer_pop	TL	Kozeretska	F	GI	GI9	-13.29	21.114
lmer_pop	TL	Kozeretska	F	KA	KA1	-15.189	17.727
lmer_pop	TL	Kozeretska	F	KA	KA10	27.578	17.727
lmer_pop	TL	Kozeretska	F	KA	KA13	-3.114	17.727
lmer_pop	TL	Kozeretska	F	KA	KA14	8.19	17.727
lmer_pop	TL	Kozeretska	F	KA	KA15	29.803	17.727
lmer_pop	TL	Kozeretska	F	KA	KA16	-9.581	17.727
lmer_pop	TL	Kozeretska	F	KA	KA17	-7.534	17.727
lmer_pop	TL	Kozeretska	F	KA	KA18	5.46	17.727
lmer_pop	TL	Kozeretska	F	KA	KA2	-2.239	17.727
lmer_pop	TL	Kozeretska	F	KA	KA3	-16.301	17.727
lmer_pop	TL	Kozeretska	F	KA	KA5	-2.817	17.727
lmer_pop	TL	Kozeretska	F	KA	KA7	-14.254	17.727
lmer_pop	TL	Kozeretska	F	MA	MA13	6.743	21.114
lmer_pop	TL	Kozeretska	F	MA	MA16	-3.217	17.727
lmer_pop	TL	Kozeretska	F	MA	MA18	19.998	17.727
lmer_pop	TL	Kozeretska	F	MA	MA19	-27.396	17.727
lmer_pop	TL	Kozeretska	F	MA	MA20	-27.525	17.74
lmer_pop	TL	Kozeretska	F	MA	MA21	-32.87	17.727
lmer_pop	TL	Kozeretska	F	MA	MA27	-0.398	17.727
lmer_pop	TL	Kozeretska	F	MA	MA28	26.505	21.114
lmer_pop	TL	Kozeretska	F	MA	MA3	-33.419	17.727
lmer_pop	TL	Kozeretska	F	MA	MA30	0.477	17.727
lmer_pop	TL	Kozeretska	F	MA	MA31	-5.738	17.727
lmer_pop	TL	Kozeretska	F	MA	MA32	36.256	17.727
lmer_pop	TL	Kozeretska	F	MA	MA33	22.787	17.727
lmer_pop	TL	Kozeretska	F	MA	MA5	-10.552	21.114
lmer_pop	TL	Kozeretska	F	MA	MA6	7.101	21.114
lmer_pop	TL	Kozeretska	F	MA	MA7	41.018	17.727
lmer_pop	TL	Kozeretska	F	MA	MA9	-19.771	17.727
lmer_pop	TL	Kozeretska	F	MU	MU1	-48.947	17.727
lmer_pop	TL	Kozeretska	F	MU	MU11	-45.476	17.727
lmer_pop	TL	Kozeretska	F	MU	MU12	27.048	17.727
lmer_pop	TL	Kozeretska	F	MU	MU13	-34.217	17.727
lmer_pop	TL	Kozeretska	F	MU	MU14	3.061	17.727
lmer_pop	TL	Kozeretska	F	MU	MU15	-3.911	17.727
lmer_pop	TL	Kozeretska	F	MU	MU16	9.466	21.114
lmer_pop	TL	Kozeretska	F	MU	MU17	26.825	17.727
lmer_pop	TL	Kozeretska	F	MU	MU18	5.865	17.727
lmer_pop	TL	Kozeretska	F	MU	MU2	26.632	17.727
lmer_pop	TL	Kozeretska	F	MU	MU20	29.038	21.114
lmer_pop	TL	Kozeretska	F	MU	MU3	32.877	17.727
lmer_pop	TL	Kozeretska	F	MU	MU5	42.964	17.727
lmer_pop	TL	Kozeretska	F	MU	MU6	-30.627	17.727
lmer_pop	TL	Kozeretska	F	MU	MU7	-0.751	17.727
lmer_pop	TL	Kozeretska	F	MU	MU8	-20.718	17.727
lmer_pop	TL	Kozeretska	F	MU	MU9	-19.131	17.727
lmer_pop	TL	Kozeretska	F	RE	RE1	10.98	17.727
lmer_pop	TL	Kozeretska	F	RE	RE10	3.251	17.727
lmer_pop	TL	Kozeretska	F	RE	RE11	3.088	17.727
lmer_pop	TL	Kozeretska	F	RE	RE12	-48.133	17.727
lmer_pop	TL	Kozeretska	F	RE	RE13	-31.534	17.727
lmer_pop	TL	Kozeretska	F	RE	RE15	0.626	17.727
lmer_pop	TL	Kozeretska	F	RE	RE16	-0.644	21.116
lmer_pop	TL	Kozeretska	F	RE	RE17	-2.875	17.727
lmer_pop	TL	Kozeretska	F	RE	RE2	34.892	17.727
lmer_pop	TL	Kozeretska	F	RE	RE3	6.595	21.114
lmer_pop	TL	Kozeretska	F	RE	RE6	26.822	17.727
lmer_pop	TL	Kozeretska	F	RE	RE7	-3.068	17.727
lmer_pop	TL	Kozeretska	F	UM	UM13	1.046	17.727
lmer_pop	TL	Kozeretska	F	UM	UM18	10.866	17.727
lmer_pop	TL	Kozeretska	F	UM	UM2	4.71	17.727
lmer_pop	TL	Kozeretska	F	UM	UM20	12.824	17.727
lmer_pop	TL	Kozeretska	F	UM	UM21	-2.662	17.727
