Trait	Lab	Sex	Population	Estimate	SE
TL	Kozeretska	F	AK	936.544080303192	8.98606335510939
TL	Kozeretska	F	GI	935.036557216417	12.7278014844162
TL	Kozeretska	F	KA	911.622916667328	10.7720664683456
TL	Kozeretska	F	MA	964.296131633594	9.48374569528396
TL	Kozeretska	F	MU	942.891097089859	9.32654655229652
TL	Kozeretska	F	RE	962.395523481935	11.0228528846425
TL	Kozeretska	F	UM	941.462069867188	10.8955774810407
TL	Kozeretska	F	VA	958.365317412421	8.7961059291119
TL	Kozeretska	F	YE	950.414342914944	10.721286174357
TL	Posnien	F	AK	880.664400000017	19.6655741823638
TL	Posnien	F	GI	944.376999999999	19.6655741823635
TL	Posnien	F	KA	928.605066666663	19.6655741823635
TL	Posnien	F	MA	881.997566666666	19.6655741823635
TL	Posnien	F	MU	866.231499999997	19.6655741823635
TL	Posnien	F	RE	902.772233333332	19.6655741823635
TL	Posnien	F	UM	908.430766666664	19.6655741823635
TL	Posnien	F	VA	898.42933333333	19.6655741823635
TL	Posnien	F	YE	941.845333333332	19.6655741823635
TL	Ritchie	F	AK	960.089856852939	20.9418883886497
TL	Ritchie	F	GI	966.124560716488	19.4060191119604
TL	Ritchie	F	KA	948.262629181894	20.0236183041922
TL	Ritchie	F	MA	975.49060583067	19.9085400166397
TL	Ritchie	F	MU	968.490370875832	26.1877323792882
TL	Ritchie	F	YE	988.750860577543	18.7692474197808
TL	Schmidt	F	AK	995.046550000012	5.30541296441547
TL	Schmidt	F	GI	1021.94965556869	6.66120913599476
TL	Schmidt	F	KA	1005.38331650095	5.44026357063221
TL	Schmidt	F	MA	1014.891885004	5.48673868583019
TL	Schmidt	F	MU	1004.77044447015	5.31753647106649
TL	Schmidt	F	RE	1036.71730069354	6.44646841967887
TL	Schmidt	F	UM	1011.08135460391	6.1528703650807
TL	Schmidt	F	VA	1012.33352734276	5.76352517350502
TL	Schmidt	F	YE	1009.88519204711	5.3670099655152
TL	Kozeretska	M	AK	835.237980031533	8.44186212280721
TL	Kozeretska	M	GI	831.228890698068	12.0305814549771
TL	Kozeretska	M	KA	812.504166666465	10.1477474575531
TL	Kozeretska	M	MA	862.799952379685	8.92204846714925
TL	Kozeretska	M	MU	838.173450576005	8.76587632500627
TL	Kozeretska	M	RE	859.84388785268	10.3957064556341
TL	Kozeretska	M	UM	838.729550679367	10.2697399010525
TL	Kozeretska	M	VA	858.462697940672	8.25404889638498
TL	Kozeretska	M	YE	845.745011803671	10.1094089152489
TL	Posnien	M	AK	777.155233333368	17.6674994399102
TL	Posnien	M	GI	841.228466666669	17.6674994399099
TL	Posnien	M	KA	823.5589	17.6674994399099
TL	Posnien	M	MA	785.430966666669	17.6674994399099
TL	Posnien	M	MU	756.664233333334	17.6674994399099
TL	Posnien	M	RE	802.592633333336	17.6674994399099
TL	Posnien	M	UM	821.888433333333	17.6674994399099
TL	Posnien	M	VA	796.667833333334	17.6674994399099
TL	Posnien	M	YE	819.560333333334	17.6674994399099
TL	Ritchie	M	AK	828.976212147734	21.3917026226187
TL	Ritchie	M	GI	824.177471285426	19.7103665931846
TL	Ritchie	M	KA	816.269772218992	20.1627944568439
TL	Ritchie	M	MA	842.044774772956	20.1693091870956
TL	Ritchie	M	MU	847.007667026646	27.3662434473787
TL	Ritchie	M	YE	847.388791990793	19.169814545758
