Trait	Population	Line	Sex	Value	SE	LLM	ULM	N_lab
Via	YE	YE11	NA	0.6104004452209	0.058799826906615	0.495154902186746	0.725645988255055	4
Via	YE	YE13	NA	0.900810575478218	0.0597831116691098	0.783637829723027	1.01798332123341	4
Via	YE	YE14	NA	0.884955215569374	0.0511397784518633	0.784723091626364	0.985187339512383	4
Via	YE	YE15	NA	0.860581737953909	0.0341771429921984	0.793595768594724	0.927567707313093	4
Via	YE	YE19	NA	0.899362169055933	0.0341771429921984	0.832376199696749	0.966348138415117	4
Via	YE	YE20	NA	0.708049779684357	0.0450932841499667	0.619668566805791	0.796430992562922	4
Via	YE	YE21	NA	0.685780339884423	0.0341771429921984	0.618794370525239	0.752766309243607	4
Via	YE	YE22	NA	0.834752086339796	0.0341771429921984	0.767766116980612	0.901738055698981	4
Via	YE	YE23	NA	0.770907956992767	0.0361540296655108	0.700047360952373	0.841768553033161	4
Via	YE	YE24	NA	0.804879931451209	0.0817150560197104	0.644721364657903	0.965038498244514	4
Via	YE	YE26	NA	0.683451793852232	0.0340738975559332	0.616668181829696	0.750235405874768	4
Via	YE	YE27	NA	0.78489464954278	0.0401889455888514	0.706125763611991	0.863663535473568	4
Via	YE	YE33	NA	0.796985701952174	0.057447875316324	0.684389935343831	0.909581468560517	4
Via	YE	YE40	NA	0.919135064322386	0.0350611128080946	0.850416545960625	0.987853582684148	4
Via	YE	YE41	NA	0.742187102283922	0.0554232042802843	0.633559617986759	0.850814586581086	4
Via	YE	YE48	NA	0.893867948049888	0.0359430332714006	0.823420897342818	0.964314998756958	4
Via	YE	YE49	NA	0.903303341856397	0.0628697949721558	0.780080807995555	1.02652587571724	4
Via	YE	YE51	NA	0.801471696657602	0.0382082926980124	0.726584819058733	0.876358574256471	4
Via	YE	YE69	NA	0.893574865249207	0.0340738975559332	0.826791253226671	0.960358477271743	4
Via	YE	YE80	NA	0.836939178092747	0.0340738975559332	0.770155566070211	0.903722790115284	4
Via	RE	RE1	NA	0.881047378273967	0.0406529293612287	0.801369100859908	0.960725655688026	3
Via	RE	RE10	NA	1.02226753265839	0.0348147487991706	0.954031878881202	1.09050318643557	5
