Trait	Population	Line	Sex	Value	SE	LLM	ULM	N_lab
Via	YE	YE11	NA	-0.195960693459056	0.067840324605892	-0.328925286386111	-0.0629961005320012	4
Via	YE	YE13	NA	0.0920354177578391	0.0485305118696004	-0.0030826376578713	0.18715347317355	4
Via	YE	YE14	NA	0.0752708727047392	0.0529968055347088	-0.028600957438963	0.179142702848441	4
Via	YE	YE15	NA	0.049339489491631	0.0298490090897874	-0.009163493298561	0.107842472281823	4
Via	YE	YE19	NA	0.0895339454504921	0.0298490090897874	0.0310309626603	0.148036928240684	4
Via	YE	YE20	NA	-0.0979881133002151	0.0315980237962735	-0.159919101923551	-0.0360571246768795	4
Via	YE	YE21	NA	-0.124570294725387	0.0298490090897874	-0.183073277515579	-0.0660673119351954	4
Via	YE	YE22	NA	0.0255533543938879	0.0298490090897874	-0.0329496283963041	0.08405633718408	4
Via	YE	YE23	NA	-0.0361989070701093	0.0464743692215817	-0.127286996948626	0.0548891828084075	4
Via	YE	YE24	NA	-0.00623795185888038	0.0669165447822931	-0.137391969602036	0.124916065884276	4
Via	YE	YE26	NA	-0.125089709572833	0.0297170322211585	-0.18333402245372	-0.0668453966919458	4
Via	YE	YE27	NA	-0.0266764433721513	0.0420313761280144	-0.109056426803716	0.0557035400594134	4
Via	YE	YE33	NA	-0.0131957004432601	0.0538138086734328	-0.118668827314118	0.0922774264275974	4
Via	YE	YE40	NA	0.11050909340185	0.0306543697603908	0.0504276327027107	0.17059055410099	4
Via	YE	YE41	NA	-0.0650273606706633	0.0477561521303622	-0.158627698886389	0.0285729775450623	4
Via	YE	YE48	NA	0.0849311893739593	0.0298490090897874	0.0264282065837673	0.143434172164151	4
Via	YE	YE49	NA	0.0973211998265875	0.0504618714799904	-0.00158225086668254	0.196224650519858	4
Via	YE	YE51	NA	-0.00742324725493	0.0358982276353345	-0.077782480529006	0.062935986019146	4
Via	YE	YE69	NA	0.0820102238808239	0.0297170322211585	0.0237659109999369	0.140254536761711	4
Via	YE	YE80	NA	0.0257936477005352	0.0428832479643834	-0.0582559738497568	0.109843269250827	4
Via	RE	RE1	NA	-0.0564971140256631	0.0345256966410785	-0.124166235983332	0.0111720079320063	3
Via	RE	RE10	NA	0.0951227977232194	0.0344997012518244	0.0275046257922523	0.162740969654187	5
Via	RE	RE11	NA	0.0734995221492554	0.0325723808797459	0.00965882873423231	0.137340215564279	5
Via	RE	RE12	NA	-0.078363803364572	0.0333290603390787	-0.143687561267729	-0.0130400454614154	5
Via	RE	RE13	NA	-0.000278818631858415	0.0350325140497959	-0.0689412844573518	0.0683836471936349	5
Via	RE	RE15	NA	0.0562337621165509	0.0368074028560243	-0.0159074218457134	0.128374946078815	5
Via	RE	RE16	NA	0.0797715649361748	0.0314815142620789	0.0180689308037161	0.141474199068633	5
Via	RE	RE17	NA	-0.0386617978013737	0.0352451063063032	-0.107740936793013	0.030417341190266	5
Via	RE	RE18	NA	0.0316872302447036	0.0476652117709247	-0.0617348681417835	0.125109328631191	4
Via	RE	RE2	NA	0.0399811298826176	0.0308431780182875	-0.0204703882019833	0.100432647967218	4
Via	RE	RE3	NA	-0.0883429669710796	0.0253713304005357	-0.138069860795996	-0.0386160731461635	5
Via	RE	RE4	NA	-0.00665574146195694	0.0297170322211585	-0.064900054342844	0.0515885714189301	4
Via	RE	RE5	NA	-0.00976341507152131	0.0580848036722272	-0.123607538318167	0.104080708175124	4
Via	RE	RE6	NA	-0.075125029291726	0.0297170322211585	-0.133369342172613	-0.016880716410839	4
Via	RE	RE7	NA	-0.017323269419319	0.0464393649195265	-0.108342752126504	0.0736962132878658	5
Via	RE	RE8	NA	-0.0394121677631323	0.038689397458761	-0.115241993365859	0.0364176578395947	5
Via	GI	GI1	NA	0.0576944187811389	0.062056278790381	-0.0639336526625847	0.179322490224862	4
Via	GI	GI10	NA	0.0944478247297167	0.0320034416484958	0.0317222317173358	0.157173417742098	4
Via	GI	GI11	NA	0.0328721063158139	0.0298490090897874	-0.0256308764743781	0.0913750891060059	4
Via	GI	GI12	NA	-0.0947364675576902	0.0302300037041744	-0.153986186070385	-0.0354867490449959	4
Via	GI	GI13	NA	0.00537047750842083	0.0429218172283212	-0.0787547384100996	0.0894956934269412	3
Via	GI	GI14	NA	-0.14726409280618	0.039265026803509	-0.224222131193058	-0.0703060544193028	4
Via	GI	GI15	NA	-0.0529191949889798	0.0346042128408442	-0.120742205870393	0.0149038158924333	3
Via	GI	GI2	NA	0.0126163224648215	0.0286993669786183	-0.0436334031923684	0.0688660481220115	4
Via	GI	GI3	NA	0.0906291609292012	0.0472842885970531	-0.00204634175562084	0.183304663614023	4
Via	GI	GI4	NA	-0.0818552220122514	0.0297170322211585	-0.140099534893138	-0.0236109091313644	4
Via	GI	GI5	NA	-0.0978463089539505	0.0298490090897874	-0.156349291744143	-0.0393433261637585	4
Via	GI	GI6	NA	0.0342304169526696	0.0297170322211585	-0.0240138959282175	0.0924747298335566	4
Via	GI	GI7	NA	0.065601526797699	0.0298490090897874	0.00709854400750695	0.124104509587891	4
Via	GI	GI8	NA	0.0431735089192656	0.0297170322211585	-0.0150708039616214	0.101417821800153	4
