Model	Trait	Lab	Sex	Population	Line	Value_re	SE_re
lmer_pop	Via	Gibert	NA	AK	AK1	-0.068	0.056
lmer_pop	Via	Gibert	NA	AK	AK10	0.037	0.056
lmer_pop	Via	Gibert	NA	AK	AK11	-0.021	0.056
lmer_pop	Via	Gibert	NA	AK	AK12	0.047	0.042
lmer_pop	Via	Gibert	NA	AK	AK13	0.007	0.056
lmer_pop	Via	Gibert	NA	AK	AK14	0.054	0.056
lmer_pop	Via	Gibert	NA	AK	AK15	0.143	0.056
lmer_pop	Via	Gibert	NA	AK	AK16	0.036	0.056
lmer_pop	Via	Gibert	NA	AK	AK17	-0.07	0.056
lmer_pop	Via	Gibert	NA	AK	AK18	-0.127	0.056
lmer_pop	Via	Gibert	NA	AK	AK2	0.021	0.056
lmer_pop	Via	Gibert	NA	AK	AK20	0.052	0.056
lmer_pop	Via	Gibert	NA	AK	AK21	-0.001	0.056
lmer_pop	Via	Gibert	NA	AK	AK3	-0.102	0.056
lmer_pop	Via	Gibert	NA	AK	AK4	0.089	0.056
lmer_pop	Via	Gibert	NA	AK	AK5	-0.017	0.056
lmer_pop	Via	Gibert	NA	AK	AK6	-0.116	0.056
lmer_pop	Via	Gibert	NA	AK	AK7	-0.114	0.056
lmer_pop	Via	Gibert	NA	AK	AK8	0.058	0.056
lmer_pop	Via	Gibert	NA	AK	AK9	0.091	0.056
lmer_pop	Via	Gibert	NA	GI	GI1	0.16	0.056
lmer_pop	Via	Gibert	NA	GI	GI10	0.128	0.042
lmer_pop	Via	Gibert	NA	GI	GI11	-0.003	0.056
lmer_pop	Via	Gibert	NA	GI	GI12	-0.162	0.056
lmer_pop	Via	Gibert	NA	GI	GI13	0.045	0.056
lmer_pop	Via	Gibert	NA	GI	GI14	-0.139	0.056
lmer_pop	Via	Gibert	NA	GI	GI15	-0.096	0.056
lmer_pop	Via	Gibert	NA	GI	GI2	0.046	0.056
lmer_pop	Via	Gibert	NA	GI	GI3	0.138	0.056
lmer_pop	Via	Gibert	NA	GI	GI4	-0.114	0.056
lmer_pop	Via	Gibert	NA	GI	GI5	-0.139	0.056
lmer_pop	Via	Gibert	NA	GI	GI6	-0.024	0.056
lmer_pop	Via	Gibert	NA	GI	GI7	0.039	0.056
lmer_pop	Via	Gibert	NA	GI	GI8	0.038	0.056
lmer_pop	Via	Gibert	NA	GI	GI9	0.082	0.056
lmer_pop	Via	Gibert	NA	KA	KA1	-0.003	0.065
lmer_pop	Via	Gibert	NA	KA	KA10	-0.142	0.056
lmer_pop	Via	Gibert	NA	KA	KA11	0.042	0.042
lmer_pop	Via	Gibert	NA	KA	KA13	-0.045	0.056
lmer_pop	Via	Gibert	NA	KA	KA14	0.081	0.056
lmer_pop	Via	Gibert	NA	KA	KA15	0.031	0.056
lmer_pop	Via	Gibert	NA	KA	KA16	0.045	0.056
lmer_pop	Via	Gibert	NA	KA	KA17	0.047	0.056
lmer_pop	Via	Gibert	NA	KA	KA18	-0.023	0.056
lmer_pop	Via	Gibert	NA	KA	KA2	0.01	0.056
lmer_pop	Via	Gibert	NA	KA	KA23	-0.01	0.056
lmer_pop	Via	Gibert	NA	KA	KA24	-0.062	0.056
lmer_pop	Via	Gibert	NA	KA	KA25	-0.036	0.056
lmer_pop	Via	Gibert	NA	KA	KA28	0.15	0.056
lmer_pop	Via	Gibert	NA	KA	KA29	0.113	0.056
lmer_pop	Via	Gibert	NA	KA	KA3	-0.109	0.056
lmer_pop	Via	Gibert	NA	KA	KA5	-0.179	0.056
lmer_pop	Via	Gibert	NA	KA	KA6	0.024	0.056
lmer_pop	Via	Gibert	NA	KA	KA7	0.064	0.056
lmer_pop	Via	Gibert	NA	KA	KA9	0.003	0.056
lmer_pop	Via	Gibert	NA	MA	MA12	0.134	0.056
lmer_pop	Via	Gibert	NA	MA	MA13	0.068	0.056
lmer_pop	Via	Gibert	NA	MA	MA16	0.027	0.056
lmer_pop	Via	Gibert	NA	MA	MA18	-0.002	0.056
lmer_pop	Via	Gibert	NA	MA	MA19	0.122	0.056
lmer_pop	Via	Gibert	NA	MA	MA20	-0.165	0.056
lmer_pop	Via	Gibert	NA	MA	MA21	0.07	0.056
lmer_pop	Via	Gibert	NA	MA	MA23	-0.026	0.056
lmer_pop	Via	Gibert	NA	MA	MA26	-0.017	0.056
lmer_pop	Via	Gibert	NA	MA	MA27	-0.057	0.056
lmer_pop	Via	Gibert	NA	MA	MA28	0.036	0.056
lmer_pop	Via	Gibert	NA	MA	MA3	0.119	0.056
lmer_pop	Via	Gibert	NA	MA	MA30	0.035	0.042
lmer_pop	Via	Gibert	NA	MA	MA31	-0.261	0.056
lmer_pop	Via	Gibert	NA	MA	MA32	-0.072	0.056
lmer_pop	Via	Gibert	NA	MA	MA33	0.09	0.056
lmer_pop	Via	Gibert	NA	MA	MA5	-0.153	0.056
lmer_pop	Via	Gibert	NA	MA	MA6	0.039	0.056
lmer_pop	Via	Gibert	NA	MA	MA7	0.034	0.056
lmer_pop	Via	Gibert	NA	MA	MA9	-0.022	0.056
lmer_pop	Via	Gibert	NA	MU	MU1	0.071	0.056
lmer_pop	Via	Gibert	NA	MU	MU10	0.133	0.056
lmer_pop	Via	Gibert	NA	MU	MU11	-0.071	0.056
lmer_pop	Via	Gibert	NA	MU	MU12	0.045	0.056
lmer_pop	Via	Gibert	NA	MU	MU13	-0.071	0.056
lmer_pop	Via	Gibert	NA	MU	MU14	-0.057	0.056
lmer_pop	Via	Gibert	NA	MU	MU15	0.021	0.056
