Model	Trait	Sex	Population	Line	Estimate_Gibert	Estimate_Grath	Estimate_Hoedjes	Estimate_StamenkovicRadak	Estimate_Zwaan	SE_Gibert	SE_Grath	SE_Hoedjes	SE_StamenkovicRadak	SE_Zwaan
lmer_pop	Via	NA	AK	AK1	-0.068	0.002	-0.077	-0.104	0.037	0.056	0.048	0.053	0.059	0.067
lmer_pop	Via	NA	AK	AK10	0.037	NA	0.098	0.059	0.12	0.056	NA	0.053	0.059	0.079
lmer_pop	Via	NA	AK	AK11	-0.021	NA	0.007	0.213	-0.034	0.056	NA	0.053	0.059	0.079
lmer_pop	Via	NA	AK	AK12	0.047	0.009	0.056	0.133	-0.02	0.042	0.045	0.053	0.059	0.079
lmer_pop	Via	NA	AK	AK13	0.007	NA	0.112	NA	-0.035	0.056	NA	0.053	NA	0.079
lmer_pop	Via	NA	AK	AK14	0.054	0.037	0.033	NA	0.007	0.056	0.045	0.053	NA	0.079
lmer_pop	Via	NA	AK	AK15	0.143	-0.044	-0.072	-0.115	0.006	0.056	0.045	0.053	0.059	0.079
lmer_pop	Via	NA	AK	AK16	0.036	NA	0.277	0.319	0.145	0.056	NA	0.053	0.058	0.079
lmer_pop	Via	NA	AK	AK17	-0.07	0.003	-0.063	-0.024	0.023	0.056	0.045	0.053	0.058	0.079
lmer_pop	Via	NA	AK	AK18	-0.127	NA	0.044	-0.203	-0.11	0.056	NA	0.053	0.058	0.079
lmer_pop	Via	NA	AK	AK2	0.021	NA	0.033	0.119	-0.054	0.056	NA	0.053	0.059	0.063
lmer_pop	Via	NA	AK	AK20	0.052	NA	-0.03	-0.081	0.071	0.056	NA	0.053	0.058	0.079
lmer_pop	Via	NA	AK	AK21	-0.001	-0.004	0.024	0.038	0.058	0.056	0.045	0.053	0.058	0.087
lmer_pop	Via	NA	AK	AK3	-0.102	NA	-0.166	-0.133	-0.001	0.056	NA	0.053	0.059	0.079
lmer_pop	Via	NA	AK	AK4	0.089	-0.01	-0.112	-0.085	-0.15	0.056	0.048	0.053	0.059	0.079
lmer_pop	Via	NA	AK	AK5	-0.017	NA	-0.028	-0.186	-0.045	0.056	NA	0.053	0.059	0.079
lmer_pop	Via	NA	AK	AK6	-0.116	-0.044	-0.111	-0.057	-0.069	0.056	0.048	0.053	0.059	0.079
lmer_pop	Via	NA	AK	AK7	-0.114	NA	-0.042	0.15	0.039	0.056	NA	0.053	0.059	0.079
lmer_pop	Via	NA	AK	AK8	0.058	0.074	0.141	-0.074	0.012	0.056	0.045	0.053	0.059	0.079
lmer_pop	Via	NA	AK	AK9	0.091	-0.023	-0.124	0.244	-0.001	0.056	0.045	0.053	0.059	0.079
lmer_pop	Via	NA	GI	GI1	0.16	NA	0.163	-0.071	-0.031	0.056	NA	0.053	0.059	0.063
lmer_pop	Via	NA	GI	GI10	0.128	NA	0.139	0.002	0.066	0.042	NA	0.053	0.059	0.087
lmer_pop	Via	NA	GI	GI11	-0.003	NA	0.026	0.075	0.044	0.056	NA	0.053	0.059	0.079
lmer_pop	Via	NA	GI	GI12	-0.162	NA	-0.072	-0.084	-0.017	0.056	NA	0.053	0.059	0.087
lmer_pop	Via	NA	GI	GI13	0.045	NA	-0.067	NA	0.067	0.056	NA	0.053	NA	0.079
lmer_pop	Via	NA	GI	GI14	-0.139	NA	-0.163	-0.23	-0.011	0.056	NA	0.053	0.058	0.079
lmer_pop	Via	NA	GI	GI15	-0.096	NA	-0.044	NA	0.013	0.056	NA	0.053	NA	0.079
lmer_pop	Via	NA	GI	GI2	0.046	NA	-0.05	0.023	0.047	0.056	NA	0.053	0.059	0.063
lmer_pop	Via	NA	GI	GI3	0.138	NA	0.167	0.088	-0.08	0.056	NA	0.053	0.059	0.079
lmer_pop	Via	NA	GI	GI4	-0.114	NA	-0.095	-0.017	-0.109	0.056	NA	0.053	0.058	0.079
lmer_pop	Via	NA	GI	GI5	-0.139	NA	-0.056	-0.148	-0.019	0.056	NA	0.053	0.059	0.079
lmer_pop	Via	NA	GI	GI6	-0.024	NA	0.025	0.082	0.082	0.056	NA	0.053	0.058	0.079
lmer_pop	Via	NA	GI	GI7	0.039	NA	0.083	0.07	0.072	0.056	NA	0.053	0.059	0.079
lmer_pop	Via	NA	GI	GI8	0.038	NA	0.018	0.114	-0.022	0.056	NA	0.053	0.058	0.079
lmer_pop	Via	NA	GI	GI9	0.082	NA	-0.072	0.096	-0.101	0.056	NA	0.053	0.058	0.079
lmer_pop	Via	NA	KA	KA1	-0.003	NA	-0.009	-0.081	-0.056	0.065	NA	0.053	0.059	0.063
lmer_pop	Via	NA	KA	KA10	-0.142	NA	-0.037	0.09	-0.046	0.056	NA	0.053	0.059	0.079
lmer_pop	Via	NA	KA	KA11	0.042	NA	0.177	0.121	-0.11	0.042	NA	0.053	0.059	0.079
lmer_pop	Via	NA	KA	KA13	-0.045	NA	-0.044	-0.019	-0.14	0.056	NA	0.053	0.059	0.079
lmer_pop	Via	NA	KA	KA14	0.081	NA	0.078	0.061	0.083	0.056	NA	0.053	0.059	0.087
lmer_pop	Via	NA	KA	KA15	0.031	NA	0.135	0.072	0.011	0.056	NA	0.053	0.059	0.079
lmer_pop	Via	NA	KA	KA16	0.045	NA	0.001	0.083	-0.059	0.056	NA	0.053	0.059	0.079
lmer_pop	Via	NA	KA	KA17	0.047	NA	-0.155	-0.086	0.058	0.056	NA	0.053	0.059	0.079
lmer_pop	Via	NA	KA	KA18	-0.023	NA	-0.133	-0.1	-0.044	0.056	NA	0.053	0.059	0.079
