Model	Predictor	Trait	Lab	Sex	Population	Estimate	SE
lmer	pop	Via	Gibert	NA	AK	1.06672751216191	0.0296703997211252
lmer	pop	Via	Gibert	NA	GI	0.903292085419537	0.0343626513427962
lmer	pop	Via	Gibert	NA	KA	1.02499029414462	0.0300121429187883
lmer	pop	Via	Gibert	NA	MA	0.937969730336457	0.029816200109864
lmer	pop	Via	Gibert	NA	MU	1.02398445768853	0.0299372656573918
lmer	pop	Via	Gibert	NA	RE	0.944002260341563	0.0333765033611872
lmer	pop	Via	Gibert	NA	UM	1.01625259510082	0.0314172934055038
lmer	pop	Via	Gibert	NA	VA	0.925428711147473	0.0299372656573918
lmer	pop	Via	Gibert	NA	YE	0.797441531356991	0.0299372656573917
lmer	pop	Via	Grath	NA	AK	0.9877438014055	0.029062180077404
lmer	pop	Via	Grath	NA	MU	0.911007506464549	0.0285752782268553
lmer	pop	Via	Grath	NA	RE	0.928167041461443	0.0285752782268553
lmer	pop	Via	Hoedjes	NA	AK	1.09519672147691	0.0307259623308188
lmer	pop	Via	Hoedjes	NA	GI	0.893824336275538	0.0354792852456154
lmer	pop	Via	Hoedjes	NA	KA	1.02907808028459	0.0307259623308173
lmer	pop	Via	Hoedjes	NA	MA	1.00727464792025	0.0307259623308173
lmer	pop	Via	Hoedjes	NA	MU	1.04595732291183	0.0307259623308173
lmer	pop	Via	Hoedjes	NA	RE	0.915412287452888	0.0354792852456154
lmer	pop	Via	Hoedjes	NA	UM	0.986787377636499	0.0333269853767149
lmer	pop	Via	Hoedjes	NA	VA	0.980362722415662	0.0307259623308173
lmer	pop	Via	Hoedjes	NA	YE	0.846572215602873	0.0307259623308173
lm	pop	Via	Schmidt	NA	AK	0.920280324252578	0.0639264156074566
lm	pop	Via	Schmidt	NA	GI	0.732405696404722	0.0738158665185856
lm	pop	Via	Schmidt	NA	KA	1.13360478439148	0.0639264156074566
lm	pop	Via	Schmidt	NA	MA	0.933088429625143	0.0673843586566997
lm	pop	Via	Schmidt	NA	MU	0.888481767236711	0.0639264156074564
lm	pop	Via	Schmidt	NA	RE	0.943545534342104	0.0738158665185857
lm	pop	Via	Schmidt	NA	UM	1.0235692269624	0.0764066808262325
lm	pop	Via	Schmidt	NA	VA	0.889602025363254	0.0639264156074564
lm	pop	Via	Schmidt	NA	YE	0.840084430595153	0.0639264156074564
lmer	pop	Via	StamenkovicRadak	NA	AK	0.988228076650533	0.0364756000127783
lmer	pop	Via	StamenkovicRadak	NA	GI	0.892893235867817	0.0433427818744332
lmer	pop	Via	StamenkovicRadak	NA	KA	0.943086075070099	0.0363747870191736
lmer	pop	Via	StamenkovicRadak	NA	MA	0.843634634087879	0.0365168006693788
lmer	pop	Via	StamenkovicRadak	NA	MU	1.000971044886	0.0364103423603715
lmer	pop	Via	StamenkovicRadak	NA	RE	0.917639697029254	0.0396988348073437
lmer	pop	Via	StamenkovicRadak	NA	UM	0.880247849783627	0.037883997420525
lmer	pop	Via	StamenkovicRadak	NA	VA	0.848964410390692	0.0364747102897443
lmer	pop	Via	StamenkovicRadak	NA	YE	0.777081919552056	0.0363747870191735
lmer	pop	Via	Zwaan	NA	AK	1.07202286660225	0.0351669435782666
lmer	pop	Via	Zwaan	NA	GI	0.937906890451249	0.0406569881765458
lmer	pop	Via	Zwaan	NA	KA	1.0788357584184	0.0354260127493707
lmer	pop	Via	Zwaan	NA	MA	1.0265445649554	0.0354853066138737
lmer	pop	Via	Zwaan	NA	MU	1.01889161185634	0.0360811511221512
lmer	pop	Via	Zwaan	NA	RE	0.949707063478211	0.039026545056351
lmer	pop	Via	Zwaan	NA	UM	1.10538111026405	0.0372227901021116
lmer	pop	Via	Zwaan	NA	VA	1.05227221715909	0.0359948503853199
lmer	pop	Via	Zwaan	NA	YE	0.813839298192372	0.0359168784020044
