Trait	Population	Line	Sex	Value	SE	LLM	ULM	N_lab
WA_L	YE	YE11	F	2829.45958635281	86.5717773922014	2659.78202058648	2999.13715211915	1
WA_L	YE	YE13	F	2853.50886374009	16.5646605092787	2821.04272572577	2885.97500175441	3
WA_L	YE	YE14	F	2724.64909192074	20.0517766125125	2685.34833193418	2763.94985190731	4
WA_L	YE	YE15	F	2877.40695998217	16.2997372377018	2845.46006203881	2909.35385792553	3
WA_L	YE	YE19	F	2779.18554571224	77.5554514876282	2627.17965399175	2931.19143743274	3
WA_L	YE	YE20	F	2825.87862534283	30.2259508649761	2766.636850249	2885.12040043666	2
WA_L	YE	YE21	F	2801.87492049988	82.4210429631936	2640.33264472379	2963.41719627596	2
WA_L	YE	YE22	F	2819.70355228848	16.3033973236262	2787.74948070852	2851.65762386843	2
WA_L	YE	YE23	F	2786.44225648246	24.5812689283355	2738.26385468863	2834.62065827629	2
WA_L	YE	YE24	F	2817.3238478653	16.4749005208969	2785.03363619546	2849.61405953514	2
WA_L	YE	YE26	F	2797.68722600241	29.0757888763051	2740.69972698276	2854.67472502206	1
WA_L	YE	YE27	F	2891.44622600241	28.6923540822197	2835.21024536959	2947.68220663523	1
WA_L	YE	YE33	F	2809.94231079459	16.3437453964786	2777.909158445	2841.97546314418	2
WA_L	YE	YE40	F	2862.85900381127	17.1528256704927	2829.24008326401	2896.47792435853	2
WA_L	YE	YE41	F	2809.55773490863	16.8463941466698	2776.53940911179	2842.57606070547	2
WA_L	YE	YE48	F	2791.59322600241	29.0660414191453	2734.62483164774	2848.56162035709	1
WA_L	YE	YE49	F	2796.06923997792	17.2586264684929	2762.24295367704	2829.8955262788	2
WA_L	YE	YE51	F	2762.41466737675	19.7541579647002	2723.69722922102	2801.13210553248	2
WA_L	YE	YE69	F	2838.62495753115	16.6739468153765	2805.94462229288	2871.30529276943	2
WA_L	YE	YE80	F	2821.21273393255	20.1357403765574	2781.74740799245	2860.67805987265	2
WA_L	RE	RE1	F	2923.52099795816	16.5566921365745	2891.07047766735	2955.97151824896	3
WA_L	RE	RE10	F	2960.79315992091	28.9189341759971	2904.11309046467	3017.47322937715	1
WA_L	RE	RE11	F	2849.5729374036	64.6510980428816	2722.85911367858	2976.28676112861	3
WA_L	RE	RE12	F	2895.47750659221	39.5742752496606	2817.9133523886	2973.04166079582	2
WA_L	RE	RE13	F	2893.39447192199	17.0813460656118	2859.91564882593	2926.87329501806	2
WA_L	RE	RE15	F	2790.4757544217	104.026285412648	2586.58798156742	2994.36352727597	2
WA_L	RE	RE16	F	2906.72134579131	26.4145083040978	2854.94986084595	2958.49283073668	2
WA_L	RE	RE17	F	2920.88904667201	61.8152298149924	2799.73342253856	3042.04467080547	2
WA_L	RE	RE18	F	2891.86921164947	39.6000318424542	2814.25457545162	2969.48384784732	3
WA_L	RE	RE2	F	2990.58437717736	16.7898452400124	2957.67688520094	3023.49186915379	3
WA_L	RE	RE3	F	2876.00150517024	57.5357875876201	2763.23343367636	2988.76957666412	2
WA_L	RE	RE4	F	2963.26922846257	47.00671395471	2871.13776207976	3055.40069484538	3
WA_L	RE	RE5	F	2921.36611725428	16.7018209522281	2888.63114971167	2954.10108479688	3
WA_L	RE	RE6	F	2981.89462663341	22.6284636527689	2937.54365284851	3026.24560041831	2
WA_L	RE	RE7	F	3016.90765552078	17.0597539302897	2983.47115223229	3050.34415880926	2
WA_L	RE	RE8	F	2938.78407174857	19.5795275037817	2900.40890300684	2977.15924049029	2
WA_L	GI	GI1	F	2868.45685821861	17.550430557814	2834.05864641212	2902.85507002509	3
WA_L	GI	GI10	F	2839.83650123782	27.5164777182802	2785.9051959286	2893.76780654705	3
WA_L	GI	GI11	F	2853.06460482315	27.3870160014357	2799.38703981631	2906.74216982999	2
WA_L	GI	GI12	F	2731.71930188499	30.0359901604278	2672.84984293056	2790.58876083943	1
WA_L	GI	GI13	F	2855.48430188499	29.6745197756816	2797.32331186614	2913.64529190385	1
WA_L	GI	GI14	F	2851.11123352242	62.4221823558118	2728.76600426864	2973.4564627762	3
WA_L	GI	GI15	F	2876.65430188499	29.6745197756816	2818.49331186614	2934.81529190385	1
WA_L	GI	GI2	F	2840.9020337104	27.9282855883264	2786.16359980733	2895.64046761347	2
WA_L	GI	GI3	F	2762.82335839495	37.9639314581439	2688.41542002544	2837.23129676446	3
WA_L	GI	GI4	F	2794.74723628605	17.3512741995186	2760.73936376911	2828.75510880298	3
WA_L	GI	GI5	F	2886.09593649144	17.7286028498576	2851.34851340951	2920.84335957338	3
WA_L	GI	GI6	F	2758.33206368586	122.155442925576	2518.9117950362	2997.75233233553	3
WA_L	GI	GI7	F	2661.47021124157	141.829013231234	2383.49045334549	2939.44996913764	3
WA_L	GI	GI8	F	2679.36998446352	143.277604943277	2398.55103898354	2960.1889299435	3
WA_L	GI	GI9	F	2704.1341642735	143.956160393658	2421.98527454926	2986.28305399774	3
WA_L	MU	MU1	F	2849.24717491503	16.1275978781648	2817.63766391668	2880.85668591338	3
WA_L	MU	MU10	F	2872.81812768557	28.3616304764667	2817.23035340887	2928.40590196228	1
WA_L	MU	MU11	F	2623.80692869508	123.071524425622	2382.59117329841	2865.02268409174	3
WA_L	MU	MU12	F	2883.46935768848	21.7676046728731	2840.80563649994	2926.13307887701	2
WA_L	MU	MU13	F	2821.33287874918	82.4314158926195	2659.770272405	2982.89548509335	2
WA_L	MU	MU14	F	2890.57462191124	16.1691868778702	2858.88359797131	2922.26564585116	2
WA_L	MU	MU15	F	2766.31797521998	125.529990472378	2520.28371491446	3012.35223552549	2
WA_L	MU	MU16	F	2806.58685691978	20.2538699151386	2766.89000133855	2846.28371250101	2
WA_L	MU	MU17	F	2861.42804278136	29.0276871237755	2804.53482146426	2918.32126409846	2
WA_L	MU	MU18	F	2804.47684251555	16.1921200699556	2772.74087034509	2836.21281468601	2
WA_L	MU	MU19	F	2909.75567985777	16.1921200699556	2878.01970768731	2941.49165202823	2
WA_L	MU	MU2	F	2839.93423486068	16.2208621332528	2808.14192928131	2871.72654044004	3
WA_L	MU	MU20	F	2938.29812768557	28.8508655551899	2881.75147027459	2994.84478509655	1
WA_L	MU	MU3	F	2890.78360500072	37.614858308249	2817.05983743297	2964.50737256846	2
WA_L	MU	MU4	F	2843.15199746992	63.2338639033857	2719.21590161597	2967.08809332386	4
WA_L	MU	MU5	F	2880.76575529778	15.8568736402501	2849.68685405549	2911.84465654007	3
WA_L	MU	MU6	F	2831.01112768557	28.3616304764667	2775.42335340887	2886.59890196228	1
WA_L	MU	MU7	F	2777.51935864475	31.0127269748101	2716.73553071175	2838.30318657776	2
WA_L	MU	MU8	F	2861.75988571329	17.6718938118675	2827.12361030341	2896.39616112317	2
WA_L	MU	MU9	F	2850.79428094544	16.4111008945946	2818.62911424538	2882.9594476455	2
