Model	Trait	Lab	Sex	Population	Line	Coef	SE
lmer_pop	WA_L	Onder	F	AK	AK1	2833.2909474383	28.8380001576689
lmer_pop	WA_L	Onder	F	AK	AK10	2740.6649474383	28.433562951092
lmer_pop	WA_L	Onder	F	AK	AK11	2783.0539474383	28.6065438858613
lmer_pop	WA_L	Onder	F	AK	AK12	2848.8049474383	28.6065438858613
lmer_pop	WA_L	Onder	F	AK	AK13	2914.5909474383	28.6065438858613
lmer_pop	WA_L	Onder	F	AK	AK14	2833.9679474383	28.6065438858613
lmer_pop	WA_L	Onder	F	AK	AK15	2784.5009474383	28.6065438858613
lmer_pop	WA_L	Onder	F	AK	AK16	2860.6279474383	29.1116394092416
lmer_pop	WA_L	Onder	F	AK	AK17	2796.6529474383	29.1116394092416
lmer_pop	WA_L	Onder	F	AK	AK18	2833.6039474383	29.1116394092416
lmer_pop	WA_L	Onder	F	AK	AK2	2772.3379474383	28.6959640558339
lmer_pop	WA_L	Onder	F	AK	AK20	2805.7209474383	29.1206941725933
lmer_pop	WA_L	Onder	F	AK	AK21	2812.7819474383	29.1116394092416
lmer_pop	WA_L	Onder	F	AK	AK3	2862.6459474383	30.4380664480139
lmer_pop	WA_L	Onder	F	AK	AK4	2810.0309474383	28.8380001576689
lmer_pop	WA_L	Onder	F	AK	AK5	2723.9279474383	28.8380001576689
lmer_pop	WA_L	Onder	F	AK	AK6	2872.8409474383	28.4943428436893
lmer_pop	WA_L	Onder	F	AK	AK7	2810.4559474383	28.4943428436893
lmer_pop	WA_L	Onder	F	AK	AK8	2832.8799474383	28.4943428436893
lmer_pop	WA_L	Onder	F	AK	AK9	2743.0379474383	28.4943428436893
lmer_pop	WA_L	Onder	F	GI	GI1	2872.31930188499	29.8977093423111
lmer_pop	WA_L	Onder	F	GI	GI10	2884.35930188499	29.5749526612862
lmer_pop	WA_L	Onder	F	GI	GI11	2822.73430188499	29.5663718592139
lmer_pop	WA_L	Onder	F	GI	GI12	2731.71930188499	30.0359901604278
lmer_pop	WA_L	Onder	F	GI	GI13	2855.48430188499	29.6745197756816
lmer_pop	WA_L	Onder	F	GI	GI14	2950.12230188499	29.6745197756816
lmer_pop	WA_L	Onder	F	GI	GI15	2876.65430188499	29.6745197756816
lmer_pop	WA_L	Onder	F	GI	GI2	2844.66430188499	29.8248222948154
lmer_pop	WA_L	Onder	F	GI	GI3	2818.81430188499	29.8977093423111
lmer_pop	WA_L	Onder	F	GI	GI4	2813.05630188499	29.8248222948154
lmer_pop	WA_L	Onder	F	GI	GI5	2882.39630188499	31.5170541916169
lmer_pop	WA_L	Onder	F	GI	GI6	2868.71930188499	29.6515697378287
lmer_pop	WA_L	Onder	F	GI	GI7	2865.41230188499	29.5663718592139
lmer_pop	WA_L	Onder	F	GI	GI8	2842.44130188499	29.5663718592139
lmer_pop	WA_L	Onder	F	GI	GI9	2864.44130188499	29.5663718592139
lmer_pop	WA_L	Onder	F	KA	KA1	2826.72465440058	29.0142520548259
lmer_pop	WA_L	Onder	F	KA	KA10	2746.51765440058	30.4694072357992
lmer_pop	WA_L	Onder	F	KA	KA11	2923.88165440058	28.5278190947183
lmer_pop	WA_L	Onder	F	KA	KA13	2838.23965440058	28.5278190947183
lmer_pop	WA_L	Onder	F	KA	KA14	2893.08165440058	28.6398889889778
lmer_pop	WA_L	Onder	F	KA	KA15	2908.68465440058	28.6398889889778
lmer_pop	WA_L	Onder	F	KA	KA16	2842.02165440058	28.6398889889778
lmer_pop	WA_L	Onder	F	KA	KA17	2800.71965440058	28.6398889889778
lmer_pop	WA_L	Onder	F	KA	KA18	2842.00865440058	29.0142520548259
lmer_pop	WA_L	Onder	F	KA	KA2	2909.99365440058	28.6703802259574
lmer_pop	WA_L	Onder	F	KA	KA23	2795.43765440058	29.0142520548259
lmer_pop	WA_L	Onder	F	KA	KA24	2859.37265440058	29.0142520548259
lmer_pop	WA_L	Onder	F	KA	KA25	2845.24965440058	29.0142520548259
lmer_pop	WA_L	Onder	F	KA	KA28	2902.81965440058	29.0142520548259
lmer_pop	WA_L	Onder	F	KA	KA29	2980.43265440058	29.0142520548259
lmer_pop	WA_L	Onder	F	KA	KA3	2816.46665440058	28.585664769268
lmer_pop	WA_L	Onder	F	KA	KA5	2837.96665440058	28.5226325100081
lmer_pop	WA_L	Onder	F	KA	KA6	2879.83765440058	28.871077937981
lmer_pop	WA_L	Onder	F	KA	KA7	2848.74365440058	28.4501018855991
lmer_pop	WA_L	Onder	F	KA	KA9	2875.25165440058	28.5278190947183
lmer_pop	WA_L	Onder	F	MA	MA12	2884.27806700693	28.5558723732306
lmer_pop	WA_L	Onder	F	MA	MA13	2891.84906700693	28.5558723732306
lmer_pop	WA_L	Onder	F	MA	MA16	2824.00206700693	28.4096111729153
lmer_pop	WA_L	Onder	F	MA	MA18	2948.95806700693	28.4782317217245
lmer_pop	WA_L	Onder	F	MA	MA19	2868.60206700693	28.2625123971001
lmer_pop	WA_L	Onder	F	MA	MA20	2808.11506700693	28.7652527712905
lmer_pop	WA_L	Onder	F	MA	MA21	2932.74606700693	28.6678326002549
lmer_pop	WA_L	Onder	F	MA	MA23	2904.39506700693	28.6678326002549
lmer_pop	WA_L	Onder	F	MA	MA26	2910.46306700693	28.6678326002549
lmer_pop	WA_L	Onder	F	MA	MA27	2909.65106700693	28.6678326002549
lmer_pop	WA_L	Onder	F	MA	MA28	2943.30306700693	29.2087777045914
lmer_pop	WA_L	Onder	F	MA	MA3	2858.96506700693	28.8987980026201
lmer_pop	WA_L	Onder	F	MA	MA30	2908.95006700693	29.171866961102
lmer_pop	WA_L	Onder	F	MA	MA31	2894.79806700693	29.171866961102
lmer_pop	WA_L	Onder	F	MA	MA32	2933.17006700693	29.171866961102
lmer_pop	WA_L	Onder	F	MA	MA33	2880.34506700693	29.171866961102
lmer_pop	WA_L	Onder	F	MA	MA5	2873.84106700693	28.8323368285721
lmer_pop	WA_L	Onder	F	MA	MA6	2922.23306700693	28.8987980026201
lmer_pop	WA_L	Onder	F	MA	MA7	2928.51006700693	28.8987980026201
lmer_pop	WA_L	Onder	F	MA	MA9	2948.92706700693	28.8233850717822
lmer_pop	WA_L	Onder	F	MU	MU1	2868.32612768557	28.8508655551899
lmer_pop	WA_L	Onder	F	MU	MU10	2872.81812768557	28.3616304764667
lmer_pop	WA_L	Onder	F	MU	MU11	2740.22312768557	28.4743544664957
lmer_pop	WA_L	Onder	F	MU	MU12	2910.77412768557	28.4743544664957
lmer_pop	WA_L	Onder	F	MU	MU13	2737.60512768557	28.4743544664957
lmer_pop	WA_L	Onder	F	MU	MU14	2883.68612768557	28.8508655551899
lmer_pop	WA_L	Onder	F	MU	MU15	2886.44012768557	28.4743544664957
lmer_pop	WA_L	Onder	F	MU	MU16	2832.69912768557	28.9817538855681
lmer_pop	WA_L	Onder	F	MU	MU17	2894.47012768557	28.9817538855681
lmer_pop	WA_L	Onder	F	MU	MU18	2827.38312768557	28.9817538855681
lmer_pop	WA_L	Onder	F	MU	MU19	2929.94012768557	28.9817538855681
lmer_pop	WA_L	Onder	F	MU	MU2	2840.84812768557	28.4198144132513
lmer_pop	WA_L	Onder	F	MU	MU20	2938.29812768557	28.8508655551899
lmer_pop	WA_L	Onder	F	MU	MU3	2907.22912768557	21.1391831981192
lmer_pop	WA_L	Onder	F	MU	MU4	2970.01112768557	31.8355038641396
lmer_pop	WA_L	Onder	F	MU	MU5	2867.04712768557	28.6309581272378
lmer_pop	WA_L	Onder	F	MU	MU6	2831.01112768557	28.3616304764667
lmer_pop	WA_L	Onder	F	MU	MU7	2742.97812768557	28.3616304764667
lmer_pop	WA_L	Onder	F	MU	MU8	2885.41712768557	28.3616304764667
lmer_pop	WA_L	Onder	F	MU	MU9	2834.79812768557	28.3616304764667
lmer_pop	WA_L	Onder	F	RE	RE1	2939.92815992091	29.5930283829765
lmer_pop	WA_L	Onder	F	RE	RE10	2960.79315992091	28.9189341759971
lmer_pop	WA_L	Onder	F	RE	RE11	2856.41715992091	29.2552872806892
lmer_pop	WA_L	Onder	F	RE	RE12	2937.79615992091	29.3645809245706
lmer_pop	WA_L	Onder	F	RE	RE13	2880.09215992091	29.3645809245706
lmer_pop	WA_L	Onder	F	RE	RE15	2888.16515992091	29.3645809245706
lmer_pop	WA_L	Onder	F	RE	RE16	2937.37215992091	29.3645809245706
lmer_pop	WA_L	Onder	F	RE	RE17	2984.29815992091	29.3645809245706
lmer_pop	WA_L	Onder	F	RE	RE18	2919.49215992091	29.8568553078796
lmer_pop	WA_L	Onder	F	RE	RE2	3000.27815992091	29.9983807708959
lmer_pop	WA_L	Onder	F	RE	RE3	2913.15315992091	29.7298199435458
lmer_pop	WA_L	Onder	F	RE	RE4	3015.89015992091	31.1591740724246
lmer_pop	WA_L	Onder	F	RE	RE5	2911.41115992091	29.5164617438414
lmer_pop	WA_L	Onder	F	RE	RE6	2954.32815992091	29.2552872806892
lmer_pop	WA_L	Onder	F	RE	RE7	3038.19615992091	29.2552872806892
lmer_pop	WA_L	Onder	F	RE	RE8	2964.24715992091	29.2552872806892
lmer_pop	WA_L	Onder	F	UM	UM13	2828.66413054218	28.9646227379434
lmer_pop	WA_L	Onder	F	UM	UM17	2968.11813054218	30.6835260416952
lmer_pop	WA_L	Onder	F	UM	UM18	2881.27713054218	28.973381755525
lmer_pop	WA_L	Onder	F	UM	UM2	2745.55413054218	29.1791479202425
lmer_pop	WA_L	Onder	F	UM	UM20	2890.64213054217	29.0750090172194
lmer_pop	WA_L	Onder	F	UM	UM21	2901.26113054218	29.0750090172194
lmer_pop	WA_L	Onder	F	UM	UM22	2957.19013054218	30.8787578336854
lmer_pop	WA_L	Onder	F	UM	UM23	2862.99713054218	29.0750090172194
lmer_pop	WA_L	Onder	F	UM	UM25	2954.69513054218	29.4438402785946
lmer_pop	WA_L	Onder	F	UM	UM26	2878.51413054218	29.0750090172194
lmer_pop	WA_L	Onder	F	UM	UM28	2894.66813054218	29.5721041752424
lmer_pop	WA_L	Onder	F	UM	UM29	2884.13913054218	29.4438402785946
lmer_pop	WA_L	Onder	F	UM	UM4	2933.70913054217	30.8787578336854
lmer_pop	WA_L	Onder	F	UM	UM5	2861.11513054217	29.0918548454957
lmer_pop	WA_L	Onder	F	UM	UM6	2942.70313054218	29.3706471387913
lmer_pop	WA_L	Onder	F	UM	UM7	2979.39313054218	29.2283945907296
lmer_pop	WA_L	Onder	F	UM	UM9	2953.99213054218	28.9646227379434
lmer_pop	WA_L	Onder	F	VA	VA1	2815.83552126589	28.8410767400325
lmer_pop	WA_L	Onder	F	VA	VA11	2914.76652126589	28.8148309473514
lmer_pop	WA_L	Onder	F	VA	VA15	2837.70452126589	28.9582831591315
lmer_pop	WA_L	Onder	F	VA	VA18	2759.20752126589	28.4708939712901
lmer_pop	WA_L	Onder	F	VA	VA22	2799.56252126589	28.3241939607192
lmer_pop	WA_L	Onder	F	VA	VA26	2870.82152126589	28.4708939712901
lmer_pop	WA_L	Onder	F	VA	VA30	2916.17252126589	28.4708939712901
lmer_pop	WA_L	Onder	F	VA	VA34	2870.91752126589	28.4708939712901
lmer_pop	WA_L	Onder	F	VA	VA35	2813.02052126589	28.5831870603059
lmer_pop	WA_L	Onder	F	VA	VA44	2868.69952126589	28.5831870603059
lmer_pop	WA_L	Onder	F	VA	VA46	2945.94652126589	28.5831870603059
lmer_pop	WA_L	Onder	F	VA	VA47	2814.73852126589	28.9582831591315
lmer_pop	WA_L	Onder	F	VA	VA48	2748.64552126589	28.5831870603059
lmer_pop	WA_L	Onder	F	VA	VA55	2835.96452126589	29.088688154065
lmer_pop	WA_L	Onder	F	VA	VA57	2895.77552126589	28.9582831591315
lmer_pop	WA_L	Onder	F	VA	VA6	2805.80952126589	28.7391976840767
lmer_pop	WA_L	Onder	F	VA	VA66	2855.45152126589	28.9582831591315
lmer_pop	WA_L	Onder	F	VA	VA67	2835.97752126589	29.088688154065
lmer_pop	WA_L	Onder	F	VA	VA71	2810.32452126589	29.088688154065
lmer_pop	WA_L	Onder	F	VA	VA9	2854.68952126589	28.5928713410256
lmer_pop	WA_L	Onder	F	YE	YE13	2853.58822600241	28.8477743297376
lmer_pop	WA_L	Onder	F	YE	YE14	2710.70022600241	28.9231236691245
lmer_pop	WA_L	Onder	F	YE	YE15	2877.47322600241	30.594096877984
lmer_pop	WA_L	Onder	F	YE	YE19	2836.76922600241	28.9231236691245
lmer_pop	WA_L	Onder	F	YE	YE20	2792.26622600241	28.5804899149659
lmer_pop	WA_L	Onder	F	YE	YE21	2876.35122600241	28.5804899149659
lmer_pop	WA_L	Onder	F	YE	YE22	2805.73022600241	28.0958453117088
lmer_pop	WA_L	Onder	F	YE	YE23	2757.46622600241	28.5893666208167
lmer_pop	WA_L	Onder	F	YE	YE24	2827.75822600241	28.5804899149659
lmer_pop	WA_L	Onder	F	YE	YE26	2797.68722600241	29.0757888763051
lmer_pop	WA_L	Onder	F	YE	YE27	2891.44622600241	28.6923540822197
lmer_pop	WA_L	Onder	F	YE	YE33	2813.83322600241	28.7020015291524
lmer_pop	WA_L	Onder	F	YE	YE40	2854.61422600241	28.6923540822197
lmer_pop	WA_L	Onder	F	YE	YE41	2792.98922600241	28.6923540822197
lmer_pop	WA_L	Onder	F	YE	YE48	2791.59322600241	29.0660414191453
lmer_pop	WA_L	Onder	F	YE	YE49	2803.03022600241	29.1959651112867
lmer_pop	WA_L	Onder	F	YE	YE51	2736.97722600241	29.0660414191453
lmer_pop	WA_L	Onder	F	YE	YE69	2823.24922600241	29.1959651112867
lmer_pop	WA_L	Onder	F	YE	YE80	2847.12422600241	29.1959651112867
lmer_pop	WA_L	Posnien	F	AK	AK12	2671.11628536662	59.916502733764
lmer_pop	WA_L	Posnien	F	AK	AK3	2585.79528536662	59.916502733764
lmer_pop	WA_L	Posnien	F	AK	AK7	2510.12228536662	59.916502733764
lmer_pop	WA_L	Posnien	F	GI	GI10	2757.80935556667	59.916502733764
lmer_pop	WA_L	Posnien	F	GI	GI14	2720.52235556667	59.916502733764
lmer_pop	WA_L	Posnien	F	GI	GI7	2706.27235556667	59.916502733764
lmer_pop	WA_L	Posnien	F	KA	KA16	2687.63976686666	59.916502733764
lmer_pop	WA_L	Posnien	F	KA	KA6	2642.55376686666	59.916502733764
lmer_pop	WA_L	Posnien	F	KA	KA7	2587.94276686666	59.916502733764
lmer_pop	WA_L	Posnien	F	MA	MA13	2655.38407703332	59.916502733764
lmer_pop	WA_L	Posnien	F	MA	MA3	2550.69707703332	59.916502733764
lmer_pop	WA_L	Posnien	F	MA	MA30	2769.43107703332	59.916502733764
lmer_pop	WA_L	Posnien	F	MU	MU11	2366.78168863332	59.916502733764
lmer_pop	WA_L	Posnien	F	MU	MU15	2635.13668863332	59.916502733764
lmer_pop	WA_L	Posnien	F	MU	MU4	2688.44268863332	59.916502733764
lmer_pop	WA_L	Posnien	F	RE	RE11	2715.14153073333	59.916502733764
lmer_pop	WA_L	Posnien	F	RE	RE15	2679.70153073333	59.916502733764
lmer_pop	WA_L	Posnien	F	RE	RE18	2776.93953073333	59.916502733764
lmer_pop	WA_L	Posnien	F	UM	UM20	2667.43423743333	59.916502733764
lmer_pop	WA_L	Posnien	F	UM	UM5	2620.00623743333	59.916502733764
lmer_pop	WA_L	Posnien	F	UM	UM9	2701.64023743333	59.916502733764
lmer_pop	WA_L	Posnien	F	VA	VA15	2583.1839784	59.916502733764
lmer_pop	WA_L	Posnien	F	VA	VA48	2470.8609784	59.916502733764
lmer_pop	WA_L	Posnien	F	VA	VA6	2594.7039784	59.916502733764
lmer_pop	WA_L	Posnien	F	YE	YE14	2637.5616376	59.916502733764
lmer_pop	WA_L	Posnien	F	YE	YE19	2624.9296376	59.916502733764
lmer_pop	WA_L	Posnien	F	YE	YE21	2710.6616376	59.916502733764
lmer_pop	WA_L	Ritchie	F	AK	AK1	2623.90222167183	95.4149166017672
lmer_pop	WA_L	Ritchie	F	AK	AK2	2852.12222167184	94.3234593254626
lmer_pop	WA_L	Ritchie	F	AK	AK3	2831.20822167183	94.1391011754531
lmer_pop	WA_L	Ritchie	F	AK	AK4	2729.70822167183	94.5836299690501
lmer_pop	WA_L	Ritchie	F	GI	GI1	2746.60624621602	86.7380852786408
lmer_pop	WA_L	Ritchie	F	GI	GI2	2814.11024621602	82.3227831939904
lmer_pop	WA_L	Ritchie	F	GI	GI3	2638.67724621602	81.9622535854448
lmer_pop	WA_L	Ritchie	F	GI	GI4	2738.58224621602	82.5345065581951
lmer_pop	WA_L	Ritchie	F	GI	GI5	2765.63124621602	81.5698320018177
lmer_pop	WA_L	Ritchie	F	GI	GI6	2471.77424621602	110.240193145716
lmer_pop	WA_L	Ritchie	F	GI	GI7	2367.20024621602	110.240193145716
lmer_pop	WA_L	Ritchie	F	GI	GI8	2359.50324621602	110.240193145716
lmer_pop	WA_L	Ritchie	F	GI	GI9	2382.51924621602	110.240193145716
lmer_pop	WA_L	Ritchie	F	KA	KA1	2596.27769180742	93.9923374836993
lmer_pop	WA_L	Ritchie	F	KA	KA2	2797.61069180742	94.2875837989798
lmer_pop	WA_L	Ritchie	F	KA	KA5	2631.19569180742	93.7642076148976
lmer_pop	WA_L	Ritchie	F	KA	KA6	2831.47869180742	94.0124812439797
lmer_pop	WA_L	Ritchie	F	MA	MA3	2724.52741044494	87.3662355111511
lmer_pop	WA_L	Ritchie	F	MA	MA5	2814.33341044494	87.2038979598385
lmer_pop	WA_L	Ritchie	F	MA	MA6	2886.08141044494	87.6838525749749
lmer_pop	WA_L	Ritchie	F	MA	MA7	2996.32241044494	87.0999515177243
lmer_pop	WA_L	Ritchie	F	MA	MA9	2812.06741044494	87.1987920752915
lmer_pop	WA_L	Ritchie	F	MU	MU1	2767.30739419071	87.611366894452
lmer_pop	WA_L	Ritchie	F	MU	MU2	2756.63439419071	87.6247268304688
lmer_pop	WA_L	Ritchie	F	MU	MU3	2804.74939419071	88.1622078734096
lmer_pop	WA_L	Ritchie	F	MU	MU4	2774.39539419071	87.2258698845376
lmer_pop	WA_L	Ritchie	F	MU	MU5	2811.39539419071	87.6228180847562
lmer_pop	WA_L	Ritchie	F	RE	RE1	2784.76434882662	87.7345431287531
lmer_pop	WA_L	Ritchie	F	RE	RE2	3049.54534882662	88.2255376068123
lmer_pop	WA_L	Ritchie	F	RE	RE3	2786.89734882662	87.760449560215
lmer_pop	WA_L	Ritchie	F	RE	RE4	2799.77534882662	87.5484832707629
lmer_pop	WA_L	Ritchie	F	RE	RE5	2972.01934882662	87.9357768261078
lmer_pop	WA_L	Ritchie	F	UM	UM2	2873.93927554864	87.9505580133351
lmer_pop	WA_L	Ritchie	F	UM	UM4	2836.04127554864	87.8182332710982
lmer_pop	WA_L	Ritchie	F	UM	UM5	3026.89227554864	87.8220462233545
lmer_pop	WA_L	Ritchie	F	UM	UM7	2918.69227554864	87.7731319018356
lmer_pop	WA_L	Ritchie	F	UM	UM8	2789.48527554864	87.777576993541
lmer_pop	WA_L	Ritchie	F	VA	VA1	2790.30705185939	88.1648671433137
lmer_pop	WA_L	Ritchie	F	VA	VA11	2736.87405185939	88.1412603687862
lmer_pop	WA_L	Ritchie	F	VA	VA15	2884.97905185939	87.7800250820092
lmer_pop	WA_L	Ritchie	F	VA	VA6	2720.31705185939	87.8688588943669
lmer_pop	WA_L	Ritchie	F	VA	VA9	2738.75805185939	87.7046213058249
lmer_pop	WA_L	Ritchie	F	YE	YE11	2829.45958635281	88.033273223653
lmer_pop	WA_L	Ritchie	F	YE	YE13	2679.08558635281	87.8729482347687
lmer_pop	WA_L	Ritchie	F	YE	YE14	2756.13058635281	88.0529477046075
lmer_pop	WA_L	Ritchie	F	YE	YE15	2765.78558635281	88.440133149325
lmer_pop	WA_L	Ritchie	F	YE	YE19	2883.63658635281	87.4128067932288
lmer_pop	WA_L	StamenkovicRadak	F	AK	AK1	2800.92243597904	20.0273935129096
lmer_pop	WA_L	StamenkovicRadak	F	AK	AK16	2753.80143597904	19.1145933496094
lmer_pop	WA_L	StamenkovicRadak	F	AK	AK17	2813.33543597904	19.6938368765696
lmer_pop	WA_L	StamenkovicRadak	F	AK	AK18	2775.62743597904	19.85630670394
lmer_pop	WA_L	StamenkovicRadak	F	AK	AK19	2754.36643597904	19.3905666735383
lmer_pop	WA_L	StamenkovicRadak	F	AK	AK2	2790.61643597904	19.6938368765696
lmer_pop	WA_L	StamenkovicRadak	F	AK	AK20	2754.66043597904	19.85630670394
lmer_pop	WA_L	StamenkovicRadak	F	AK	AK21	2768.09343597904	19.6938368765696
lmer_pop	WA_L	StamenkovicRadak	F	AK	AK24	2916.98243597904	20.0273935129096
lmer_pop	WA_L	StamenkovicRadak	F	AK	AK3	2803.82743597904	20.0273935129096
lmer_pop	WA_L	StamenkovicRadak	F	AK	AK4	2726.23643597904	19.3905666735383
lmer_pop	WA_L	StamenkovicRadak	F	AK	AK5	2753.97143597904	19.85630670394
lmer_pop	WA_L	StamenkovicRadak	F	AK	AK6	2785.83743597904	19.6938368765696
lmer_pop	WA_L	StamenkovicRadak	F	AK	AK7	2759.96743597904	20.3981958986802
lmer_pop	WA_L	StamenkovicRadak	F	AK	AK8	2776.04443597904	19.3905666735383
lmer_pop	WA_L	StamenkovicRadak	F	AK	AK9	2758.90143597904	19.3905666735383
lmer_pop	WA_L	StamenkovicRadak	F	GI	GI1	2874.94395378456	22.4358806524743
lmer_pop	WA_L	StamenkovicRadak	F	GI	GI10	2831.96995378456	22.4358806524743
lmer_pop	WA_L	StamenkovicRadak	F	GI	GI11	2877.79395378456	23.786209631887
lmer_pop	WA_L	StamenkovicRadak	F	GI	GI14	2856.79795378456	21.8693009868188
lmer_pop	WA_L	StamenkovicRadak	F	GI	GI3	2757.45595378456	22.7674909828042
lmer_pop	WA_L	StamenkovicRadak	F	GI	GI4	2788.98095378456	22.1386417978175
lmer_pop	WA_L	StamenkovicRadak	F	GI	GI5	2897.57595378456	22.2832934202301
lmer_pop	WA_L	StamenkovicRadak	F	GI	GI6	2874.51395378456	22.4358806524743
lmer_pop	WA_L	StamenkovicRadak	F	GI	GI8	2785.48395378456	22.1386417978175
lmer_pop	WA_L	StamenkovicRadak	F	GI	GI9	2814.89195378456	22.2832934202301
lmer_pop	WA_L	StamenkovicRadak	F	KA	KA1	2803.86700732818	20.6369865900186
