Model	Trait	Lab	Sex	Population	Line	Estimate	SE
lmer_pop	WA_L	Onder	F	AK	AK1	19.47	21.6
lmer_pop	WA_L	Onder	F	AK	AK10	-73.156	21.057
lmer_pop	WA_L	Onder	F	AK	AK11	-30.767	21.29
lmer_pop	WA_L	Onder	F	AK	AK12	34.984	21.29
lmer_pop	WA_L	Onder	F	AK	AK13	100.77	21.29
lmer_pop	WA_L	Onder	F	AK	AK14	20.147	21.29
lmer_pop	WA_L	Onder	F	AK	AK15	-29.32	21.29
lmer_pop	WA_L	Onder	F	AK	AK16	46.807	21.964
lmer_pop	WA_L	Onder	F	AK	AK17	-17.168	21.964
lmer_pop	WA_L	Onder	F	AK	AK18	19.783	21.964
lmer_pop	WA_L	Onder	F	AK	AK2	-41.483	21.41
lmer_pop	WA_L	Onder	F	AK	AK20	-8.1	21.976
lmer_pop	WA_L	Onder	F	AK	AK21	-1.039	21.964
lmer_pop	WA_L	Onder	F	AK	AK3	48.825	23.694
lmer_pop	WA_L	Onder	F	AK	AK4	-3.79	21.6
lmer_pop	WA_L	Onder	F	AK	AK5	-89.893	21.6
lmer_pop	WA_L	Onder	F	AK	AK6	59.02	21.139
lmer_pop	WA_L	Onder	F	AK	AK7	-3.365	21.139
lmer_pop	WA_L	Onder	F	AK	AK8	19.059	21.139
lmer_pop	WA_L	Onder	F	AK	AK9	-70.783	21.139
lmer_pop	WA_L	Onder	F	GI	GI1	19.43	21.6
lmer_pop	WA_L	Onder	F	GI	GI10	31.47	21.151
lmer_pop	WA_L	Onder	F	GI	GI11	-30.155	21.139
lmer_pop	WA_L	Onder	F	GI	GI12	-121.17	21.791
lmer_pop	WA_L	Onder	F	GI	GI13	2.595	21.29
lmer_pop	WA_L	Onder	F	GI	GI14	97.233	21.29
lmer_pop	WA_L	Onder	F	GI	GI15	23.765	21.29
lmer_pop	WA_L	Onder	F	GI	GI2	-8.225	21.499
lmer_pop	WA_L	Onder	F	GI	GI3	-34.075	21.6
lmer_pop	WA_L	Onder	F	GI	GI4	-39.833	21.499
lmer_pop	WA_L	Onder	F	GI	GI5	29.507	23.791
lmer_pop	WA_L	Onder	F	GI	GI6	15.83	21.258
lmer_pop	WA_L	Onder	F	GI	GI7	12.523	21.139
lmer_pop	WA_L	Onder	F	GI	GI8	-10.448	21.139
