Model	Trait	Sex	Population	Line	Value_re_Onder	Value_re_Posnien	Value_re_Ritchie	Value_re_StamenkovicRadak	SE_re_Onder	SE_re_Posnien	SE_re_Ritchie	SE_re_StamenkovicRadak
lmer_pop	WA_L	F	AK	AK1	19.47	NA	-135.333	20.098	21.6	NA	57.834	15.276
lmer_pop	WA_L	F	AK	AK10	-73.156	NA	NA	NA	21.057	NA	NA	NA
lmer_pop	WA_L	F	AK	AK11	-30.767	NA	NA	NA	21.29	NA	NA	NA
lmer_pop	WA_L	F	AK	AK12	34.984	82.105	NA	NA	21.29	27.443	NA	NA
lmer_pop	WA_L	F	AK	AK13	100.77	NA	NA	NA	21.29	NA	NA	NA
lmer_pop	WA_L	F	AK	AK14	20.147	NA	NA	NA	21.29	NA	NA	NA
lmer_pop	WA_L	F	AK	AK15	-29.32	NA	NA	NA	21.29	NA	NA	NA
lmer_pop	WA_L	F	AK	AK16	46.807	NA	NA	-27.023	21.964	NA	NA	14.058
lmer_pop	WA_L	F	AK	AK17	-17.168	NA	NA	32.511	21.964	NA	NA	14.836
lmer_pop	WA_L	F	AK	AK18	19.783	NA	NA	-5.197	21.964	NA	NA	15.051
lmer_pop	WA_L	F	AK	AK2	-41.483	NA	92.887	9.792	21.41	NA	56.015	14.836
lmer_pop	WA_L	F	AK	AK20	-8.1	NA	NA	-26.164	21.976	NA	NA	15.051
lmer_pop	WA_L	F	AK	AK21	-1.039	NA	NA	-12.731	21.964	NA	NA	14.836
lmer_pop	WA_L	F	AK	AK3	48.825	-3.216	71.973	23.003	23.694	27.443	55.704	15.276
lmer_pop	WA_L	F	AK	AK4	-3.79	NA	-29.527	-54.588	21.6	NA	56.452	14.431
lmer_pop	WA_L	F	AK	AK5	-89.893	NA	NA	-26.853	21.6	NA	NA	15.051
lmer_pop	WA_L	F	AK	AK6	59.02	NA	NA	5.013	21.139	NA	NA	14.836
lmer_pop	WA_L	F	AK	AK7	-3.365	-78.889	NA	-20.857	21.139	27.443	NA	15.759
lmer_pop	WA_L	F	AK	AK8	19.059	NA	NA	-4.78	21.139	NA	NA	14.431
lmer_pop	WA_L	F	AK	AK9	-70.783	NA	NA	-21.923	21.139	NA	NA	14.431
lmer_pop	WA_L	F	GI	GI1	19.43	NA	159.428	38.903	21.6	NA	62.437	15.276
lmer_pop	WA_L	F	GI	GI10	31.47	29.608	NA	-4.071	21.151	27.443	NA	15.276
lmer_pop	WA_L	F	GI	GI11	-30.155	NA	NA	41.753	21.139	NA	NA	17.198
lmer_pop	WA_L	F	GI	GI12	-121.17	NA	NA	NA	21.791	NA	NA	NA
lmer_pop	WA_L	F	GI	GI13	2.595	NA	NA	NA	21.29	NA	NA	NA
lmer_pop	WA_L	F	GI	GI14	97.233	-7.679	NA	20.757	21.29	27.443	NA	14.431
lmer_pop	WA_L	F	GI	GI15	23.765	NA	NA	NA	21.29	NA	NA	NA
lmer_pop	WA_L	F	GI	GI2	-8.225	NA	226.932	NA	21.499	NA	56.142	NA
lmer_pop	WA_L	F	GI	GI3	-34.075	NA	51.499	-78.585	21.6	NA	55.612	15.759
lmer_pop	WA_L	F	GI	GI4	-39.833	NA	151.404	-47.06	21.499	NA	56.452	14.836
lmer_pop	WA_L	F	GI	GI5	29.507	NA	178.453	61.535	23.791	NA	55.032	15.051
lmer_pop	WA_L	F	GI	GI6	15.83	NA	-115.404	38.473	21.258	NA	92.346	15.276
lmer_pop	WA_L	F	GI	GI7	12.523	-21.929	-219.978	NA	21.139	27.443	92.346	NA
lmer_pop	WA_L	F	GI	GI8	-10.448	NA	-227.675	-50.557	21.139	NA	92.346	14.836
lmer_pop	WA_L	F	GI	GI9	11.552	NA	-204.659	-21.149	21.139	NA	92.346	15.051
lmer_pop	WA_L	F	KA	KA1	-31.948	NA	-117.863	-6.442	21.791	NA	55.676	16.018
lmer_pop	WA_L	F	KA	KA10	-112.155	NA	NA	-75.985	23.694	NA	NA	14.241
