Model	Trait	Lab	Sex	Population	Estimate	SE
lmer_pop	WA_L	Onder	F	AK	2813.8209474383	19.1068116935744
lmer_pop	WA_L	Onder	F	GI	2852.88930188499	20.6715510767169
lmer_pop	WA_L	Onder	F	KA	2858.67265440058	19.1566996453192
lmer_pop	WA_L	Onder	F	MA	2898.80506700693	19.1984511353452
lmer_pop	WA_L	Onder	F	MU	2860.10012768557	18.9083252109658
lmer_pop	WA_L	Onder	F	RE	2943.86615992091	20.2241072207318
lmer_pop	WA_L	Onder	F	UM	2901.09613054218	19.8013143339373
lmer_pop	WA_L	Onder	F	VA	2843.50152126589	19.0718243103391
lmer_pop	WA_L	Onder	F	YE	2815.29722600241	19.2350482915814
lmer_pop	WA_L	Posnien	F	AK	2589.01128536662	53.2622666701783
lmer_pop	WA_L	Posnien	F	GI	2728.20135556667	53.262266670178
lmer_pop	WA_L	Posnien	F	KA	2639.37876686666	53.262266670178
lmer_pop	WA_L	Posnien	F	MA	2658.50407703332	53.262266670178
lmer_pop	WA_L	Posnien	F	MU	2563.45368863332	53.262266670178
lmer_pop	WA_L	Posnien	F	RE	2723.92753073333	53.262266670178
lmer_pop	WA_L	Posnien	F	UM	2663.02723743333	53.262266670178
lmer_pop	WA_L	Posnien	F	VA	2549.5829784	53.2622666701779
lmer_pop	WA_L	Posnien	F	YE	2657.7176376	53.262266670178
lmer_pop	WA_L	Ritchie	F	AK	2759.23522167184	74.0831241473705
lmer_pop	WA_L	Ritchie	F	GI	2587.17824621602	56.4137192492932
lmer_pop	WA_L	Ritchie	F	KA	2714.14069180742	73.9724866567084
lmer_pop	WA_L	Ritchie	F	MA	2846.66641044494	66.2199068475978
lmer_pop	WA_L	Ritchie	F	MU	2782.89639419071	66.147771168849
lmer_pop	WA_L	Ritchie	F	RE	2878.60034882662	66.0817765792527
lmer_pop	WA_L	Ritchie	F	UM	2889.01027554864	66.1513096182911
lmer_pop	WA_L	Ritchie	F	VA	2774.24705185939	66.156904050674
lmer_pop	WA_L	Ritchie	F	YE	2782.81958635281	66.1370516189289
lmer_pop	WA_L	StamenkovicRadak	F	AK	2780.82443597904	12.9514599532614
lmer_pop	WA_L	StamenkovicRadak	F	GI	2836.04095378456	16.4320590508941
lmer_pop	WA_L	StamenkovicRadak	F	KA	2810.30900732818	13.011875019251
lmer_pop	WA_L	StamenkovicRadak	F	MA	2862.62690474074	15.6733428556893
lmer_pop	WA_L	StamenkovicRadak	F	MU	2847.78003029385	13.3550524279878
lmer_pop	WA_L	StamenkovicRadak	F	RE	2932.81763563349	14.4095985446552
lmer_pop	WA_L	StamenkovicRadak	F	UM	2882.96510610857	13.9175112196405
lmer_pop	WA_L	StamenkovicRadak	F	VA	2838.45097732928	13.4050226535401
lmer_pop	WA_L	StamenkovicRadak	F	YE	2822.11731233989	13.8738813600118
lmer_pop	WA_L	Onder	M	AK	2451.86505651803	11.4780175532381
lmer_pop	WA_L	Onder	M	GI	2481.6087931167	13.2494862149836
lmer_pop	WA_L	Onder	M	KA	2479.39155766884	11.473724947
lmer_pop	WA_L	Onder	M	MA	2516.02992049844	11.4779954954513
lmer_pop	WA_L	Onder	M	MU	2483.87272690125	11.4328308838926
lmer_pop	WA_L	Onder	M	RE	2553.95188826159	12.8599082801658
lmer_pop	WA_L	Onder	M	UM	2518.43281032122	12.458950417708
lmer_pop	WA_L	Onder	M	VA	2492.46761924492	11.4730939699699
lmer_pop	WA_L	Onder	M	YE	2445.65465383861	11.7777655260575
lmer_pop	WA_L	Posnien	M	AK	2300.01672263339	49.5989399969018
lmer_pop	WA_L	Posnien	M	GI	2411.78006006665	49.5989399969011
lmer_pop	WA_L	Posnien	M	KA	2332.57332143333	49.5989399969012
lmer_pop	WA_L	Posnien	M	MA	2381.33230876668	49.5989399969011
lmer_pop	WA_L	Posnien	M	MU	2266.58132106667	49.5989399969011
lmer_pop	WA_L	Posnien	M	RE	2374.93605276666	49.5989399969011
lmer_pop	WA_L	Posnien	M	UM	2348.35036733333	49.5989399969011
lmer_pop	WA_L	Posnien	M	VA	2339.71930053333	49.5989399969011
lmer_pop	WA_L	Posnien	M	YE	2349.18812176667	49.5989399969011
lmer_pop	WA_L	Ritchie	M	AK	2448.31108613511	46.8619023500743
lmer_pop	WA_L	Ritchie	M	GI	2383.26103752691	41.9206421105023
lmer_pop	WA_L	Ritchie	M	KA	2425.85246357326	41.9373008326468
lmer_pop	WA_L	Ritchie	M	MA	2478.0106850056	41.911351510053
lmer_pop	WA_L	Ritchie	M	MU	2436.41523917501	41.8529300136565
lmer_pop	WA_L	Ritchie	M	RE	2495.9855536306	41.7510004827647
lmer_pop	WA_L	Ritchie	M	UM	2511.62927750476	41.8668514590787
lmer_pop	WA_L	Ritchie	M	VA	2432.25998918688	41.8766608895918
lmer_pop	WA_L	Ritchie	M	YE	2413.15569115172	41.866337848146
lmer_pop	WA_L	StamenkovicRadak	M	AK	2415.62612528329	11.412670513037
lmer_pop	WA_L	StamenkovicRadak	M	GI	2472.1383857504	14.4234226871743
lmer_pop	WA_L	StamenkovicRadak	M	KA	2434.72220791994	11.4459343152393
lmer_pop	WA_L	StamenkovicRadak	M	MA	2490.10887893575	13.7557637488649
lmer_pop	WA_L	StamenkovicRadak	M	MU	2468.41845909071	11.7590713046596
lmer_pop	WA_L	StamenkovicRadak	M	RE	2537.57899648712	12.70099095843
lmer_pop	WA_L	StamenkovicRadak	M	UM	2507.21422748095	12.2319657404634
lmer_pop	WA_L	StamenkovicRadak	M	VA	2461.46220091713	11.8060245936512
lmer_pop	WA_L	StamenkovicRadak	M	YE	2447.4877390768	12.2186843250675
lmer_pop	WA_R	Onder	F	AK	2815.32251123686	18.5779866107253
lmer_pop	WA_R	Onder	F	GI	2854.81160053908	20.1542557310232
lmer_pop	WA_R	Onder	F	KA	2860.04921320095	18.6283144072152
lmer_pop	WA_R	Onder	F	MA	2899.66985300521	18.670598234662
lmer_pop	WA_R	Onder	F	MU	2860.41450708693	18.3758777192366
lmer_pop	WA_R	Onder	F	RE	2944.63089842927	19.7038186298314
lmer_pop	WA_R	Onder	F	UM	2901.85456243844	19.2784085633147
lmer_pop	WA_R	Onder	F	VA	2845.20236387062	18.5427036466331
lmer_pop	WA_R	Onder	F	YE	2815.70801350916	18.7071491503746
lmer_pop	WA_R	Posnien	F	AK	2584.98214143343	53.6178139151735
lmer_pop	WA_R	Posnien	F	GI	2725.23973746666	53.6178139151741
lmer_pop	WA_R	Posnien	F	KA	2637.32883396666	53.6178139151741
lmer_pop	WA_R	Posnien	F	MA	2657.27503129999	53.6178139151742
lmer_pop	WA_R	Posnien	F	MU	2562.32186583333	53.6178139151742
lmer_pop	WA_R	Posnien	F	RE	2720.04241363333	53.6178139151742
lmer_pop	WA_R	Posnien	F	UM	2660.50009413333	53.6178139151742
lmer_pop	WA_R	Posnien	F	VA	2547.93389373332	53.6178139151742
lmer_pop	WA_R	Posnien	F	YE	2657.19964513333	53.6178139151741
lmer_pop	WA_R	Ritchie	F	AK	2777.36218535797	73.3503025801138
lmer_pop	WA_R	Ritchie	F	GI	2611.67387335596	55.9573136599961
lmer_pop	WA_R	Ritchie	F	KA	2731.8514977744	73.2368491363218
lmer_pop	WA_R	Ritchie	F	MA	2875.39751680383	65.5611886883213
lmer_pop	WA_R	Ritchie	F	MU	2805.69444922187	65.4895218062398
lmer_pop	WA_R	Ritchie	F	RE	2896.21906748486	65.4238050986358
lmer_pop	WA_R	Ritchie	F	UM	2913.6355299865	65.4932266455166
lmer_pop	WA_R	Ritchie	F	VA	2793.99995300718	65.4991985270819
lmer_pop	WA_R	Ritchie	F	YE	2797.38009069956	65.4796231216992
lmer_pop	WA_R	StamenkovicRadak	F	AK	2775.53446685139	13.0499445235878
lmer_pop	WA_R	StamenkovicRadak	F	GI	2833.72857894882	16.5560548361064
lmer_pop	WA_R	StamenkovicRadak	F	KA	2813.05870418901	13.109653687422
lmer_pop	WA_R	StamenkovicRadak	F	MA	2862.03803416183	15.7914882924999
lmer_pop	WA_R	StamenkovicRadak	F	MU	2850.27392301742	13.4570205588345
lmer_pop	WA_R	StamenkovicRadak	F	RE	2933.26337465659	14.5183659327259
lmer_pop	WA_R	StamenkovicRadak	F	UM	2886.84651495978	14.0219626803058
lmer_pop	WA_R	StamenkovicRadak	F	VA	2836.46388866603	13.5063969669586
lmer_pop	WA_R	StamenkovicRadak	F	YE	2823.41233962028	13.9788370484746
lmer_pop	WA_R	Onder	M	AK	2451.97752503993	11.607145465141
lmer_pop	WA_R	Onder	M	GI	2482.72920642411	13.3986975114439
lmer_pop	WA_R	Onder	M	KA	2481.86926249382	11.6029187818303
lmer_pop	WA_R	Onder	M	MA	2515.95716286196	11.6071256075997
lmer_pop	WA_R	Onder	M	MU	2483.62088648609	11.5584120844948
lmer_pop	WA_R	Onder	M	RE	2554.92667623888	13.0062867144144
lmer_pop	WA_R	Onder	M	UM	2518.19473713254	12.600065145466
lmer_pop	WA_R	Onder	M	VA	2492.66037234237	11.6023204037153
lmer_pop	WA_R	Onder	M	YE	2446.06018913068	11.9102900823132
lmer_pop	WA_R	Posnien	M	AK	2296.72893999992	50.2291853731131
lmer_pop	WA_R	Posnien	M	GI	2405.05868016667	50.2291853731134
lmer_pop	WA_R	Posnien	M	KA	2331.6437129	50.2291853731134
lmer_pop	WA_R	Posnien	M	MA	2382.89597339999	50.2291853731134
lmer_pop	WA_R	Posnien	M	MU	2273.85456749999	50.2291853731134
lmer_pop	WA_R	Posnien	M	RE	2374.98682873333	50.2291853731134
lmer_pop	WA_R	Posnien	M	UM	2349.13391296667	50.2291853731134
lmer_pop	WA_R	Posnien	M	VA	2334.22045016667	50.2291853731134
lmer_pop	WA_R	Posnien	M	YE	2344.7743944	50.2291853731134
lmer_pop	WA_R	Ritchie	M	AK	2462.72582431594	46.3965616272625
lmer_pop	WA_R	Ritchie	M	GI	2401.15196825523	41.4958394747771
lmer_pop	WA_R	Ritchie	M	KA	2445.66758688146	41.5126167826613
lmer_pop	WA_R	Ritchie	M	MA	2499.14862039578	41.4866772953897
lmer_pop	WA_R	Ritchie	M	MU	2457.23095371546	41.4386316452652
