"Population","Line","CCRT_F","CCRT_M","CSM_F","CSM_M","DT_P_NA","DT_A_F","DT_A_M","Dia_F","DW_F","DW_M","Fec_F","HSM_F","HSM_M","LS_F","LS_M","LA_NDlog2_B","LA_Period_B","LA_CircPhase_B","LA_Activity_B","Pgm_T4_F","Pgm_T5_F","Pgm_T6_F","Pgm_Total_F","SR_F","SR_M","TL_F","TL_M","Via_NA","WA_L_F","WA_L_M","WA_R_F","WA_R_M"
"YE","YE11",53.0641854091241,72.9789157899074,0.0539818215091808,0.0177674769488684,8.883,8.37011169539696,8.09428207301264,-0.953322062595229,-0.042,-0.03065625,-2.82541142061282,-50.514718324547,-35.0017499620865,-6.5062920525341,-7.97132745779623,-0.028,0.012,0.005,-3.192,-0.0347206151144609,-0.0626514995927854,-0.00944665913615923,-0.0385321545502225,-5.8108345627213,-9.59398641165589,-10.8169281688764,6.984,-0.195960693459056,46.64,24.333,41.506,24.97
"YE","YE13",148.676956508979,-39.9350795447602,0.0786065505137667,-0.0103263701415905,-3.037,1.56313745673407,-0.525965769977716,-0.498112175784988,-0.00170798886962132,0.00803846223167457,3.60735162369612,18.2401719904054,52.727077695955,0.389569255665169,2.2106698826716,0.098,0.047,-0.093,4.118,-0.0164411878999318,-0.0123145632538327,0.0414681373738319,-0.00280057348181935,1.76006011511373,3.8113578609311,-20.7264014965998,-16.9981630015061,0.0920354177578391,17.1439302130703,4.54938674592374,14.5155542014647,9.45007837473608
"YE","YE14",15.6207098603432,-42.5955926165247,-0.176204299775195,-0.144171158103614,-7.534,-0.605837665382718,-3.69206587793695,-0.124746759071758,-0.0186138613861386,0,-0.204362695020674,2.925,7.245,0.449,6.728,-0.11,-0.007,-0.05,6.998,-0.0384898386693858,-0.210549205247676,-0.316177694941763,-0.172510159496503,-14.7409484482078,-4.39959825966974,5.47779921778095,1.91157286630158,0.0752708727047392,-65.8730888121144,-48.3708873811471,-70.8907846252585,-51.9215265404208
"YE","YE15",-288.700454412202,-57.757252593237,0.0592985611510791,0.13886894075404,-1.067,-2.05329844075657,-2.17009604374095,-0.259721766164269,-0.00423933308646899,0.00315913361685293,4.56993762022173,11.2059755867473,17.8744352771011,-3.3212081278505,-1.19070778224269,-0.06,0.011,0.005,8.718,-0.00132232469280254,-0.0295194626581007,-0.130229194436495,-0.046544960208501,-0.262559253679541,-4.339284353861,12.2394908346134,-5.772,0.049339489491631,57.879527691373,7.48686312247223,57.5320644698486,6.53016561329258
"YE","YE19",-198.690353890702,29.5239597608483,0.0494977212867562,0.0855815669215724,12.518,-5.59709275182173,-3.45541753973663,0.9452026419334,-0.0284267912772586,-0.033,-1.16825576036866,29.8367480314961,25.7827948901258,1.3668697712755,1.93915119743958,-0.054,-0.063,0.024,9.005,-0.0198373482149538,0.0105420352254767,0.120537800451261,0.0371056149027842,1.80485149844292,-3.12210111667528,-9.77985714026901,-12.6958055216112,0.0895339454504921,16.4042875915056,-17.5388278648315,18.0898956586937,-17.2218184342717
"YE","YE20",-102.902664307129,-23.9848090001586,0.0459669771767745,-0.0658653154577045,-1.316,-1.78867424045193,-2.69003887018143,0.188675285343652,-0.00266666666666667,-0.00711056994818653,-23.4098196768515,-30.33,-3.846,4.628,1.074,-0.036,0.006,0.007,8.141,-0.0545751847216558,0.0449485726081462,0.152084585354215,0.0459219203402004,-6.01056492159352,-6.36463140165211,-10.4878635467171,-35.474,-0.0979881133002151,5.9333513793934,12.6850735635843,9.96834970219915,11.6711601151906
"YE","YE21",48.2800635477836,-64.8981400737934,-0.0470010519392475,-0.108904117275033,0.202,1.16729183601701,0.523383862149661,-0.163676696481481,0.0307025106420946,-0.00353542435424354,-24.9099131581455,35.878526509381,30.1554774575956,-0.779651176616241,-0.0443328596680492,0.352,-0.018,0.002,-1.134,0.0457784317519654,0.127990464370749,0.200670801893382,0.117092551569767,3.95041422640345,-2.18235032394831,6.56486494167883,7.086,-0.124570294725387,58.0339277886049,69.8621291394111,60.2434491691899,65.2752982942631
"YE","YE22",83.6421646879132,-0.820523351217504,0.0873847928162706,0.0769066657670532,-13.606,-2.41411118524362,-0.184965740108139,0.122769546901291,-0.0131377416738155,-0.011807084918527,15.8060897374702,-26.3428494030009,-94.3734144035965,2.37371419995957,3.05661722883518,-0.355,0.007,0.022,-8.858,0.0681751362421038,0.118104421238257,0.232557335710654,0.12934326098947,-1.43270964071856,0.790170051521772,0.0457619723237193,-20.763,0.0255533543938879,-0.0471942458909955,-1.18691759506104,-0.63775501055716,-0.650678886669674
"YE","YE23",87.3341172966679,274.171234905023,-0.0802168815943728,0.1458,2.115,-1.18945721160784,1.50668375097855,0.167852393349326,0.00583610991551179,-0.0146292402526188,11.0208229614842,-29.4189198556007,-31.4379943060421,0.728205444178775,-1.65035370536643,NA,NA,NA,NA,0.0828654886976022,0.0878916656595961,0.0303767036105335,0.0806022896455366,-10.0991612468369,-9.09390273059213,3.35,NA,-0.0361989070701093,-33.6845191936571,-3.00385529810119,-34.868154211563,-4.33155623410227
"YE","YE24",-136.881930653554,-99.528442647082,-0.140009803921569,-0.189171043293116,-9.356,5.32960458244701,4.73465054301795,-0.119057238975513,0.00866666666666667,0.0128201634877384,27.3555912181124,16.3777508626232,49.8164961024157,-2.16303626800604,-1.95649161549362,0.119,0.001,-0.031,-4.994,0.00702673174698316,0.0205088188236089,0.0296961561960592,0.0232781651469869,-1.17332748603375,4.80337283454808,30.135,NA,-0.00623795185888038,-2.71699680910758,18.6769390676222,-2.33227404018286,19.4957099694123
"YE","YE26",-78.1261824311202,-97.6211552560044,0.027008523768799,0.00295855537571473,9.047,1.69803206095191,5.32576731097714,-0.163607416653906,-0.011723294974319,0.00176087613542073,-19.4723855475403,1.77585579598145,25.9942627232593,0.0345293163099741,1.10658015336863,-0.014,-0.005,0.023,5.894,0.0145098403841751,-0.018374095948753,0.00830201373526732,-0.000949500989079067,4.62239284082832,5.20408827785398,12.7492144079591,14.912,-0.125089709572833,-17.61,-23.27,-21.127,-26.019
"YE","YE27",-173.931065044036,24.9297105990006,-0.0721137839935568,-0.0370799887829031,4.284,-1.04539903061035,-3.44393046574518,0.203132253055181,0.0261100516487882,0.0338613818022556,-10.4724590355744,-29.993,-29.139,-3.065,-0.034,0.071,0.015,0.089,-2.805,0.0222692227064086,-0.00523042202888561,-0.0118707898560306,-0.00315625739108497,1.3453878155363,5.05569298651759,18.9240309903785,32.46,-0.0266764433721513,76.149,79.919,74.1,76.704
"YE","YE33",97.7926068439368,0.883549811894211,-0.0222047450683517,0.0202242280522929,16.15,3.7338198326373,6.1872013324675,0.875774429195738,0.0546766703628271,0.00829923030963343,5.58438918421646,-14.4680346664546,-51.455506933056,-2.15284623627418,0.594194828009817,0.017,-0.032,0.048,4.404,-0.0265812351280129,-0.0643338169856699,-0.176691357014369,-0.0868709935783199,19.1799549180328,5.61509007143353,-8.36620189743507,20.481,-0.0131957004432601,-10.1571354288709,17.4110684538864,-12.1299086873568,16.7527636903156
"YE","YE40",64.9200364313807,-1.26257429330919,-0.0820240738803876,0.108420545354116,-10.227,-2.87908995622232,-4.44373074727804,-1.28353148973985,-0.0207185758210821,-0.00273310702161873,45.0746944929155,-35.3060293113621,-68.4665554197865,4.28662968992248,-1.25636460640225,0.078,-0.006,-0.029,3.48,-0.00194057932780353,0.067821981263495,0.0841008892372256,0.0493882095694658,2.59490722568989,3.3837142639472,28.3911969081095,4.705,0.11050909340185,43.1077185398513,56.4656599535472,44.4505783182581,55.8338322784034
"YE","YE41",9.781,22.92,0.166976964405641,0.0575585365853658,-4.091,-1.96032701136184,-0.209485729345977,0.134777852993195,-0.0123667481662592,-0.00246786683234514,-11.4502770991288,6.525,-19.48,0.639,3.844,-0.054,0.038,0.023,-2.984,-0.0487232481411583,-0.169303742629684,-0.254183351128736,-0.144352597107011,-6.15633883394664,-0.762613337938526,-4.23,NA,-0.0650273606706633,-10.2461935023632,5.729703604678,-6.90004831558488,3.84770187514394
"YE","YE48",156.901856067894,25.0694627236084,-0.0587705890825826,-0.0284596077504171,-3.676,1.40569601832114,3.69569341174228,-1.07250514377831,-0.0429446575879062,-0.0125564412445359,7.31828572373644,-5.39283135048231,35.2754946523187,1.90821349148608,-3.1234778813013,0.019,0.008,0.079,-4.817,0.0522434607645875,0.0798361524200687,0.213811927163361,0.10768350525407,-4.94526258950463,1.24535057641986,-8.33234527216359,12.931,0.0849311893739593,-23.704,-52.997,-17.894,-53.019
"YE","YE49",128.013007108809,48.5204115142271,0.0291570803670327,0.0074016114766448,-2.471,-2.5166647259804,-0.407535010226255,0.773425693185176,-0.0149433462542181,-0.000817848941893598,-29.092,32.215,32.558,3.27,5.009,0.379,0.018,-0.048,-12.096,-0.0205348289864754,0.0313330998736335,0.0162867078480373,0.00576172823334166,1.40899166571673,-0.341332198475918,-23.9055448864774,5.209,0.0973211998265875,-23.5697029973343,-34.7366247006815,-21.4962899325101,-31.7510539027101
"YE","YE51",254.758162427831,71.8889339220196,-9.16567320171753e-05,0.0174808528562934,1.391,-4.95207470720275,-6.39396054898902,-0.368920689655172,0.00626432321336085,-0.000827096068381779,-2.96562707513077,15.6883582123802,1.77019501516956,-0.152074632299403,-3.64562990810359,0.084,-0.02,-0.069,-0.511,-0.0206614965026514,-0.100731011204122,-0.29726879961308,-0.111190863769359,-0.722548375380506,-5.31372618378652,17.146632029732,15.759,-0.00742324725493,-57.8922465840155,-58.4538736172964,-61.6156556008211,-54.3639067798358
"YE","YE69",3.70658263430792,1.754,0.11426692563818,0.0932766415500538,-1.583,2.42815581456281,2.57665362646827,-0.739333953432319,0.0137890461528835,0.0213266080790647,-3.46978753393793,22.7271469007086,45.0896426299922,-0.813209282694373,-0.200527348357889,-0.184,0.003,-0.024,-4.135,-0.063191992834338,-0.0732317628797234,-0.0782110729064234,-0.077056533026837,3.01512201077804,4.64736983172131,-22.256,NA,0.0820102238808239,18.9376884492997,4.13154863818747,19.1585926684053,3.67469148311282
"YE","YE80",-147.414886264979,-100.720809353742,0.0182433689809533,-0.124122650921216,3.374,-0.276534955082868,-1.4919006872254,-0.578292697773504,0.0493083507877242,0.020203363330587,14.0243256400156,12.7409805649033,1.0519640098857,2.22186643495531,2.94135518236538,-0.321,-0.013,0.018,-5.232,0.042015466187684,0.147354958665007,0.111931456909272,0.0865288083942864,8.3917498281173,10.2582668092419,6.24437405343342,2.606,0.0257936477005352,5.06343770024184,-2.48293284376361,7.66669387065637,-4.22878572263271
"RE","RE1",-96.537,-123.9,0.0158860393440128,0.000728999269539809,NA,-6.23539940175429,-5.98299619490209,NA,0.021,0.009,-13.0070450282299,NA,NA,-3.71,-5.873,NA,NA,NA,NA,0.0990197368421053,0.03561,-0.127936470588235,0.0126880733944954,-5.03909564752723,-2.15339371476492,10.98,8.316,-0.0564971140256631,-12.6096285658842,-27.2629426819939,-15.5167145061417,-26.3794423917958
"RE","RE10",41.4385426365892,-62.5692081701563,-0.0032158793258048,0.0599617056736514,10.717,2.80451621047049,0.874577859094609,-0.284565138220698,-0.0156824887748557,0.0105873757384757,2.14995514149247,-77.0803465208488,-47.902205682805,-0.0692582927908007,2.95000473661682,0.101,0.013,-0.013,5.161,-0.00819139308142018,-0.12905211225673,-0.0880622717219286,-0.0780224883969344,-6.39832359461977,-0.661922430940909,8.67427375419479,6.245,0.0951227977232194,16.927,-7.689,18.393,-5.498
