"Model","Trait","Lab","Sex","Population","Estimate","SE"
"lmer_pop","CCRT","Vieira","F","AK",1582.02174233432,62.9625895642313
"lmer_pop","CCRT","Vieira","F","GI",1526.9085044929,74.8786713339626
"lmer_pop","CCRT","Vieira","F","KA",1388.13775795027,62.0819303090274
"lmer_pop","CCRT","Vieira","F","MA",1294.8292895956,64.1829756052755
"lmer_pop","CCRT","Vieira","F","MU",1532.41378330464,66.3043340539869
"lmer_pop","CCRT","Vieira","F","RE",1434.20633407269,66.9233651011072
"lmer_pop","CCRT","Vieira","F","UM",1714.00041679648,64.2719063736391
"lmer_pop","CCRT","Vieira","F","VA",1401.56576002652,63.6255145866395
"lmer_pop","CCRT","Vieira","F","YE",1482.00072046838,61.8815578387634
"lmer_pop","CCRT","Mensch","F","AK",1833.37097663517,84.8809128643559
"lmer_pop","CCRT","Mensch","F","GI",1499.03686890285,99.8706632696316
"lmer_pop","CCRT","Mensch","F","KA",1654.98123080002,84.9370957455242
"lmer_pop","CCRT","Mensch","F","MA",1793.62199258261,85.3097053030756
"lmer_pop","CCRT","Mensch","F","MU",1772.27855388989,86.1757353748387
"lmer_pop","CCRT","Mensch","F","RE",1653.8065867736,94.0065959649204
"lmer_pop","CCRT","Mensch","F","UM",1883.20347649398,91.8757689869177
"lmer_pop","CCRT","Mensch","F","VA",1720.23711676145,85.4052879470627
"lmer_pop","CCRT","Mensch","F","YE",1900.44698022351,87.245399568755
"lmer_pop","CCRT","Vieira","M","AK",1563.50833333342,60.0927672170852
"lmer_pop","CCRT","Vieira","M","GI",1844.85897435897,74.5359043250205
"lmer_pop","CCRT","Vieira","M","KA",1445.65226329209,60.503457171927
"lmer_pop","CCRT","Vieira","M","MA",1329.62440660003,60.1946552228988
"lmer_pop","CCRT","Vieira","M","MU",1694.40833333333,60.0927672170836
"lmer_pop","CCRT","Vieira","M","RE",1563.65016911579,67.3282396946982
"lmer_pop","CCRT","Vieira","M","UM",1578.36346974756,61.8745726434294
"lmer_pop","CCRT","Vieira","M","VA",1505.40061128789,60.2970632493653
"lmer_pop","CCRT","Vieira","M","YE",1653.14351267445,60.6074521057369
"lmer_pop","CCRT","Mensch","M","AK",1783.65386197409,81.2982171959879
"lmer_pop","CCRT","Mensch","M","GI",1644.1702254859,94.1038242676661
"lmer_pop","CCRT","Mensch","M","KA",1761.3058023076,81.8273284036758
"lmer_pop","CCRT","Mensch","M","MA",1638.76179882595,80.8145239994342
"lmer_pop","CCRT","Mensch","M","MU",1683.58917809851,81.8237432965104
"lmer_pop","CCRT","Mensch","M","RE",1507.0964399229,88.2969312786565
"lmer_pop","CCRT","Mensch","M","UM",1674.21163115122,87.2429506022269
"lmer_pop","CCRT","Mensch","M","VA",1565.80421330099,81.5315522766422
"lmer_pop","CCRT","Mensch","M","YE",1828.84735743103,87.9583877290365
"lmer_pop","CSM","Gonzalez","F","AK",1.32326391726312,0.0539476253531615
"lmer_pop","CSM","Gonzalez","F","GI",1.15116680537529,0.0594328400027363
"lmer_pop","CSM","Gonzalez","F","KA",1.23515564411019,0.0584402578090781
"lmer_pop","CSM","Gonzalez","F","MA",1.23606678307624,0.0541317623072277
"lmer_pop","CSM","Gonzalez","F","MU",1.28762321383996,0.054419499431042
"lmer_pop","CSM","Gonzalez","F","RE",1.21306979960417,0.0570628874138896
"lmer_pop","CSM","Gonzalez","F","UM",1.13022093467611,0.0602929947528978
"lmer_pop","CSM","Gonzalez","F","VA",1.20543483157613,0.0544095266716621
"lmer_pop","CSM","Gonzalez","F","YE",1.26155873375138,0.0535758881326
"lmer_pop","CSM","Kozeretska","F","AK",0.884561754063472,0.145741240874455
"lmer_pop","CSM","Kozeretska","F","GI",0.80701651924379,0.164050608548118
"lmer_pop","CSM","Kozeretska","F","KA",0.75090202665576,0.153354255990357
"lmer_pop","CSM","Kozeretska","F","MA",0.761953972884209,0.148583030872582
"lmer_pop","CSM","Kozeretska","F","MU",0.813873035142654,0.147523894442629
"lmer_pop","CSM","Kozeretska","F","RE",0.776673352002745,0.153282842618712
"lmer_pop","CSM","Kozeretska","F","UM",0.696475643657906,0.156389615096918
"lmer_pop","CSM","Kozeretska","F","VA",0.816488672929702,0.145237450348802
"lmer_pop","CSM","Kozeretska","F","YE",0.815826055410267,0.152816085526145
"lmer_pop","CSM","Vieira","F","AK",1.26857489731458,0.0491361332593745
"lmer_pop","CSM","Vieira","F","GI",1.23291982579104,0.0601051950950789
"lmer_pop","CSM","Vieira","F","KA",1.32685714968529,0.0500234528187944
"lmer_pop","CSM","Vieira","F","MA",1.26647586591868,0.0506363709766414
"lmer_pop","CSM","Vieira","F","MU",1.27353868651928,0.0506551228905402
"lmer_pop","CSM","Vieira","F","RE",1.24604804257026,0.0574073909080231
"lmer_pop","CSM","Vieira","F","UM",1.15690483553297,0.0506156475394986
"lmer_pop","CSM","Vieira","F","VA",1.39068693411788,0.0512915638865575
"lmer_pop","CSM","Vieira","F","YE",1.28532151426356,0.0513674839928032
"lmer_pop","CSM","Gonzalez","M","AK",0.890522406572363,0.0788529378134366
"lmer_pop","CSM","Gonzalez","M","GI",0.965505594695036,0.0837518638447752
"lmer_pop","CSM","Gonzalez","M","KA",0.989456982448719,0.082715184833138
"lmer_pop","CSM","Gonzalez","M","MA",0.917343654502769,0.0790468310696637
"lmer_pop","CSM","Gonzalez","M","MU",0.89981191691954,0.0793224039290533
"lmer_pop","CSM","Gonzalez","M","RE",0.894923785550766,0.081428434534943
"lmer_pop","CSM","Gonzalez","M","UM",0.833463669221556,0.0844049147416509
"lmer_pop","CSM","Gonzalez","M","VA",0.86990843683833,0.0793175202937971
"lmer_pop","CSM","Gonzalez","M","YE",1.03650716770512,0.078487672709214
"lmer_pop","CSM","Kozeretska","M","AK",1.14119667562942,0.147491846078377
"lmer_pop","CSM","Kozeretska","M","GI",1.15021507233445,0.162607496703128
"lmer_pop","CSM","Kozeretska","M","KA",0.998494105095524,0.153512335718253
"lmer_pop","CSM","Kozeretska","M","MA",1.09161219360597,0.14988517826734
"lmer_pop","CSM","Kozeretska","M","MU",1.01370211355105,0.148955119507285
"lmer_pop","CSM","Kozeretska","M","RE",1.0525360883113,0.153099691339811
"lmer_pop","CSM","Kozeretska","M","UM",1.01052788812305,0.155712577761689
"lmer_pop","CSM","Kozeretska","M","VA",1.05659940711968,0.146964908115565
"lmer_pop","CSM","Kozeretska","M","YE",1.19122768084764,0.153521680084377
"lmer_pop","CSM","Vieira","M","AK",1.04461688193617,0.0672748147236449
"lmer_pop","CSM","Vieira","M","GI",1.09046888786246,0.0811623715407931
"lmer_pop","CSM","Vieira","M","KA",1.11431386592135,0.0695488351968912
"lmer_pop","CSM","Vieira","M","MA",1.06176832873268,0.0716577628777697
"lmer_pop","CSM","Vieira","M","MU",1.28278640503769,0.0705597983221389
"lmer_pop","CSM","Vieira","M","RE",1.10276765445267,0.082353531030321
