"Lab","Trait","Sex","Model","Predictor","P"
"Vieira","CCRT","F","lmer","pop",0.00245338562104879
"Mensch","CCRT","F","lmer","pop",0.0336619289772072
"Vieira","CCRT","M","lmer","pop",1.05820362517672e-05
"Mensch","CCRT","M","lmer","pop",0.0689907383636355
"Gonzalez","CSM","F","lmer","pop",0.0557747311047609
"Kozeretska","CSM","F","lmer","pop",0.906126805511984
"Vieira","CSM","F","lmer","pop",0.17860469913531
"Gonzalez","CSM","M","lmer","pop",0.0916232392707334
"Kozeretska","CSM","M","lmer","pop",0.598116279395031
"Vieira","CSM","M","lmer","pop",0.0249362591242104
"Schmidt","DT_P","NA","lmer","pop",0.00980388811163575
"Gibert","DT_A","F","lmer","pop",0.000439888995305529
"Grath","DT_A","F","lmer","pop",0.0037919310469454
"Hoedjes","DT_A","F","lmer","pop",2.51365299239434e-06
"Schmidt","DT_A","F","lmer","pop",0.00198060030101647
"StamenkovicRadak","DT_A","F","lmer","pop",1.36471053158151e-06
"Zwaan","DT_A","F","lmer","pop",0.0505094131895524
"Gibert","DT_A","M","lmer","pop",0.00411902697539041
"Grath","DT_A","M","lmer","pop",0.0585233915112043
"Hoedjes","DT_A","M","lmer","pop",2.33227160953477e-06
"Schmidt","DT_A","M","lmer","pop",0.00157514112844543
"StamenkovicRadak","DT_A","M","lmer","pop",1.31476794011807e-06
"Zwaan","DT_A","M","lmer","pop",0.0264118064376956
"Bergland","Dia","F","lmer","pop",0.0162701804265161
"Flatt","Dia","F","lm","pop",0.658978587065494
"Schlotterer","Dia","F","lmer","pop",0.0208998779621458
"Colinet","DW","F","lmer","pop",0.0211076980008757
"Hoedjes","DW","F","lmer","pop",0.0604504543076979
"Onder","DW","F","lmer","pop",6.16762572610631e-06
"Colinet","DW","M","lmer","pop",2.61265206915973e-05
"Hoedjes","DW","M","lmer","pop",0.75479686798747
"Onder","DW","M","lmer","pop",0.0565912309455779
"Billeter","Fec","F","lmer","pop",0.00646079195191002
"Fricke","Fec","F","lmer","pop",0.88401127411488
"Parsch","HSM","F","lmer","pop",4.86841620336294e-08
"Vieira","HSM","F","lmer","pop",4.16893980333042e-06
"Parsch","HSM","M","lmer","pop",4.87534106136381e-09
"Vieira","HSM","M","lmer","pop",0.00245386233772451
"Flatt","LS","F","lmer","pop",1.22870023181672e-24
