"Lab","Trait","Sex","Model","Predictor","Name","Cond_r2","Marg_r2"
"Vieira","CCRT","F","lmer","pop","CCRT_F_Vieira_lmer_pop",0.207536208278868,0.0600568073758183
"Mensch","CCRT","F","lmer","pop","CCRT_F_Mensch_lmer_pop",0.272383076475225,0.0360446721010831
"Vieira","CCRT","M","lmer","pop","CCRT_M_Vieira_lmer_pop",0.288874224587656,0.0806964314527203
"Mensch","CCRT","M","lmer","pop","CCRT_M_Mensch_lmer_pop",0.275583245137121,0.029998344219197
"Gonzalez","CSM","F","lmer","pop","CSM_F_Gonzalez_lmer_pop",0.525384536210644,0.0459361983397055
"Kozeretska","CSM","F","lmer","pop","CSM_F_Kozeretska_lmer_pop",0.338213832044238,0.0135068572559603
"Vieira","CSM","F","lmer","pop","CSM_F_Vieira_lmer_pop",0.552373341288074,0.0557166569978149
"Gonzalez","CSM","M","lmer","pop","CSM_M_Gonzalez_lmer_pop",0.582707290885612,0.0320610555343537
"Kozeretska","CSM","M","lmer","pop","CSM_M_Kozeretska_lmer_pop",0.243335573944161,0.0216283288408006
"Vieira","CSM","M","lmer","pop","CSM_M_Vieira_lmer_pop",0.657578605470723,0.0980254645766673
"Schmidt","DT_P","NA","lmer","pop","DT_P_Schmidt_lmer_pop",0.600383342530936,0.068585047438392
"Gibert","DT_A","F","lmer","pop","DT_A_F_Gibert_lmer_pop",0.338939838261097,0.0430910784092664
"Grath","DT_A","F","lmer","pop","DT_A_F_Grath_lmer_pop",0.113747094253888,0.0505672758424999
"Hoedjes","DT_A","F","lmer","pop","DT_A_F_Hoedjes_lmer_pop",0.186492482814719,0.0381784633141371
"Schmidt","DT_A","F","lmer","pop","DT_A_F_Schmidt_lmer_pop",0.671705356667434,0.0929909203603182
"StamenkovicRadak","DT_A","F","lmer","pop","DT_A_F_StamenkovicRadak_lmer_pop",0.586580416343095,0.0936121712036151
"Zwaan","DT_A","F","lmer","pop","DT_A_F_Zwaan_lmer_pop",0.280017554159278,0.0189498675950947
"Gibert","DT_A","M","lmer","pop","DT_A_M_Gibert_lmer_pop",0.272143749755032,0.0308865487997717
"Grath","DT_A","M","lmer","pop","DT_A_M_Grath_lmer_pop",0.172420892299138,0.0414856895864934
"Hoedjes","DT_A","M","lmer","pop","DT_A_M_Hoedjes_lmer_pop",0.156386450345841,0.0335065071186573
"Schmidt","DT_A","M","lmer","pop","DT_A_M_Schmidt_lmer_pop",0.623329538454278,0.0946351880762883
"StamenkovicRadak","DT_A","M","lmer","pop","DT_A_M_StamenkovicRadak_lmer_pop",0.55873528890007,0.0877332418175672
"Zwaan","DT_A","M","lmer","pop","DT_A_M_Zwaan_lmer_pop",0.287261424436471,0.0200892056433227
"Colinet","DW","F","lmer","pop","DW_F_Colinet_lmer_pop",0.38917621490678,0.0405781275010665
"Hoedjes","DW","F","lmer","pop","DW_F_Hoedjes_lmer_pop",0.39616732971021,0.0336088065940331
"Onder","DW","F","lmer","pop","DW_F_Onder_lmer_pop",0.383397036791498,0.073415377549312
"Colinet","DW","M","lmer","pop","DW_M_Colinet_lmer_pop",0.376727146373431,0.0762088885707588
"Hoedjes","DW","M","lmer","pop","DW_M_Hoedjes_lmer_pop",0.422587673762226,0.010683526794594
"Onder","DW","M","lmer","pop","DW_M_Onder_lmer_pop",0.384935166788308,0.029392295685092
"Billeter","Fec","F","lmer","pop","Fec_Billeter_lmer_pop",0.327626361380382,0.0567848108853442
"Fricke","Fec","F","lmer","pop","Fec_Fricke_lmer_pop",0.291784052241406,0.0092321157917611
"Parsch","HSM","F","lmer","pop","HSM_F_Parsch_lmer_pop",0.553087756366056,0.101350481393195
"Vieira","HSM","F","lmer","pop","HSM_F_Vieira_lmer_pop",0.182031367835307,0.0608306925838979
"Parsch","HSM","M","lmer","pop","HSM_M_Parsch_lmer_pop",0.673373114656292,0.158365372723374
"Vieira","HSM","M","lmer","pop","HSM_M_Vieira_lmer_pop",0.336818176716169,0.0557777641425266
"Flatt","LS","F","lmer","pop","LS_F_Flatt_lmer_pop",0.177048834218733,0.150261992992404
"Parsch","LS","F","lmer","pop","LS_F_Parsch_lmer_pop",0.27181447390026,0.0510948155309585
"Pasyukova","LS","F","lmer","pop","LS_F_Pasyukova_lmer_pop",0.24926521772722,0.0136972014598891
"Flatt","LS","M","lmer","pop","LS_M_Flatt_lmer_pop",0.0397927797311306,0.0187698555999611
"Parsch","LS","M","lmer","pop","LS_M_Parsch_lmer_pop",0.158060010264443,0.0385884386898829
"Pasyukova","LS","M","lmer","pop","LS_M_Pasyukova_lmer_pop",0.245336928493005,0.0234999844206047
"Tauber","LA_NDlog2","M","lmer","pop","LA_NDlog2_Tauber_lmer_pop",0.322470626813406,0.0839062643948423
"Tauber","LA_Period","M","lmer","pop","LA_Period_Tauber_lmer_pop",0.0360488709833044,0.0293621282656509
"Tauber","LA_CircPhase","M","lmer","pop","LA_CircPhase_Tauber_lmer_pop",0.0407489971981057,0.0383601456707126
"Tauber","LA_Activity","M","lmer","pop","LA_Activity_Tauber_lmer_pop",0.455897441693224,0.154665265178417
"Abbott","Pgm_T4","F","lmer","pop","Pgm_T4_Abbott_lmer_pop",0.536695843371124,0.260364373167423
"Abbott","Pgm_T5","F","lmer","pop","Pgm_T5_Abbott_lmer_pop",0.471190608418649,0.218036065609241
"Abbott","Pgm_T6","F","lmer","pop","Pgm_T6_Abbott_lmer_pop",0.497537804535735,0.0838547519290397
"Abbott","Pgm_Total","F","lmer","pop","Pgm_Total_Abbott_lmer_pop",0.541522637947682,0.21045338516605
"Gibert","Pgm_T4","F","lmer","pop","Pgm_T4_Gibert_lmer_pop",0.200549776265597,0.0292855599866878
"Gibert","Pgm_T5","F","lmer","pop","Pgm_T5_Gibert_lmer_pop",0.281602512735552,0.0320234042204274
"Gibert","Pgm_T6","F","lmer","pop","Pgm_T6_Gibert_lmer_pop",0.481920993778484,0.0327689737459142
"Gibert","Pgm_Total","F","lmer","pop","Pgm_Total_Gibert_lmer_pop",0.332898179598027,0.0158217641165051
"Schmidt","Pgm_T4","F","lmer","pop","Pgm_T4_Schmidt_lmer_pop",0.4583571475692,0.0918545945564909
"Schmidt","Pgm_T5","F","lmer","pop","Pgm_T5_Schmidt_lmer_pop",0.597116669220467,0.0478880273750385
"Schmidt","Pgm_T6","F","lmer","pop","Pgm_T6_Schmidt_lmer_pop",0.532109559251221,0.0643559929265346
"Schmidt","Pgm_Total","F","lmer","pop","Pgm_Total_Schmidt_lmer_pop",0.597631179544132,0.0622946231247663
"Gonzalez","SR","F","lmer","pop","SR_F_Gonzalez_lmer_pop",0.46063069142014,0.0539815831525167
"Onder","SR","F","lmer","pop","SR_F_Onder_lmer_pop",0.419836875589008,0.0905482141488958
"Pasyukova","SR","F","lmer","pop","SR_F_Pasyukova_lmer_pop",0.464934995320034,0.050945293944217
"Gonzalez","SR","M","lmer","pop","SR_M_Gonzalez_lmer_pop",0.587498170332668,0.0651143339475777
"Onder","SR","M","lmer","pop","SR_M_Onder_lmer_pop",0.404627312468386,0.0626408917458618
"Pasyukova","SR","M","lmer","pop","SR_M_Pasyukova_lmer_pop",0.392684068181937,0.0635769269308746
"Kozeretska","TL","F","lmer","pop","TL_F_Kozeretska_lmer_pop",0.483624143194275,0.0573340000658129
"Posnien","TL","F","lmer","pop","TL_F_Posnien_lmer_pop",0.52386962064311,0.212145230043769
"Ritchie","TL","F","lmer","pop","TL_F_Ritchie_lmer_pop",0.648508887287004,0.0340030794032701
"Schmidt","TL","F","lmer","pop","TL_F_Schmidt_lmer_pop",0.302249763011324,0.0605430326138188
"Kozeretska","TL","M","lmer","pop","TL_M_Kozeretska_lmer_pop",0.499114885254943,0.0624488604255937
"Posnien","TL","M","lmer","pop","TL_M_Posnien_lmer_pop",0.543759732061504,0.237781211369511
"Ritchie","TL","M","lmer","pop","TL_M_Ritchie_lmer_pop",0.534389322310395,0.0245148346119706
"Gibert","Via","NA","lmer","pop","Via_Gibert_lmer_pop",0.602773352976915,0.201821590999032
"Grath","Via","NA","lmer","pop","Via_Grath_lmer_pop",0.206744758568777,0.0422536026631514
"Hoedjes","Via","NA","lmer","pop","Via_Hoedjes_lmer_pop",0.672195920181167,0.180556483206896
"StamenkovicRadak","Via","NA","lmer","pop","Via_StamenkovicRadak_lmer_pop",0.64757851927927,0.14515814954271
"Zwaan","Via","NA","lmer","pop","Via_Zwaan_lmer_pop",0.393141688499322,0.135481263523028
"Onder","WA_L","F","lmer","pop","WA_L_F_Onder_lmer_pop",0.530156129104617,0.119642516821871
"Posnien","WA_L","F","lmer","pop","WA_L_F_Posnien_lmer_pop",0.575365313450208,0.185036692828418
"Ritchie","WA_L","F","lmer","pop","WA_L_F_Ritchie_lmer_pop",0.792337432909193,0.181484252896253
"StamenkovicRadak","WA_L","F","lmer","pop","WA_L_F_StamenkovicRadak_lmer_pop",0.351108087137083,0.146527084530499
