Model	Predictor	Trait	Lab	Sex	Population	Estimate	SE
lmer	pop	CCRT	Vieira	F	AK	1591.41442636967	71.3523427394978
lmer	pop	CCRT	Vieira	F	GI	1536.72522822074	77.9259551243959
lmer	pop	CCRT	Vieira	F	KA	1382.14220789572	70.8354412461766
lmer	pop	CCRT	Vieira	F	MA	1280.40494548296	67.2177074184111
lmer	pop	CCRT	Vieira	F	MU	1543.96941934527	74.0365304493219
lmer	pop	CCRT	Vieira	F	RE	1458.76648982279	74.3356258314376
lmer	pop	CCRT	Vieira	F	UM	1739.51193140857	67.9590586910091
lmer	pop	CCRT	Vieira	F	VA	1364.32241722962	81.6296221724885
lmer	pop	CCRT	Vieira	F	YE	1474.50528874408	65.3494604538805
lmer	pop	CCRT	Mensch	F	AK	1885.5786552704	94.8735069647172
lmer	pop	CCRT	Mensch	F	GI	1531.22822664053	104.73139228208
lmer	pop	CCRT	Mensch	F	KA	1668.06683598447	97.1558551890027
lmer	pop	CCRT	Mensch	F	MA	1827.55654117509	90.5075392919871
lmer	pop	CCRT	Mensch	F	MU	1842.9371957351	99.6500778023392
lmer	pop	CCRT	Mensch	F	RE	1669.71036948292	100.076545638503
lmer	pop	CCRT	Mensch	F	UM	1926.48231892618	94.7046810049051
lmer	pop	CCRT	Mensch	F	VA	1794.79739007978	111.632298741768
lmer	pop	CCRT	Mensch	F	YE	1933.494322965	91.7367147069425
lmer	pop	CCRT	Vieira	M	AK	1566.53332460526	69.7128523190241
lmer	pop	CCRT	Vieira	M	GI	1819.19488158626	78.0822764921123
lmer	pop	CCRT	Vieira	M	KA	1437.69162465664	69.9986538106491
lmer	pop	CCRT	Vieira	M	MA	1328.18921392599	64.7827854675666
lmer	pop	CCRT	Vieira	M	MU	1682.21309859391	71.2971666713062
lmer	pop	CCRT	Vieira	M	RE	1549.16345124229	75.0798448786431
lmer	pop	CCRT	Vieira	M	UM	1585.80306316137	65.92897768974
lmer	pop	CCRT	Vieira	M	VA	1520.06785420436	81.5921259530411
lmer	pop	CCRT	Vieira	M	YE	1648.30980720647	64.8663521408543
lmer	pop	CCRT	Mensch	M	AK	1871.61918193891	89.2747351317245
lmer	pop	CCRT	Mensch	M	GI	1706.37004605602	97.3573869781942
lmer	pop	CCRT	Mensch	M	KA	1875.26855976182	92.1947162848531
lmer	pop	CCRT	Mensch	M	MA	1695.94883046572	84.6114588616616
lmer	pop	CCRT	Mensch	M	MU	1762.32963607902	92.749791887851
lmer	pop	CCRT	Mensch	M	RE	1490.58613483489	92.8350973151071
lmer	pop	CCRT	Mensch	M	UM	1710.00173945731	89.1326106006319
lmer	pop	CCRT	Mensch	M	VA	1655.1089064833	104.102717202287
lmer	pop	CCRT	Mensch	M	YE	1890.63046688156	90.7943490960088
