Model	Predictor	Trait	Lab	Sex	Population	Estimate	SE
lmer	pop	Dia	Bergland	F	AK	0.838870236122483	0.0830705572953977
lmer	pop	Dia	Bergland	F	GI	0.830570628371333	0.0826395021456625
lmer	pop	Dia	Bergland	F	KA	0.927529740674277	0.0761564598961882
lmer	pop	Dia	Bergland	F	MA	1.05550575126487	0.0759518627986653
lmer	pop	Dia	Bergland	F	MU	1.00196423047016	0.0823761955005133
lmer	pop	Dia	Bergland	F	RE	0.835862424632687	0.0888159613322354
lmer	pop	Dia	Bergland	F	UM	1.11396433312554	0.0783777307892161
lmer	pop	Dia	Bergland	F	VA	1.10581703979761	0.0940874282020007
lmer	pop	Dia	Bergland	F	YE	1.02650370541157	0.0729988473487613
lm	pop	Dia	Flatt	F	AK	1.43111607320468	0.0416823224027603
lm	pop	Dia	Flatt	F	GI	1.43020815570657	0.051700557962882
lm	pop	Dia	Flatt	F	KA	1.53005446930971	0.0439370256527283
lm	pop	Dia	Flatt	F	MA	1.42636465461901	0.0439370256527283
lm	pop	Dia	Flatt	F	MU	1.49739089374633	0.0452108264088781
lm	pop	Dia	Flatt	F	RE	1.43098830566403	0.0538116468323797
lm	pop	Dia	Flatt	F	UM	1.51816127417412	0.0481306001193649
lm	pop	Dia	Flatt	F	VA	1.40962790397398	0.051700557962882
lm	pop	Dia	Flatt	F	YE	1.45876280008367	0.0416823224027603
lmer	pop	Dia	Schlotterer	F	AK	0.79041630372327	0.0894280314935407
lmer	pop	Dia	Schlotterer	F	GI	0.927719456399861	0.0937145711410561
lmer	pop	Dia	Schlotterer	F	KA	1.01724947820808	0.0911056567847711
lmer	pop	Dia	Schlotterer	F	MA	1.00924920539405	0.0881150148010208
lmer	pop	Dia	Schlotterer	F	MU	0.990788206831078	0.0921606359645871
lmer	pop	Dia	Schlotterer	F	RE	1.07617338199924	0.0977585939648248
lmer	pop	Dia	Schlotterer	F	UM	1.2521783191542	0.0955685838299357
lmer	pop	Dia	Schlotterer	F	VA	1.09658955835501	0.116339272933709
lmer	pop	Dia	Schlotterer	F	YE	0.986993845774408	0.0861403500009548
