Model	Predictor	Trait	Lab	Sex	Population	Estimate	SE
lmer	pop	DW	Colinet	F	AK	0.458945196662774	0.0126087032090898
lmer	pop	DW	Colinet	F	GI	0.478240839697246	0.0133475984350672
lmer	pop	DW	Colinet	F	KA	0.488257898130764	0.0131239135116908
lmer	pop	DW	Colinet	F	MA	0.498932853532177	0.012542107438858
lmer	pop	DW	Colinet	F	MU	0.469312196144278	0.0129084115590776
lmer	pop	DW	Colinet	F	RE	0.509083505048548	0.0135339574905769
lmer	pop	DW	Colinet	F	UM	0.50072009592049	0.0128768815604357
lmer	pop	DW	Colinet	F	VA	0.485396088260744	0.0143210263990531
lmer	pop	DW	Colinet	F	YE	0.474097945658812	0.0122251509980972
lmer	pop	DW	Hoedjes	F	AK	0.436821135994508	0.00981187554057629
lmer	pop	DW	Hoedjes	F	GI	0.447952791011474	0.0103698468281923
lmer	pop	DW	Hoedjes	F	KA	0.46018198220662	0.00998009939081478
lmer	pop	DW	Hoedjes	F	MA	0.444681963992525	0.0093794960376633
lmer	pop	DW	Hoedjes	F	MU	0.44731589659642	0.0101709238817477
lmer	pop	DW	Hoedjes	F	RE	0.456744699333933	0.0106279510137635
lmer	pop	DW	Hoedjes	F	UM	0.449198339176066	0.00974035553006456
lmer	pop	DW	Hoedjes	F	VA	0.466991456296547	0.0114056883922216
lmer	pop	DW	Hoedjes	F	YE	0.441614682375112	0.00937553526691259
lmer	pop	DW	Onder	F	AK	0.417316032697854	0.0112506114413069
lmer	pop	DW	Onder	F	GI	0.437581925024964	0.0116910934662544
lmer	pop	DW	Onder	F	KA	0.454140994205254	0.0113704823642414
lmer	pop	DW	Onder	F	MA	0.465509847643586	0.0108564593819453
lmer	pop	DW	Onder	F	MU	0.428361139835544	0.0115042408239288
lmer	pop	DW	Onder	F	RE	0.465878060617833	0.0116234463731473
lmer	pop	DW	Onder	F	UM	0.463072872947371	0.011147459912964
lmer	pop	DW	Onder	F	VA	0.459551776427868	0.0125290194221995
lmer	pop	DW	Onder	F	YE	0.422740945114034	0.0111972497317838
lmer	pop	DW	Colinet	M	AK	0.257749833229782	0.00487295607025396
lmer	pop	DW	Colinet	M	GI	0.260916313376276	0.00518710846803995
lmer	pop	DW	Colinet	M	KA	0.278317389657375	0.00497038118987841
lmer	pop	DW	Colinet	M	MA	0.27100040594429	0.00482107839719858
lmer	pop	DW	Colinet	M	MU	0.270074205985578	0.00508429737688258
lmer	pop	DW	Colinet	M	RE	0.27288241964912	0.00533924452991869
lmer	pop	DW	Colinet	M	UM	0.276923802807023	0.0048439916176372
lmer	pop	DW	Colinet	M	VA	0.263499698407588	0.00580596602943629
lmer	pop	DW	Colinet	M	YE	0.247983807605915	0.00459095448443466
lmer	pop	DW	Hoedjes	M	AK	0.263911235297686	0.00613812244189276
lmer	pop	DW	Hoedjes	M	GI	0.265837271395645	0.00639349018073591
lmer	pop	DW	Hoedjes	M	KA	0.275704189525801	0.0062181877486048
lmer	pop	DW	Hoedjes	M	MA	0.266964714285581	0.00591760153757456
lmer	pop	DW	Hoedjes	M	MU	0.265484880688954	0.00632028016944968
lmer	pop	DW	Hoedjes	M	RE	0.268704242473897	0.00656771452746961
lmer	pop	DW	Hoedjes	M	UM	0.266927822362463	0.00611226729166448
lmer	pop	DW	Hoedjes	M	VA	0.268290220129326	0.00690871258783501
lmer	pop	DW	Hoedjes	M	YE	0.26461070999129	0.0059087915434537
lmer	pop	DW	Onder	M	AK	0.251344882266482	0.00720218085516606
lmer	pop	DW	Onder	M	GI	0.248959467030027	0.00747783396837893
lmer	pop	DW	Onder	M	KA	0.259035354512921	0.00727843039854353
lmer	pop	DW	Onder	M	MA	0.269664084859172	0.00695539766155477
lmer	pop	DW	Onder	M	MU	0.257432326199769	0.0073637466571518
lmer	pop	DW	Onder	M	RE	0.262044548310043	0.00743681186156326
lmer	pop	DW	Onder	M	UM	0.268092255579823	0.00713999816229447
lmer	pop	DW	Onder	M	VA	0.259459444018999	0.00800808618429214
lmer	pop	DW	Onder	M	YE	0.249171106944075	0.00717034792822553
