Model	Predictor	Trait	Lab	Sex	Population	Estimate	SE
lmer	pop	LS	Parsch	F	AK	59.0200234241962	3.17265670020878
lmer	pop	LS	Parsch	F	GI	55.066097528367	3.11108897117892
lmer	pop	LS	Parsch	F	KA	56.2912395052982	3.17847587715288
lmer	pop	LS	Parsch	F	MA	47.2712644868318	3.16443532047417
lmer	pop	LS	Parsch	F	MU	53.5027782953855	3.17853782538825
lmer	pop	LS	Parsch	F	RE	46.0652564954883	3.13360014718796
lmer	pop	LS	Parsch	F	UM	48.8826046141185	3.10798111284507
lmer	pop	LS	Parsch	F	VA	55.3325914994731	3.43081825696307
lmer	pop	LS	Parsch	F	YE	54.1355106098147	3.13071078243297
lmer	pop	LS	Pasyukova	F	AK	44.257043199923	1.4369605732351
lmer	pop	LS	Pasyukova	F	GI	43.047840533321	1.64256124541389
lmer	pop	LS	Pasyukova	F	KA	46.5509828443787	1.46583779311533
lmer	pop	LS	Pasyukova	F	MA	43.5592750104838	1.35944404276518
lmer	pop	LS	Pasyukova	F	MU	44.2448175293458	1.49957966643446
lmer	pop	LS	Pasyukova	F	RE	44.0169642857145	1.51716101262324
lmer	pop	LS	Pasyukova	F	UM	38.9061357999816	1.42912772669667
lmer	pop	LS	Pasyukova	F	VA	42.9961778153102	1.71243941823706
lmer	pop	LS	Pasyukova	F	YE	40.8678052399484	1.35407306626038
lmer	pop	LS	Parsch	M	AK	60.3265603685739	2.23240066860091
lmer	pop	LS	Parsch	M	GI	51.9321142500662	2.1176937214648
lmer	pop	LS	Parsch	M	KA	56.2586131694954	2.23194617882558
lmer	pop	LS	Parsch	M	MA	51.3737456846695	2.19526020495684
lmer	pop	LS	Parsch	M	MU	58.8554963939291	2.22775654703925
lmer	pop	LS	Parsch	M	RE	50.4691006726497	2.15389578793156
lmer	pop	LS	Parsch	M	UM	56.4376442742441	2.11770343485157
lmer	pop	LS	Parsch	M	VA	60.1567020728446	2.66005160765323
lmer	pop	LS	Parsch	M	YE	51.5796927899477	2.14808812495256
lmer	pop	LS	Pasyukova	M	AK	50.0412898492193	1.64446001891074
lmer	pop	LS	Pasyukova	M	GI	47.0075066415388	1.87974972864113
lmer	pop	LS	Pasyukova	M	KA	52.5567020882124	1.67750714884739
lmer	pop	LS	Pasyukova	M	MA	47.5760757021907	1.55574995720047
lmer	pop	LS	Pasyukova	M	MU	50.4676822199159	1.71612140200661
lmer	pop	LS	Pasyukova	M	RE	48.5544642857131	1.73624150004772
lmer	pop	LS	Pasyukova	M	UM	43.2581349623089	1.63549606813362
lmer	pop	LS	Pasyukova	M	VA	47.3700398492375	1.95971844675485
lmer	pop	LS	Pasyukova	M	YE	43.8667146571899	1.54960741371021
