Model	Predictor	Trait	Lab	Sex	Population	Estimate	SE
lmer	pop	Pgm_T4	Abbott	F	AK	0.389214259936193	0.0172078995967899
lmer	pop	Pgm_T4	Abbott	F	GI	0.372542968204582	0.0189858582467796
lmer	pop	Pgm_T4	Abbott	F	KA	0.312239644577887	0.018002537042477
lmer	pop	Pgm_T4	Abbott	F	MA	0.482806974247335	0.0173371975255751
lmer	pop	Pgm_T4	Abbott	F	MU	0.407140279742467	0.0194606803231991
lmer	pop	Pgm_T4	Abbott	F	RE	0.4220059102333	0.0182200019272585
lmer	pop	Pgm_T4	Abbott	F	UM	0.38449403300451	0.016565688433398
lmer	pop	Pgm_T4	Abbott	F	VA	0.284243438728581	0.0212255383992826
lmer	pop	Pgm_T4	Abbott	F	YE	0.398322497705022	0.0162573013644621
lmer	pop	Pgm_T5	Abbott	F	AK	0.430897028934364	0.0149196309674594
lmer	pop	Pgm_T5	Abbott	F	GI	0.409641744173406	0.0164792739027071
lmer	pop	Pgm_T5	Abbott	F	KA	0.357276142431876	0.015624156443039
lmer	pop	Pgm_T5	Abbott	F	MA	0.503914568688663	0.0150483328369006
lmer	pop	Pgm_T5	Abbott	F	MU	0.426549290328263	0.0168824944261249
lmer	pop	Pgm_T5	Abbott	F	RE	0.425397719819736	0.0158187049084981
lmer	pop	Pgm_T5	Abbott	F	UM	0.432150853356017	0.0143735680541392
lmer	pop	Pgm_T5	Abbott	F	VA	0.337539832355517	0.0184085531029662
lmer	pop	Pgm_T5	Abbott	F	YE	0.417110912307368	0.0141108187567457
lmer	pop	Pgm_T6	Abbott	F	AK	0.5935277571829	0.0357381385387214
lmer	pop	Pgm_T6	Abbott	F	GI	0.59724609622173	0.0394105480979078
lmer	pop	Pgm_T6	Abbott	F	KA	0.601881456505296	0.0373713138012058
lmer	pop	Pgm_T6	Abbott	F	MA	0.749029141004857	0.0359882546293926
lmer	pop	Pgm_T6	Abbott	F	MU	0.56737156601079	0.0404062551552686
lmer	pop	Pgm_T6	Abbott	F	RE	0.685183624930667	0.0378161123168392
lmer	pop	Pgm_T6	Abbott	F	UM	0.708967621647465	0.0343925621717161
lmer	pop	Pgm_T6	Abbott	F	VA	0.638191595913725	0.044076205383766
lmer	pop	Pgm_T6	Abbott	F	YE	0.578147269856181	0.0337469067453816
lmer	pop	Pgm_Total	Abbott	F	AK	0.468213375770885	0.0162046987767239
lmer	pop	Pgm_Total	Abbott	F	GI	0.459559687656927	0.0178771404273738
lmer	pop	Pgm_Total	Abbott	F	KA	0.431867084826827	0.0169514177206057
lmer	pop	Pgm_Total	Abbott	F	MA	0.575867842080761	0.0163247530468504
lmer	pop	Pgm_Total	Abbott	F	MU	0.466276725241055	0.0183251634038912
lmer	pop	Pgm_Total	Abbott	F	RE	0.510718878199623	0.0171555752141198
lmer	pop	Pgm_Total	Abbott	F	UM	0.511610693867999	0.0155988316499117
lmer	pop	Pgm_Total	Abbott	F	VA	0.427316563067609	0.0199875584605434
lmer	pop	Pgm_Total	Abbott	F	YE	0.464880080548556	0.0153079441766843
