Model	Predictor	Trait	Lab	Sex	Population	Estimate	SE
lmer	pop	Via	Gibert	NA	AK	1.11244494422827	0.0557668455467292
lmer	pop	Via	Gibert	NA	GI	0.935690873680259	0.0585799829849737
lmer	pop	Via	Gibert	NA	KA	1.07778975745855	0.0578441297956057
lmer	pop	Via	Gibert	NA	MA	0.973267366673018	0.0556498089250071
lmer	pop	Via	Gibert	NA	MU	1.0755891136988	0.0582528958342786
lmer	pop	Via	Gibert	NA	RE	0.979677494580809	0.0584828588405052
lmer	pop	Via	Gibert	NA	UM	1.06088385603859	0.0568221566568419
lmer	pop	Via	Gibert	NA	VA	1.023233105106	0.0607967178339823
lmer	pop	Via	Gibert	NA	YE	0.8478996088049	0.0565512081069969
lmer	pop	Via	Grath	NA	AK	0.999260954074948	0.0428594218984856
lmer	pop	Via	Grath	NA	MU	0.92259030244172	0.0425388994460418
lmer	pop	Via	Grath	NA	RE	0.920982126038703	0.0309515956965104
lmer	pop	Via	Hoedjes	NA	AK	1.05607444742317	0.0335903206526795
lmer	pop	Via	Hoedjes	NA	GI	0.868068864165228	0.0357930628032098
lmer	pop	Via	Hoedjes	NA	KA	0.983017120033496	0.0342762602584264
lmer	pop	Via	Hoedjes	NA	MA	0.990810743180536	0.0318045781725425
lmer	pop	Via	Hoedjes	NA	MU	1.01315450472953	0.0350673183026776
lmer	pop	Via	Hoedjes	NA	RE	0.89301554664803	0.0368722088375629
lmer	pop	Via	Hoedjes	NA	UM	0.972662105483602	0.0332760936483122
lmer	pop	Via	Hoedjes	NA	VA	0.944314837849926	0.0400455621886814
lmer	pop	Via	Hoedjes	NA	YE	0.819186623765269	0.0316715038553611
lm	pop	Via	Schmidt	NA	AK	0.92028032425258	0.0600998620531917
lm	pop	Via	Schmidt	NA	GI	0.761738206548157	0.0718330745430252
lm	pop	Via	Schmidt	NA	KA	1.15396602048786	0.0633508170500031
lm	pop	Via	Schmidt	NA	MA	0.954416546204161	0.0651874529501847
lm	pop	Via	Schmidt	NA	MU	0.814273207514529	0.0651874529501847
lm	pop	Via	Schmidt	NA	RE	0.889857904987987	0.0745447043861567
lm	pop	Via	Schmidt	NA	UM	1.01970041088388	0.0745447043861567
lm	pop	Via	Schmidt	NA	VA	0.858027292554138	0.0745447043861567
lm	pop	Via	Schmidt	NA	YE	0.840084430595154	0.0600998620531916
lmer	pop	Via	StamenkovicRadak	NA	AK	1.0025336176858	0.0407202582049575
lmer	pop	Via	StamenkovicRadak	NA	GI	0.883909237933194	0.0441684709271993
lmer	pop	Via	StamenkovicRadak	NA	KA	0.943089861341037	0.0399854316854997
lmer	pop	Via	StamenkovicRadak	NA	MA	0.83717479359317	0.0376037173254293
lmer	pop	Via	StamenkovicRadak	NA	MU	0.991844931370663	0.0407385358143526
lmer	pop	Via	StamenkovicRadak	NA	RE	0.897525806727601	0.0412320021396847
lmer	pop	Via	StamenkovicRadak	NA	UM	0.871164771392931	0.0392138542041274
lmer	pop	Via	StamenkovicRadak	NA	VA	0.880982491077543	0.0456633704371719
lmer	pop	Via	StamenkovicRadak	NA	YE	0.776611735510545	0.0374626669044009
lmer	pop	Via	Zwaan	NA	AK	1.03518315051616	0.039807728893089
lmer	pop	Via	Zwaan	NA	GI	0.939738540226457	0.0425066426263442
lmer	pop	Via	Zwaan	NA	KA	1.04030110390155	0.0408894075611732
lmer	pop	Via	Zwaan	NA	MA	1.00319075332853	0.0379431374215084
lmer	pop	Via	Zwaan	NA	MU	0.990727637362759	0.0419823484314039
lmer	pop	Via	Zwaan	NA	RE	0.95472807840423	0.0422631740323852
lmer	pop	Via	Zwaan	NA	UM	1.09877023088954	0.0384659040679175
lmer	pop	Via	Zwaan	NA	VA	1.05000396047759	0.0479113852592637
lmer	pop	Via	Zwaan	NA	YE	0.787516393091042	0.038225337304091
